circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [Decimal('-3.5605911709452815'), 9.71513367592738, 65.0611292802365], 'normal': [-0.2553267081867186, 0.6133517491360447, -0.7474007652647198], 'radius': Decimal('2.5175640961662866')}",0.9998276542597466,9764.56293,5.035128192332573,"{'center': [Decimal('126.22418280033911'), Decimal('212.21573630751655')], 'axes': [30.81674640277809, 47.99896483524475], 'angle': -67.684397548167}","[Decimal('126.22418280033911'), Decimal('212.21573630751655')]",47.99896483524475,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9740099896540011,48,9754.00413,2.231093702220028,-1.899985840478491,"[0.3944505712510597, Decimal('0.11576776538534772')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.5753481496797757'), 9.711679250770533, 65.06334877119576], 'normal': [-0.2565564564145931, 0.6130638803729743, -0.7472158076847801], 'radius': Decimal('2.5189738688848466')}",0.999963991882456,9764.57133,5.037947737769693,"{'center': [126.0855856304187, 212.1795963512337], 'axes': [Decimal('30.821862705873095'), 48.02424842231553], 'angle': -67.5796458775695}","[126.0855856304187, 212.1795963512337]",48.02424842231553,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9740503601572192,48,9754.00413,2.2307292752213153,-1.9015345211348307,"[0.3940174550950585, Decimal('0.11591834853652627')]",pupil.1,1,3d c++
"{'center': [-3.56675806594886, 9.714336156342776, 65.06258380407515], 'normal': [Decimal('-0.25584061610368347'), 0.6132852891706612, -0.747279554944832], 'radius': Decimal('2.5008727941083713')}",0.9998324017466464,9764.57973,5.0017455882167425,"{'center': [Decimal('126.16439751464435'), Decimal('212.21103697367738')], 'axes': [Decimal('30.604149829223655'), Decimal('47.679472652561536')], 'angle': -67.64230833586748}","[Decimal('126.16439751464435'), Decimal('212.21103697367738')]",47.679472652561536,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9740364564983506,48,9754.00413,2.231009558179043,-1.900651144358424,"[0.3942637422332636, Decimal('0.11578734594301088')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.5543444858744584'), 9.721731495757076, 65.06441497168053], 'normal': [Decimal('-0.25480615109748334'), 0.6139015674551862, -0.7471269576443831], 'radius': 2.476955698771865}",0.9995139285068392,9764.58813,4.95391139754373,"{'center': [Decimal('126.28005467348596'), Decimal('212.28551661432704')], 'axes': [Decimal('30.300521572809444'), 47.22185866365669], 'angle': -67.74218943595729}","[Decimal('126.28005467348596'), Decimal('212.28551661432704')]",47.22185866365669,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9739662868174515,48,9754.00413,2.2317900306440293,-1.8994739338957916,"[Decimal('0.39462517085464366'), Decimal('0.11547701410697064')]",pupil.1,1,3d c++
"{'center': [-3.573650792636765, 9.719270354188668, 65.06899936748819], 'normal': [Decimal('-0.25641500999434225'), 0.6136964723244854, -0.7467449246604114], 'radius': Decimal('2.4935112331244618')}",0.9996710766914677,9764.59653,4.9870224662489235,"{'center': [126.1013279582485, 212.2512625968627], 'axes': [Decimal('30.478120765699636'), Decimal('47.534375064046856')], 'angle': -67.61061161121077}","[126.1013279582485, 212.2512625968627]",47.534375064046856,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9739302364273117,48,9754.00413,2.231530239738584,-1.901558756367893,"[Decimal('0.39406664986952655'), Decimal('0.11561973917973878')]",pupil.1,1,3d c++
"{'center': [-3.567870820663206, 9.724250756627992, 65.07111119326679], 'normal': [-0.2559333456632123, 0.6141115058610958, -0.7465689391788625], 'radius': Decimal('2.5297518136497383')}",0.9998364908003898,9764.60493,5.059503627299477,"{'center': [126.161601855729, Decimal('212.28514261916004')], 'axes': [30.9094808320759, Decimal('48.224131691263665')], 'angle': -67.66113204856107}","[126.161601855729, Decimal('212.28514261916004')]",48.224131691263665,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9739139723652812,48,9754.00413,2.2320560108262026,-1.9010539512230336,"[0.3942550057991531, Decimal('0.11547857242016646')]",pupil.1,1,3d c++
"{'center': [-3.582110584518791, 9.715989233326805, 65.06921234220395], 'normal': [Decimal('-0.25711999265117774'), 0.613423045585997, -0.7467271767674311], 'radius': Decimal('2.4920095083350042')}",0.9996584762437456,9764.61333,4.9840190166700085,"{'center': [126.0210686227513, Decimal('212.22030760193093')], 'axes': [Decimal('30.458791501994362'), 47.50558431215067], 'angle': -67.54719858039778}","[126.0210686227513, Decimal('212.22030760193093')]",47.50558431215067,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9738795796909505,48,9754.00413,2.231183975780658,-1.902410328649733,"[0.3938158394460978, Decimal('0.11574871832528777')]",pupil.1,1,3d c++
"{'center': [-3.572133418899929, 9.708147140535553, 65.0593491874663], 'normal': [-0.2562885621829392, 0.6127695378533926, -0.7475491063289029], 'radius': Decimal('2.5035341921781984')}",0.9997430476444868,9764.62173,5.007068384356397,"{'center': [Decimal('126.11217984910328'), Decimal('212.15596903534296')], 'axes': [Decimal('30.655158625001107'), Decimal('47.732614353183564')], 'angle': -67.59117410438665}","[Decimal('126.11217984910328'), Decimal('212.15596903534296')]",47.732614353183564,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9739174309481013,48,9754.00413,2.2303567593101907,-1.9010769372712935,"[0.3941005620284478, Decimal('0.11601679568607104')]",pupil.1,1,3d c++
"{'center': [-3.565408915445505, 9.709715146395189, 65.05833178620966], 'normal': [Decimal('-0.25572818689507054'), 0.6129002050083622, -0.7476338897669551], 'radius': 2.518179469787174}",0.9998735833613975,9764.63013,5.036358939574348,"{'center': [126.1772208532472, 212.1679705484629], 'axes': [30.84029882860397, 48.01276572006297], 'angle': -67.63891501745374}","[126.1772208532472, 212.1679705484629]",48.01276572006297,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9739239330858074,48,9754.00413,2.2305221166082068,-1.9003712781891091,"[0.3943038151663975, Decimal('0.11596678938140459')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.5787814944760843'), 9.720914429889447, 65.07211444216328], 'normal': [Decimal('-0.25684256848095216'), 0.6138334786328837, -0.7464853351041536], 'radius': Decimal('2.5205639180301387')}",0.9998729680852633,9764.63853,5.041127836060277,"{'center': [Decimal('126.05756742229066'), 212.2548426455337], 'axes': [30.7916960402822, 48.04814425596219], 'angle': -67.5817243584947}","[Decimal('126.05756742229066'), 212.2548426455337]",48.04814425596219,"{'center': [-0.4966706727046583, 2.354912686294842, 74.02993846341313], 'radius': 12.0}","{'center': [155.8403880447763, 139.7223703789026], 'axes': [200.999761837624, 200.999761837624], 'angle': 90.0}",0.9739602421322213,48,9754.00413,2.231703777741948,-1.9021777912281275,"[0.3939298981946583, Decimal('0.11560482231027625')]",pupil.1,1,3d c++
