circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [-4.85677449172168, 4.807253487480262, 60.21921102417556], 'normal': [-0.3219545807346077, 0.5043105054708177, -0.8012591104104659], 'radius': Decimal('2.1074818166775304')}",0.9918557365238845,399847.762201,4.214963633355061,"{'center': [Decimal('110.17006472206084'), 169.2088549032835], 'axes': [Decimal('31.903813311659878'), 43.4161776119196], 'angle': -56.07446864338621}","[Decimal('110.17006472206084'), 169.2088549032835]",43.4161776119196,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9645547666964682,27,399803.015069,2.0993796383132337,-1.9528627808099905,"[Decimal('0.34428145225644013'), 0.294963104569652]",pupil.1,1,3d c++,0.34428145225644013,0.294963104569652
"{'center': [-4.852962833849174, 4.807064836592993, 60.21756162123323], 'normal': [-0.3216369425785656, 0.5042947845635453, -0.8013965606556596], 'radius': Decimal('2.1057412847105876')}",0.9998376708053734,399847.770601,4.211482569421175,"{'center': [Decimal('110.20753243680893'), 169.2086672977148], 'axes': [Decimal('31.886308357018244'), Decimal('43.381485299746466')], 'angle': Decimal('-56.098741621598506')}","[Decimal('110.20753243680893'), 169.2086672977148]",43.381485299746466,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9646074659874992,27,399803.015069,2.0993614328516,-1.9524621214463054,"[0.3443985388650279, Decimal('0.29496388625952163')]",pupil.1,1,3d c++,0.3443985388650279,0.29496388625952163
"{'center': [-4.879824843576157, 4.82661905951511, Decimal('60.240732765759816')], 'normal': [-0.3238754433891474, 0.5059243031403884, -0.799465631945111], 'radius': Decimal('2.0787137937986118')}",0.9996267449176701,399847.779001,4.1574275875972235,"{'center': [Decimal('109.94629497325712'), 169.3983818891408], 'axes': [Decimal('31.356644155452813'), Decimal('42.808048118175364')], 'angle': Decimal('-56.011870004149216')}","[Decimal('109.94629497325712'), 169.3983818891408]",42.808048118175364,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9645885398104515,27,399803.015069,2.1012495148543815,-1.955704312751717,"[0.3435821717914285, Decimal('0.29417340879524667')]",pupil.1,1,3d c++,0.3435821717914285,0.29417340879524667
"{'center': [-4.843465818640614, 4.80996003034377, 60.21557722484554], 'normal': [Decimal('-0.32084552464451893'), 0.5045360507094434, -0.8015619270213009], 'radius': 2.085137118245222}",0.9997856017783078,399847.787401,4.170274236490444,"{'center': [Decimal('110.29992352135801'), Decimal('169.24543170040897')], 'axes': [Decimal('31.585129171950538'), Decimal('42.958225386118166')], 'angle': Decimal('-56.174764897174256')}","[Decimal('110.29992352135801'), Decimal('169.24543170040897')]",42.958225386118166,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9645893757113999,27,399803.015069,2.099640850355204,-1.9515400991103555,"[0.3446872610042438, 0.294810701248296]",pupil.1,1,3d c++,0.3446872610042438,0.294810701248296
"{'center': [-4.85959547882805, 4.815897829127632, 60.22579180623785], 'normal': [Decimal('-0.32218966299347185'), 0.5050308672747652, -0.8007107119052744], 'radius': 2.075721335067007}",0.9998258638817841,399847.795801,4.151442670134014,"{'center': [Decimal('110.14118877884417'), 169.3009001259456], 'axes': [Decimal('31.389053964207257'), 42.75694533437714], 'angle': Decimal('-56.095642988366464')}","[Decimal('110.14118877884417'), 169.3009001259456]",42.75694533437714,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9647425223592077,27,399803.015069,2.1002140549551034,-1.9533524060113499,"[Decimal('0.34419121493388805'), 0.29457958280856]",pupil.1,1,3d c++,0.34419121493388805,0.29457958280856
"{'center': [-4.856735703161267, 4.770648242391699, 60.19625327462012], 'normal': [-0.3219513483545733, 0.5012600683801041, -0.8031722562067526], 'radius': 2.110589103677123}",0.9985261681584786,399847.804201,4.221178207354246,"{'center': [Decimal('110.15268833615693'), Decimal('168.85043988080866')], 'axes': [Decimal('32.068918339890736'), 43.49674628158433], 'angle': -55.90565166965904}","[Decimal('110.15268833615693'), Decimal('168.85043988080866')]",43.49674628158433,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9643010958661935,27,399803.015069,2.095850716192221,-1.9520349789249984,"[0.3442271510504904, 0.2964565004966305]",pupil.1,1,3d c++,0.3442271510504904,0.2964565004966305
"{'center': [-4.866611967199958, 4.790536306197634, Decimal('60.212663869752724')], 'normal': [Decimal('-0.32277437035779755'), 0.5029174070305986, -0.8018047066123687], 'radius': 2.09433240505901}",0.9856526564897758,399847.812601,4.18866481011802,"{'center': [Decimal('110.06183576978512'), Decimal('169.04609901125534')], 'axes': [31.73690385392545, 43.14985598706142], 'angle': Decimal('-55.932572752668975')}","[Decimal('110.06183576978512'), Decimal('169.04609901125534')]",43.14985598706142,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9643383185833354,27,399803.015069,2.097767122635797,-1.9535075084159232,"[0.3439432367805785, 0.2956412541197694]",pupil.1,1,3d c++,0.3439432367805785,0.2956412541197694
"{'center': [-4.869019293927228, 4.79515085576325, Decimal('60.216529539294626')], 'normal': [-0.3229749809184034, 0.5033019528277333, -0.8014825674838768], 'radius': Decimal('2.0722542462398335')}",0.9999839020909334,399847.821001,4.144508492479667,"{'center': [Decimal('110.03662646512198'), Decimal('169.09632291559203')], 'axes': [Decimal('31.382292655369014'), Decimal('42.692052978144865')], 'angle': -55.93805728676925}","[Decimal('110.03662646512198'), Decimal('169.09632291559203')]",42.692052978144865,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9644428914610148,27,399803.015069,2.098212084173506,-1.9538620881919728,"[0.3438644577035062, 0.2954319878516999]",pupil.1,1,3d c++,0.3438644577035062,0.2954319878516999
"{'center': [-4.874937821712519, 4.805929085997549, 60.22569510484183], 'normal': [-0.3234681915671777, 0.5042001386805917, -0.8007187703549428], 'radius': 2.113589059986455}",0.9994802570227107,399847.829401,4.22717811997291,"{'center': [Decimal('109.99009637361941'), 169.1886171239799], 'axes': [31.96102258485561, 43.53739617266476], 'angle': -55.94878121254629}","[Decimal('109.99009637361941'), 169.1886171239799]",43.53739617266476,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9643483066205327,27,399803.015069,2.0992518330897103,-1.9547223903364999,"[Decimal('0.34371905116756063'), 0.2950474286500838]",pupil.1,1,3d c++,0.34371905116756063,0.2950474286500838
"{'center': [-4.870317656669258, 4.803552245902502, 60.2223340196161], 'normal': [Decimal('-0.32308317781357254'), 0.5040020686726709, -0.8009988607904207], 'radius': 2.093527949756471}",0.9999276480532087,399847.837801,4.187055899512942,"{'center': [Decimal('110.03144293821079'), Decimal('169.17226998665868')], 'axes': [Decimal('31.675021074637034'), 43.12637499889823], 'angle': Decimal('-55.968240433844976')}","[Decimal('110.03144293821079'), Decimal('169.17226998665868')]",43.12637499889823,"{'center': [-0.9933195229063875, -1.24447257816955, 69.83432034910115], 'radius': 12.0}","{'center': [Decimal('151.18115417858596'), Decimal('108.95137813888594')], 'axes': [Decimal('213.07574736340257'), Decimal('213.07574736340257')], 'angle': 90.0}",0.9643379077056036,27,399803.015069,2.0990224910688267,-1.9541876032354513,"[0.3438482591819087, 0.2951155417222555]",pupil.1,1,3d c++,0.3438482591819087,0.2951155417222555
