circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [-0.5548484938869132, Decimal('6.9959807337297395'), Decimal('47.651772619902616')], 'normal': [Decimal('-0.12147058646366236'), 0.6965425604424207, -0.7071586513056958], 'radius': Decimal('1.6270923181276984')}",0.9995956301098372,54698.524007,3.254184636255397,"{'center': [152.8387531891502, Decimal('210.72193419896405')], 'axes': [25.56464333190894, Decimal('42.355882802329454')], 'angle': -80.63674891787454}","[152.8387531891502, Decimal('210.72193419896405')]",42.355882802329454,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9552244532539889,25,54608.040427,2.341363854152184,-1.740908934617073,"[Decimal('0.47762110371609434'), Decimal('0.12199194083764975')]",pupil.1,1,3d c++,1582253254.1459148,0.47762110371609434,0.12199194083764975
"{'center': [-0.5601045820213517, 6.984545316662546, Decimal('47.641427366519316')], 'normal': [-0.1219085938081989, 0.6955896090201547, -0.7080207557543041], 'radius': Decimal('1.6140764106135979')}",0.9996416496127297,54698.532407,3.2281528212271957,"{'center': [Decimal('152.76815008649564'), Decimal('210.59743704699156')], 'axes': [25.41279757114906, 42.0259501607746], 'angle': -80.58902172197526}","[Decimal('152.76815008649564'), Decimal('210.59743704699156')]",42.0259501607746,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9552590454760979,25,54608.040427,2.340036582199898,-1.741306652939043,"[Decimal('0.47740046902029887'), Decimal('0.12251067897086854')]",pupil.1,1,3d c++,1582253254.1541722,0.47740046902029887,0.12251067897086854
"{'center': [-0.5532479752770978, 6.991816343659124, Decimal('47.647398121785855')], 'normal': [Decimal('-0.12133720991284441'), 0.6961955279365362, -0.7075231928154256], 'radius': Decimal('1.6228698334605565')}",0.9996344537842378,54698.540807,3.245739666921113,"{'center': [Decimal('152.85860687051468'), Decimal('210.67753321515448')], 'axes': [Decimal('25.520514515370255'), 42.2497705327417], 'angle': -80.64335328528078}","[Decimal('152.85860687051468'), Decimal('210.67753321515448')]",42.2497705327417,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9552605058790631,25,54608.040427,2.3408803090600037,-1.7406398460732244,"[Decimal('0.47768314647035837'), Decimal('0.12217694493685627')]",pupil.1,1,3d c++,1582253254.1617892,0.47768314647035837,0.12217694493685627
"{'center': [-0.5624809816428, 6.9846700306583, 47.64195941454002], 'normal': [Decimal('-0.12210662710998627'), 0.6956000018531342, -0.7079764184192455], 'radius': Decimal('1.6252544179744237')}",0.9996107810323855,54698.549207,3.2505088359488474,"{'center': [Decimal('152.73817988129716'), Decimal('210.59392277205242')], 'axes': [Decimal('25.586385878735477'), 42.31668684864712], 'angle': -80.57294105787851}","[Decimal('152.73817988129716'), Decimal('210.59392277205242')]",42.31668684864712,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9552846516593494,25,54608.040427,2.340051048147231,-1.7415887751786738,"[0.4773068121290536, Decimal('0.12252532178311493')]",pupil.1,1,3d c++,1582253254.169751,0.4773068121290536,0.12252532178311493
"{'center': [-0.5672577363252354, 6.976399420388097, Decimal('47.634665745477086')], 'normal': [Decimal('-0.12250469000018921'), 0.6949107843306173, -0.70858422417449], 'radius': Decimal('1.6212289083005509')}",0.9996108934239047,54698.557606,3.2424578166011018,"{'center': [Decimal('152.67484267167026'), Decimal('210.50150158006107')], 'axes': [25.56047205455531, Decimal('42.218250091834236')], 'angle': -80.53167343727382}","[Decimal('152.67484267167026'), Decimal('210.50150158006107')]",42.218250091834236,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9554392927119126,25,54608.040427,2.3390921537258156,-1.7419906221764176,"[Decimal('0.47710888334896956'), 0.1229104100830789]",pupil.1,1,3d c++,1582253254.1780279,0.47710888334896956,0.1229104100830789
"{'center': [-0.5704269621183364, 6.979208766456967, Decimal('47.637970493495715')], 'normal': [-0.1227687921496143, 0.695144896503023, -0.7083088285062712], 'radius': Decimal('1.6210998339308855')}",0.9995859898240672,54698.566006,3.242199667861771,"{'center': [Decimal('152.63417392835802'), Decimal('210.53193215184845')], 'axes': [25.54169390805617, 42.21196170762956], 'angle': -80.51298576104713}","[Decimal('152.63417392835802'), Decimal('210.53193215184845')]",42.21196170762956,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9555984028643882,25,54608.040427,2.339417769538268,-1.7424179009353022,"[0.4769817935261188, Decimal('0.12278361603396482')]",pupil.1,1,3d c++,1582253254.1859038,0.4769817935261188,0.12278361603396482
"{'center': [-0.5710360875501235, 6.982566705701853, 47.64137296919086], 'normal': [Decimal('-0.12281955260226321'), 0.6954247247734302, -0.7080252888650086], 'radius': Decimal('1.6257972436749746')}",0.9997693893736461,54698.574406,3.251594487349949,"{'center': [Decimal('152.62709962476197'), Decimal('210.56750190519728')], 'axes': [25.59837667749944, 42.33133346250774], 'angle': -80.51236136287027}","[Decimal('152.62709962476197'), Decimal('210.56750190519728')]",42.33133346250774,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9556342273427942,25,54608.040427,2.3398071043269613,-1.7425548865649152,"[Decimal('0.47695968632738117'), Decimal('0.12263540872834466')]",pupil.1,1,3d c++,1582253254.193988,0.47695968632738117,0.12263540872834466
"{'center': [-0.5786844257517152, 6.979642683180176, Decimal('47.639831810268106')], 'normal': [Decimal('-0.12345691411906254'), 0.6951810562299572, -0.7081537187752384], 'radius': Decimal('1.6336422887218578')}",0.9995525447902424,54698.582806,3.2672845774437156,"{'center': [Decimal('152.52817525041914'), Decimal('210.52945626293013')], 'axes': [Decimal('25.730366192723864'), 42.53707540987951], 'angle': -80.45709374151473}","[Decimal('152.52817525041914'), Decimal('210.52945626293013')]",42.53707540987951,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9557729075127086,25,54608.040427,2.3394680715734686,-1.7433979630831637,"[0.4766505476575598, Decimal('0.12279393223779111')]",pupil.1,1,3d c++,1582253254.201695,0.4766505476575598,0.12279393223779111
"{'center': [-0.5790787463742604, 6.978235877918014, 47.63851974755428], 'normal': [-0.1234897741709413, 0.6950638224581103, -0.708263057334724], 'radius': Decimal('1.6272307732361218')}",0.9996261147019907,54698.591206,3.2544615464722435,"{'center': [Decimal('152.52239868819055'), 210.5160090949995], 'axes': [Decimal('25.636018121085666'), 42.37119661957802], 'angle': -80.45291004410943}","[Decimal('152.52239868819055'), 210.5160090949995]",42.37119661957802,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9559807412106935,25,54608.040427,2.3393049957902714,-1.7434168703516009,"[0.4766324959005955, Decimal('0.12284996210416876')]",pupil.1,1,3d c++,1582253254.209919,0.4766324959005955,0.12284996210416876
"{'center': [-0.5759977409471924, Decimal('6.9833424037609735'), Decimal('47.642997188578846')], 'normal': [Decimal('-0.12323302371868562'), 0.695489366278357, -0.7078899372493433], 'radius': 1.61956164754301}",0.9996741318292885,54698.599606,3.23912329508602,"{'center': [Decimal('152.56249174769346'), Decimal('210.57689827310827')], 'axes': [25.49203625998442, Decimal('42.167439907454686')], 'angle': -80.47932396937128}","[Decimal('152.56249174769346'), Decimal('210.57689827310827')]",42.167439907454686,"{'center': [0.9027985436770352, Decimal('-1.3625299915793092'), 56.13767643557097], 'radius': 12.0}","{'center': [169.9707564085266, Decimal('104.95184253397609')], 'axes': [Decimal('265.06262718368345'), Decimal('265.06262718368345')], 'angle': 90.0}",0.9560685629582344,25,54608.040427,2.339897063154247,-1.7431540502026623,"[Decimal('0.47675778671154206'), Decimal('0.12259625719538225')]",pupil.1,1,3d c++,1582253254.2222981,0.47675778671154206,0.12259625719538225
