circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [Decimal('-3.4600594826862014'), Decimal('10.358346125105381'), 72.44695858385995], 'normal': [-0.06862081912511453, 0.657088838620439, -0.7506833162812672], 'radius': Decimal('3.1838972915675803')}",0.9998312019771752,14601.992994,6.367794583135161,"{'center': [Decimal('130.42561575838806'), 208.130190881445], 'axes': [35.62600481273888, 54.54062806946488], 'angle': -82.6288366026787}","[Decimal('130.42561575838806'), 208.130190881445]",54.54062806946488,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9876414094988295,1,14450.341897,2.2877466418972228,-1.6619541272060427,"[0.4075800492449627, 0.1327908713273125]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4677179904349837'), Decimal('10.331903553259837'), 72.42458277471081], 'normal': [-0.06925902810417972, 0.6548852909666437, -0.7525479670436953], 'radius': Decimal('3.1788272107127336')}",0.9998066193165672,14602.001394,6.357654421425467,"{'center': [Decimal('130.35163571280557'), Decimal('207.93241473584763')], 'axes': [35.7080563177724, 54.47031741381206], 'angle': -82.54728668989726}","[Decimal('130.35163571280557'), Decimal('207.93241473584763')]",54.47031741381206,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9876648450713343,1,14450.341897,2.284827151209691,-1.66257050881086,"[Decimal('0.40734886160251743'), 0.1336149386006349]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4542457408276674'), Decimal('10.298640543546657'), 72.39451797379402], 'normal': [-0.06813634063690335, 0.6521133734905454, -0.7550533671200945], 'radius': 3.200433755069178}",0.9990186775041483,14602.009794,6.400867510138356,"{'center': [Decimal('130.45471769869275'), Decimal('207.67649848068748')], 'axes': [36.14279850765418, Decimal('54.863512429067434')], 'angle': -82.60531891169093}","[Decimal('130.45471769869275'), Decimal('207.67649848068748')]",54.863512429067434,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9873098747095188,1,14450.341897,2.281165077916923,-1.6607929941771031,"[Decimal('0.40767099280841484'), 0.1346812563304688]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4355663626488857'), Decimal('10.260651187512817'), 72.36018618990781], 'normal': [-0.06657972578867156, 0.6489475938210587, -0.7579143491106125], 'radius': Decimal('3.1668713534567576')}",0.9220971070183374,14602.018194,6.333742706913515,"{'center': [130.5991767968028, 207.4029518300506], 'axes': [35.98057120990026, 54.31332828274572], 'angle': -82.69544323291112}","[130.5991767968028, 207.4029518300506]",54.31332828274572,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9873000129230203,1,14450.341897,2.2769967174547263,-1.6584173767509296,"[0.4081224274900087, Decimal('0.13582103404145585')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.3669040250163595'), Decimal('10.288583231983331'), 72.3783909763319], 'normal': [Decimal('-0.060857864319294394'), 0.6512752641936016, -0.756397283575271], 'radius': 3.161588072614549}",0.9995986232782598,14602.026594,6.323176145229098,"{'center': [Decimal('131.18972456861428'), Decimal('207.62171789222398')], 'axes': [Decimal('35.816676648488375'), 54.20959188419966], 'angle': -83.20612527085196}","[Decimal('131.18972456861428'), Decimal('207.62171789222398')]",54.20959188419966,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872060671262894,1,14450.341897,2.280060094875934,-1.6510809258080157,"[Decimal('0.40996788927691963'), Decimal('0.13490950878240004')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.3301014405183826'), Decimal('10.342611085736252'), 72.42229070753677], 'normal': [Decimal('-0.057790982277796284'), 0.6557775853396782, -0.7527389726415316], 'radius': Decimal('3.1493893127273567')}",0.8853675446602656,14602.034994,6.298778625454713,"{'center': [Decimal('131.51899615343052'), Decimal('208.03544815965103')], 'axes': [35.41092902615218, 53.96807130690073], 'angle': -83.51676330566478}","[Decimal('131.51899615343052'), Decimal('208.03544815965103')]",53.96807130690073,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.2860084640345284,-1.6474202810337029,"[Decimal('0.41099686297947036'), Decimal('0.13318563266812078')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.3933917157938875'), Decimal('10.694461324038123'), 72.7465729854506], 'normal': [-0.0630651718840884, 0.6850984385315012, -0.725715449482047], 'radius': Decimal('3.1885107452729393')}",0.5695176633688707,14602.043394,6.377021490545879,"{'center': [Decimal('131.10725038729942'), Decimal('210.63632194215535')], 'axes': [Decimal('33.825188758780065'), Decimal('54.397254367376846')], 'angle': -83.42172668055807}","[Decimal('131.10725038729942'), Decimal('210.63632194215535')]",54.397254367376846,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.3255351511974096,-1.6574792505232943,"[0.4097101574603107, Decimal('0.12234865857435273')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.3797443518974104'), Decimal('10.757432557594294'), 72.8052700421711], 'normal': [-0.06192789155938195, 0.6903460413278486, -0.7208240280886714], 'radius': 3.186105955590461}",0.600859675617528,14602.051794,6.372211911180922,"{'center': [Decimal('131.24509381814937'), Decimal('211.10182598759778')], 'axes': [33.44091490769073, 54.3128379172358], 'angle': -83.57200419933545}","[Decimal('131.24509381814937'), Decimal('211.10182598759778')]",54.3128379172358,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.332763572071158,-1.6564985197118296,"[0.4101409181817168, Decimal('0.12040905838500926')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4650041151776723'), Decimal('10.756037466560972'), 72.81168151012169], 'normal': [-0.06903287183273708, 0.6902297837417382, -0.7202897390927891], 'radius': Decimal('3.1775814198754793')}",0.46646505568561963,14602.060194,6.3551628397509585,"{'center': [Decimal('130.52678828016076'), 211.0853312462691], 'axes': [Decimal('33.299698796877195'), 54.16212232377648], 'angle': -83.00486483473794}","[Decimal('130.52678828016076'), 211.0853312462691]",54.16212232377648,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.3326028920491653,-1.6663449107274309,"[Decimal('0.40789621337550236'), Decimal('0.12047778647387875')]",pupil.1,1,3d c++
"{'center': [-3.457069846947057, Decimal('10.761855629724797'), 72.81650338421812], 'normal': [-0.06837168281351917, 0.6907146306720572, -0.7198879162514197], 'radius': 3.184958960713142}",0.336615651082188,14602.068594,6.369917921426284,"{'center': [Decimal('130.59587555989734'), 211.1265850478683], 'axes': [Decimal('33.348747365436374'), Decimal('54.284475632893425')], 'angle': -83.0632022520175}","[Decimal('130.59587555989734'), 211.1265850478683]",54.284475632893425,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.3332731636791637,-1.6654877478406604,"[Decimal('0.40811211112467916'), Decimal('0.12030589563388205')]",pupil.1,1,3d c++
"{'center': [-3.456287577098038, Decimal('10.767697119978934'), 72.82203763620608], 'normal': [-0.06830649365943425, 0.6912014215265686, -0.7194267285857571], 'radius': 3.192832704865528}",0.2930296890208254,14602.076994,6.385665409731056,"{'center': [Decimal('130.60480008865238'), Decimal('211.16704451498893')], 'axes': [33.39746282456271, Decimal('54.414705846996306')], 'angle': -83.07413834324505}","[Decimal('130.60480008865238'), Decimal('211.16704451498893')]",54.414705846996306,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.333946554656218,-1.6654582847907036,"[0.4081400002770387, 0.1201373145208795]",pupil.1,1,3d c++
"{'center': [-3.455501798005372, Decimal('10.773561882427103'), 72.8276015204833], 'normal': [-0.06824101206837874, 0.6916901517305826, -0.7189630715626549], 'radius': Decimal('3.2119227399630246')}",0.2274319233203682,14602.085394,6.423845479926049,"{'center': [Decimal('130.61398394963115'), Decimal('211.20406901432932')], 'axes': [Decimal('33.563266359866276'), Decimal('54.736217996329074')], 'angle': -83.08509458661486}","[Decimal('130.61398394963115'), Decimal('211.20406901432932')]",54.736217996329074,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.3346230649806197,-1.66542870374884,"[Decimal('0.40816869984259735'), Decimal('0.11998304577362784')]",pupil.1,1,3d c++
"{'center': [-3.462517617200631, Decimal('10.692429104900276'), 72.75093727450789], 'normal': [-0.06882566366798366, 0.6849290869366803, -0.7253517587272723], 'radius': 3.145373458286506}",0.2093695434566172,14602.093794,6.290746916573012,"{'center': [130.5233867010982, 210.6278077164975], 'axes': [33.33031707959115, 53.65703183811401], 'angle': -82.95788973500997}","[130.5233867010982, 210.6278077164975]",53.65703183811401,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9872116130342223,1,14450.341897,2.325302694652224,-1.665399004715076,"[Decimal('0.40788558344093184'), Decimal('0.12238413451459373')]",pupil.1,1,3d c++
"{'center': [-3.443908810353151, Decimal('10.219707819842677'), 72.32602232711642], 'normal': [-0.06727492976402702, 0.6455356465152137, -0.760761337676561], 'radius': 3.166340378098312}",0.7958802303363485,14602.102194,6.332680756196624,"{'center': [Decimal('130.51480927027546'), Decimal('207.09310311116715')], 'axes': [36.18740390310873, Decimal('54.329564448213205')], 'angle': -82.59270790379048}","[Decimal('130.51480927027546'), Decimal('207.09310311116715')]",54.329564448213205,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9871711450231357,1,14450.341897,2.2725207580515443,-1.658997948257383,"[0.4078587789696108, Decimal('0.13711207037013684')]",pupil.1,1,3d c++
"{'center': [-3.49618948720846, Decimal('10.706235863993674'), 72.76726097734544], 'normal': [-0.07163165283530275, 0.6860796501944635, -0.7239914501574761], 'radius': 3.224117893967442}",0.507699801531829,14602.110594,6.448235787934884,"{'center': [Decimal('130.24669196731062'), 210.7006564646324], 'axes': [34.05974891222411, 54.98913044240373], 'angle': -82.74731409983639}","[Decimal('130.24669196731062'), 210.7006564646324]",54.98913044240373,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9871711450231357,1,14450.341897,2.326882990564239,-1.6694152807922722,"[0.4070209123978457, Decimal('0.12208059806403171')]",pupil.1,1,3d c++
"{'center': [-3.461023624695544, Decimal('10.202690272110708'), 72.31313675367771], 'normal': [-0.06870116429255974, 0.6441175175375496, -0.7618351354631205], 'radius': 3.147938049425095}",0.9419512048807916,14602.118994,6.29587609885019,"{'center': [Decimal('130.36372607928536'), Decimal('206.96866220962454')], 'axes': [36.05468677438275, 54.0229741284382], 'angle': -82.45337185557639}","[Decimal('130.36372607928536'), Decimal('206.96866220962454')]",54.0229741284382,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9868813996053993,1,14450.341897,2.270665366215434,-1.6607315828460971,"[Decimal('0.40738664399776675'), Decimal('0.13763057412656443')]",pupil.1,1,3d c++
