circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [0.9113531794123046, 3.973265038124473, Decimal('28.527476144571935')], 'normal': [Decimal('-0.18302945608746474'), 0.6362660199091318, -0.7494436403848652], 'radius': 0.9893274764536542}",0.9974414596112392,5592.583861,1.9786549529073083,"{'center': [179.9196181453723, Decimal('206.04248241543692')], 'axes': [Decimal('28.630087364289857'), 43.09533456763868], 'angle': -77.08042490372029}","[179.9196181453723, Decimal('206.04248241543692')]",43.09533456763868,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7264789805789706,117,5464.517336,2.2604447878804117,-1.8103280511631041,"[0.5622488067042885, Decimal('0.14148965660234614')]",pupil.1,1,3d c++,1582012668.843255,0.5622488067042885,0.14148965660234614
"{'center': [0.9154635641575268, 3.965422455328512, 28.51982168983428], 'normal': [Decimal('-0.18268692402536285'), 0.6356124713428017, -0.7500815116130028], 'radius': 0.9900471498393079}",0.9966665560784582,5592.592261,1.9800942996786157,"{'center': [Decimal('180.01443793032945'), Decimal('205.89443423846757')], 'axes': [28.69707487644122, 43.13837689761231], 'angle': -77.10314890284744}","[Decimal('180.01443793032945'), Decimal('205.89443423846757')]",43.13837689761231,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7265763841411421,117,5464.517336,2.2595979361333387,-1.8097010034418253,"[0.5625451185322795, Decimal('0.14210652400638513')]",pupil.1,1,3d c++,1582012668.851372,0.5625451185322795,0.14210652400638513
"{'center': [0.9062384399236119, Decimal('3.9677683913710444'), Decimal('28.524062482784316')], 'normal': [Decimal('-0.18345568437818913'), 0.6358079660130128, -0.7497281122005002], 'radius': 0.9866296001264329}",0.9977845569962994,5592.600661,1.9732592002528657,"{'center': [Decimal('179.81043526795656'), 205.9349774645932], 'axes': [Decimal('28.574428602250833'), 42.98262398191569], 'angle': -77.032643166275}","[Decimal('179.81043526795656'), 205.9349774645932]",42.98262398191569,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7268505731267805,117,5464.517336,2.2598511912609895,-1.8107770633504103,"[0.5619076102123642, Decimal('0.14193759389752836')]",pupil.1,1,3d c++,1582012668.8595672,0.5619076102123642,0.14193759389752836
"{'center': [0.9142245458985236, Decimal('3.9713748797023127'), Decimal('28.525171135418393')], 'normal': [Decimal('-0.18279017554694646'), 0.6361085067072851, -0.7496357244809936], 'radius': 0.9912428223865959}",0.9973527450060946,5592.609061,1.9824856447731918,"{'center': [179.9840029384618, 206.0070729211331], 'axes': [Decimal('28.699008974510313'), 43.18240656615831], 'angle': -77.10088120885099}","[179.9840029384618, 206.0070729211331]",43.18240656615831,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7267715433820987,117,5464.517336,2.2602406321810116,-1.8099677342271052,"[0.5624500091826932, Decimal('0.14163719616194537')]",pupil.1,1,3d c++,1582012668.867567,0.5624500091826932,0.14163719616194537
"{'center': [0.9084290601468719, 3.972879535736749, Decimal('28.527863480705385')], 'normal': [Decimal('-0.18327313269291745'), 0.6362338947101548, -0.7494113623737445], 'radius': 0.9841673688936449}",0.9962136447214699,5592.617461,1.9683347377872897,"{'center': [Decimal('179.85472012695624'), Decimal('206.03620223344882')], 'axes': [28.4790617352777, Decimal('42.869729942248284')], 'angle': -77.05662963790057}","[Decimal('179.85472012695624'), Decimal('206.03620223344882')]",42.869729942248284,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7265097485456007,117,5464.517336,2.2604031470409827,-1.8106448088069695,"[0.5620460003967382, Decimal('0.14151582402729657')]",pupil.1,1,3d c++,1582012668.879504,0.5620460003967382,0.14151582402729657
"{'center': [0.9066992004643444, Decimal('3.9731764576768684'), Decimal('28.528538805354774')], 'normal': [-0.1834172876664614, 0.6362586382051648, -0.7493550853196285], 'radius': 0.9833378661939967}",0.9961071516498117,5592.625861,1.9666757323879933,"{'center': [179.8165189436055, Decimal('206.04116683712567')], 'axes': [Decimal('28.451383140391112'), 42.83249339600436], 'angle': -77.04324034046797}","[179.8165189436055, Decimal('206.04116683712567')]",42.83249339600436,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7262941093873931,117,5464.517336,2.2604352195532216,-1.8108436449955685,"[0.5619266216987672, 0.141495138178643]",pupil.1,1,3d c++,1582012668.88733,0.5619266216987672,0.141495138178643
"{'center': [0.9105895897163672, 3.967470396883952, 28.52274621136418], 'normal': [Decimal('-0.18309308856212617'), 0.6357831331390884, -0.7498378014855116], 'radius': 0.9880721292938505}",0.9967148681800587,5592.634261,1.976144258587701,"{'center': [Decimal('179.90612377406924'), Decimal('205.93149155996664')], 'axes': [Decimal('28.623121252059224'), 43.04767152123216], 'angle': -77.06692238829523}","[Decimal('179.90612377406924'), Decimal('205.93149155996664')]",43.04767152123216,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7262883262669773,117,5464.517336,2.259819018387713,-1.810286984389605,"[0.5622066367939664, 0.141952118500139]",pupil.1,1,3d c++,1582012668.895414,0.5622066367939664,0.141952118500139
"{'center': [0.9091465640462388, Decimal('3.9655510778476186'), 28.52147159611582], 'normal': [Decimal('-0.18321334070130352'), 0.6356231898860606, -0.7499440194228747], 'radius': 0.9891882115348647}",0.9969706253868048,5592.642661,1.9783764230697294,"{'center': [179.8759665223071, Decimal('205.89289832328296')], 'axes': [Decimal('28.663777147895185'), 43.09816750392338], 'angle': -77.05297161707367}","[179.8759665223071, Decimal('205.89289832328296')]",43.09816750392338,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7263316936118369,117,5464.517336,2.2596118201871533,-1.8104056687799428,"[0.5621123953822097, Decimal('0.14211292365298767')]",pupil.1,1,3d c++,1582012668.903511,0.5621123953822097,0.14211292365298767
"{'center': [0.9142829941049659, 3.964821394073062, 28.51959999106934], 'normal': [-0.1827853048630763, 0.6355623829048476, -0.7500999865100814], 'radius': 0.9866814576574857}",0.9965219376287352,5592.651061,1.9733629153149714,"{'center': [Decimal('179.98820580189175'), 205.8841542729376], 'axes': [28.60112252937961, Decimal('42.991927097381094')], 'angle': -77.09295175861907}","[Decimal('179.98820580189175'), 205.8841542729376]",42.991927097381094,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.7261143294539862,117,5464.517336,2.2595330571657524,-1.8098191496566698,"[0.5624631431309117, Decimal('0.14214935719609334')]",pupil.1,1,3d c++,1582012668.911365,0.5624631431309117,0.14214935719609334
"{'center': [0.9047460585301792, Decimal('3.9700800803729726'), 28.52638881557002], 'normal': [-0.1835800494943085, 0.6360006067631735, -0.7495342511350248], 'radius': 0.986806746491662}",0.9969697960503469,5592.659461,1.973613492983324,"{'center': [Decimal('179.77644695096552'), Decimal('205.97816352299867')], 'axes': [28.5656591137396, 42.98679784267806], 'angle': -77.0237376300696}","[Decimal('179.77644695096552'), Decimal('205.97816352299867')]",42.98679784267806,"{'center': [Decimal('3.1077066524618813'), -3.661927200785109, 37.52079982919032], 'radius': 12.0}","{'center': [Decimal('211.35226683060677'), 59.48969971795611], 'axes': [396.5800320819308, 396.5800320819308], 'angle': 90.0}",0.726228070525925,117,5464.517336,2.260100800948132,-1.8109933148243982,"[0.5618013967217672, Decimal('0.14175765198750556')]",pupil.1,1,3d c++,1582012668.9196222,0.5618013967217672,0.14175765198750556
