circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [-0.3871206550931272, 1.047956353004051, 59.13256806438175], 'normal': [-0.2784283182301765, 0.6206125587465436, -0.7330195928715573], 'radius': 2.104547937907007}",0.9989707374932925,360497.517973,4.209095875814014,"{'center': [156.0990683350989, 130.6367017350512], 'axes': [Decimal('31.802412993575473'), 44.14498875650542], 'angle': -65.91214058615846}","[156.0990683350989, 130.6367017350512]",44.14498875650542,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7500187834203254,1,360235.103369,2.2403199966900806,-1.9338013197100832,"[0.4878095885471841, 0.4556804094372867]",pupil.1,1,3d c++,0.4878095885471841,0.4556804094372867
"{'center': [-0.3702332624904727, 1.041496820889952, 59.12071119697178], 'normal': [-0.2770210355132886, 0.6200742644037021, -0.7340076651557211], 'radius': 2.075049183728794}",0.9974216783052183,360497.526373,4.150098367457588,"{'center': [156.2705417744102, Decimal('130.58058141967956')], 'axes': [Decimal('31.412497508259154'), 43.53457389253572], 'angle': -66.01308734037255}","[156.2705417744102, Decimal('130.58058141967956')]",43.53457389253572,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7514079392647144,1,360235.103369,2.2396336858856443,-1.9316772469637777,"[Decimal('0.48834544304503186'), 0.4559142440846685]",pupil.1,1,3d c++,0.48834544304503186,0.4559142440846685
"{'center': [Decimal('-0.37660457685084836'), Decimal('1.0347953190815327'), Decimal('59.117459953534365')], 'normal': [Decimal('-0.27755197837665324'), 0.6195158059196672, -0.7342786021088393], 'radius': 2.066190196186949}",0.9951565210946759,360497.534773,4.132380392373898,"{'center': [Decimal('156.20253562928133'), 130.5139135442263], 'axes': [Decimal('31.293698237761323'), 43.35097465130499], 'angle': -65.94569441620003}","[Decimal('156.20253562928133'), 130.5139135442263]",43.35097465130499,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7507048512628733,1,360235.103369,2.2389220595764727,-1.9321881812776536,"[Decimal('0.48813292384150414'), 0.456192026899057]",pupil.1,1,3d c++,0.48813292384150414,0.456192026899057
"{'center': [-0.3873017439925812, Decimal('1.0438098449750015'), 59.12912785103231], 'normal': [Decimal('-0.27844340897179765'), 0.6202670164107895, -0.7333062773173441], 'radius': 2.086849873254655}",0.9986530762427681,360497.543172,4.17369974650931,"{'center': [Decimal('156.09437483729246'), Decimal('130.59973310765452')], 'axes': [Decimal('31.551136263438597'), 43.776074628954], 'angle': -65.89754927347084}","[Decimal('156.09437483729246'), Decimal('130.59973310765452')]",43.776074628954,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7522967965542637,1,360235.103369,2.239879396697854,-1.9336895259262212,"[Decimal('0.48779492136653896'), 0.4558344453847728]",pupil.1,1,3d c++,0.48779492136653896,0.4558344453847728
"{'center': [-0.401514028749534, Decimal('1.0099546766905787'), 59.10599501101234], 'normal': [Decimal('-0.27962776603487705'), 0.6174457523870877, -0.7352340139856747], 'radius': Decimal('2.0809102581050616')}",0.9980805932842072,360497.551572,4.161820516210123,"{'center': [155.9439509866092, 130.2510212493038], 'axes': [Decimal('31.571796950922153'), 43.66840712631628], 'angle': -65.68593243567084}","[155.9439509866092, 130.2510212493038]",43.66840712631628,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7531753235282213,1,360235.103369,2.236287730949677,-1.9342271665974717,"[Decimal('0.48732484683315375'), 0.4572874114612342]",pupil.1,1,3d c++,0.48732484683315375,0.4572874114612342
"{'center': [-0.3741141452324608, Decimal('1.0658107788906284'), Decimal('59.142777852642894')], 'normal': [-0.2773444424084543, 0.622100427570425, -0.7321687771831287], 'radius': Decimal('2.0646769877809703')}",0.9949531240692948,360497.559972,4.129353975561941,"{'center': [156.2294245011052, Decimal('130.83497023403734')], 'axes': [Decimal('31.150786196535897'), 43.30074824260183], 'angle': -66.06259102295117}","[156.2294245011052, Decimal('130.83497023403734')]",43.30074824260183,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7541618506657133,1,360235.103369,2.242218932645732,-1.9328930323459268,"[Decimal('0.48821695156595374'), Decimal('0.45485429069151107')]",pupil.1,1,3d c++,0.48821695156595374,0.45485429069151107
"{'center': [-0.3793228750562676, Decimal('1.0479671562543986'), 59.12961927242526], 'normal': [Decimal('-0.27777850322710484'), 0.6206134590174059, -0.733265325534598], 'radius': 2.093895490504168}",0.9967420877752152,360497.568372,4.187790981008336,"{'center': [Decimal('156.17877998497255'), 130.6407513695778], 'axes': [31.65537397197201, 43.92360059627235], 'angle': -65.96827584023819}","[Decimal('156.17877998497255'), 130.6407513695778]",43.92360059627235,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7542355965320713,1,360235.103369,2.2403211448233886,-1.9329153224077178,"[0.4880586874530392, Decimal('0.45566353596009246')]",pupil.1,1,3d c++,0.4880586874530392,0.45566353596009246
"{'center': [-0.3940308350274635, Decimal('1.0256430692513758'), Decimal('59.116347193139205')], 'normal': [Decimal('-0.27900416655803784'), 0.6187531184338207, -0.7343713321417694], 'radius': Decimal('2.0957246124180244')}",0.9970947923215497,360497.576772,4.191449224836049,"{'center': [Decimal('156.02483556024941'), 130.4086975435649], 'axes': [Decimal('31.746977339308515'), 43.97180598424829], 'angle': -65.7906617639522}","[Decimal('156.02483556024941'), 130.4086975435649]",43.97180598424829,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7550618641761986,1,360235.103369,2.237950835651327,-1.9338755831288021,"[0.4875776111257794, 0.4566304269018129]",pupil.1,1,3d c++,0.4875776111257794,0.4566304269018129
"{'center': [-0.3963887463195537, Decimal('1.0423806677029388'), Decimal('59.131374498055976')], 'normal': [-0.279200659165712, 0.6201479183047843, -0.7331190567320388], 'radius': Decimal('2.1025096446830016')}",0.9973399089638114,360497.585172,4.205019289366003,"{'center': [Decimal('156.00191920345412'), Decimal('130.57931034043634')], 'axes': [Decimal('31.777383548944503'), 44.10308714237589], 'angle': -65.82761972279103}","[Decimal('156.00191920345412'), Decimal('130.57931034043634')]",44.10308714237589,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7546678723151734,1,360235.103369,2.2397275706347655,-1.9346766616601128,"[Decimal('0.48750599751079415'), Decimal('0.45591954024818193')]",pupil.1,1,3d c++,0.48750599751079415,0.45591954024818193
"{'center': [Decimal('-0.38017661027302596'), Decimal('1.0436291952311816'), 59.12627291663361], 'normal': [Decimal('-0.27784964782850136'), 0.6202519622654712, -0.7335441885172359], 'radius': Decimal('2.0366687380181605')}",0.9916429852315948,360497.593572,4.073337476036321,"{'center': [156.1612885149537, Decimal('130.61463907894012')], 'axes': [Decimal('30.804906185896794'), Decimal('42.724894996315136')], 'angle': -65.9482493878151}","[156.1612885149537, Decimal('130.61463907894012')]",42.724894996315136,"{'center': [Decimal('2.9540191636689905'), -6.399394351954473, 67.92880317884044], 'radius': 12.0}","{'center': [Decimal('186.96193360941294'), 61.59142642678455], 'axes': [219.0528804228228, 219.0528804228228], 'angle': 90.0}",0.7528908537964729,1,360235.103369,2.239860204692676,-1.9328741977338122,"[0.4880040266092303, 0.4557723371710829]",pupil.1,1,3d c++,0.4880040266092303,0.4557723371710829
