circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [-7.571185268797199, 6.910776173225035, 64.47529865606487], 'normal': [Decimal('-0.15313960725773998'), 0.6424098242774681, -0.7509047065778305], 'radius': Decimal('2.1335678233092126')}",0.9981235654799075,535.096145,4.267135646618425,"{'center': [87.23815413847011, 186.1587101880658], 'axes': [Decimal('27.177491739522857'), 41.17012066725442], 'angle': -72.62177943048032}","[87.23815413847011, 186.1587101880658]",41.17012066725442,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.905574484391003,2,189.152812,2.268434965742594,-1.7719775914278526,"[Decimal('0.27261923168271907'), Decimal('0.22433870754972574')]",pupil.1,1,3d c++,0.27261923168271907,0.22433870754972574
"{'center': [-7.584176542612332, 6.920356637355927, 64.48616533405516], 'normal': [Decimal('-0.15422221340900105'), 0.6432081962883758, -0.7499991500786404], 'radius': Decimal('2.1530392427600056')}",0.9981429173992441,535.104545,4.306078485520011,"{'center': [87.12659864624759, 186.2344241203176], 'axes': [Decimal('27.370405410154863'), 41.53901320474045], 'angle': -72.56025671718139}","[87.12659864624759, 186.2344241203176]",41.53901320474045,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9052170794035419,2,189.152812,2.2694771909640656,-1.7735992976526214,"[0.2722706207695237, Decimal('0.22402323283200998')]",pupil.1,1,3d c++,0.2722706207695237,0.22402323283200998
"{'center': [-7.562132696606359, 6.919632948877674, 64.48104030195915], 'normal': [Decimal('-0.15238522624183667'), 0.643147888915188, -0.7504262360866397], 'radius': 2.129941382910012}",0.9986134379070274,535.112945,4.259882765820024,"{'center': [87.33107945587497, Decimal('186.23893365263143')], 'axes': [Decimal('27.107237831802944'), 41.09652614217571], 'angle': -72.70489217193658}","[87.33107945587497, Decimal('186.23893365263143')]",41.09652614217571,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9049631747613196,2,189.152812,2.269398431579194,-1.7711371583948041,"[Decimal('0.27290962329960927'), Decimal('0.22400444311403567')]",pupil.1,1,3d c++,0.27290962329960927,0.22400444311403567
"{'center': [-7.577977433282834, 6.926042236170536, 64.48977130255892], 'normal': [Decimal('-0.15370562096487628'), 0.6436819961895932, -0.7496986527033261], 'radius': Decimal('2.1209790396431387')}",0.9985759273955463,535.121345,4.241958079286277,"{'center': [87.18865943619758, 186.294249950339], 'axes': [Decimal('26.947602821981224'), Decimal('40.917933468524005')], 'angle': -72.61623412547151}","[87.18865943619758, 186.294249950339]",40.917933468524005,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9047576784594114,2,189.152812,2.270096138987883,-1.7730171932319605,"[0.2724645607381174, Decimal('0.22377395854025417')]",pupil.1,1,3d c++,0.2724645607381174,0.22377395854025417
"{'center': [-7.560642576764254, 6.931917407380591, 64.49128035006865], 'normal': [-0.1522610495883279, 0.6441715937904311, -0.7495728987441825], 'radius': Decimal('2.1382993266055887')}",0.9983413298149493,535.129745,4.2765986532111775,"{'center': [87.35703074579253, Decimal('186.34423866062852')], 'axes': [Decimal('27.166180432591567'), 41.25137387687421], 'angle': -72.74642873683248}","[87.35703074579253, Decimal('186.34423866062852')]",41.25137387687421,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9044867678640323,2,189.152812,2.270736063019906,-1.7712000754011896,"[Decimal('0.27299072108060163'), Decimal('0.22356567224738122')]",pupil.1,1,3d c++,0.27299072108060163,0.22356567224738122
"{'center': [-7.574891776880431, 6.922303857610815, 64.48593107129851], 'normal': [Decimal('-0.15344848293134264'), 0.6433704646429498, -0.7500186719750278], 'radius': Decimal('2.1252957188864237')}",0.9982964841265064,535.138145,4.250591437772847,"{'center': [87.21412066939018, Decimal('186.26101528296894')], 'axes': [27.02133698921717, 41.00369102319271], 'angle': -72.62702797481042}","[87.21412066939018, Decimal('186.26101528296894')]",41.00369102319271,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.904302694761494,2,189.152812,2.269689133812762,-1.7726041951589016,"[Decimal('0.27254412709184433'), 0.2239124363209627]",pupil.1,1,3d c++,0.27254412709184433,0.2239124363209627
"{'center': [-7.569044223745188, Decimal('6.9020438719486865'), 64.46739934913616], 'normal': [-0.152961186836739, 0.6416821325044391, -0.7515629821552229], 'radius': Decimal('2.1430566575656544')}",0.9989000709504471,535.146545,4.286113315131309,"{'center': [87.25028363637325, Decimal('186.08013598077653')], 'axes': [27.33627634826872, 41.35835034367943], 'angle': -72.61335583809922}","[87.25028363637325, Decimal('186.08013598077653')]",41.35835034367943,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9042147261682176,2,189.152812,2.267485801790818,-1.7715781458117592,"[0.2726571363636664, 0.2246661000800978]",pupil.1,1,3d c++,0.2726571363636664,0.2246661000800978
"{'center': [-7.581441378208692, Decimal('6.9096010908620675'), 64.47639096801664], 'normal': [Decimal('-0.15399428304203105'), 0.6423119007472208, -0.7508136805818493], 'radius': Decimal('2.1343799180835235')}",0.9987110142578183,535.154945,4.268759836167047,"{'center': [87.14116635144397, Decimal('186.14616318488464')], 'axes': [27.17955510946447, Decimal('41.185050391800054')], 'angle': -72.55054488398004}","[87.14116635144397, Decimal('186.14616318488464')]",41.185050391800054,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9040818296970898,2,189.152812,2.268307195343965,-1.773093952633092,"[0.2723161448482624, 0.2243909867296473]",pupil.1,1,3d c++,0.2723161448482624,0.2243909867296473
"{'center': [-7.582377848153742, Decimal('6.9145473183083785'), 64.4808169714424], 'normal': [Decimal('-0.15407232220411854'), 0.6427240863677467, -0.7504448469630367], 'radius': 2.147190168060158}",0.9983814731562757,535.171745,4.294380336120316,"{'center': [87.13764111750488, 186.1856488116054], 'axes': [Decimal('27.321710565896677'), 41.42953037290149], 'angle': -72.55713381818914}","[87.13764111750488, 186.1856488116054]",41.42953037290149,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9038092738821168,2,189.152812,2.2688451066739126,-1.7732904732942776,"[0.2723051284922028, Decimal('0.22422646328497753')]",pupil.1,1,3d c++,0.2723051284922028,0.22422646328497753
"{'center': [-7.565806829610629, 6.917316697669606, 64.47980239398254], 'normal': [-0.1526914039921925, 0.6429548679811824, -0.7505293950846919], 'radius': 2.130269465012479}",0.9988214172180749,535.180145,4.260538930024958,"{'center': [87.2945310092459, 186.2178689914594], 'axes': [Decimal('27.116062730853074'), 41.10362293472488], 'angle': -72.67448001875212}","[87.2945310092459, 186.2178689914594]",41.10362293472488,"{'center': [-5.733509981704319, -0.7981417181045825, 73.48615513499884], 'radius': 12.0}","{'center': [Decimal('111.62658623074887'), Decimal('113.26610755024844')], 'axes': [Decimal('202.48712118173108'), Decimal('202.48712118173108')], 'angle': 90.0}",0.9036615936814263,2,189.152812,2.2691463877960216,-1.7715021190501505,"[Decimal('0.27279540940389346'), Decimal('0.22409221253558587')]",pupil.1,1,3d c++,0.27279540940389346,0.22409221253558587
