circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [-7.571599292033635, 6.945231111191729, 64.95687484367353], 'normal': [Decimal('-0.15213230871849573'), 0.6391079158285992, -0.7539209723632873], 'radius': 2.238989275205544}",0.9987582476498164,833.382047,4.477978550411088,"{'center': [87.77809624018255, Decimal('185.96969762363943')], 'axes': [Decimal('28.472986945090508'), Decimal('42.882474435343404')], 'angle': -72.63484580442412}","[87.77809624018255, Decimal('185.96969762363943')]",42.882474435343404,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8629297434918026,2,189.152812,2.264134151805109,-1.7699106567454956,"[0.2743065507505705, Decimal('0.22512625990150237')]",pupil.1,1,3d c++,1582271591.70896,0.2743065507505705,0.22512625990150237
"{'center': [-7.576983111001894, 6.936627642727627, 64.95067578687684], 'normal': [Decimal('-0.15258096029918408'), 0.6383909601232572, -0.7544375604296784], 'radius': Decimal('2.2517532387579893')}",0.8991716165603597,833.390447,4.5035064775159785,"{'center': [87.7207067791541, 185.8902190065059], 'axes': [28.66414126302244, 43.13111501458121], 'angle': -72.57648521575767}","[87.7207067791541, 185.8902190065059]",43.13111501458121,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8627643828523435,2,189.152812,2.2632023322297927,-1.7703492692684095,"[Decimal('0.27412720868485657'), Decimal('0.22545742080622544')]",pupil.1,1,3d c++,1582271591.712991,0.27412720868485657,0.22545742080622544
"{'center': [-7.568349305745823, 6.93483766158603, 64.94741987670427], 'normal': [-0.1518614765278448, 0.6382417950281242, -0.7547088862773916], 'radius': Decimal('2.2317497676641294')}",0.9987223861326441,833.398847,4.463499535328259,"{'center': [87.79835745750778, Decimal('185.88208340061234')], 'axes': [Decimal('28.427825874582442'), 42.74993879956122], 'angle': -72.62965104976215}","[87.79835745750778, Decimal('185.88208340061234')]",42.74993879956122,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8626050832986509,2,189.152812,2.2630085544822953,-1.769363356389853,"[0.2743698670547118, Decimal('0.22549131916411524')]",pupil.1,1,3d c++,1582271591.715382,0.2743698670547118,0.22549131916411524
"{'center': [-7.58039093430232, Decimal('6.9324736285343205'), 64.94785198654307], 'normal': [Decimal('-0.15286494557421956'), 0.638044792273815, -0.7546728771241584], 'radius': Decimal('2.2444383658233082')}",0.9984293216069309,833.407247,4.4888767316466165,"{'center': [87.6849186862097, Decimal('185.85555826515815')], 'axes': [Decimal('28.583643692498235'), 42.99276259448617], 'angle': -72.5429146832774}","[87.6849186862097, Decimal('185.85555826515815')]",42.99276259448617,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8623034621518588,2,189.152812,2.2627526793709363,-1.7706501819938303,"[0.2740153708944053, Decimal('0.22560184056184107')]",pupil.1,1,3d c++,1582271591.7236722,0.2740153708944053,0.22560184056184107
"{'center': [-7.574493687557693, 6.933314804845933, 64.94737060454618], 'normal': [Decimal('-0.15237350834550062'), 0.6381148902997827, -0.754712992290566], 'radius': Decimal('2.2356592312038943')}",0.9986351317807507,833.415647,4.471318462407789,"{'center': [87.74006797773337, 185.8665365583415], 'axes': [28.47595273553014, 42.82485970956369], 'angle': -72.58457352022879}","[87.74006797773337, 185.8665365583415]",42.82485970956369,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8620410422484959,2,189.152812,2.262843719291199,-1.7700142640385512,"[0.2741877124304168, 0.2255560976735771]",pupil.1,1,3d c++,1582271591.7337599,0.2741877124304168,0.2255560976735771
"{'center': [-7.572832062307397, 6.934489489666293, 64.94802858551023], 'normal': [-0.1522350395746426, 0.6382127807014795, -0.7546581605435618], 'radius': Decimal('2.2490569948395276')}",0.9981459780156262,833.424047,4.498113989679055,"{'center': [87.75715190979923, Decimal('185.87321793687167')], 'axes': [Decimal('28.644086735599544'), Decimal('43.081209511821726')], 'angle': -72.59869832251238}","[87.75715190979923, Decimal('185.87321793687167')]",43.081209511821726,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8617455338188917,2,189.152812,2.2629708660983616,-1.769852054378769,"[0.2742410997181226, Decimal('0.22552825859636805')]",pupil.1,1,3d c++,1582271591.743092,0.2742410997181226,0.22552825859636805
"{'center': [-7.562799296508695, 6.945736995029094, 64.95553234640175], 'normal': [Decimal('-0.15139897575808414'), 0.6391500728150462, -0.754032847135935], 'radius': 2.233341334507798}",0.998211611412898,833.432447,4.466682669015596,"{'center': [87.86002469074151, Decimal('185.97741619596357')], 'axes': [Decimal('28.410425053871272'), 42.77517525992163], 'angle': -72.6950015828642}","[87.86002469074151, Decimal('185.97741619596357')]",42.77517525992163,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8614610133863776,2,189.152812,2.2641889652373597,-1.7689472056161917,"[Decimal('0.27456257715856724'), 0.2250940991834851]",pupil.1,1,3d c++,1582271591.748437,0.27456257715856724,0.2250940991834851
"{'center': [-7.571838026182949, 6.933891319134327, 64.94732229176046], 'normal': [Decimal('-0.15215220323093856'), 0.6381629331571489, -0.7547170183560429], 'radius': 2.248842565018172}",0.9980944582610847,833.440847,4.497685130036344,"{'center': [87.7658192472505, Decimal('185.86827278908527')], 'axes': [Decimal('28.645132667330554'), 43.07757053988455], 'angle': -72.60379532614348}","[87.7658192472505, Decimal('185.86827278908527')]",43.07757053988455,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8611475787403289,2,189.152812,2.262906118994371,-1.7697314682746903,"[Decimal('0.27426818514765783'), Decimal('0.22554886337881142')]",pupil.1,1,3d c++,1582271591.7571056,0.27426818514765783,0.22554886337881142
"{'center': [-7.563743742840713, 6.940457608265299, 64.95124954959928], 'normal': [-0.1514776796190856, 0.6387101239180633, -0.7543897468694747], 'radius': Decimal('2.2508565356865353')}",0.9980506604690687,833.449247,4.501713071373071,"{'center': [87.84711833767825, Decimal('185.92632567876353')], 'axes': [Decimal('28.654157533726462'), 43.11363259073996], 'angle': -72.67497003032241}","[87.84711833767825, Decimal('185.92632567876353')]",43.11363259073996,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8608540865079894,2,189.152812,2.2636170569470724,-1.7689561804853338,"[Decimal('0.27452224480524456'), 0.2253069763384853]",pupil.1,1,3d c++,1582271591.765207,0.27452224480524456,0.2253069763384853
"{'center': [Decimal('-7.5637308660175915'), 6.938001782789686, 64.9491682920463], 'normal': [Decimal('-0.15147660655049214'), 0.6385054717950955, -0.7545631849988904], 'radius': Decimal('2.2486850319344653')}",0.9981699920096514,833.457647,4.497370063868931,"{'center': [87.84487900440728, Decimal('185.90561192758537')], 'axes': [Decimal('28.636684234338546'), 43.07338614542256], 'angle': -72.6687046160037}","[87.84487900440728, Decimal('185.90561192758537')]",43.07338614542256,"{'center': [-5.746011587411686, -0.7240638787514602, 74.00392651203298], 'radius': 12.0}","{'center': [Decimal('111.86029509372071'), Decimal('113.93384073001975')], 'axes': [Decimal('201.07041208928996'), Decimal('201.07041208928996')], 'angle': 90.0}",0.8606672587741837,2,189.152812,2.2633511134589037,-1.7689104485882559,"[0.2745152468887727, Decimal('0.22539328363506095')]",pupil.1,1,3d c++,1582271591.773376,0.2745152468887727,0.22539328363506095
