circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [Decimal('-1.1933497328903724'), 7.783988045915749, 69.15073564225318], 'normal': [-0.3036841425260683, 0.660194289413224, -0.6869639304973552], 'radius': Decimal('2.3806469077965797')}",0.9984977424238058,8767.75173,4.7612938155931595,"{'center': [149.4472169653307, Decimal('189.50084982064487')], 'axes': [Decimal('25.935437347446694'), 42.72032792142735], 'angle': -66.55425898660287}","[149.4472169653307, Decimal('189.50084982064487')]",42.72032792142735,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8035507174167567,1,8676.006718,2.2918737331984294,-1.9870336884964992,"[Decimal('0.46702255301665846'), Decimal('0.21041312574731308')]",pupil.1,1,3d c++,0.46702255301665846,0.21041312574731308
"{'center': [-1.184889495461352, 7.789273100595328, 69.15208090140882], 'normal': [-0.3029791227403166, 0.6606347106365222, -0.686851825567718], 'radius': Decimal('2.4028396941319943')}",0.9992237378872363,8767.76013,4.8056793882639885,"{'center': [Decimal('149.52567953470808'), 189.5413280608047], 'axes': [Decimal('26.170046092775593'), 43.11801211851545], 'angle': -66.61947270189624}","[Decimal('149.52567953470808'), 189.5413280608047]",43.11801211851545,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8041603230047323,1,8676.006718,2.292460256717876,-1.9862351132132403,"[Decimal('0.46726774854596276'), Decimal('0.21024446641331385')]",pupil.1,1,3d c++,0.46726774854596276,0.21024446641331385
"{'center': [Decimal('-1.1930845946902005'), 7.795563657533674, 69.16175846709119], 'normal': [-0.3036620476760539, 0.6611589237147177, -0.6860453617608546], 'radius': Decimal('2.3897107441433656')}",0.9988815877465929,8767.76853,4.779421488286731,"{'center': [Decimal('149.45214061271935'), Decimal('189.59149960127698')], 'axes': [Decimal('25.982034662153495'), Decimal('42.876282284372266')], 'angle': -66.58425075364673}","[Decimal('149.45214061271935'), Decimal('189.59149960127698')]",42.876282284372266,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8044838076719296,1,8676.006718,2.2931587634908284,-1.9875017872993326,"[Decimal('0.46703793941474797'), Decimal('0.21003541832801254')]",pupil.1,1,3d c++,0.46703793941474797,0.21003541832801254
"{'center': [Decimal('-1.2052635873919053'), 7.791749666954916, 69.16348365097247], 'normal': [Decimal('-0.30467696373452935'), 0.6608410911664879, -0.6859015964374146], 'radius': Decimal('2.3918657131155485')}",0.9986844376476351,8767.77693,4.783731426231097,"{'center': [Decimal('149.34390325174246'), Decimal('189.55528057187303')], 'axes': [25.99883306919255, Decimal('42.913879078786145')], 'angle': -66.49980500797169}","[Decimal('149.34390325174246'), Decimal('189.55528057187303')]",42.913879078786145,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8046650492936291,1,8676.006718,2.292735204681145,-1.9888158743769275,"[Decimal('0.46669969766169517'), Decimal('0.21018633095052908')]",pupil.1,1,3d c++,0.46669969766169517,0.21018633095052908
"{'center': [Decimal('-1.1775810402094962'), Decimal('7.7953454631052015'), 69.15470352331043], 'normal': [-0.3023700848026619, 0.6611407408456783, -0.6866332737425843], 'radius': 2.375378086628714}",0.9989016346378864,8767.78533,4.750756173257428,"{'center': [Decimal('149.58788682707177'), Decimal('189.59976685437948')], 'axes': [Decimal('25.857316729535324'), Decimal('42.623323332759924')], 'angle': -66.67941168344042}","[Decimal('149.58788682707177'), Decimal('189.59976685437948')]",42.623323332759924,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8048242601305766,1,8676.006718,2.293134527869679,-1.985609961994816,"[Decimal('0.46746214633459926'), Decimal('0.21000097144008545')]",pupil.1,1,3d c++,0.46746214633459926,0.21000097144008545
"{'center': [Decimal('-1.2079298760130537'), 7.791080053770554, 69.16402334332348], 'normal': [-0.3048991544529584, 0.6607852900677911, -0.68585662207483], 'radius': 2.375245818038852}",0.9986324094618108,8767.79373,4.750491636077704,"{'center': [Decimal('149.31811616145055'), Decimal('189.55283528778318')], 'axes': [Decimal('25.815742693342113'), Decimal('42.615167694115264')], 'angle': -66.4817090541214}","[Decimal('149.31811616145055'), Decimal('189.55283528778318')]",42.615167694115264,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8051511806984046,1,8676.006718,2.2926608577784684,-1.9891107367571623,"[Decimal('0.46661911300453296'), 0.2101965196342367]",pupil.1,1,3d c++,0.46661911300453296,0.2101965196342367
"{'center': [Decimal('-1.1938531970304367'), 7.794432827972379, 69.16100901024272], 'normal': [Decimal('-0.30372609787107363'), 0.6610646879179432, -0.686107816498226], 'radius': Decimal('2.3991887334753157')}",0.9989688330579153,8767.80213,4.798377466950631,"{'center': [Decimal('149.44635470887292'), 189.5797969239889], 'axes': [Decimal('26.088875732079618'), 43.04690726363271], 'angle': -66.57675318639618}","[Decimal('149.44635470887292'), 189.5797969239889]",43.04690726363271,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8055910053089588,1,8676.006718,2.2930331638910206,-1.9875461554333311,"[Decimal('0.46701985846522787'), Decimal('0.21008417948337954')]",pupil.1,1,3d c++,0.46701985846522787,0.21008417948337954
"{'center': [-1.199025622369263, 7.794998998238027, 69.16384637666977], 'normal': [-0.3041571333159758, 0.6611118687734138, -0.6858713692959725], 'radius': 2.402231847838785}",0.9990078531246109,8767.81053,4.80446369567757,"{'center': [Decimal('149.40092661879982'), Decimal('189.58140434433864')], 'axes': [Decimal('26.109144579656608'), 43.0997721914476], 'angle': -66.54624039668285}","[Decimal('149.40092661879982'), Decimal('189.58140434433864')]",43.0997721914476,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8059358917458015,1,8676.006718,2.293096045864015,-1.9881990446387894,"[Decimal('0.46687789568374943'), 0.210077481898589]",pupil.1,1,3d c++,0.46687789568374943,0.210077481898589
"{'center': [Decimal('-1.2053531920751444'), 7.783797458331662, 69.15586915542866], 'normal': [Decimal('-0.30468443079146595'), 0.6601784071145501, -0.6865361377327314], 'radius': 2.403583302733141}",0.9988207730930546,8767.81893,4.807166605466282,"{'center': [Decimal('149.34355857344815'), Decimal('189.48865514873665')], 'axes': [Decimal('26.162661949000594'), 43.12896798564495], 'angle': -66.47973067254817}","[Decimal('149.34355857344815'), Decimal('189.48865514873665')]",43.12896798564495,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8063005331212403,1,8676.006718,2.291852587865444,-1.9884820096005302,"[0.4666986205420255, 0.210463936880264]",pupil.1,1,3d c++,0.4666986205420255,0.210463936880264
"{'center': [-1.186278137284626, 7.809636578018243, 69.17232979843281], 'normal': [-0.3030948428922561, 0.6623316670884318, -0.685164417482386], 'radius': 2.395604226018374}",0.9991121386358678,8767.82733,4.791208452036748,"{'center': [Decimal('149.51500234186332'), Decimal('189.70561470142118')], 'axes': [Decimal('25.995150352098577'), 42.97557242709885], 'angle': -66.66056402394406}","[Decimal('149.51500234186332'), Decimal('189.70561470142118')]",42.97557242709885,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8067724392856079,1,8676.006718,2.2947229876302497,-1.9872854191478406,"[Decimal('0.46723438231832287'), 0.2095599387440784]",pupil.1,1,3d c++,0.46723438231832287,0.2095599387440784
"{'center': [-1.190166541163364, 7.788957943198711, 69.15410749037127], 'normal': [Decimal('-0.30341887654881755'), 0.6606084475201375, -0.6866829431541802], 'radius': 2.390908905643855}",0.9988778860833716,8767.83573,4.78181781128771,"{'center': [Decimal('149.47734642539197'), Decimal('189.53951264006938')], 'axes': [Decimal('26.030987455892014'), Decimal('42.902520545736664')], 'angle': -66.58610047181594}","[Decimal('149.47734642539197'), Decimal('189.53951264006938')]",42.902520545736664,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8072538258274919,1,8676.006718,2.2924252727707897,-1.9868618461008372,"[0.4671167075793499, Decimal('0.21025203066637765')]",pupil.1,1,3d c++,0.4671167075793499,0.21025203066637765
"{'center': [Decimal('-1.2038873990419465'), 7.793218367911736, 69.16428767415017], 'normal': [-0.3045622813720328, 0.6609634829128895, -0.6858345945059385], 'radius': 2.427672268028502}",0.9992852081857988,8767.84413,4.855344536057004,"{'center': [Decimal('149.36076643464216'), Decimal('189.55881161831775')], 'axes': [Decimal('26.384499749101124'), 43.55622213863405], 'angle': -66.51192938191444}","[Decimal('149.36076643464216'), Decimal('189.55881161831775')]",43.55622213863405,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8078050204856413,1,8676.006718,2.2928982910493447,-1.9887124545847807,"[0.4667523951082567, Decimal('0.21017161825700936')]",pupil.1,1,3d c++,0.4667523951082567,0.21017161825700936
"{'center': [-1.205974114142136, 7.786849886758986, 69.15908117394588], 'normal': [-0.3047361742970486, 0.6604327761501604, -0.6862684695229637], 'radius': 2.395104691739642}",0.9987605483021667,8767.85253,4.790209383479284,"{'center': [Decimal('149.33738194346384'), Decimal('189.51493282052175')], 'axes': [Decimal('26.055078344221148'), 42.97474758972046], 'angle': -66.48339507265064}","[Decimal('149.33738194346384'), Decimal('189.51493282052175')]",42.97474758972046,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8083757943360692,1,8676.006718,2.292191296319018,-1.9886895962197264,"[0.4666793185733245, Decimal('0.21035444658115943')]",pupil.1,1,3d c++,0.4666793185733245,0.21035444658115943
"{'center': [Decimal('-1.1857806718202242'), 7.795850765866389, 69.15880602311614], 'normal': [Decimal('-0.30305338743688925'), 0.6611828494091107, -0.6862913987587751], 'radius': 2.401147976700322}",0.9991744330651307,8767.86093,4.802295953400644,"{'center': [Decimal('149.51838128441452'), Decimal('189.59407170550767')], 'axes': [Decimal('26.119684685768416'), 43.08346623763396], 'angle': -66.63003644997625}","[Decimal('149.51838128441452'), Decimal('189.59407170550767')]",43.08346623763396,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8089939572352933,1,8676.006718,2.2931906544099325,-1.9866271705801424,"[Decimal('0.46724494151379536'), 0.2100247012270514]",pupil.1,1,3d c++,0.46724494151379536,0.2100247012270514
"{'center': [Decimal('-1.1941863978114111'), 7.786249567659793, 69.15327964415359], 'normal': [-0.3037538646028215, 0.6603827495585609, -0.6867519303389877], 'radius': 2.397795953197334}",0.9989944541933613,8767.86933,4.795591906394668,"{'center': [Decimal('149.44220031755367'), 189.5144309511462], 'axes': [26.11050512130499, Decimal('43.026683604115675')], 'angle': -66.55465575043091}","[Decimal('149.44220031755367'), 189.5144309511462]",43.026683604115675,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8096672343987699,1,8676.006718,2.292124674780114,-1.9872327556011518,"[Decimal('0.46700687599235524'), Decimal('0.21035653770355744')]",pupil.1,1,3d c++,0.46700687599235524,0.21035653770355744
"{'center': [-1.192062293901348, 7.799214807118372, 69.16482611742323], 'normal': [-0.3035768559436496, 0.6614631861801092, -0.6857897242331841], 'radius': Decimal('2.4068013523730483')}",0.9988768073786054,8767.87773,4.8136027047460965,"{'center': [Decimal('149.46378440234594'), Decimal('189.61698353932786')], 'axes': [Decimal('26.153324572991053'), 43.18121629312281], 'angle': -66.59949818111609}","[Decimal('149.46378440234594'), Decimal('189.61698353932786')]",43.18121629312281,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8102503109803427,1,8676.006718,2.2935643863310524,-1.987535878512755,"[Decimal('0.46707432625733103'), 0.2099292352528006]",pupil.1,1,3d c++,0.46707432625733103,0.2099292352528006
"{'center': [Decimal('-1.1911936115945365'), 7.789276270537706, 69.15486765857314], 'normal': [Decimal('-0.30350446575141526'), 0.6606349747983871, -0.6866195958040248], 'radius': Decimal('2.3841035792861933')}",0.9988144058608526,8767.88613,4.768207158572387,"{'center': [Decimal('149.46743425326278'), Decimal('189.54329370002836')], 'axes': [Decimal('25.953334716779388'), 42.77985861312874], 'angle': -66.58053155367764}","[Decimal('149.46743425326278'), Decimal('189.54329370002836')]",42.77985861312874,"{'center': [2.450859977422447, Decimal('-0.13834342704293895'), 77.39430280822144], 'radius': 12.0}","{'center': [Decimal('179.63365688256448'), Decimal('118.89174110167822')], 'axes': [Decimal('192.26221388506815'), Decimal('192.26221388506815')], 'angle': 90.0}",0.8107166573652846,1,8676.006718,2.2924606086017976,-1.9870002356326195,"[0.4670857320414462, Decimal('0.21023627624988184')]",pupil.1,1,3d c++,0.4670857320414462,0.21023627624988184
