circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [Decimal('-3.4923423017582027'), Decimal('10.403405511065152'), 72.48962258984342], 'normal': [-0.0713110540477813, 0.6608437874504199, -0.7471279824493114], 'radius': 3.126362939746325}",0.9947048124332789,14612.576942,6.25272587949265,"{'center': [130.1671034138252, Decimal('208.48310980934195')], 'axes': [34.71459337745126, 53.52280538125331], 'angle': -82.45420744155923}","[130.1671034138252, Decimal('208.48310980934195')]",53.52280538125331,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9727706210307496,1,14450.341897,2.2927387972132274,-1.6659549625188943,"[Decimal('0.40677219816820376'), Decimal('0.13132037579440847')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4912636859911306'), Decimal('10.407850284093566'), 72.49345308004794], 'normal': [-0.07122116940052527, 0.6612141852027879, -0.746808774932268], 'radius': Decimal('3.1505031980073848')}",0.9358106868384751,14612.585342,6.3010063960147695,"{'center': [Decimal('130.17835233442636'), Decimal('208.50879979202705')], 'axes': [34.9595707543944, Decimal('53.933610241511374')], 'angle': -82.46641985684113}","[Decimal('130.17835233442636'), Decimal('208.50879979202705')]",53.933610241511374,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9727898740893304,1,14450.341897,2.293232423717964,-1.6658761186284936,"[Decimal('0.40680735104508237'), Decimal('0.13121333419988734')]",pupil.1,1,3d c++
"{'center': [-3.482540392500013, Decimal('10.421934286337095'), 72.50511384298807], 'normal': [-0.07049422827626552, 0.6623878520564151, -0.7458370446872576], 'radius': 3.152959722467571}",0.8944626111178475,14612.593742,6.305919444935142,"{'center': [Decimal('130.25706209989437'), 208.6143521609758], 'axes': [Decimal('34.916037959559645'), 53.96715496472945], 'angle': -82.54162617568396}","[Decimal('130.25706209989437'), 208.6143521609758]",53.96715496472945,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9728237968501752,1,14450.341897,2.29479798232278,-1.6650333024643815,"[0.4070533190621699, Decimal('0.13077353266260083')]",pupil.1,1,3d c++
"{'center': [-3.477662623925255, 10.38062244952811, 72.46813627725751], 'normal': [-0.07008774756170233, 0.6589451989889997, -0.7489185084981375], 'radius': 3.100797960521585}",0.9624363918566925,14612.602142,6.20159592104317,"{'center': [Decimal('130.28260321164106'), Decimal('208.32207901016744')], 'axes': [Decimal('34.563112153787486'), 53.10047284342946], 'angle': -82.53094779292185}","[Decimal('130.28260321164106'), Decimal('208.32207901016744')]",53.10047284342946,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9728564350548696,1,14450.341897,2.2902119199592113,-1.6641098195792592,"[0.4071331350363783, 0.1319913374576357]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4751327692436558'), 10.40361258524798, 72.48817978836301], 'normal': [-0.06987692633823571, 0.6608610436323223, -0.7472482159060125], 'radius': Decimal('3.1470641949214024')}",0.9171706569213447,14612.618942,6.294128389842805,"{'center': [130.3130854903034, Decimal('208.47989205932151')], 'axes': [Decimal('34.956201183559706'), 53.87867660758717], 'angle': -82.57302789644534}","[130.3130854903034, Decimal('208.47989205932151')]",53.87867660758717,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9729359847190477,1,14450.341897,2.29276178964068,-1.6640375095276598,"[0.4072283921571981, 0.1313337830861604]",pupil.1,1,3d c++
"{'center': [-3.487539423773012, Decimal('10.402027342164466'), 72.48794671186488], 'normal': [-0.07091081421568209, 0.6607289400420294, -0.7472676389475229], 'radius': Decimal('3.1511760768585626')}",0.9999971043032513,14612.627342,6.302352153717125,"{'center': [Decimal('130.20778973472719'), Decimal('208.46538334875333')], 'axes': [35.0016184127599, 53.94922313045429], 'angle': -82.48578718792787}","[Decimal('130.20778973472719'), Decimal('208.46538334875333')]",53.94922313045429,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9731154966881372,1,14450.341897,2.292585784447715,-1.6654064878441968,"[0.4068993429210225, Decimal('0.13139423604686107')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4779315820561174'), Decimal('10.392169528949637'), 72.47833449676696], 'normal': [-0.0701101607392742, 0.6599074556074603, -0.7480686568723494], 'radius': Decimal('3.1421027306720046')}",0.999958633043612,14612.635742,6.284205461344009,"{'center': [130.2853171421611, Decimal('208.39546756991064')], 'axes': [34.96131025094693, 53.8008859836365], 'angle': -82.54145679655016}","[130.2853171421611, Decimal('208.39546756991064')]",53.8008859836365,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9732527934819379,1,14450.341897,2.2914919096758877,-1.664244914641905,"[0.4071416160692534, 0.131685551792039]",pupil.1,1,3d c++
"{'center': [Decimal('-3.5026165232923527'), Decimal('10.417468941963936'), 72.50306950931304], 'normal': [-0.07216723917562715, 0.6620157400253186, -0.746007405826844], 'radius': Decimal('3.1398176414987375')}",0.8876943627580359,14612.644142,6.279635282997475,"{'center': [Decimal('130.08557774023325'), Decimal('208.58297522417428')], 'axes': [Decimal('34.779986349507396'), Decimal('53.743394022722846')], 'angle': -82.398734079746}","[Decimal('130.08557774023325'), Decimal('208.58297522417428')]",53.743394022722846,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9732183791705817,1,14450.341897,2.2943013863593804,-1.6672342105890667,"[0.4065174304382289, Decimal('0.13090426989927384')]",pupil.1,1,3d c++
"{'center': [-3.480245842124199, Decimal('10.417431481668572'), 72.50090038671063], 'normal': [-0.07030301574494767, 0.6620126183340383, -0.7461881660437107], 'radius': Decimal('3.1370618284040788')}",0.8901525914471407,14612.652542,6.2741236568081575,"{'center': [Decimal('130.27449549075695'), Decimal('208.58599011399687')], 'axes': [34.76592640119133, 53.69792083181804], 'angle': -82.55260979565026}","[Decimal('130.27449549075695'), Decimal('208.58599011399687')]",53.69792083181804,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.9734152849983246,1,14450.341897,2.294297221279371,-1.6647352291331359,"[Decimal('0.40710779840861544'), Decimal('0.13089170785834636')]",pupil.1,1,3d c++
"{'center': [Decimal('-3.4925772995189956'), Decimal('10.418516539855444'), 72.503033676463], 'normal': [-0.07133063719451405, 0.6621030398496109, -0.7460103918976794], 'radius': 3.131849849877207}",0.9137402204558419,14612.660942,6.263699699754414,"{'center': [Decimal('130.17056966990987'), 208.5944456273638], 'axes': [34.69322283611267, 53.60698936000933], 'angle': -82.46893265885403}","[Decimal('130.17056966990987'), 208.5944456273638]",53.60698936000933,"{'center': [-2.636609653184827, Decimal('2.4732800616601125'), 81.45515837923516], 'radius': 12.0}","{'center': [Decimal('139.93131414263735'), Decimal('138.82549452657105')], 'axes': [Decimal('182.67719682923436'), Decimal('182.67719682923436')], 'angle': 90.0}",0.973442019786297,1,14450.341897,2.294417871334009,-1.6661226705058967,"[Decimal('0.40678303021846834'), Decimal('0.13085647655265087')]",pupil.1,1,3d c++
