circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method
"{'center': [-7.904912988279357, 7.124916837026516, 65.37249428932819], 'normal': [-0.1760069917664267, 0.651194494984583, -0.7382189841443438], 'radius': Decimal('2.0582213286890347')}",0.9993655423957981,612.781055,4.1164426573780695,"{'center': [85.07498573725884, Decimal('187.30841488864644')], 'axes': [Decimal('25.154100916171572'), Decimal('39.167867251451966')], 'angle': -71.13387479487838}","[85.07498573725884, Decimal('187.30841488864644')]",39.167867251451966,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9446530764689931,2,189.152812,2.27995366222459,-1.8048478772659318,"[0.2658593304289339, Decimal('0.21954827129730647')]",pupil.1,1,3d c++
"{'center': [-7.897030415680494, Decimal('7.1232755933039495'), 65.36917143314317], 'normal': [-0.1753501107165214, 0.6510577246743692, -0.7384958888264288], 'radius': Decimal('2.0674907629341877')}",0.9995295597885887,612.789455,4.134981525868375,"{'center': [85.14615068839775, 187.2937796083536], 'axes': [Decimal('25.284541951782067'), 39.34637924498079], 'angle': -71.18007317868143}","[85.14615068839775, 187.2937796083536]",39.34637924498079,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9445354838407471,2,189.152812,2.2797734569588197,-1.8039214413655091,"[0.266081720901243, Decimal('0.21960925163186007')]",pupil.1,1,3d c++
"{'center': [-7.891245683511184, Decimal('7.1272518774065725'), 65.37130642141284], 'normal': [-0.1748680497024123, 0.6513890816829211, -0.7383179731372896], 'radius': Decimal('2.0441732114687814')}",0.9995139351009602,612.797855,4.088346422937563,"{'center': [85.20219113654208, 187.3352618971112], 'axes': [Decimal('24.991443760226417'), 38.90119894795217], 'angle': -71.22808798121577}","[85.20219113654208, 187.3352618971112]",38.90119894795217,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9444392854623285,2,189.152812,2.280210093005614,-1.8033574579651164,"[0.266256847301694, Decimal('0.21943640876203674')]",pupil.1,1,3d c++
"{'center': [-7.898419872525353, 7.135303674483177, 65.38012033643534], 'normal': [Decimal('-0.17546589878692637'), 0.6520600647726381, -0.7375834802187473], 'radius': Decimal('2.0601449033252965')}",0.9997130752479829,612.806255,4.120289806650593,"{'center': [85.14502750239697, Decimal('187.39856289325425')], 'axes': [25.14584242576871, 39.19999501548698], 'angle': -71.20368232146257}","[85.14502750239697, Decimal('187.39856289325425')]",39.19999501548698,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9444769613427995,2,189.152812,2.2810947631867813,-1.8043480488473371,"[0.2660782109449905, Decimal('0.21917265461144064')]",pupil.1,1,3d c++
"{'center': [-7.897115227900002, 7.124176648177269, 65.36998602446856], 'normal': [Decimal('-0.17535717840148046'), 0.6511328125804791, -0.7384280062159791], 'radius': Decimal('2.0630681351175317')}",0.9995440353761095,612.814655,4.1261362702350635,"{'center': [85.14606909894808, Decimal('187.30263776801903')], 'axes': [25.2267761894777, 39.26168791081727], 'angle': -71.18197821362726}","[85.14606909894808, Decimal('187.30263776801903')]",39.26168791081727,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9443911649072989,2,189.152812,2.2798723875259097,-1.803951164372238,"[0.2660814659342127, 0.2195723426332541]",pupil.1,1,3d c++
"{'center': [-7.876219280926857, 7.126920027787813, 65.36746827225917], 'normal': [Decimal('-0.17361584948705167'), 0.6513614275480245, -0.7386378189000947], 'radius': Decimal('2.0488207458516268')}",0.9993726826362522,612.823055,4.0976414917032535,"{'center': [85.34009681543405, 187.3347156517358], 'axes': [Decimal('25.069561505726764'), Decimal('38.992048061083686')], 'angle': -71.32388374145204}","[85.34009681543405, 187.3347156517358]",38.992048061083686,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9442890232296608,2,189.152812,2.280173646316211,-1.8016544256544584,"[Decimal('0.26668780254823143'), Decimal('0.21943868478443418')]",pupil.1,1,3d c++
"{'center': [-7.877470154886062, 7.14194065085136, 65.38103128862618], 'normal': [Decimal('-0.17372008898365213'), 0.6526131461366534, -0.7375075675361786], 'radius': Decimal('2.0555548477357113')}",0.9991754246947009,612.831455,4.111109695471423,"{'center': [85.34381365883597, Decimal('187.46156333478865')], 'axes': [25.09187386300484, Decimal('39.112207715684654')], 'angle': -71.35618811832471}","[85.34381365883597, Decimal('187.46156333478865')]",39.112207715684654,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9440818205536883,2,189.152812,2.2818244900112656,-1.8021296722699733,"[0.2666994176838624, 0.218910152771714]",pupil.1,1,3d c++
"{'center': [Decimal('-7.8781325399258275'), 7.133043350185484, 65.37332203520603], 'normal': [Decimal('-0.17377528773696588'), 0.651871704414497, -0.7381500053211904], 'radius': Decimal('2.0611279120317603')}",0.9994902672884426,612.839855,4.1222558240635205,"{'center': [85.32913419558905, Decimal('187.38364901265788')], 'axes': [Decimal('25.193844631566503'), 39.22288174825377], 'angle': -71.32800611339609}","[85.32913419558905, Decimal('187.38364901265788')]",39.22288174825377,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9439841139605054,2,189.152812,2.2808463480442,-1.802006286639578,"[0.2666535443612158, Decimal('0.21923479578059213')]",pupil.1,1,3d c++
"{'center': [-7.88704695663972, 7.14473157396607, 65.38576365378908], 'normal': [-0.1745181557964569, 0.6528457230628792, -0.7371132037726023], 'radius': 2.068019748546154}",0.9995679416145908,612.848255,4.136039497092308,"{'center': [85.25919062561219, Decimal('187.48004717187285')], 'axes': [Decimal('25.220374971283693'), 39.34660811356998], 'angle': -71.30211128696223}","[85.25919062561219, Decimal('187.48004717187285')]",39.34660811356998,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9438999290868888,2,189.152812,2.2821314853377213,-1.803274538454532,"[0.2664349707050381, Decimal('0.21883313678386307')]",pupil.1,1,3d c++
"{'center': [-7.863488635941626, 7.14197327002405, 65.37777844474887], 'normal': [-0.1725549624049491, 0.6526158644010442, -0.7377786378592867], 'radius': Decimal('2.0505328064716055')}",0.9995372056403331,612.856655,4.101065612943211,"{'center': [85.472065308315, Decimal('187.46637375911314')], 'axes': [Decimal('25.048892593927743'), Decimal('39.018619773881326')], 'angle': -71.44623763192797}","[85.472065308315, Decimal('187.46637375911314')]",39.018619773881326,"{'center': [-5.792829087082237, -0.6894171027884808, 74.23112209906031], 'radius': 12.0}","{'center': [Decimal('111.61660052507206'), Decimal('114.24178711513417')], 'axes': [Decimal('200.45500565305835'), Decimal('200.45500565305835')], 'angle': 90.0}",0.9438041498128658,2,189.152812,2.2818280775787207,-1.8005508717240166,"[Decimal('0.26710020408848434'), Decimal('0.21889010933702857')]",pupil.1,1,3d c++
