circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [7.244138822315264, Decimal('2.3687535675500917'), Decimal('214.67359002694948')], 'normal': [-0.2430993087989773, 0.4781325471490124, -0.8439739293474988], 'radius': Decimal('7.2838118156055796')}",0.9935635834849554,3252.207339,14.567623631211159,"{'center': [181.0752601190763, Decimal('126.55535735170122')], 'axes': [35.62110068351349, 42.1060909955413], 'angle': -66.26495580905976}","[181.0752601190763, Decimal('126.55535735170122')]",42.1060909955413,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6579093647137935,1,3242.606159,2.069323562825363,-1.8512460087981617,"[0.5658601878721135, 0.4726860110345783]",pupil.1,1,3d c++,0.5658601878721135,0.4726860110345783
"{'center': [7.182443811308572, Decimal('2.3807731480636485'), Decimal('214.69839555577843')], 'normal': [Decimal('-0.24824055971620168'), 0.4791341788584755, -0.8419068019450855], 'radius': 7.335524658519675}",0.9970475799142287,3252.215739,14.67104931703935,"{'center': [Decimal('180.89962714607853'), Decimal('126.58541227889239')], 'axes': [Decimal('35.785667574675074'), 42.39990802464508], 'angle': -65.77551878693234}","[Decimal('180.89962714607853'), Decimal('126.58541227889239')]",42.39990802464508,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6601261755104226,1,3242.606159,2.0704643542307224,-1.857526421127738,"[0.5653113348314954, 0.4725607821712817]",pupil.1,1,3d c++,0.5653113348314954,0.4725607821712817
"{'center': [Decimal('7.1816552042135875'), Decimal('2.4697948869076245'), 214.7498139684642], 'normal': [-0.248306276974117, Decimal('0.48655265709547346'), -0.8376219342212736], 'radius': 7.29935896733857}",0.937173413607431,3252.224139,14.59871793467714,"{'center': [Decimal('180.89019943993318'), Decimal('126.84092853238242')], 'axes': [35.40817524240923, 42.18112688979698], 'angle': -66.084429077449}","[Decimal('180.89019943993318'), Decimal('126.84092853238242')]",42.18112688979698,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.662007734228498,1,3242.606159,2.078935821455366,-1.8589856642630058,"[0.5652818732497912, Decimal('0.47149613111507327')]",pupil.1,1,3d c++,0.5652818732497912,0.47149613111507327
"{'center': [7.173398963541329, 2.38967482935772, Decimal('214.70613941393117')], 'normal': [Decimal('-0.24899429703013853'), Decimal('0.47987598563298145'), -0.8412614804323575], 'radius': 7.299854866439993}",0.9978887795146749,3252.240939,14.599709732879987,"{'center': [Decimal('180.87156922091776'), Decimal('126.61349292270604')], 'axes': [Decimal('35.582562056596146'), Decimal('42.192130408788266')], 'angle': -65.72988875354083}","[Decimal('180.87156922091776'), Decimal('126.61349292270604')]",42.192130408788266,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6633845395842997,1,3242.606159,2.0713096804554056,-1.8585584920828175,"[0.565223653815368, Decimal('0.47244377948872485')]",pupil.1,1,3d c++,0.565223653815368,0.47244377948872485
"{'center': [7.173073648451841, Decimal('2.4112775658518006'), Decimal('214.71858922161482')], 'normal': [Decimal('-0.24902140662092925'), 0.4816762136741548, -0.8402239964587204], 'radius': 7.287933529214963}",0.9962056017284563,3252.249339,14.575867058429926,"{'center': [Decimal('180.86877045138792'), Decimal('126.67575043155138')], 'axes': [Decimal('35.475850187366916'), 42.12086534346116], 'angle': -65.80448927335625}","[Decimal('180.86877045138792'), Decimal('126.67575043155138')]",42.12086534346116,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.664795323124745,1,3242.606159,2.0733627593172375,-1.8589241456435368,"[0.5652149076605872, Decimal('0.47218437320186923')]",pupil.1,1,3d c++,0.5652149076605872,0.47218437320186923
"{'center': [Decimal('7.2343430914282365'), Decimal('2.4549535699156277'), Decimal('214.72575198362702')], 'normal': [Decimal('-0.24391561970622966'), Decimal('0.48531588067947373'), -0.8396270996243707], 'radius': 7.294657313282388}",0.9884571114689824,3252.257739,14.589314626564777,"{'center': [181.0421770002506, Decimal('126.79918696598186')], 'axes': [35.47171029885586, 42.15892161627405], 'angle': -66.48224451249824}","[181.0421770002506, Decimal('126.79918696598186')]",42.15892161627405,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6649893239431326,1,3242.606159,2.0775207377216236,-1.853519234475052,"[0.5657568031257831, 0.4716700543084089]",pupil.1,1,3d c++,0.5657568031257831,0.4716700543084089
"{'center': [7.206172341239531, Decimal('2.4438037200604676'), 214.7275366637114], 'normal': [Decimal('-0.24626318222195506'), 0.484386726524877, -0.8394783762840053], 'radius': 7.27436982481279}",0.9230268071093894,3252.266139,14.54873964962558,"{'center': [180.9611624609522, Decimal('126.76914380609787')], 'axes': [35.37012343740289, Decimal('42.041055824224344')], 'angle': -66.20236861391146}","[180.9611624609522, Decimal('126.76914380609787')]",42.041055824224344,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6660042387132359,1,3242.606159,2.0764583573760156,-1.8561435067320815,"[0.5655036326904757, 0.4717952341412589]",pupil.1,1,3d c++,0.5655036326904757,0.4717952341412589
"{'center': [7.232431277466695, Decimal('2.5143589956298036'), 214.7608810674847], 'normal': [Decimal('-0.24407493753635803'), Decimal('0.49026633282232174'), -0.8366996759695652], 'radius': 7.277863003651802}",0.9969119351133255,3252.274539,14.555726007303605,"{'center': [181.032185600517, Decimal('126.96911067136793')], 'axes': [Decimal('35.253326468998104'), 42.05522016726783], 'angle': -66.66952723375074}","[181.032185600517, Decimal('126.96911067136793')]",42.05522016726783,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6672172897430717,1,3242.606159,2.0831916307737006,-1.8546317759449018,"[0.5657255800016157, 0.4709620388693003]",pupil.1,1,3d c++,0.5657255800016157,0.4709620388693003
"{'center': [7.193190435580357, Decimal('2.4971576064946484'), Decimal('214.76234039828486')], 'normal': [Decimal('-0.24734500769355294'), 0.4888328837277255, -0.83657806506955], 'radius': Decimal('7.3281331511283305')}",0.9966340447052142,3252.282939,14.656266302256661,"{'center': [Decimal('180.92279297381316'), Decimal('126.91628283134753')], 'axes': [35.49700935543462, 42.34519781280273], 'angle': -66.27748989543373}","[Decimal('180.92279297381316'), Decimal('126.91628283134753')]",42.34519781280273,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.668648667409788,1,3242.606159,2.081547720486149,-1.8582692981894566,"[0.5653837280431662, 0.4711821548693853]",pupil.1,1,3d c++,0.5653837280431662,0.4711821548693853
"{'center': [7.194015698611062, 2.473875963476987, Decimal('214.74852890062013')], 'normal': [-0.2472762357743275, 0.486892746809587, -0.8377290232082775], 'radius': 7.329934674057442}",0.9963639981672922,3252.291339,14.659869348114883,"{'center': [Decimal('180.92672677979328'), Decimal('126.85007751574365')], 'axes': [Decimal('35.559837754346546'), Decimal('42.358226595594175')], 'angle': -66.20374701088369}","[Decimal('180.92672677979328'), Decimal('126.85007751574365')]",42.358226595594175,"{'center': [Decimal('10.161330527902992'), -3.368836998238057, Decimal('224.80127717911947')], 'radius': 12.0}","{'center': [Decimal('188.02486269808892'), Decimal('110.70877636854635')], 'axes': [66.19179475632498, 66.19179475632498], 'angle': 90.0}",0.6694137032953962,1,3242.606159,2.079325137666184,-1.8578201878549798,"[0.5653960211868541, Decimal('0.47145801035106816')]",pupil.1,1,3d c++,0.5653960211868541,0.47145801035106816
