circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [Decimal('-1.8765846176818586'), 6.773422515329205, 59.4993014914279], 'normal': [Decimal('-0.25843369031500024'), 0.6187981071453559, -0.7418227081341575], 'radius': Decimal('3.1215849634538624')}",0.9987392855418769,359422.410555,6.243169926907725,"{'center': [Decimal('140.74877979256593'), Decimal('189.88416103860092')], 'axes': [43.19638209570456, 65.10165463516562], 'angle': -68.00584334741735}","[Decimal('140.74877979256593'), Decimal('189.88416103860092')]",65.10165463516562,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9030570938949545,1,359296.838955,2.2380081046897864,-1.906024199661105,"[Decimal('0.43983993685176853'), 0.2088159956724962]",pupil.1,1,3d c++,0.43983993685176853,0.2088159956724962
"{'center': [Decimal('-1.8836110815375504'), 6.7606354413016, 59.49109863040419], 'normal': [Decimal('-0.25901922896964125'), 0.6177325176430555, -0.7425062798861332], 'radius': 3.120931721352832}",0.9986600653301323,359422.418955,6.241863442705664,"{'center': [Decimal('140.67381679019087'), Decimal('189.76101021962683')], 'axes': [43.25034728172463, 65.09688964023252], 'angle': -67.9249557683834}","[Decimal('140.67381679019087'), Decimal('189.76101021962683')]",65.09688964023252,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9027265034583731,1,359296.838955,2.2366523398925833,-1.906441373283753,"[0.4396056774693465, Decimal('0.20932912408488824')]",pupil.1,1,3d c++,0.4396056774693465,0.20932912408488824
"{'center': [-1.887570439278006, 6.786462038648634, 59.51403425142176], 'normal': [Decimal('-0.25934917544801256'), 0.6198847340886416, -0.7405949781346685], 'radius': 3.13290532142266}",0.9987575775346953,359422.427355,6.26581064284532,"{'center': [Decimal('140.64161481731932'), 189.9982323943318], 'axes': [43.24195383828141, 65.32199939816638], 'angle': -67.9661858820855}","[Decimal('140.64161481731932'), 189.9982323943318]",65.32199939816638,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9024873233377306,1,359296.838955,2.239392128447326,-1.9076406658611367,"[0.4395050463041229, 0.2083406983569508]",pupil.1,1,3d c++,0.4395050463041229,0.2083406983569508
"{'center': [Decimal('-1.8895330285481473'), 6.772783714256854, Decimal('59.503289887001785')], 'normal': [Decimal('-0.25951272455385765'), 0.61874487372266, -0.7414903418363338], 'radius': Decimal('3.1397832963794037')}",0.9990514994539745,359422.435755,6.279566592758807,"{'center': [Decimal('140.61972402392917'), Decimal('189.86521499709215')], 'axes': [43.41947013084537, 65.47729048986444], 'angle': -67.9171078699167}","[Decimal('140.61972402392917'), Decimal('189.86521499709215')]",65.47729048986444,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9022959906280992,1,359296.838955,2.2379403407057343,-1.9074604590768502,"[Decimal('0.43943663757477863'), Decimal('0.20889493751211607')]",pupil.1,1,3d c++,0.43943663757477863,0.20889493751211607
"{'center': [Decimal('-1.8822008059709663'), Decimal('6.7697365854931215'), 59.49818599312161], 'normal': [Decimal('-0.25890170600575924'), 0.6184909463256822, -0.7419156663263483], 'radius': 3.143619886471756}",0.9988196914605353,359422.444155,6.287239772943512,"{'center': [140.6947810550584, Decimal('189.83738493780163')], 'axes': [43.51110908208598, 65.56298249436028], 'angle': -67.95840682305656}","[140.6947810550584, Decimal('189.83738493780163')]",65.56298249436028,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9019733224339244,1,359296.838955,2.2376171512016487,-1.906547725015693,"[0.4396711907970575, Decimal('0.20901089609249324')]",pupil.1,1,3d c++,0.4396711907970575,0.20901089609249324
"{'center': [Decimal('-1.8693529465533667'), 6.758977257940285, 59.48475904072768], 'normal': [-0.2578310510542926, 0.6175943356962792, -0.743034579025842], 'radius': 3.13410769513893}",0.999220067351851,359422.452555,6.26821539027786,"{'center': [Decimal('140.82191737964575'), Decimal('189.74463593369768')], 'axes': [43.48059242958512, 65.37898455364306], 'angle': -68.01667831694931}","[Decimal('140.82191737964575'), Decimal('189.74463593369768')]",65.37898455364306,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9019492127302464,1,359296.838955,2.236476634818498,-1.9047937046683499,"[Decimal('0.44006849181139296'), Decimal('0.20939735027625972')]",pupil.1,1,3d c++,0.44006849181139296,0.20939735027625972
"{'center': [Decimal('-1.8953290730813819'), 6.757180899399234, 59.49232081947047], 'normal': [Decimal('-0.25999572826496054'), 0.6174446391511916, -0.7424044307972761], 'radius': 3.127708396897456}",0.9987513171808974,359422.460955,6.255416793794912,"{'center': [Decimal('140.55445218716892'), Decimal('189.72101561873285')], 'axes': [43.33620460045522, 65.23706479379459], 'angle': -67.83698197467461}","[Decimal('140.55445218716892'), Decimal('189.72101561873285')]",65.23706479379459,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9071647240661118,1,359296.838955,2.2362863157243758,-1.907656143711093,"[0.4392326630849029, Decimal('0.20949576825527982')]",pupil.1,1,3d c++,0.4392326630849029,0.20949576825527982
"{'center': [Decimal('-1.8847379277464655'), 6.748530710879747, 59.48143465649264], 'normal': [-0.2591131328203842, 0.616723790107901, -0.7433116110454293], 'radius': 3.148011480407103}",0.998919066341159,359422.469355,6.296022960814206,"{'center': [Decimal('140.66482298112842'), Decimal('189.63396059394773')], 'axes': [43.70086501934194, 65.67299318655654], 'angle': -67.88546006930669}","[Decimal('140.66482298112842'), Decimal('189.63396059394773')]",65.67299318655654,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9159315571192317,1,359296.838955,2.235370250460158,-1.9062170346914675,"[0.4395775718160263, 0.2098584975252178]",pupil.1,1,3d c++,0.4395775718160263,0.2098584975252178
"{'center': [Decimal('-1.8954272636137308'), 6.763189825644744, 59.49735617429775], 'normal': [Decimal('-0.26000391080932295'), 0.6179453830049841, -0.7419848178950033], 'radius': 3.127010607529821}",0.998739648143488,359422.477755,6.254021215059642,"{'center': [Decimal('140.55470236103756'), Decimal('189.77810103492433')], 'axes': [Decimal('43.288135975085225'), 65.2170254407688], 'angle': -67.85219498443233}","[Decimal('140.55470236103756'), Decimal('189.77810103492433')]",65.2170254407688,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9157793564273153,1,359296.838955,2.236923056031444,-1.9078423702629024,"[Decimal('0.43923344487824234'), 0.209257912354482]",pupil.1,1,3d c++,0.43923344487824234,0.209257912354482
"{'center': [Decimal('-1.8853070127824603'), 6.766444292936035, 59.49652666366701], 'normal': [-0.2591605565733837, 0.6182165886125918, -0.7420539437808975], 'radius': Decimal('3.1297715934958212')}",0.9988047803473108,359422.486155,6.2595431869916425,"{'center': [140.659530467104, Decimal('189.81134695429546')], 'axes': [43.33188786553341, 65.27560053785702], 'angle': -67.92884066009489}","[140.659530467104, Decimal('189.81134695429546')]",65.27560053785702,"{'center': [Decimal('1.2246196660981445'), -0.6521547704150653, 68.40117398903779], 'radius': 12.0}","{'center': [Decimal('171.10016317998478'), 114.0887570479106], 'axes': [Decimal('217.54012588124178'), Decimal('217.54012588124178')], 'angle': 90.0}",0.9156522982087245,1,359296.838955,2.2372680511130145,-1.9068006966242934,"[0.4395610327097, 0.2091193876904356]",pupil.1,1,3d c++,0.4395610327097,0.2091193876904356
