circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,norm_x,norm_y
"{'center': [-0.7388441231116034, 8.854048003688094, 76.52568098478345], 'normal': [-0.133288823048625, 0.6157399379076981, -0.7765941143967913], 'radius': 2.43075222218695}",0.9985745232244733,6461.19154,4.8615044443739,"{'center': [Decimal('154.07637064460667'), Decimal('191.46371098260374')], 'axes': [Decimal('27.739826751253947'), 39.39860451302412], 'angle': -78.54403939394587}","[Decimal('154.07637064460667'), Decimal('191.46371098260374')]",39.39860451302412,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8215228162533839,68,6454.451081,2.2341210168719576,-1.7407727428589872,"[Decimal('0.48148865826439585'), Decimal('0.20223453757248444')]",pupil.1,1,3d c++,0.48148865826439585,0.20223453757248444
"{'center': [-0.7308894590014927, 8.86310379475309, 76.53150540622035], 'normal': [Decimal('-0.13262593437278244'), 0.6164945871631144, -0.776108745943716], 'radius': 2.425303193544873}",0.9990341486965756,6461.19994,4.850606387089746,"{'center': [154.1406405990221, Decimal('191.53277027180852')], 'axes': [27.65114444250475, 39.30726150994369], 'angle': -78.61504141575426}","[154.1406405990221, Decimal('191.53277027180852')]",39.30726150994369,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8217912276748063,68,6454.451081,2.2350791138466586,-1.7400472401629972,"[0.4816895018719441, Decimal('0.20194679053413123')]",pupil.1,1,3d c++,0.4816895018719441,0.20194679053413123
"{'center': [-0.7163513431858042, 8.852591699935076, 76.52069442125386], 'normal': [Decimal('-0.13141442472147505'), 0.6156185792616132, -0.77700966135759], 'radius': Decimal('2.4453091145474914')}",0.9984575650303328,6461.20834,4.890618229094983,"{'center': [Decimal('154.25817369499023'), 191.453147111323], 'axes': [Decimal('27.927455901317874'), Decimal('39.637192257720386')], 'angle': -78.70709669368637}","[Decimal('154.25817369499023'), 191.453147111323]",39.637192257720386,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8218655392177698,68,6454.451081,2.2339670078236162,-1.738339273770314,"[0.4820567927968445, Decimal('0.20227855370282077')]",pupil.1,1,3d c++,0.4820567927968445,0.20227855370282077
"{'center': [-0.7563953782031514, 8.860287221702274, 76.53366228829239], 'normal': [Decimal('-0.13475142763958733'), 0.616259872742213, -0.7759290057710463], 'radius': 2.424323837793855}",0.9985274978773742,6461.21674,4.84864767558771,"{'center': [Decimal('153.93505785993867'), Decimal('191.50835481284315')], 'axes': [Decimal('27.631594994200135'), 39.29030635438635], 'angle': -78.42421958006776}","[Decimal('153.93505785993867'), Decimal('191.50835481284315')]",39.29030635438635,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8218908376657175,68,6454.451081,2.2347810452466788,-1.742746015542169,"[Decimal('0.48104705581230833'), Decimal('0.20204852161315356')]",pupil.1,1,3d c++,0.48104705581230833,0.20204852161315356
"{'center': [-0.728737660422107, 8.862766417608594, 76.53086997853023], 'normal': [-0.1324466178245003, 0.6164664724010731, -0.7761616982512263], 'radius': Decimal('2.4391812906097328')}",0.9988750765919387,6461.22514,4.8783625812194655,"{'center': [Decimal('154.15865810832688'), Decimal('191.52752243470283')], 'axes': [27.81224848579656, 39.53260124269424], 'angle': -78.63035065197441}","[Decimal('154.15865810832688'), Decimal('191.52752243470283')]",39.53260124269424,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8221466946363276,68,6454.451081,2.2350434066739,-1.7398114282782424,"[0.4817458065885215, Decimal('0.20196865652207152')]",pupil.1,1,3d c++,0.4817458065885215,0.20196865652207152
"{'center': [-0.7378514957208833, 8.865109912619687, 76.53429189488355], 'normal': [Decimal('-0.13320610409939831'), 0.6166617636519974, -0.775876538555116], 'radius': Decimal('2.4282078673649594')}",0.9780079174600216,6461.23354,4.856415734729919,"{'center': [Decimal('154.08483782949432'), Decimal('191.54582118938976')], 'axes': [27.67215707922243, 39.35293717274063], 'angle': -78.56683378496872}","[Decimal('154.08483782949432'), Decimal('191.54582118938976')]",39.35293717274063,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8221910585313297,68,6454.451081,2.2352914570827256,-1.7408233731843588,"[Decimal('0.48151511821716975'), Decimal('0.20189241171087602')]",pupil.1,1,3d c++,0.48151511821716975,0.20189241171087602
"{'center': [-0.730079986269982, 8.851969072172428, 76.52253333110211], 'normal': [-0.1325584783118232, 0.6155666936147259, -0.7768564188702363], 'radius': 2.4277929917989}",0.998836525351116,6461.24194,4.8555859835978,"{'center': [Decimal('154.14668466604806'), 191.4504023867193], 'axes': [27.71969101156883, 39.35222376560815], 'angle': -78.60542708460852}","[Decimal('154.14668466604806'), 191.4504023867193]",39.35222376560815,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8222764847495512,68,6454.451081,2.233901168485804,-1.7398030618365259,"[Decimal('0.48170838958140016'), 0.2022899900553362]",pupil.1,1,3d c++,0.48170838958140016,0.2022899900553362
"{'center': [-0.7243702940804475, 8.858694946580227, 76.5268937142244], 'normal': [-0.132082670629362, 0.6161271831487092, -0.7764930536100452], 'radius': Decimal('2.4640211001357506')}",0.9983894380262859,6461.25034,4.928042200271501,"{'center': [Decimal('154.19488285524318'), Decimal('191.49264623292942')], 'axes': [Decimal('28.113561179090084'), 39.93741483971405], 'angle': -78.6567217457845}","[Decimal('154.19488285524318'), Decimal('191.49264623292942')]",39.93741483971405,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8222841308496265,68,6454.451081,2.234612570800854,-1.7392851782297536,"[Decimal('0.48185900892263495'), Decimal('0.20211397402946074')]",pupil.1,1,3d c++,0.48185900892263495,0.20211397402946074
"{'center': [-0.7347418635513461, 8.844121876356464, 76.51711687679956], 'normal': [-0.1329469680852702, 0.6149127606300623, -0.7773077900621156], 'radius': Decimal('2.4375410815388703')}",0.9987459190810251,6461.25874,4.875082163077741,"{'center': [Decimal('154.10921578412987'), 191.3897546523239], 'axes': [27.85567552439706, 39.51308463737324], 'angle': -78.56020109743578}","[Decimal('154.10921578412987'), 191.3897546523239]",39.51308463737324,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8224670828340552,68,6454.451081,2.2330716622154343,-1.7401924030282334,"[Decimal('0.48159129932540584'), Decimal('0.20254268894865046')]",pupil.1,1,3d c++,0.48159129932540584,0.20254268894865046
"{'center': [-0.7505640698181568, 8.848646810212891, 76.52341926182321], 'normal': [Decimal('-0.13426548527417112'), 0.6152898384514311, -0.7767825913101445], 'radius': 2.447050107191315}",0.9987353947808901,6461.26714,4.89410021438263,"{'center': [153.982541261885, 191.4185227642577], 'axes': [Decimal('27.936767385900225'), 39.66405377308376], 'angle': -78.45045821376887}","[153.982541261885, 191.4185227642577]",39.66405377308376,"{'center': [0.8606217534718965, 1.465168748795717, 85.84481035754494], 'radius': 12.0}","{'center': [Decimal('166.21569882827143'), 130.5819399037615], 'axes': [Decimal('173.33604603498537'), Decimal('173.33604603498537')], 'angle': 90.0}",0.8228086778124588,68,6454.451081,2.233549915427156,-1.7419533895632524,"[0.4811954414433906, 0.202422821815593]",pupil.1,1,3d c++,0.4811954414433906,0.202422821815593
