circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [Decimal('-0.033699560259784045'), 4.302900658643024, 75.58113515577483], 'normal': [Decimal('-0.16718892523039172'), 0.6499055798687532, -0.741397734374584], 'radius': 2.913938433935096}",0.9962652032339738,15671.952203,5.827876867870192,"{'center': [Decimal('159.83768141621013'), Decimal('154.87644659436637')], 'axes': [33.69107609924029, Decimal('47.826740520399326')], 'angle': -76.31311963661608}","[Decimal('159.83768141621013'), Decimal('154.87644659436637')]",47.826740520399326,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.7000332754107497,26,15539.922697,2.2782565223505844,-1.7925914207998355,"[Decimal('0.49949275442565666'), 0.3546814725234735]",pupil.1,1,3d c++,1581992326.345751,0.49949275442565666,0.3546814725234735
"{'center': [-0.03728975648941568, 4.322954352269052, 75.59956614816579], 'normal': [Decimal('-0.16748810824952767'), 0.6515767210042557, -0.7398618183420043], 'radius': 2.926229865355464}",0.9975050451017431,15671.960603,5.852459730710928,"{'center': [Decimal('159.80916111966485'), Decimal('155.02895491017597')], 'axes': [33.73864928271839, 48.01698547368026], 'angle': -76.32051116446705}","[Decimal('159.80916111966485'), Decimal('155.02895491017597')]",48.01698547368026,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6997489670957591,26,15539.922697,2.280457421851695,-1.793421556795661,"[Decimal('0.49940362849895265'), 0.3540460212076001]",pupil.1,1,3d c++,1581992326.352896,0.49940362849895265,0.3540460212076001
"{'center': [-0.04746927784194521, 4.315206668978046, 75.59505774457728], 'normal': [-0.1683364016955718, 0.650931080730005, -0.7402375186410473], 'radius': 2.911696656843841}",0.9940072585677349,15671.969002,5.823393313687682,"{'center': [Decimal('159.72510815447131'), Decimal('154.97182471665835')], 'axes': [Decimal('33.594564465921124'), Decimal('47.781135299313604')], 'angle': -76.23377281769868}","[Decimal('159.72510815447131'), Decimal('154.97182471665835')]",47.781135299313604,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6988978840762439,26,15539.922697,2.279606618782736,-1.7944021540725625,"[Decimal('0.49914096298272287'), 0.3542840636805902]",pupil.1,1,3d c++,1581992326.362201,0.49914096298272287,0.3542840636805902
"{'center': [Decimal('-0.042217255552980726'), 4.335290546064893, 75.61156382697402], 'normal': [Decimal('-0.16789873317149143'), 0.652604737153909, -0.7388620117746518], 'radius': Decimal('2.9327395773516742')}",0.9975720562776593,15671.977402,5.8654791547033485,"{'center': [Decimal('159.76937979943224'), Decimal('155.12277130742956')], 'axes': [Decimal('33.752195576051484'), 48.11628185137167], 'angle': -76.30536351761668}","[Decimal('159.76937979943224'), Decimal('155.12277130742956')]",48.11628185137167,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6986194056116002,26,15539.922697,2.281813391899496,-1.7942414598946808,"[0.4992793118732258, Decimal('0.35365511955237683')]",pupil.1,1,3d c++,1581992326.3690212,0.4992793118732258,0.35365511955237683
"{'center': [Decimal('-0.039358253711073266'), 4.343083069908555, 75.61780302701354], 'normal': [Decimal('-0.16766048301799916'), 0.6532541141408809, -0.7383420784380261], 'radius': Decimal('2.9200284565776005')}",0.9966510531219465,15671.985802,5.840056913155201,"{'center': [Decimal('159.79160275584022'), 155.187436948721], 'axes': [33.5734960861435, 47.90368274342115], 'angle': -76.33896507333178}","[Decimal('159.79160275584022'), 155.187436948721]",47.90368274342115,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6981926705419528,26,15539.922697,2.2826707472922876,-1.7940867789044526,"[0.4993487586120007, Decimal('0.35338567938032917')]",pupil.1,1,3d c++,1581992326.377102,0.4993487586120007,0.35338567938032917
"{'center': [Decimal('-0.041972879227070825'), 4.343857441299328, 75.61908239159293], 'normal': [-0.1678783684776656, 0.653318645090112, -0.7382354647230769], 'radius': 2.918222149755981}",0.9963274077984636,15671.994202,5.836444299511962,"{'center': [Decimal('159.77014311953613'), Decimal('155.19375266049914')], 'axes': [33.54628975040144, 47.87321607131572], 'angle': -76.32135162268703}","[Decimal('159.77014311953613'), Decimal('155.19375266049914')]",47.87321607131572,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.697554314352633,26,15539.922697,2.2827559804460877,-1.79439861359018,"[0.4992816972485504, 0.3533593639145869]",pupil.1,1,3d c++,1581992326.385269,0.4992816972485504,0.3533593639145869
"{'center': [-0.06756687713667264, 4.360150129330252, 75.63939643057154], 'normal': [Decimal('-0.17001120163679911'), 0.6546763690926889, -0.7365426281415252], 'radius': Decimal('2.9436263680141503')}",0.9982919033935729,15672.002602,5.887252736028301,"{'center': [Decimal('159.56344702505243'), Decimal('155.31090909416668')], 'axes': [33.73514565551215, Decimal('48.277290897587065')], 'angle': -76.1639116639357}","[Decimal('159.56344702505243'), Decimal('155.31090909416668')]",48.277290897587065,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6974925873681204,26,15539.922697,2.284550733270649,-1.7976465117201244,"[Decimal('0.49863577195328884'), Decimal('0.35287121210763883')]",pupil.1,1,3d c++,1581992326.3927512,0.49863577195328884,0.35287121210763883
"{'center': [Decimal('-0.037690074757410263'), 4.358595163123448, 75.63117249479268], 'normal': [Decimal('-0.16752146810519392'), 0.6545467885754553, -0.7372279561230968], 'radius': 2.922276233246816}",0.9972926749958401,15672.011002,5.844552466493632,"{'center': [Decimal('159.80521157233454'), Decimal('155.30776466610558')], 'axes': [33.53059033815211, Decimal('47.932180643551874')], 'angle': -76.37665258653976}","[Decimal('159.80521157233454'), Decimal('155.30776466610558')]",47.932180643551874,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6971731952641336,26,15539.922697,2.284379322623638,-1.7942337946132227,"[Decimal('0.49939128616354544'), Decimal('0.35288431389122676')]",pupil.1,1,3d c++,1581992326.4026082,0.49939128616354544,0.35288431389122676
"{'center': [Decimal('-0.045348211923011084'), 4.331971988062225, 75.6093456174864], 'normal': [-0.1681596462023273, 0.6523281906536867, -0.7390468625652878], 'radius': 2.906955073380964}",0.9957603714656817,15672.019402,5.813910146761928,"{'center': [159.7418661825972, Decimal('155.10408101745594')], 'axes': [33.46657513383572, 47.6943367978131], 'angle': -76.27716850487279}","[159.7418661825972, Decimal('155.10408101745594')]",47.6943367978131,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6968883612181398,26,15539.922697,2.2814484670079342,-1.7945231002316162,"[0.4991933318206162, Decimal('0.35373299576060024')]",pupil.1,1,3d c++,1581992326.409271,0.4991933318206162,0.35373299576060024
"{'center': [-0.0703716756203916, 4.336761200569805, 75.61930879818217], 'normal': [Decimal('-0.17024493484377567'), 0.652727291695985, -0.7382165975073056], 'radius': Decimal('2.9387113035906824')}",0.9957769819455581,15672.027802,5.877422607181365,"{'center': [159.5403880764852, 155.1299053060731], 'axes': [33.78266207929228, 48.20931712707942], 'angle': -76.10436617717662}","[159.5403880764852, 155.1299053060731]",48.20931712707942,"{'center': [Decimal('1.9725675425049165'), -3.495966299782015, 84.47790796826985], 'radius': 12.0}","{'center': [174.4770615864731, 94.34241498169003], 'axes': [Decimal('176.14072552067663'), Decimal('176.14072552067663')], 'angle': 90.0}",0.6966563672333725,26,15539.922697,2.2819751489521223,-1.797450170425396,"[Decimal('0.49856371273901623'), Decimal('0.35362539455802866')]",pupil.1,1,3d c++,1581992326.4186509,0.49856371273901623,0.35362539455802866
