circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [-1.584046261574747, 5.527449712611618, 65.0216308938126], 'normal': [Decimal('-0.31857300363696783'), 0.5294914059329111, -0.7862252173499077], 'radius': 1.725552041661176}",0.9917459525533613,35068.557846,3.451104083322352,"{'center': [Decimal('145.00099593775664'), Decimal('172.53817917737592')], 'axes': [Decimal('24.137158670425237'), 32.91886159628566], 'angle': -60.2556389556747}","[Decimal('145.00099593775664'), Decimal('172.53817917737592')]",32.91886159628566,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7461158406339097,106,34836.326927,2.1287972456468824,-1.955771449895614,"[0.4531281123054895, Decimal('0.28109092009426695')]",pupil.1,1,3d c++,1582178732.794904,0.4531281123054895,0.28109092009426695
"{'center': [Decimal('-1.5985154809028344'), 5.532578842200189, 65.03096509254823], 'normal': [-0.3197787719143084, 0.5299188333986253, -0.7854473674552717], 'radius': Decimal('1.7217203923160853')}",0.9994403120717397,35068.566246,3.4434407846321706,"{'center': [144.8649726958521, Decimal('172.58039583915794')], 'axes': [Decimal('24.048957929453167'), 32.84101872002891], 'angle': -60.17462786692499}","[144.8649726958521, Decimal('172.58039583915794')]",32.84101872002891,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7466311508152801,106,34836.326927,2.129301179402331,-1.9574336508053394,"[0.4527030396745378, 0.2809150173368419]",pupil.1,1,3d c++,1582178732.8081212,0.4527030396745378,0.2809150173368419
"{'center': [Decimal('-1.5977542681639951'), 5.523152620301858, 65.02430267755591], 'normal': [-0.3197153375194052, 0.5291333149070978, -0.7860025687046315], 'radius': 1.730455898435532}",0.9991457360347975,35068.574646,3.460911796871064,"{'center': [Decimal('144.87182740689246'), Decimal('172.49427733563857')], 'axes': [24.19656637061936, 33.01105306689159], 'angle': -60.1438721106517}","[Decimal('144.87182740689246'), Decimal('172.49427733563857')]",33.01105306689159,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7473935231738893,106,34836.326927,2.1283751810273634,-1.9571176900388958,"[Decimal('0.45272446064653893'), Decimal('0.28127384443483927')]",pupil.1,1,3d c++,1582178732.8133368,0.45272446064653893,0.28127384443483927
"{'center': [Decimal('-1.5880173215731648'), Decimal('5.5262859397450725'), 65.02245712870928], 'normal': [Decimal('-0.31890392530350264'), 0.529394424860699, -0.7861563644418504], 'radius': Decimal('1.7157972239516748')}",0.9989782969019381,35068.591446,3.4315944479033496,"{'center': [Decimal('144.96222432975745'), Decimal('172.52835701487928')], 'axes': [23.99778602174875, Decimal('32.732292080032096')], 'angle': -60.22355172329965}","[Decimal('144.96222432975745'), Decimal('172.52835701487928')]",32.732292080032096,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7479691375009923,106,34836.326927,2.1286829277601456,-1.95616344306997,"[Decimal('0.45300695103049204'), 0.2811318457713363]",pupil.1,1,3d c++,1582178732.835043,0.45300695103049204,0.2811318457713363
"{'center': [-1.599379985129128, 5.521551233284372, 65.02388619498501], 'normal': [-0.3198508139331662, 0.528999865988974, -0.7860372755855403], 'radius': Decimal('1.7195321627421556')}",0.9994254559905669,35068.599846,3.439064325484311,"{'center': [Decimal('144.85493988829754'), 172.4814949859183], 'axes': [Decimal('24.045451950320476'), Decimal('32.802814765906064')], 'angle': -60.12643078693417}","[Decimal('144.85493988829754'), 172.4814949859183]",32.802814765906064,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7488283146683594,106,34836.326927,2.1282179196381743,-1.9572501577601817,"[0.4526716871509298, Decimal('0.28132710422534046')]",pupil.1,1,3d c++,1582178732.838737,0.4526716871509298,0.28132710422534046
"{'center': [Decimal('-1.5996112136877358'), 5.533401557520797, 65.03196641289809], 'normal': [-0.3198700829797169, 0.529987393008676, -0.785363924092784], 'radius': 1.718481846547458}",0.9995118845623934,35068.608246,3.436963693094916,"{'center': [144.8543779572768, 172.5880618500043], 'axes': [Decimal('23.999962505836105'), Decimal('32.778723729444756')], 'angle': -60.17016022443505}","[144.8543779572768, 172.5880618500043]",32.778723729444756,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7493563671471359,106,34836.326927,2.1293820254303655,-1.957570483863629,"[0.45266993111649, Decimal('0.28088307562498216')]",pupil.1,1,3d c++,1582178732.848651,0.45266993111649,0.28088307562498216
"{'center': [Decimal('-1.5978351573020126'), 5.522966293490388, 65.02421014840613], 'normal': [Decimal('-0.31972207828090665'), 0.5291177876728086, -0.7860102794671139], 'radius': Decimal('1.7184351802544793')}",0.9990897109006758,35068.616646,3.4368703605089586,"{'center': [Decimal('144.86956663774455'), 172.4949100711818], 'axes': [Decimal('24.028752373072574'), 32.78172440230407], 'angle': -60.14258607292766}","[Decimal('144.86956663774455'), 172.4949100711818]",32.78172440230407,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7496224820303543,106,34836.326927,2.128356882338573,-1.9571216246276912,"[0.4527173957429517, Decimal('0.28127120803674244')]",pupil.1,1,3d c++,1582178732.8525321,0.4527173957429517,0.28127120803674244
"{'center': [Decimal('-1.5923532853501854'), 5.522862139606417, 65.02191207089857], 'normal': [Decimal('-0.31926525561825436'), 0.5291091081824777, -0.7862017859260776], 'radius': Decimal('1.7182862501913663')}",0.9993530879519086,35068.625046,3.4365725003827325,"{'center': [144.9211763762453, Decimal('172.49574345550946')], 'axes': [Decimal('24.035021584088913'), Decimal('32.780049138899734')], 'angle': -60.18030128786647}","[144.9211763762453, Decimal('172.49574345550946')]",32.780049138899734,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7502950410884224,106,34836.326927,2.1283466537378537,-1.956537911523968,"[0.4528786761757666, 0.281267735602044]",pupil.1,1,3d c++,1582178732.869121,0.4528786761757666,0.281267735602044
"{'center': [-1.586389663526726, Decimal('5.5322234131075305'), 65.02579774025595], 'normal': [Decimal('-0.31876828713296607'), 0.5298892143075705, -0.7858779801462951], 'radius': 1.72356467376512}",0.9996159051798972,35068.633446,3.44712934753024,"{'center': [Decimal('144.97937138269555'), Decimal('172.58070035254036')], 'axes': [Decimal('24.093581145004467'), 32.87883712160194], 'angle': -60.25754410026113}","[Decimal('144.97937138269555'), Decimal('172.58070035254036')]",32.87883712160194,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.751012715709265,106,34836.326927,2.1292662536020233,-1.9561386265629361,"[0.4530605355709236, Decimal('0.28091374853108186')]",pupil.1,1,3d c++,1582178732.8703618,0.4530605355709236,0.28091374853108186
"{'center': [Decimal('-1.5968654620388327'), 5.524764773626114, 65.02502664736562], 'normal': [-0.3196412703423083, 0.5292676610174524, -0.7859422378871558], 'radius': 1.714119025075509}",0.9988539681110958,35068.641846,3.428238050151018,"{'center': [Decimal('144.87843996948013'), Decimal('172.51220758038028')], 'axes': [Decimal('23.965189037037483'), 32.69895990478763], 'angle': -60.15620631760987}","[Decimal('144.87843996948013'), Decimal('172.51220758038028')]",32.69895990478763,"{'center': [2.238829782068867, -0.8264471585833156, 74.45633350201149], 'radius': 12.0}","{'center': [Decimal('178.64279906886898'), 113.118151079682], 'axes': [Decimal('199.84868042955682'), Decimal('199.84868042955682')], 'angle': 90.0}",0.7510584489845651,106,34836.326927,2.128533515282043,-1.9570636189576975,"[0.4527451249046254, 0.2811991350817489]",pupil.1,1,3d c++,1582178732.887203,0.4527451249046254,0.2811991350817489
