circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [Decimal('-2.1943967330583796'), 8.074499617887936, 63.65932065130233], 'normal': [Decimal('-0.20159696572459226'), 0.6395671491119277, -0.7418305232244619], 'radius': Decimal('2.3331042845619083')}",0.9998356858266009,10539.365463,4.666208569123817,"{'center': [Decimal('138.73971891472027'), Decimal('198.29249915995817')], 'axes': [Decimal('29.728244115540747'), Decimal('45.460033654185494')], 'angle': -72.73546589130628}","[Decimal('138.73971891472027'), Decimal('198.29249915995817')]",45.460033654185494,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9799899803048517,2,10063.67993,2.2647313915624663,-1.8361442104168506,"[Decimal('0.43356162160850087'), Decimal('0.17378125350017426')]",pupil.1,1,3d c++,1582520736.683106,0.43356162160850087,0.17378125350017426
"{'center': [-2.18529316290656, 8.079711780043036, 63.66134676324846], 'normal': [-0.2008383348786073, 0.640001495958186, -0.7416616805622847], 'radius': 2.345235030047314}",0.9997802698585978,10539.373863,4.690470060094628,"{'center': [Decimal('138.82976218769613'), 198.3370273349551], 'axes': [Decimal('29.872065698230852'), 45.69509393099812], 'angle': -72.80801378133522}","[Decimal('138.82976218769613'), 198.3370273349551]",45.69509393099812,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9800467530129753,2,10063.67993,2.265296539334844,-1.835249070777015,"[0.4338430068365504, Decimal('0.17359571943768703')]",pupil.1,1,3d c++,1582520736.690984,0.4338430068365504,0.17359571943768703
"{'center': [-2.186941887693991, 8.09271514784488, 63.67303153773038], 'normal': [-0.2009757286108932, 0.641085109941673, -0.740687949355458], 'radius': 2.311761451789009}",0.9996983923032022,10539.382263,4.623522903578018,"{'center': [Decimal('138.81426168548802'), Decimal('198.45936854359073')], 'axes': [Decimal('29.384164073280957'), 45.03426895129358], 'angle': -72.82367822932709}","[Decimal('138.81426168548802'), Decimal('198.45936854359073')]",45.03426895129358,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.980017213645823,2,10063.67993,2.266707638624223,-1.835753497485296,"[0.4337945677671501, Decimal('0.17308596440170532')]",pupil.1,1,3d c++,1582520736.6991339,0.4337945677671501,0.17308596440170532
"{'center': [Decimal('-2.1966770127792135'), 8.078210212726981, Decimal('63.663141295654036')], 'normal': [Decimal('-0.20178698903466175'), 0.6398763653485148, -0.7415121361951531], 'radius': Decimal('2.3471479556768604')}",0.9998121363179494,10539.390663,4.694295911353721,"{'center': [Decimal('138.72016869505194'), Decimal('198.31980390643133')], 'axes': [Decimal('29.887175055982198'), 45.73110693446143], 'angle': -72.72771154184238}","[Decimal('138.72016869505194'), Decimal('198.31980390643133')]",45.73110693446143,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9800452018673633,2,10063.67993,2.2651336991297484,-1.836491478915232,"[0.4335005271720373, Decimal('0.17366748372320273')]",pupil.1,1,3d c++,1582520736.706586,0.4335005271720373,0.17366748372320273
"{'center': [Decimal('-2.2015396261898292'), 8.083855005804304, 63.66934091924298], 'normal': [Decimal('-0.20219220681887973'), 0.6403467647716251, -0.7409955008960746], 'radius': Decimal('2.3462736190778313')}",0.9997754276588074,10539.399062,4.6925472381556625,"{'center': [Decimal('138.67490951425322'), Decimal('198.36753758213348')], 'axes': [Decimal('29.843247010228744'), Decimal('45.709631337128506')], 'angle': -72.70648687180872}","[Decimal('138.67490951425322'), Decimal('198.36753758213348')]",45.709631337128506,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9801693973675585,2,10063.67993,2.2657459736130585,-1.8371771534302006,"[0.4333590922320413, 0.1734685934077772]",pupil.1,1,3d c++,1582520736.714541,0.4333590922320413,0.1734685934077772
"{'center': [Decimal('-2.1826436127107436'), 8.091106333168815, 63.67047433942776], 'normal': [Decimal('-0.20061753902895593'), 0.6409510420520009, -0.740901049214009], 'radius': Decimal('2.3280661378990444')}",0.9999567573241162,10539.407462,4.656132275798089,"{'center': [Decimal('138.85666410804708'), 198.4419323896651], 'axes': [Decimal('29.605022472699467'), 45.35389608102269], 'angle': -72.8494848703591}","[Decimal('138.85666410804708'), 198.4419323896651]",45.35389608102269,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9802741829375905,2,10063.67993,2.266532963201821,-1.8352304338134504,"[Decimal('0.43392707533764713'), Decimal('0.17315861504306207')]",pupil.1,1,3d c++,1582520736.7227712,0.43392707533764713,0.17315861504306207
"{'center': [-2.177744610061376, 8.097152679732124, 63.67438275072922], 'normal': [-0.2002092888081753, 0.64145490426561, -0.7405753482722212], 'radius': Decimal('2.3302186028518816')}",0.9997235290716562,10539.415862,4.660437205703763,"{'center': [Decimal('138.90557184835444'), Decimal('198.49531814963063')], 'axes': [29.61174553594557, Decimal('45.393080162725454')], 'angle': -72.89511062121169}","[Decimal('138.90557184835444'), Decimal('198.49531814963063')]",45.393080162725454,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9802371574255675,2,10063.67993,2.267189571321752,-1.834827736622828,"[Decimal('0.43407991202610763'), Decimal('0.17293617437653908')]",pupil.1,1,3d c++,1582520736.734998,0.43407991202610763,0.17293617437653908
"{'center': [Decimal('-2.1867847459105403'), 8.08375672013244, 63.66524307043669], 'normal': [-0.2009626334622723, 0.6403385742989697, -0.7413369882965988], 'radius': 2.357840608072737}",0.9998886520510614,10539.424262,4.715681216145474,"{'center': [Decimal('138.81773819049542'), 198.3678921225066], 'axes': [30.01208483474237, 45.93805706779821], 'angle': -72.80626140242356}","[Decimal('138.81773819049542'), 198.3678921225066]",45.93805706779821,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9802142426577731,2,10063.67993,2.2657353101758626,-1.8355157649212415,"[0.4338054318452982, Decimal('0.17346711615622257')]",pupil.1,1,3d c++,1582520736.743108,0.4338054318452982,0.17346711615622257
"{'center': [-2.191682653631476, 8.094203174600775, 63.67560756977728], 'normal': [Decimal('-0.20137079243901698'), 0.6412091121713309, -0.7404732800182163], 'radius': Decimal('2.3494730375985506')}",0.9998149279454879,10539.432662,4.698946075197101,"{'center': [138.7727167067805, Decimal('198.45954147990113')], 'axes': [29.85051442186731, 45.76751527996867], 'angle': -72.79465566162577}","[138.7727167067805, Decimal('198.45954147990113')]",45.76751527996867,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9802972371978691,2,10063.67993,2.2668692223120885,-1.8363236198238473,"[0.4336647397086891, Decimal('0.17308524383374524')]",pupil.1,1,3d c++,1582520736.75089,0.4336647397086891,0.17308524383374524
"{'center': [Decimal('-2.1831608334519386'), 8.104611442626906, 63.68231577313724], 'normal': [Decimal('-0.20066064075738885'), 0.6420764678401751, -0.7399142630715526], 'radius': 2.314502170461659}",0.9998459751140455,10539.441062,4.629004340923318,"{'center': [Decimal('138.85407826627304'), Decimal('198.56297639949065')], 'axes': [Decimal('29.370421306842108'), Decimal('45.081147434798105')], 'angle': -72.87375363914326}","[Decimal('138.85407826627304'), Decimal('198.56297639949065')]",45.081147434798105,"{'center': [0.2247668556367276, 0.3996938285448036, 72.56128692999587], 'radius': 12.0}","{'center': [Decimal('161.92052065765063'), 123.4151843797486], 'axes': [Decimal('205.06802772607392'), Decimal('205.06802772607392')], 'angle': 90.0}",0.9803599212428349,2,10063.67993,2.2680000589945633,-1.8356211162488236,"[Decimal('0.43391899458210326'), Decimal('0.17265426500212233')]",pupil.1,1,3d c++,1582520736.75914,0.43391899458210326,0.17265426500212233
