circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [Decimal('-1.6454383881881527'), 6.249157485332722, 67.17726380718622], 'normal': [Decimal('-0.21861143473325714'), 0.5923345583918572, -0.7754668345832659], 'radius': 2.482945089634834}",0.9498442987079623,2469.548026,4.965890179269668,"{'center': [Decimal('144.94912490232537'), Decimal('177.31759094848957')], 'axes': [32.786894016495, 45.84583484134169], 'angle': -70.23146471924639}","[Decimal('144.94912490232537'), Decimal('177.31759094848957')]",45.84583484134169,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.4315749602579855,21,2241.840826,2.204749673169707,-1.84557479009974,"[Decimal('0.45296601531976677'), 0.2611767043812935]",pupil.1,1,3d c++,1581655939.5948038,0.45296601531976677,0.2611767043812935
"{'center': [Decimal('-1.6420542877353967'), 6.27535022061614, 67.19637402342345], 'normal': [Decimal('-0.21832942636219416'), 0.5945172863321421, -0.7738743165634979], 'radius': 2.471866006275131}",0.9974359895157706,2469.556426,4.943732012550262,"{'center': [Decimal('144.98287884211837'), Decimal('177.54593818030952')], 'axes': [32.54033106946197, Decimal('45.628254896728784')], 'angle': -70.32238397261828}","[Decimal('144.98287884211837'), Decimal('177.54593818030952')]",45.628254896728784,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43231574300718334,21,2241.840826,2.207461513879607,-1.8457746139358535,"[0.4530714963816199, 0.2602252575820436]",pupil.1,1,3d c++,1581655939.601072,0.4530714963816199,0.2602252575820436
"{'center': [Decimal('-1.6423649247497014'), 6.254208596837202, 67.18025798276534], 'normal': [Decimal('-0.21835531278005285'), 0.5927554843505639, -0.7752173199516725], 'radius': 2.473928255303883}",0.996383504599575,2469.564826,4.947856510607766,"{'center': [Decimal('144.97696726381997'), Decimal('177.36416774036852')], 'axes': [Decimal('32.651897869652906'), 45.6772336183762], 'angle': -70.26657556257543}","[Decimal('144.97696726381997'), Decimal('177.36416774036852')]",45.6772336183762,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43245420152264735,21,2241.840826,2.205272213780949,-1.8453527690143583,"[0.4530530226994374, Decimal('0.26098263441513114')]",pupil.1,1,3d c++,1581655939.610038,0.4530530226994374,0.26098263441513114
"{'center': [Decimal('-1.6484583426868018'), 6.252227273479848, 67.18046154150517], 'normal': [Decimal('-0.21886309760814454'), 0.5925903740707844, -0.7752003567233543], 'radius': 2.477260295854525}",0.8261182474534455,2469.573226,4.95452059170905,"{'center': [Decimal('144.92143676784866'), Decimal('177.34485983088962')], 'axes': [32.69508773692555, 45.73864515436819], 'angle': -70.21740345092459}","[Decimal('144.92143676784866'), Decimal('177.34485983088962')]",45.73864515436819,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43129736824512044,21,2241.840826,2.2050672207111646,-1.8459652614978255,"[0.4528794898995271, Decimal('0.26106308403795997')]",pupil.1,1,3d c++,1581655939.619065,0.4528794898995271,0.26106308403795997
"{'center': [-1.651820290434268, 6.237222631350182, 67.16995928534601], 'normal': [Decimal('-0.21914325992043343'), 0.5913399872266455, -0.7760755447366166], 'radius': 2.47479224946818}",0.9934397086969988,2469.581626,4.94958449893636,"{'center': [Decimal('144.88815380216084'), Decimal('177.21618720316695')], 'axes': [Decimal('32.717649671571216'), 45.70015164219471], 'angle': -70.15473131534758}","[Decimal('144.88815380216084'), Decimal('177.21618720316695')]",45.70015164219471,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.4309380441614774,21,2241.840826,2.203515801678883,-1.8460047265467023,"[Decimal('0.45277548063175266'), Decimal('0.26159921998680435')]",pupil.1,1,3d c++,1581655939.6254878,0.45277548063175266,0.26159921998680435
"{'center': [-1.656652896397253, 6.238782495583093, 67.17251417781858], 'normal': [-0.2195459770840155, 0.5914699759127214, -0.7758626370305697], 'radius': Decimal('2.4986515456730327')}",0.9969866834653468,2469.590026,4.997303091346065,"{'center': [Decimal('144.84693204220923'), Decimal('177.22158824934513')], 'axes': [33.02008707029788, 46.13923652319561], 'angle': -70.12370326783754}","[Decimal('144.84693204220923'), Decimal('177.22158824934513')]",46.13923652319561,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.4310436692167907,21,2241.840826,2.203677003025287,-1.8465571320775027,"[Decimal('0.45264666263190384'), Decimal('0.26157671562772866')]",pupil.1,1,3d c++,1581655939.633374,0.45264666263190384,0.26157671562772866
"{'center': [Decimal('-1.6398614204501798'), 6.247287026812346, 67.1742652137298], 'normal': [-0.2181466874217594, 0.5921786868484925, -0.7757167173713018], 'radius': Decimal('2.4766273187927403')}",0.8789086058714368,2469.598426,4.953254637585481,"{'center': [Decimal('144.99902194129905'), 177.304628569208], 'axes': [32.71889280357402, Decimal('45.731152252685945')], 'angle': -70.26712793170739}","[Decimal('144.99902194129905'), 177.304628569208]",45.731152252685945,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43087349780477346,21,2241.840826,2.2045562240100574,-1.8449355373545673,"[Decimal('0.45312194356655955'), 0.2612307142949667]",pupil.1,1,3d c++,1581655939.6453602,0.45312194356655955,0.2612307142949667
"{'center': [Decimal('-1.6499003800790049'), 6.246798271248078, 67.1767210014603], 'normal': [Decimal('-0.21898326739082816'), 0.5921379572181369, -0.7755120683937607], 'radius': 2.492568984079996}",0.8444709274905983,2469.606826,4.985137968159992,"{'center': [144.9091086069751, Decimal('177.29358626481576')], 'axes': [32.91715128445417, Decimal('46.023996680170804')], 'angle': -70.19312560863418}","[144.9091086069751, Decimal('177.29358626481576')]",46.023996680170804,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43070222823125004,21,2241.840826,2.2045056797851914,-1.8460036736075156,"[0.4528409643967972, Decimal('0.26127672389660106')]",pupil.1,1,3d c++,1581655939.6529891,0.4528409643967972,0.26127672389660106
"{'center': [Decimal('-1.6305275249014652'), Decimal('6.2225470372304565'), 67.15281620980069], 'normal': [Decimal('-0.21736886279269985'), 0.5901170210500017, -0.7775041343653938], 'radius': 2.46180117521947}",0.9560274070292403,2469.615226,4.92360235043894,"{'center': [Decimal('145.07876319789935'), 177.0987860982238], 'axes': [Decimal('32.634354953196585'), Decimal('45.471681845431455')], 'angle': -70.27190138245284}","[Decimal('145.07876319789935'), 177.0987860982238]",45.471681845431455,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43012858397524223,21,2241.840826,2.202000110324409,-1.8434086704741586,"[Decimal('0.45337113499343545'), 0.2620883912574008]",pupil.1,1,3d c++,1581655939.661691,0.45337113499343545,0.2620883912574008
"{'center': [Decimal('-1.6285010044185317'), 6.236557040746426, 67.16289927479428], 'normal': [Decimal('-0.21719998608578872'), 0.5912845213429992, -0.7766638789492616], 'radius': 2.460169286529648}",0.9967299160303041,2469.623626,4.920338573059296,"{'center': [Decimal('145.09923838018923'), Decimal('177.21988615040613')], 'axes': [32.56003979302581, 45.43474255303439], 'angle': -70.32231420465571}","[Decimal('145.09923838018923'), Decimal('177.21988615040613')]",45.43474255303439,"{'center': [0.9778988286109329, -0.8588572153695645, 76.48286582218542], 'radius': 12.0}","{'center': [167.9272300693904, Decimal('113.03776776922669')], 'axes': [Decimal('194.55337924437126'), Decimal('194.55337924437126')], 'angle': 90.0}",0.43065941040841826,21,2241.840826,2.2034470232224344,-1.8434875297016144,"[0.4534351199380914, Decimal('0.26158380770664114')]",pupil.1,1,3d c++,1581655939.6694431,0.4534351199380914,0.26158380770664114
