circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [0.02007730034769306, 0.2371588909021929, 20.95060358114367], 'normal': [-0.2853591874285953, 0.5595521436985521, -0.7781205129235745], 'radius': 0.7946826841313875}",0.9995771546010856,359928.678838,1.589365368262775,"{'center': [160.7926787242016, Decimal('126.63371318106526')], 'axes': [36.33363486573797, 47.04893842851169], 'angle': Decimal('-63.392449376049676')}","[160.7926787242016, Decimal('126.63371318106526')]",47.04893842851169,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9450362398226386,1,359909.669808,2.164641657841203,-1.922295873071037,"[0.50247712101313, Decimal('0.47235952841222806')]",pupil.1,1,3d c++,1581494832.162605,0.50247712101313,0.47235952841222806
"{'center': [Decimal('0.017549003947146424'), Decimal('0.22517511305725346'), Decimal('20.942924348127725')], 'normal': [Decimal('-0.28556987879530754'), 0.5585534955448072, -0.7787604490082366], 'radius': 0.7745637889867586}",0.9999879016317649,359928.687238,1.5491275779735172,"{'center': [160.7085094616812, Decimal('126.30064386836273')], 'axes': [Decimal('35.468669457205024'), 45.87385477721297], 'angle': -63.3107047940938}","[160.7085094616812, Decimal('126.30064386836273')]",45.87385477721297,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9451863792561355,1,359909.669808,2.1634372075913713,-1.922268717482033,"[0.5022140920677537, 0.4737473172151553]",pupil.1,1,3d c++,1581494832.170906,0.5022140920677537,0.4737473172151553
"{'center': [Decimal('0.024149855941766774'), Decimal('0.22144948116143048'), Decimal('20.937836138182334')], 'normal': [-0.2850198077957558, 0.5582430262201552, -0.7791844665036859], 'radius': 0.7877412501301645}",0.9997138306433675,359928.695638,1.575482500260329,"{'center': [160.9105183968287, Decimal('126.17914751294789')], 'axes': [Decimal('36.110149657253366'), 46.66610066552054], 'angle': -63.35706488162047}","[160.9105183968287, Decimal('126.17914751294789')]",46.66610066552054,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9450992243565604,1,359909.669808,2.163062955627488,-1.9214703054812319,"[0.5028453699900897, 0.4742535520293838]",pupil.1,1,3d c++,1581494832.179426,0.5028453699900897,0.4742535520293838
"{'center': [Decimal('0.026421958776037258'), Decimal('0.22858061631666882'), 20.942118064009], 'normal': [Decimal('-0.28483046589289995'), 0.5588372874830917, -0.7788276393514638], 'radius': 0.7931884728712646}",0.9998298899395711,359928.704038,1.5863769457425292,"{'center': [160.980087889763, Decimal('126.38371975052851')], 'axes': [36.32815704158841, 46.97944982154643], 'angle': Decimal('-63.413221901528495')}","[160.980087889763, Decimal('126.38371975052851')]",46.97944982154643,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9451002004132847,1,359909.669808,2.1637793841090462,-1.9214036960575802,"[0.5030627746555094, Decimal('0.47340116770613117')]",pupil.1,1,3d c++,1581494832.186193,0.5030627746555094,0.47340116770613117
"{'center': [0.02408477478012383, Decimal('0.22637132072270116'), Decimal('20.941388143360555')], 'normal': [Decimal('-0.28502523122589274'), 0.5586531795169277, -0.7788884660721673], 'radius': 0.777229609395555}",0.9995445498596497,359928.712438,1.55445921879111,"{'center': [160.9031536929531, Decimal('126.33386300229304')], 'axes': [35.60184982413604, Decimal('46.035274367649016')], 'angle': -63.37993572479604}","[160.9031536929531, Decimal('126.33386300229304')]",46.035274367649016,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9449931535734923,1,359909.669808,2.163557390583506,-1.9215990473079847,"[0.5028223552904785, 0.4736089041571123]",pupil.1,1,3d c++,1581494832.198308,0.5028223552904785,0.4736089041571123
"{'center': [0.03132349902211917, Decimal('0.23254232906233163'), Decimal('20.943170345566124')], 'normal': [Decimal('-0.28442200420572644'), 0.559167430211897, -0.7787399492217033], 'radius': 0.7810856590051077}",0.9996933014162793,359928.720838,1.5621713180102155,"{'center': [Decimal('161.11892261218645'), Decimal('126.51220546602566')], 'axes': [Decimal('35.765330637905464'), 46.25998071156284], 'angle': -63.47972263793116}","[Decimal('161.11892261218645'), Decimal('126.51220546602566')]",46.25998071156284,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9450091357385393,1,359909.669808,2.1641775464893294,-1.9209773142607314,"[0.5034966331630827, 0.4728658105582264]",pupil.1,1,3d c++,1581494832.208094,0.5034966331630827,0.4728658105582264
"{'center': [Decimal('0.025767233963700065'), 0.2330906220933029, Decimal('20.945595359901844')], 'normal': [Decimal('-0.28488502629392803'), 0.5592131212978112, -0.7785378646937265], 'radius': 0.786459120708966}",0.9999063520356202,359928.729238,1.572918241417932,"{'center': [Decimal('160.95712319238706'), Decimal('126.52266649287486')], 'axes': [35.99396392134771, 46.57295313013017], 'angle': -63.42831606610824}","[Decimal('160.95712319238706'), Decimal('126.52266649287486')]",46.57295313013017,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9449819304532481,1,359909.669808,2.164232659779435,-1.9215855600305365,"[0.5029910099762096, 0.4728222229463548]",pupil.1,1,3d c++,1581494832.2159832,0.5029910099762096,0.4728222229463548
"{'center': [Decimal('0.030658052029650662'), Decimal('0.23595760365507434'), Decimal('20.945866734110023')], 'normal': [-0.2844774581217655, 0.5594520364279588, -0.7785152501763785], 'radius': 0.7890396788122839}",0.999948829254629,359928.737638,1.5780793576245677,"{'center': [161.1029515734653, Decimal('126.60486600366369')], 'axes': [36.11000011487475, Decimal('46.725326256316045')], 'angle': -63.48946716673529}","[161.1029515734653, Decimal('126.60486600366369')]",46.725326256316045,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9450196761795149,1,359909.669808,2.164520876258964,-1.9211331608931141,"[0.5034467236670791, 0.4724797249847347]",pupil.1,1,3d c++,1581494832.2235339,0.5034467236670791,0.4724797249847347
"{'center': [Decimal('0.030327441421200696'), 0.2291455713206494, Decimal('20.941096027650932')], 'normal': [-0.284505009005803, 0.5588843670667568, -0.7789128090479694], 'radius': 0.7961777214236482}",0.9995188432546073,359928.746038,1.5923554428472964,"{'center': [Decimal('161.09712958686634'), Decimal('126.39777407037118')], 'axes': [36.47270916992733, 47.15894741331157], 'angle': -63.45391143674579}","[Decimal('161.09712958686634'), Decimal('126.39777407037118')]",47.15894741331157,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9450424689140924,1,359909.669808,2.1638361570156888,-1.9209998222469138,"[0.5034285299589574, Decimal('0.47334260804012007')]",pupil.1,1,3d c++,1581494832.234325,0.5034285299589574,0.47334260804012007
"{'center': [0.02665557070216895, Decimal('0.22646559611988426'), Decimal('20.940515403552602')], 'normal': [-0.284810998232389, 0.5586610358000264, -0.778961194389497], 'radius': 0.7834658017381667}",0.999961226064336,359928.754438,1.5669316034763334,"{'center': [160.9822940264531, Decimal('126.33092714435932')], 'axes': [35.89414325255833, Decimal('46.406807558630334')], 'angle': Decimal('-63.405398434529396')}","[160.9822940264531, Decimal('126.33092714435932')]",46.406807558630334,"{'center': [Decimal('3.4443875494908367'), -6.477466833480432, Decimal('30.288049736226565')], 'radius': 12.0}","{'center': [Decimal('230.50702502413324'), Decimal('-12.594520668474189')], 'axes': [491.2828699631495, 491.2828699631495], 'angle': 90.0}",0.9450754361678193,1,359909.669808,2.1635668628468614,-1.9213263442905288,"[0.5030696688326659, 0.4736211368985028]",pupil.1,1,3d c++,1581494832.239378,0.5030696688326659,0.4736211368985028
