circle_3d,confidence,timestamp,diameter_3d,ellipse,location,diameter,sphere,projected_sphere,model_confidence,model_id,model_birth_timestamp,theta,phi,norm_pos,topic,id,method,python_timestamp,norm_x,norm_y
"{'center': [0.3784338006119392, Decimal('2.0941976339155577'), Decimal('15.988768380818676')], 'normal': [Decimal('-0.19907492744065647'), 0.5918461827475249, -0.7810808339933075], 'radius': 0.4829590104050173}",0.9994284871691603,5641.507309,0.9659180208100346,"{'center': [Decimal('174.76782674550722'), Decimal('200.97446209559044')], 'axes': [Decimal('26.495677411716567'), 37.52246878393462], 'angle': -74.65089522943462}","[Decimal('174.76782674550722'), Decimal('200.97446209559044')]",37.52246878393462,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9163417710883581,117,5464.517336,2.2041436514660893,-1.8203542693773045,"[0.5461494585797101, 0.1626064079350399]",pupil.1,1,3d c++,1582012717.784679,0.5461494585797101,0.1626064079350399
"{'center': [0.3765787718532083, 2.095471911894471, Decimal('15.990207109705523')], 'normal': [-0.1992295131705507, 0.5919523725791009, -0.7809609399194037], 'radius': 0.4887243479416183}",0.9996450208537928,5641.515709,0.9774486958832366,"{'center': [Decimal('174.69683445020664'), Decimal('201.01103845493927')], 'axes': [26.80254580019495, Decimal('37.967008404724695')], 'angle': -74.63529188943136}","[Decimal('174.69683445020664'), Decimal('201.01103845493927')]",37.967008404724695,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.916617483314619,117,5464.517336,2.2042753986855743,-1.8205768672220555,"[0.5459276076568957, 0.1624540064377531]",pupil.1,1,3d c++,1582012717.7914882,0.5459276076568957,0.1624540064377531
"{'center': [Decimal('0.37651384307823355'), 2.092532676175362, Decimal('15.987996515053608')], 'normal': [Decimal('-0.19923492390179862'), 0.5917074362691752, -0.7811451561403966], 'radius': Decimal('0.48855324295198876')}",0.9997358936266375,5641.524109,0.9771064859039775,"{'center': [Decimal('174.69631454437183'), 200.9083810091351], 'axes': [Decimal('26.808795703918058'), 37.9588927997484], 'angle': -74.628862149022}","[Decimal('174.69631454437183'), 200.9083810091351]",37.9588927997484,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9169380237071589,117,5464.517336,2.2039715311847874,-1.8205268843495521,"[0.545925982951162, Decimal('0.16288174579527037')]",pupil.1,1,3d c++,1582012717.799027,0.545925982951162,0.16288174579527037
"{'center': [0.3773274540631668, Decimal('2.0937947752716246'), 15.98874517360882], 'normal': [-0.1991671229863875, 0.5918126111938637, -0.7810827679274622], 'radius': Decimal('0.48784739764000923')}",0.9996097625930083,5641.532509,0.9756947952800185,"{'center': [Decimal('174.72687065619147'), Decimal('200.95422988357817')], 'axes': [Decimal('26.764524951539464'), 37.90235171086663], 'angle': -74.63931241273377}","[Decimal('174.72687065619147'), Decimal('200.95422988357817')]",37.90235171086663,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9172463525267349,117,5464.517336,2.2041020026827973,-1.8204645094741276,"[0.5460214708005984, 0.1626907088184243]",pupil.1,1,3d c++,1582012717.8076382,0.5460214708005984,0.1626907088184243
"{'center': [Decimal('0.37668384766475693'), Decimal('2.0925821176402604'), Decimal('15.987990607494886')], 'normal': [Decimal('-0.19922075685292165'), 0.5917115563912501, -0.7811456484369568], 'radius': 0.486317176456436}",0.9992599796948676,5641.540909,0.972634352912872,"{'center': [174.7020366696011, 200.9125024136166], 'axes': [Decimal('26.686000082181252'), 37.78512443029783], 'angle': -74.63060373702254}","[174.7020366696011, 200.9125024136166]",37.78512443029783,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9178146212442062,117,5464.517336,2.203976642039564,-1.8205097048602998,"[0.5459438645925034, Decimal('0.16286457327659742')]",pupil.1,1,3d c++,1582012717.815204,0.5459438645925034,0.16286457327659742
"{'center': [Decimal('0.37699190659924664'), Decimal('2.0935015289693055'), Decimal('15.988608558400783')], 'normal': [-0.1991950852750475, 0.5917881740020038, -0.781094152528132], 'radius': 0.4845946565878311}",0.9987793626742714,5641.549309,0.9691893131756621,"{'center': [Decimal('174.71272951671665'), Decimal('200.94670684395726')], 'axes': [Decimal('26.586994058493946'), Decimal('37.649832108634925')], 'angle': -74.63541712144134}","[Decimal('174.71272951671665'), Decimal('200.94670684395726')]",37.649832108634925,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.918060412359123,117,5464.517336,2.204071686766206,-1.820494632986342,"[0.5459772797397395, Decimal('0.16272205481684476')]",pupil.1,1,3d c++,1582012717.8232698,0.5459772797397395,0.16272205481684476
"{'center': [0.3776960559649125, Decimal('2.0934824391429636'), Decimal('15.988414551080382')], 'normal': [-0.199136406161242, 0.591786583183142, -0.7811103198048321], 'radius': Decimal('0.48723186540922947')}",0.99955819343984,5641.557709,0.9744637308184589,"{'center': [Decimal('174.74122484634802'), Decimal('200.94438153019775')], 'axes': [26.73295882135993, Decimal('37.855319592235105')], 'angle': -74.64230209398093}","[Decimal('174.74122484634802'), Decimal('200.94438153019775')]",37.855319592235105,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9183695895548682,117,5464.517336,2.2040697132759384,-1.8204191400909133,"[0.5460663276448375, Decimal('0.16273174362417608')]",pupil.1,1,3d c++,1582012717.8313699,0.5460663276448375,0.16273174362417608
"{'center': [Decimal('0.37800200513553284'), 2.097340984053523, Decimal('15.991261103356116')], 'normal': [Decimal('-0.19911091039702367'), 0.5921081285923553, -0.7808731071151875], 'radius': Decimal('0.48655291878373547')}",0.999613155938788,5641.566109,0.9731058375674709,"{'center': [174.7501514736565, Decimal('201.08028806537322')], 'axes': [26.67556336438052, 37.79592578175001], 'angle': -74.65288035823798}","[174.7501514736565, Decimal('201.08028806537322')]",37.79592578175001,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9187588846934713,117,5464.517336,2.2044686645642133,-1.8204612009754104,"[0.5460942233551765, 0.1621654663942782]",pupil.1,1,3d c++,1582012717.839099,0.5460942233551765,0.1621654663942782
"{'center': [0.3800559292818044, Decimal('2.0940676363428974'), Decimal('15.988256599653438')], 'normal': [Decimal('-0.19893975005150105'), 0.5918353496164698, -0.7811234824237441], 'radius': Decimal('0.48840973555740147')}",0.9995959294463873,5641.574509,0.9768194711148029,"{'center': [Decimal('174.83328891100916'), 200.9667053841094], 'axes': [26.79808947628834, Decimal('37.947456663002995')], 'angle': -74.66658203477509}","[Decimal('174.83328891100916'), 200.9667053841094]",37.947456663002995,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9189703423023055,117,5464.517336,2.2041302117723314,-1.8201786954219807,"[0.5463540278469037, 0.1626387275662109]",pupil.1,1,3d c++,1582012717.851636,0.5463540278469037,0.1626387275662109
"{'center': [0.3750950038925507, Decimal('2.0940592879366653'), Decimal('15.989515140519437')], 'normal': [-0.1993531605006055, 0.5918346539159505, -0.7810186040182442], 'radius': Decimal('0.48691895260779816')}",0.9995185577626615,5641.582909,0.9738379052155963,"{'center': [174.6392768721266, 200.9615244725058], 'axes': [26.70874809348411, 37.82818489549808], 'angle': -74.61796159705857}","[174.6392768721266, 200.9615244725058]",37.82818489549808,"{'center': [2.767332929899817, -5.00795655905474, Decimal('25.361738388738367')], 'radius': 12.0}","{'center': [Decimal('227.65097842424504'), -2.425877083908972], 'axes': [586.7105705422512, 586.7105705422512], 'angle': 90.0}",0.9191657701620226,117,5464.517336,2.204129348683647,-1.820707820451446,"[0.5457477402253956, Decimal('0.16266031469789255')]",pupil.1,1,3d c++,1582012717.859453,0.5457477402253956,0.16266031469789255
