quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,zmq_confidence,IMUtimestamp
0.02661,-0.12012,-0.98425,0.12708,0.01648,0.5211987503398148,0.2186606285245719,0.9995526114250652,1580792164.48953
0.02655,-0.12000,-0.98425,0.12701,0.01648,0.5211987503398148,0.2186606285245719,0.9995526114250652,1580792164.491998
0.02655,-0.12000,-0.98425,0.12701,0.01648,0.5218910415809047,0.21740138181677227,0.9997859892980667,1580792164.497004
0.02649,-0.11987,-0.98431,0.12695,0.01648,0.5218910415809047,0.21740138181677227,0.9997859892980667,1580792164.501164
0.02637,-0.11963,-0.98431,0.12695,0.01648,0.5212096968810462,0.21689319397628237,0.9992896171038297,1580792164.50369
0.02637,-0.11963,-0.98431,0.12695,0.01648,0.5212096968810462,0.21689319397628237,0.9992896171038297,1580792164.507649
0.02625,-0.11945,-0.98431,0.12695,0.01648,0.5212096968810462,0.21689319397628237,0.9992896171038297,1580792164.5099058
0.02606,-0.11926,-0.98437,0.12695,0.01648,0.5215534057684639,0.21624520554396987,0.9998014319544251,1580792164.518836
0.02594,-0.11902,-0.98437,0.12701,0.01648,0.5224735820676644,0.215300023947554,0.9990971470354622,1580792164.525986
0.02570,-0.11877,-0.98444,0.12708,0.01648,0.5216388892020916,0.21608425697874378,0.9999240018878313,1580792164.5343869
0.02551,-0.11859,-0.98444,0.12714,0.01648,0.5212723375089197,0.21555183533201872,0.9990410212901988,1580792164.5407581
0.02527,-0.11835,-0.98450,0.12720,0.01648,0.5212723375089197,0.21555183533201872,0.9990410212901988,1580792164.541902
0.02496,-0.11810,-0.98450,0.12726,0.01648,0.5220947573982138,0.21625392135547872,0.9999477455415332,1580792164.5495942
0.02472,-0.11786,-0.98450,0.12738,0.01648,0.5219558850589395,0.2164795868067948,0.9981177413793925,1580792164.5565
0.02441,-0.11761,-0.98456,0.12756,0.01648,0.5219558850589395,0.2164795868067948,0.9981177413793925,1580792164.561857
0.02411,-0.11737,-0.98456,0.12769,0.01648,0.5218027108269043,0.21331923141743758,0.9985669267301482,1580792164.565811
0.02374,-0.11713,-0.98456,0.12787,0.01648,0.5227760237710088,0.2136856553509897,0.9984971106041199,1580792164.572004
0.02338,-0.11682,-0.98456,0.12805,0.01648,0.5227760237710088,0.2136856553509897,0.9984971106041199,1580792164.5750568
0.02307,-0.11658,-0.98462,0.12823,0.01648,0.5227760237710088,0.2136856553509897,0.9984971106041199,1580792164.577236
0.02271,-0.11627,-0.98462,0.12848,0.01648,0.5231009109271734,0.21428116832003263,0.9978162224288827,1580792164.585968
0.02234,-0.11597,-0.98462,0.12866,0.01648,0.5229086511228409,0.21462931503675287,0.9996751667586706,1580792164.589671
0.02203,-0.11560,-0.98468,0.12891,0.01648,0.5243662413408006,0.2130989057547611,0.9969905692945586,1580792164.59795
