quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,phi,theta,zmq_confidence,IMUtimestamp
0.03247,-0.08734,-0.99426,0.05200,0.01514,0.4490125709690164,0.32468841199639376,-1.8302633324331854,2.0818692300607013,0.9999501737418581,1580863547.881366
0.03247,-0.08734,-0.99426,0.05200,0.01514,0.4490125709690164,0.32468841199639376,-1.8302633324331854,2.0818692300607013,0.9999501737418581,1580863547.881997
0.03247,-0.08728,-0.99432,0.05200,0.01514,0.4490125709690164,0.32468841199639376,-1.8302633324331854,2.0818692300607013,0.9999501737418581,1580863547.8825002
0.03247,-0.08728,-0.99432,0.05200,0.01514,0.4490125709690164,0.32468841199639376,-1.8302633324331854,2.0818692300607013,0.9999501737418581,1580863547.883168
0.03247,-0.08728,-0.99432,0.05200,0.01514,0.4495315431891102,0.32406124435402495,-1.828918659123846,2.0831689577418846,0.9994443583655627,1580863547.887516
0.03253,-0.08722,-0.99432,0.05200,0.01514,0.4495315431891102,0.32406124435402495,-1.828918659123846,2.0831689577418846,0.9994443583655627,1580863547.893923
0.03253,-0.08716,-0.99432,0.05200,0.01514,0.4496980262542965,0.3242140474169338,-1.828389763726852,2.0828530267896452,0.9993157127729775,1580863547.8982668
0.03253,-0.08716,-0.99432,0.05200,0.01514,0.4496980262542965,0.3242140474169338,-1.828389763726852,2.0828530267896452,0.9993157127729775,1580863547.899283
0.03253,-0.08716,-0.99432,0.05200,0.01514,0.4496980262542965,0.3242140474169338,-1.828389763726852,2.0828530267896452,0.9993157127729775,1580863547.900152
0.03253,-0.08710,-0.99432,0.05206,0.01514,0.4493175061937773,0.3252943838211765,-1.8291237556676372,2.080484676517957,0.9996881983843562,1580863547.9104488
0.03259,-0.08691,-0.99432,0.05206,0.01514,0.4493175061937773,0.3252943838211765,-1.8291237556676372,2.080484676517957,0.9996881983843562,1580863547.917831
0.03265,-0.08679,-0.99432,0.05206,0.01514,0.44978462218688603,0.32471187773940424,-1.8279272809096838,2.081704486284445,0.990850994861494,1580863547.928978
0.03265,-0.08673,-0.99432,0.05200,0.01514,0.4494293530753895,0.3246389662293814,-1.8290176508323568,2.081906743399243,0.9952199397632645,1580863547.932514
0.03265,-0.08673,-0.99432,0.05200,0.01514,0.4494293530753895,0.3246389662293814,-1.8290176508323568,2.081906743399243,0.9952199397632645,1580863547.9333959
0.03271,-0.08667,-0.99432,0.05200,0.01514,0.4497943633587573,0.3249986279127587,-1.827826548308489,2.0811210242707685,0.9751381715591194,1580863547.93796
0.03271,-0.08655,-0.99432,0.05200,0.01514,0.44953920824123983,0.32456650488699335,-1.828703514805716,2.082036015622001,0.9953137027047844,1580863547.946738
0.03278,-0.08649,-0.99438,0.05194,0.01514,0.44953920824123983,0.32456650488699335,-1.828703514805716,2.082036015622001,0.9953137027047844,1580863547.947843
0.03278,-0.08649,-0.99438,0.05194,0.01514,0.45005888599883415,0.32494710644142244,-1.8270651945011345,2.081223441382136,0.999608441599134,1580863547.9552739
0.03278,-0.08649,-0.99438,0.05194,0.01514,0.45005888599883415,0.32494710644142244,-1.8270651945011345,2.081223441382136,0.999608441599134,1580863547.95712
0.03278,-0.08649,-0.99438,0.05194,0.01514,0.45005888599883415,0.32494710644142244,-1.8270651945011345,2.081223441382136,0.999608441599134,1580863547.957828
0.03278,-0.08649,-0.99438,0.05194,0.01514,0.45005888599883415,0.32494710644142244,-1.8270651945011345,2.081223441382136,0.999608441599134,1580863547.958475
0.03278,-0.08649,-0.99438,0.05194,0.01514,0.45005888599883415,0.32494710644142244,-1.8270651945011345,2.081223441382136,0.999608441599134,1580863547.9647381
0.03284,-0.08636,-0.99438,0.05188,0.01514,0.45000087476441053,0.32504427623348764,-1.8272199400205291,2.0810414663970653,0.9992373629394269,1580863547.974894
0.03284,-0.08636,-0.99438,0.05188,0.01514,0.45000087476441053,0.32504427623348764,-1.8272199400205291,2.0810414663970653,0.9992373629394269,1580863547.9774039
0.03284,-0.08630,-0.99438,0.05188,0.01514,0.45000087476441053,0.32504427623348764,-1.8272199400205291,2.0810414663970653,0.9992373629394269,1580863547.980043
0.03284,-0.08630,-0.99438,0.05188,0.01514,0.4503022256792276,0.3254297817783509,-1.8262026786735552,2.080190803656726,0.9933259052421459,1580863547.981461
0.03290,-0.08630,-0.99438,0.05188,0.01514,0.4500882714139534,0.3249687578033349,-1.8270038686761305,2.0812281243896322,0.9995244619832427,1580863547.988468
0.03290,-0.08618,-0.99438,0.05182,0.01514,0.4500882714139534,0.3249687578033349,-1.8270038686761305,2.0812281243896322,0.9995244619832427,1580863547.991696
0.03290,-0.08618,-0.99438,0.05176,0.01514,0.4500882714139534,0.3249687578033349,-1.8270038686761305,2.0812281243896322,0.9995244619832427,1580863547.993026
0.03290,-0.08612,-0.99438,0.05176,0.01514,0.44993658919079016,0.32464245358631016,-1.8275655355123095,2.081951243306308,0.9928731374159496,1580863548.001874
0.03290,-0.08612,-0.99438,0.05176,0.01514,0.44993658919079016,0.32464245358631016,-1.8275655355123095,2.081951243306308,0.9928731374159496,1580863548.003191
0.03290,-0.08612,-0.99438,0.05176,0.01514,0.44993658919079016,0.32464245358631016,-1.8275655355123095,2.081951243306308,0.9928731374159496,1580863548.0079849
0.03290,-0.08612,-0.99438,0.05176,0.01514,0.4500227084705718,0.3253762741958587,-1.8270621119602244,2.080348523468885,0.9902983756881629,1580863548.009771
0.03290,-0.08612,-0.99438,0.05176,0.01514,0.4500227084705718,0.3253762741958587,-1.8270621119602244,2.080348523468885,0.9902983756881629,1580863548.014267
0.03290,-0.08606,-0.99438,0.05176,0.01514,0.4500227084705718,0.3253762741958587,-1.8270621119602244,2.080348523468885,0.9902983756881629,1580863548.015528
0.03290,-0.08606,-0.99438,0.05176,0.01514,0.4496296783532182,0.32520064628439327,-1.8283098811914946,2.08079587223751,0.9999444832101956,1580863548.0172422
0.03290,-0.08600,-0.99438,0.05170,0.01514,0.4496679785484696,0.32512524774759266,-1.8282091627704313,2.0809366507018607,0.9838068552057821,1580863548.024865
