quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.05206,-0.02673,-0.94873,0.31061,0.02075,1580887601.071924
0.05206,-0.02679,-0.94873,0.31061,0.02069,1580887601.157378
0.05206,-0.02679,-0.94879,0.31049,0.02075,1580887601.2605
0.05206,-0.02673,-0.94879,0.31042,0.02075,1580887601.353361
0.05212,-0.02661,-0.94885,0.31024,0.02069,1580887601.404321
0.05212,-0.02649,-0.94891,0.31000,0.02069,1580887601.5036721
0.05212,-0.02637,-0.94904,0.30975,0.02069,1580887601.5517728
0.05212,-0.02618,-0.94916,0.30945,0.02069,1580887601.6043441
0.05200,-0.02606,-0.94928,0.30908,0.02069,1580887601.638198
0.05182,-0.02588,-0.94940,0.30872,0.02069,1580887601.6918678
0.05157,-0.02582,-0.94952,0.30841,0.02069,1580887601.736037
0.05127,-0.02570,-0.94965,0.30804,0.02069,1580887601.7673779
0.05103,-0.02570,-0.94977,0.30774,0.02075,1580887601.7707021
0.05072,-0.02570,-0.94989,0.30737,0.02069,1580887601.852106
0.05048,-0.02576,-0.95001,0.30707,0.02069,1580887601.8985338
0.05029,-0.02588,-0.95013,0.30664,0.02069,1580887601.9267578
0.05017,-0.02606,-0.95026,0.30621,0.02075,1580887601.931066
0.05011,-0.02637,-0.95044,0.30560,0.02069,1580887601.9346921
0.05017,-0.02667,-0.95062,0.30511,0.02075,1580887601.951604
0.05023,-0.02704,-0.95081,0.30438,0.02069,1580887602.038723
0.05029,-0.02740,-0.95105,0.30377,0.02075,1580887602.1767402
0.05035,-0.02783,-0.95123,0.30298,0.02075,1580887602.2991638
0.05035,-0.02826,-0.95148,0.30225,0.02075,1580887602.3068328
0.05035,-0.02863,-0.95166,0.30157,0.02075,1580887602.3097758
0.05029,-0.02899,-0.95184,0.30096,0.02075,1580887602.3787572
0.05017,-0.02936,-0.95203,0.30042,0.02075,1580887602.466965
0.04999,-0.02972,-0.95221,0.29993,0.02075,1580887602.5155451
0.04974,-0.02997,-0.95233,0.29950,0.02075,1580887602.56745
0.04956,-0.03021,-0.95239,0.29919,0.02075,1580887602.6374242
0.04938,-0.03046,-0.95251,0.29895,0.02075,1580887602.713635
0.04926,-0.03076,-0.95258,0.29877,0.02075,1580887602.769109
0.04919,-0.03107,-0.95258,0.29858,0.02075,1580887602.84764
0.04919,-0.03137,-0.95264,0.29846,0.02075,1580887602.887219
0.04932,-0.03180,-0.95264,0.29834,0.02075,1580887602.9219992
0.04950,-0.03223,-0.95270,0.29816,0.02075,1580887602.9590578
0.04968,-0.03271,-0.95270,0.29797,0.02075,1580887602.9624681
0.04993,-0.03314,-0.95276,0.29779,0.02075,1580887602.964808
0.05017,-0.03363,-0.95276,0.29761,0.02075,1580887602.967753
0.05048,-0.03412,-0.95282,0.29742,0.02075,1580887602.96969
0.05066,-0.03461,-0.95282,0.29730,0.02075,1580887603.105155
