quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.01453,0.05786,0.33398,0.94067,0.01813,1580890385.283081
0.01489,0.05750,0.33435,0.94055,0.01813,1580890385.353666
0.01520,0.05719,0.33466,0.94049,0.01813,1580890385.4208362
0.01556,0.05688,0.33502,0.94037,0.01807,1580890385.481599
0.01593,0.05652,0.33533,0.94025,0.01807,1580890385.502686
0.01630,0.05615,0.33569,0.94019,0.01807,1580890385.579427
0.01660,0.05585,0.33600,0.94006,0.01807,1580890385.629009
0.01697,0.05548,0.33630,0.93994,0.01807,1580890385.668642
0.01727,0.05505,0.33667,0.93988,0.01807,1580890385.6720068
0.01758,0.05469,0.33691,0.93976,0.01807,1580890385.675638
0.01788,0.05432,0.33722,0.93970,0.01807,1580890385.807359
0.01819,0.05396,0.33752,0.93958,0.01801,1580890385.913216
0.01849,0.05347,0.33777,0.93951,0.01801,1580890385.988632
0.01874,0.05304,0.33801,0.93945,0.01801,1580890385.990551
0.01898,0.05255,0.33832,0.93939,0.01801,1580890386.037583
0.01923,0.05206,0.33856,0.93933,0.01801,1580890386.0407948
0.01947,0.05151,0.33887,0.93921,0.01801,1580890386.044344
0.01971,0.05096,0.33911,0.93915,0.01801,1580890386.127671
0.02002,0.05048,0.33936,0.93909,0.01801,1580890386.190478
0.02032,0.04987,0.33966,0.93903,0.01801,1580890386.23565
0.02063,0.04938,0.33997,0.93890,0.01801,1580890386.298366
0.02094,0.04889,0.34021,0.93884,0.01794,1580890386.303262
0.02118,0.04846,0.34052,0.93878,0.01794,1580890386.306326
0.02136,0.04791,0.34082,0.93866,0.01794,1580890386.311585
0.02148,0.04742,0.34113,0.93860,0.01794,1580890386.4350169
0.02155,0.04700,0.34137,0.93848,0.01794,1580890386.521303
0.02155,0.04663,0.34167,0.93842,0.01794,1580890386.565752
0.02148,0.04626,0.34198,0.93829,0.01794,1580890386.5778618
0.02136,0.04590,0.34229,0.93823,0.01794,1580890386.639447
0.02118,0.04565,0.34259,0.93817,0.01794,1580890386.6804328
0.02100,0.04535,0.34290,0.93805,0.01788,1580890386.683716
0.02069,0.04510,0.34314,0.93799,0.01788,1580890386.6862469
0.02039,0.04486,0.34344,0.93787,0.01788,1580890386.6880808
0.02008,0.04462,0.34369,0.93781,0.01788,1580890386.690231
0.01953,0.04437,0.34399,0.93774,0.01788,1580890386.691541
0.01898,0.04419,0.34430,0.93762,0.01788,1580890386.7277188
0.01831,0.04401,0.34454,0.93756,0.01788,1580890386.797385
0.01770,0.04376,0.34485,0.93750,0.01788,1580890386.8864992
0.01721,0.04358,0.34515,0.93738,0.01788,1580890386.971089
0.01666,0.04340,0.34552,0.93726,0.01782,1580890387.051979
0.01636,0.04321,0.34583,0.93713,0.01782,1580890387.106028
0.01599,0.04303,0.34625,0.93701,0.01782,1580890387.16283
0.01575,0.04285,0.34668,0.93689,0.01782,1580890387.21945
0.01556,0.04266,0.34717,0.93671,0.01782,1580890387.238312
0.01532,0.04242,0.34772,0.93652,0.01782,1580890387.2408168
0.01501,0.04218,0.34821,0.93634,0.01782,1580890387.265832
0.01465,0.04193,0.34875,0.93616,0.01782,1580890387.326008
0.01410,0.04169,0.34937,0.93597,0.01782,1580890387.3865972
0.01331,0.04144,0.35004,0.93573,0.01782,1580890387.448546
0.01251,0.04114,0.35059,0.93555,0.01782,1580890387.480045
0.01178,0.04089,0.35114,0.93536,0.01782,1580890387.489635
0.01086,0.04059,0.35181,0.93512,0.01776,1580890387.518456
0.01025,0.04034,0.35236,0.93494,0.01782,1580890387.5219011
0.00958,0.04010,0.35297,0.93475,0.01776,1580890387.5239081
0.00897,0.03986,0.35352,0.93451,0.01776,1580890387.56047
0.00830,0.03961,0.35419,0.93433,0.01776,1580890387.6475048
0.00763,0.03931,0.35480,0.93408,0.01776,1580890387.740525
0.00702,0.03900,0.35547,0.93384,0.01776,1580890387.7866051
0.00641,0.03876,0.35608,0.93365,0.01776,1580890387.8203
0.00568,0.03839,0.35681,0.93335,0.01776,1580890387.876308
0.00500,0.03802,0.35742,0.93317,0.01776,1580890387.935141
0.00433,0.03766,0.35809,0.93292,0.01776,1580890387.983603
0.00372,0.03729,0.35870,0.93268,0.01776,1580890387.9876852
0.00293,0.03693,0.35944,0.93243,0.01776,1580890387.991034
0.00214,0.03656,0.36011,0.93219,0.01776,1580890387.9930508
