quatI,quatJ,quatK,quatReal,quatRadianAccuracy,IMUtimestamp
0.03656,-0.08990,-0.98560,0.13861,0.01636,1580889140.213134
0.03650,-0.08990,-0.98560,0.13867,0.01636,1580889140.2538052
0.03644,-0.08990,-0.98560,0.13873,0.01636,1580889140.258254
0.03638,-0.08984,-0.98560,0.13879,0.01636,1580889140.265335
0.03632,-0.08984,-0.98553,0.13885,0.01636,1580889140.271418
0.03625,-0.08984,-0.98553,0.13892,0.01636,1580889140.276486
0.03625,-0.08984,-0.98553,0.13892,0.01636,1580889140.2979252
0.03619,-0.08978,-0.98553,0.13898,0.01636,1580889140.386548
0.03613,-0.08978,-0.98553,0.13904,0.01636,1580889140.428416
0.03607,-0.08978,-0.98553,0.13910,0.01630,1580889140.431954
0.03607,-0.08978,-0.98553,0.13916,0.01630,1580889140.4424472
0.03601,-0.08972,-0.98553,0.13916,0.01630,1580889140.6334238
0.03601,-0.08972,-0.98553,0.13922,0.01630,1580889140.742754
0.03601,-0.08972,-0.98553,0.13922,0.01630,1580889140.804472
0.03601,-0.08972,-0.98553,0.13922,0.01630,1580889140.807447
0.03595,-0.08966,-0.98553,0.13922,0.01630,1580889140.854141
0.03595,-0.08966,-0.98553,0.13928,0.01630,1580889140.918837
0.03589,-0.08966,-0.98553,0.13928,0.01630,1580889140.963319
0.03577,-0.08966,-0.98553,0.13928,0.01630,1580889140.986343
0.03571,-0.08960,-0.98553,0.13934,0.01636,1580889141.056948
0.03558,-0.08960,-0.98553,0.13934,0.01636,1580889141.064181
0.03552,-0.08960,-0.98553,0.13940,0.01636,1580889141.188579
0.03540,-0.08960,-0.98553,0.13947,0.01636,1580889141.309212
0.03534,-0.08960,-0.98553,0.13959,0.01630,1580889141.368895
0.03522,-0.08960,-0.98553,0.13965,0.01636,1580889141.3956769
0.03516,-0.08966,-0.98547,0.13971,0.01630,1580889141.417732
0.03510,-0.08966,-0.98547,0.13977,0.01630,1580889141.43667
0.03510,-0.08966,-0.98547,0.13989,0.01630,1580889141.488624
0.03503,-0.08966,-0.98547,0.13989,0.01630,1580889141.571987
0.03503,-0.08966,-0.98547,0.13995,0.01630,1580889141.722632
0.03503,-0.08966,-0.98547,0.14001,0.01630,1580889141.80029
0.03510,-0.08966,-0.98547,0.14008,0.01630,1580889141.884972
0.03510,-0.08966,-0.98547,0.14008,0.01630,1580889141.9262779
0.03510,-0.08966,-0.98541,0.14014,0.01630,1580889141.95584
0.03510,-0.08972,-0.98541,0.14014,0.01630,1580889142.0367382
0.03503,-0.08972,-0.98541,0.14020,0.01630,1580889142.096083
0.03503,-0.08972,-0.98541,0.14020,0.01630,1580889142.138581
0.03497,-0.08966,-0.98541,0.14026,0.01630,1580889142.1633291
0.03485,-0.08966,-0.98541,0.14032,0.01630,1580889142.2215402
0.03479,-0.08966,-0.98541,0.14044,0.01630,1580889142.30035
0.03473,-0.08960,-0.98541,0.14050,0.01630,1580889142.398558
0.03467,-0.08960,-0.98541,0.14056,0.01630,1580889142.492687
0.03467,-0.08960,-0.98541,0.14063,0.01630,1580889142.537667
0.03467,-0.08960,-0.98535,0.14069,0.01630,1580889142.574411
0.03467,-0.08960,-0.98535,0.14075,0.01630,1580889142.583305
0.03467,-0.08960,-0.98535,0.14075,0.01636,1580889142.589941
0.03473,-0.08966,-0.98535,0.14075,0.01630,1580889142.725663
0.03479,-0.08966,-0.98535,0.14075,0.01630,1580889142.791678
0.03479,-0.08966,-0.98535,0.14069,0.01630,1580889142.8987389
0.03479,-0.08966,-0.98535,0.14069,0.01630,1580889142.9449432
0.03479,-0.08966,-0.98535,0.14069,0.01630,1580889142.966325
0.03479,-0.08960,-0.98535,0.14069,0.01630,1580889143.040965
0.03473,-0.08960,-0.98535,0.14069,0.01630,1580889143.1253278
0.03473,-0.08954,-0.98541,0.14069,0.01630,1580889143.1943219
0.03467,-0.08948,-0.98541,0.14069,0.01630,1580889143.253206
0.03467,-0.08942,-0.98541,0.14075,0.01630,1580889143.313659
0.03467,-0.08942,-0.98541,0.14075,0.01630,1580889143.32143
0.03467,-0.08942,-0.98541,0.14075,0.01630,1580889143.324026
0.03473,-0.08942,-0.98541,0.14069,0.01630,1580889143.338956
0.03479,-0.08942,-0.98541,0.14063,0.01630,1580889143.441229
0.03485,-0.08942,-0.98541,0.14056,0.01630,1580889143.488099
0.03497,-0.08942,-0.98541,0.14044,0.01630,1580889143.496663
0.03503,-0.08948,-0.98541,0.14032,0.01630,1580889143.5499918
0.03510,-0.08954,-0.98541,0.14026,0.01630,1580889143.690185
0.03510,-0.08960,-0.98547,0.14014,0.01630,1580889143.7330189
0.03503,-0.08966,-0.98547,0.14008,0.01630,1580889143.816698
0.03497,-0.08972,-0.98547,0.14001,0.01630,1580889143.838589
0.03491,-0.08984,-0.98547,0.13995,0.01630,1580889143.878197
0.03479,-0.08990,-0.98547,0.13995,0.01630,1580889143.984589
0.03467,-0.09003,-0.98547,0.13989,0.01630,1580889144.050644
0.03461,-0.09015,-0.98547,0.13989,0.01630,1580889144.081305
0.03455,-0.09033,-0.98541,0.13983,0.01630,1580889144.127746
0.03461,-0.09045,-0.98541,0.13983,0.01630,1580889144.135852
0.03467,-0.09058,-0.98541,0.13971,0.01630,1580889144.2104142
0.03473,-0.09076,-0.98541,0.13965,0.01630,1580889144.296891
0.03491,-0.09088,-0.98541,0.13953,0.01630,1580889144.37578
0.03503,-0.09100,-0.98541,0.13940,0.01630,1580889144.452309
0.03522,-0.09119,-0.98541,0.13922,0.01630,1580889144.506756
0.03546,-0.09131,-0.98541,0.13904,0.01630,1580889144.585108
0.03558,-0.09143,-0.98541,0.13892,0.01630,1580889144.632957
0.03571,-0.09155,-0.98541,0.13873,0.01630,1580889144.634968
0.03577,-0.09174,-0.98547,0.13861,0.01630,1580889144.691843
0.03577,-0.09192,-0.98547,0.13843,0.01630,1580889144.726942
0.03577,-0.09204,-0.98547,0.13831,0.01630,1580889144.729627
0.03577,-0.09229,-0.98547,0.13818,0.01630,1580889144.8114629
0.03571,-0.09247,-0.98547,0.13812,0.01630,1580889144.852629
0.03571,-0.09265,-0.98541,0.13800,0.01630,1580889144.8548942
0.03577,-0.09283,-0.98541,0.13788,0.01630,1580889144.858773
0.03577,-0.09302,-0.98541,0.13782,0.01630,1580889144.893026
0.03589,-0.09320,-0.98541,0.13770,0.01630,1580889144.894254
0.03595,-0.09338,-0.98541,0.13757,0.01630,1580889144.984542
0.03607,-0.09357,-0.98541,0.13745,0.01630,1580889145.067167
0.03625,-0.09369,-0.98541,0.13727,0.01630,1580889145.109566
0.03638,-0.09387,-0.98541,0.13715,0.01630,1580889145.194318
0.03650,-0.09399,-0.98541,0.13702,0.01630,1580889145.280322
0.03656,-0.09412,-0.98541,0.13690,0.01630,1580889145.324949
0.03668,-0.09424,-0.98541,0.13678,0.01630,1580889145.3319209
0.03674,-0.09436,-0.98541,0.13666,0.01630,1580889145.402875
0.03674,-0.09448,-0.98541,0.13660,0.01630,1580889145.515262
0.03674,-0.09460,-0.98541,0.13654,0.01630,1580889145.5878248
0.03668,-0.09473,-0.98541,0.13647,0.01636,1580889145.590539
0.03668,-0.09485,-0.98541,0.13641,0.01636,1580889145.614093
