eye_packets,812
norm_X,norm_Y,phi,theta,confidence,timestamp
1580949666.444511,"{'circle_3d': {'center': [-5.9652692621921855, 9.014317041906999, 62.10651073426028], 'normal': [-0.19188771770863677, 0.6635661727493266, -0.7230899239896663], 'radius': 2.0364304527762744}, 'confidence': 0.9988959921905238, 'timestamp': 696.440882, 'diameter_3d': 4.072860905552549, 'ellipse': {'center': [100.51158301465205, 209.71476047785575], 'axes': [24.7221012672727, 40.71072360435652], 'angle': -71.89137573933766}, 'location': [100.51158301465205, 209.71476047785575], 'diameter': 40.71072360435652, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9161436039748394, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2963719317352425, 'phi': -1.83018948445123, 'norm_pos': [0.3140986969207876, 0.1261884980089344], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.450502,"{'circle_3d': {'center': [-5.965554752980857, 9.046011451773758, 62.135779117117096], 'normal': [-0.19191150860769277, 0.6662073735715566, -0.7206508920849317], 'radius': 2.0757739293559365}, 'confidence': 0.999130814425961, 'timestamp': 696.449282, 'diameter_3d': 4.151547858711873, 'ellipse': {'center': [100.53861074878907, 209.97850630654642], 'axes': [25.059587378651475, 41.4782621427721], 'angle': -71.96433300010958}, 'location': [100.53861074878907, 209.97850630654642], 'diameter': 41.4782621427721, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.916070798645896, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2999079463516225, 'phi': -1.8310591832513854, 'norm_pos': [0.3141831585899658, 0.12508955705605662], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.458849,"{'circle_3d': {'center': [-5.950207131048086, 9.023911384584679, 62.111337938150754], 'normal': [-0.1906325401132952, 0.6643657013057999, -0.7226876569987933], 'radius': 2.067567332394344}, 'confidence': 0.9993219205457877, 'timestamp': 696.457682, 'diameter_3d': 4.135134664788688, 'ellipse': {'center': [100.66783033437824, 209.79503143343445], 'axes': [25.080119656526687, 41.33043277600959], 'angle': -72.0092387268595}, 'location': [100.66783033437824, 209.79503143343445], 'diameter': 41.33043277600959, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9160666706451215, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.297441159388211, 'phi': -1.8287043405166572, 'norm_pos': [0.314586969794932, 0.1258540356940231], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.4669461,"{'circle_3d': {'center': [-5.987646878953147, 9.007343361809578, 62.10608117569807], 'normal': [-0.19375251910538363, 0.6629850327412081, -0.7231257205365172], 'radius': 2.0506194679453813}, 'confidence': 0.9991564016908614, 'timestamp': 696.466082, 'diameter_3d': 4.101238935890763, 'ellipse': {'center': [100.28944860300032, 209.64215753880563], 'axes': [24.892543414384985, 40.99465248815472], 'angle': -71.73334403398421}, 'location': [100.28944860300032, 209.64215753880563], 'diameter': 40.99465248815472, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9159267983496422, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.29559539606295, 'phi': -1.8325848329341756, 'norm_pos': [0.31340452688437603, 0.12649101025497655], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.472936,"{'circle_3d': {'center': [-5.973485860078512, 9.0277209292452, 62.12101805677137], 'normal': [-0.19257243419916403, 0.6646831633608433, -0.7218809804470757], 'radius': 2.0788670504670916}, 'confidence': 0.9994498645526414, 'timestamp': 696.474482, 'diameter_3d': 4.157734100934183, 'ellipse': {'center': [100.44609435539152, 209.81635239728269], 'axes': [25.166498365620317, 41.54984327602424], 'angle': -71.8711275172285}, 'location': [100.44609435539152, 209.81635239728269], 'diameter': 41.54984327602424, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9158002438950485, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2978659904852106, 'phi': -1.8314903330431727, 'norm_pos': [0.3138940448605985, 0.1257651983446555], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.481518,"{'circle_3d': {'center': [-5.9786863209655765, 9.013488343765765, 62.109321631247234], 'normal': [-0.19300580593975275, 0.6634971145708904, -0.722855682574087], 'radius': 2.067517958985584}, 'confidence': 0.9989126570788379, 'timestamp': 696.482881, 'diameter_3d': 4.135035917971168, 'ellipse': {'center': [100.3826783171867, 209.69418103598582], 'axes': [25.08399991225639, 41.33057744539589], 'angle': -71.8045533874098}, 'location': [100.3826783171867, 209.69418103598582], 'diameter': 41.33057744539589, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.915584849615636, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2962796262578675, 'phi': -1.8317142074214383, 'norm_pos': [0.31369586974120844, 0.1262742456833924], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.4880772,"{'circle_3d': {'center': [-5.96079940087933, 9.037275697886663, 62.12644771900247], 'normal': [-0.19151522926589887, 0.6654793940809652, -0.721428508594484], 'radius': 2.06152236138744}, 'confidence': 0.9988020126649875, 'timestamp': 696.491281, 'diameter_3d': 4.12304472277488, 'ellipse': {'center': [100.57627267687297, 209.90854210574216], 'axes': [24.93270280382996, 41.19950888055405], 'angle': -71.97378647352382}, 'location': [100.57627267687297, 209.90854210574216], 'diameter': 41.19950888055405, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9153820788990408, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2989322221300896, 'phi': -1.830278062422333, 'norm_pos': [0.31430085211522807, 0.12538107455940772], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.49787,"{'circle_3d': {'center': [-5.978398211305761, 9.02554709957929, 62.12032860464672], 'normal': [-0.19298179680143476, 0.6645020108886842, -0.7219384347907962], 'radius': 2.0842974709964626}, 'confidence': 0.9996749001164583, 'timestamp': 696.499681, 'diameter_3d': 4.168594941992925, 'ellipse': {'center': [100.39693666727929, 209.79420331811295], 'axes': [25.234735453922525, 41.65886269658181], 'angle': -71.8349668921152}, 'location': [100.39693666727929, 209.79420331811295], 'diameter': 41.65886269658181, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9154610015981279, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2976235506600005, 'phi': -1.831999805499314, 'norm_pos': [0.3137404270852478, 0.1258574861745294], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.506094,"{'circle_3d': {'center': [-5.968059974238448, 9.019803005942434, 62.112289785302146], 'normal': [-0.19212027704582535, 0.6640233364189462, -0.7226083364028445], 'radius': 2.0939779742732885}, 'confidence': 0.9997154185629676, 'timestamp': 696.508081, 'diameter_3d': 4.187955948546577, 'ellipse': {'center': [100.49280295648653, 209.74558795569658], 'axes': [25.39293199162587, 41.857901264647936], 'angle': -71.88662931458147}, 'location': [100.49280295648653, 209.74558795569658], 'diameter': 41.857901264647936, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9154609603996278, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2969831827807807, 'phi': -1.8306553104510526, 'norm_pos': [0.3140400092390204, 0.12606005018459754], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.5172899,"{'circle_3d': {'center': [-5.982915084291599, 9.02843311435097, 62.124194941082486], 'normal': [-0.19335820288358793, 0.6647425121196574, -0.7216162400878159], 'radius': 2.0814691213978227}, 'confidence': 0.9995805350371312, 'timestamp': 696.516481, 'diameter_3d': 4.162938242795645, 'ellipse': {'center': [100.35547938430555, 209.81830003450708], 'axes': [25.181008608626726, 41.59970050100322], 'angle': -71.81331992980161}, 'location': [100.35547938430555, 209.81830003450708], 'diameter': 41.59970050100322, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9153841671635798, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.297945429438708, 'phi': -1.8325979308448006, 'norm_pos': [0.31361087307595487, 0.1257570831895538], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580949666.530863,"{'circle_3d': {'center': [-5.972193925913559, 9.03145404104965, 62.12411218840304], 'normal': [-0.19246477301875126, 0.6649942560112142, -0.7216231361444367], 'radius': 2.078459877522553}, 'confidence': 0.9995703965955828, 'timestamp': 696.524881, 'diameter_3d': 4.156919755045106, 'ellipse': {'center': [100.4618207462122, 209.84927960891795], 'axes': [25.146919100521846, 41.5396564753392], 'angle': -71.88811217890134}, 'location': [100.4618207462122, 209.84927960891795], 'diameter': 41.5396564753392, 'sphere': {'center': [-3.6626166496885437, 1.05152296891508, 70.78358982213628], 'radius': 12.0}, 'projected_sphere': {'center': [127.91880252876439, 129.21038679114105], 'axes': [210.21821636046144, 210.21821636046144], 'angle': 90.0}, 'model_confidence': 0.9153348712732101, 'model_id': 43, 'model_birth_timestamp': 646.026362, 'theta': 2.2982824538005175, 'phi': -1.831440036653862, 'norm_pos': [0.3139431898319131, 0.1256280016295085], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
