eye_packets,707
norm_X,norm_Y,phi,theta,confidence,timestamp
1580951818.1153102,"{'circle_3d': {'center': [-4.809265014136489, 8.865036550921518, 56.030775509037255], 'normal': [-0.23777601334966877, 0.6518431884386117, -0.7201132030186105], 'radius': 1.7906378919578547}, 'confidence': 0.997823061744446, 'timestamp': 2848.089141, 'diameter_3d': 3.5812757839157094, 'ellipse': {'center': [106.86610885928167, 217.84558703147263], 'axes': [23.646429890204548, 39.64814797902416], 'angle': -68.98675718293826}, 'location': [106.86610885928167, 217.84558703147263], 'diameter': 39.64814797902416, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8555036683868811, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2808087449657375, 'phi': -1.889717516001458, 'norm_pos': [0.3339565901852552, 0.09231005403553072], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.12416,"{'circle_3d': {'center': [-4.797674624164328, 8.841076275296762, 56.00533814683214], 'normal': [-0.2368101475186553, 0.6498464988032153, -0.7222329832023704], 'radius': 1.829927460456356}, 'confidence': 0.9993961743010364, 'timestamp': 2848.097541, 'diameter_3d': 3.659854920912712, 'ellipse': {'center': [106.97407791935896, 217.61320518647992], 'axes': [24.289759724359907, 40.536887998132805], 'angle': -68.99790657421038}, 'location': [106.97407791935896, 217.61320518647992], 'diameter': 40.536887998132805, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8557243600019082, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2781787882199955, 'phi': -1.8876363752170837, 'norm_pos': [0.33429399349799677, 0.09327831172300038], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.133296,"{'circle_3d': {'center': [-4.794795355324647, 8.86964769242532, 56.03018508472021], 'normal': [-0.23657020844868187, 0.652227450230595, -0.7201624050450314], 'radius': 1.8066295246453807}, 'confidence': 0.9989140725645829, 'timestamp': 2848.105941, 'diameter_3d': 3.6132590492907615, 'ellipse': {'center': [107.02667191282066, 217.89298770716505], 'axes': [23.86196352611975, 40.00287322286344], 'angle': -69.08892037444332}, 'location': [107.02667191282066, 217.89298770716505], 'diameter': 40.00287322286344, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8559597322981283, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.281315560563915, 'phi': -1.8881866546232733, 'norm_pos': [0.33445834972756455, 0.09211255122014561], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.14039,"{'circle_3d': {'center': [-4.793927418530449, 8.843225962334705, 56.006044828344926], 'normal': [-0.23649788038249872, 0.6500256393897106, -0.7221740930763046], 'radius': 1.851035178770344}, 'confidence': 0.9997630500661829, 'timestamp': 2848.114341, 'diameter_3d': 3.702070357540688, 'ellipse': {'center': [107.01808256320811, 217.62967903466807], 'axes': [24.5671237942734, 41.00421004659888], 'angle': -69.02687362423383}, 'location': [107.01808256320811, 217.62967903466807], 'diameter': 41.00421004659888, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.85627351385269, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.278414502966931, 'phi': -1.8872700489592664, 'norm_pos': [0.33443150801002536, 0.09320967068888308], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.151872,"{'circle_3d': {'center': [-4.7831572938136855, 8.844278122523718, 56.00347200622332], 'normal': [-0.2356003699894351, 0.6501133194054617, -0.722388494919772], 'radius': 1.7985156551640729}, 'confidence': 0.998393631689203, 'timestamp': 2848.122741, 'diameter_3d': 3.5970313103281457, 'ellipse': {'center': [107.1296535685707, 217.66058650414354], 'axes': [23.882595711371938, 39.8420663516054], 'angle': -69.09712641365304}, 'location': [107.1296535685707, 217.66058650414354], 'diameter': 39.8420663516054, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8562532039261717, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.278529890421446, 'phi': -1.8860597046474659, 'norm_pos': [0.33478016740178346, 0.09308088956606864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.157143,"{'circle_3d': {'center': [-4.787669940803672, 8.83123945849472, 55.99322665741498], 'normal': [-0.2359764239052673, 0.6490267640697117, -0.7232422739871338], 'radius': 1.8077504701156224}, 'confidence': 0.998887297737783, 'timestamp': 2848.131141, 'diameter_3d': 3.615500940231245, 'ellipse': {'center': [107.07122434325831, 217.53139809172393], 'axes': [24.053893245240026, 40.054024120945954], 'angle': -69.03546593170175}, 'location': [107.07122434325831, 217.53139809172393], 'diameter': 40.054024120945954, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8561338043710065, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2771007793856537, 'phi': -1.886181675719627, 'norm_pos': [0.3345975760726822, 0.09361917461781699], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.1654248,"{'circle_3d': {'center': [-4.804928666293822, 8.85085272817658, 56.016529019871264], 'normal': [-0.23741465102944656, 0.6506612032098669, -0.72130041044911], 'radius': 1.8241818404084686}, 'confidence': 0.9992825578137028, 'timestamp': 2848.139541, 'diameter_3d': 3.6483636808169373, 'ellipse': {'center': [106.90385550001079, 217.70379575281686], 'axes': [24.158825413653574, 40.40148837958371], 'angle': -68.97753959844178}, 'location': [106.90385550001079, 217.70379575281686], 'diameter': 40.40148837958371, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8566617447422931, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2792511671782383, 'phi': -1.8887754430028865, 'norm_pos': [0.3340745484375337, 0.09290085102992973], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.17371,"{'circle_3d': {'center': [-4.767498537709429, 8.849233351889838, 56.00284008605526], 'normal': [-0.23429547364741377, 0.6505262551859716, -0.7224411549337774], 'radius': 1.8320078110353415}, 'confidence': 0.9994658670819355, 'timestamp': 2848.147941, 'diameter_3d': 3.664015622070683, 'ellipse': {'center': [107.30500161970683, 217.70686112425636], 'axes': [24.3323145007094, 40.584890196392855], 'angle': -69.20796617690695}, 'location': [107.30500161970683, 217.70686112425636], 'diameter': 40.584890196392855, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8568671172217379, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2790734697721615, 'phi': -1.884404747752356, 'norm_pos': [0.33532813006158385, 0.09288807864893178], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.1822,"{'circle_3d': {'center': [-4.8032049890547235, 8.843161782736123, 56.009030764079924], 'normal': [-0.23727101125952166, 0.6500202910898287, -0.7219252650983883], 'radius': 1.822261099644404}, 'confidence': 0.9997905190188904, 'timestamp': 2848.156341, 'diameter_3d': 3.644522199288808, 'ellipse': {'center': [106.91574499791612, 217.63215751102257], 'axes': [24.16960581010708, 40.3643094459188], 'angle': -68.96861851500374}, 'location': [106.91574499791612, 217.63215751102257], 'diameter': 40.3643094459188, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8569093290801133, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.2784074649390593, 'phi': -1.8883388184922432, 'norm_pos': [0.33411170311848787, 0.09319934370407268], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.20124,"{'circle_3d': {'center': [-4.776062879446265, 8.838185483009017, 55.99568370173876], 'normal': [-0.23500916879215006, 0.6496055994459032, -0.7230375202934849], 'radius': 1.8331084071704546}, 'confidence': 0.9999036014012772, 'timestamp': 2848.173141, 'diameter_3d': 3.6662168143409093, 'ellipse': {'center': [107.20398650446222, 217.59671288029108], 'axes': [24.380823142239826, 40.61442330664272], 'angle': -69.12606950672738}, 'location': [107.20398650446222, 217.59671288029108], 'diameter': 40.61442330664272, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8571338549984486, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.277861885613893, 'phi': -1.8850557143339344, 'norm_pos': [0.33501245782644445, 0.09334702966545383], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580951818.207649,"{'circle_3d': {'center': [-4.759635081071972, 8.839408267719257, 55.99145943280131], 'normal': [-0.23364018559429234, 0.6497074981717565, -0.7233895427049396], 'radius': 1.8296786390187405}, 'confidence': 0.9993693779117553, 'timestamp': 2848.181541, 'diameter_3d': 3.659357278037481, 'ellipse': {'center': [107.38111354198648, 217.6183343254371], 'axes': [24.357134240101466, 40.541488705726614], 'angle': -69.23240203490641}, 'location': [107.38111354198648, 217.6183343254371], 'diameter': 40.541488705726614, 'sphere': {'center': [-1.955952853940464, 1.0429182896581783, 64.67213394526058], 'radius': 12.0}, 'projected_sphere': {'center': [141.2486353014186, 129.99826818974879], 'axes': [230.08364023668437, 230.08364023668437], 'angle': 90.0}, 'model_confidence': 0.8574756314855603, 'model_id': 123, 'model_birth_timestamp': 2462.041966, 'theta': 2.277995922702179, 'phi': -1.883199910064183, 'norm_pos': [0.3355659798187077, 0.09325694031067877], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
