imu_packets,1269
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580950523.326375,0.01282,-0.02893,-0.99939,0.01361,0.0139
1580950523.3361,0.01288,-0.02905,-0.99939,0.01337,0.0139
1580950523.346666,0.01294,-0.02911,-0.99939,0.01318,0.0139
1580950523.347042,0.01294,-0.02924,-0.99939,0.01294,0.0139
1580950523.3483179,0.01306,-0.02942,-0.99939,0.01245,0.0139
1580950523.361161,0.01306,-0.02948,-0.99939,0.01221,0.0139
1580950523.362627,0.01312,-0.02954,-0.99939,0.01190,0.0139
1580950523.368706,0.01312,-0.02960,-0.99939,0.01160,0.0139
1580950523.371806,0.01312,-0.02966,-0.99939,0.01129,0.0139
1580950523.380373,0.01312,-0.02972,-0.99939,0.01099,0.0139
1580950523.381933,0.01312,-0.02979,-0.99939,0.01062,0.0139
1580950523.3948412,0.01312,-0.02979,-0.99939,0.01019,0.0139
1580950523.396953,0.01306,-0.02985,-0.99945,0.00977,0.0139
1580950523.406543,0.01300,-0.02985,-0.99945,0.00885,0.0139
1580950523.406589,0.01288,-0.02979,-0.99945,0.00830,0.0139
1580950523.411504,0.01282,-0.02979,-0.99945,0.00775,0.0139
1580950523.431544,0.01276,-0.02972,-0.99945,0.00720,0.0139
1580950523.4315572,0.01257,-0.02966,-0.99945,0.00647,0.0139
1580950523.4316869,0.01245,-0.02954,-0.99945,0.00592,0.0139
1580950523.4316952,0.01233,-0.02942,-0.99945,0.00519,0.0139
1580950523.441736,0.01221,-0.02930,-0.99951,0.00458,0.0139
1580950523.4449239,0.01202,-0.02917,-0.99951,0.00378,0.0139
1580950523.448234,0.01178,-0.02887,-0.99951,0.00238,0.0139
1580950523.455502,0.01166,-0.02863,-0.99951,0.00159,0.0139
1580950523.466547,0.01154,-0.02844,-0.99951,0.00079,0.0139
1580950523.470946,0.01135,-0.02820,-0.99951,0.00006,0.0139
1580950523.4710221,-0.01123,0.02789,0.99957,0.00073,0.0139
1580950523.490478,-0.01111,0.02765,0.99957,0.00140,0.0139
1580950523.4904902,-0.01093,0.02734,0.99957,0.00220,0.0139
1580950523.496379,-0.01080,0.02698,0.99957,0.00293,0.0139
1580950523.4988701,-0.01068,0.02655,0.99957,0.00378,0.0139
1580950523.500853,-0.01056,0.02625,0.99957,0.00446,0.0139
1580950523.502917,-0.01038,0.02582,0.99957,0.00525,0.0139
1580950523.5154471,-0.01013,0.02496,0.99963,0.00665,0.0139
1580950523.515452,-0.01007,0.02454,0.99963,0.00732,0.0139
1580950523.5216079,-0.00995,0.02405,0.99963,0.00800,0.0139
1580950523.5275872,-0.00989,0.02356,0.99963,0.00873,0.0139
1580950523.539927,-0.00977,0.02307,0.99963,0.00940,0.0139
1580950523.53994,-0.00970,0.02264,0.99963,0.00995,0.0139
1580950523.5409138,-0.00970,0.02209,0.99963,0.01056,0.0139
1580950523.549029,-0.00964,0.02155,0.99963,0.01117,0.0139
1580950523.555163,-0.00958,0.02100,0.99963,0.01178,0.0139
1580950523.556978,-0.00958,0.02057,0.99969,0.01233,0.0139
1580950523.5688372,-0.00958,0.02002,0.99969,0.01288,0.0139
1580950523.568845,-0.00958,0.01910,0.99969,0.01379,0.0139
1580950523.5889778,-0.00958,0.01868,0.99969,0.01422,0.0140
1580950523.589032,-0.00958,0.01819,0.99969,0.01471,0.0140
1580950523.589039,-0.00958,0.01776,0.99969,0.01508,0.0140
1580950523.599478,-0.00958,0.01740,0.99969,0.01544,0.0140
1580950523.5995798,-0.00964,0.01703,0.99969,0.01575,0.0140
1580950523.6010208,-0.00964,0.01660,0.99969,0.01611,0.0140
1580950523.607719,-0.00970,0.01624,0.99969,0.01642,0.0140
1580950523.624762,-0.00977,0.01593,0.99969,0.01666,0.0140
1580950523.62659,-0.00983,0.01556,0.99969,0.01691,0.0140
1580950523.626601,-0.00995,0.01526,0.99969,0.01715,0.0140
1580950523.638666,-0.01013,0.01465,0.99969,0.01758,0.0140
1580950523.638677,-0.01019,0.01434,0.99969,0.01776,0.0140
1580950523.640626,-0.01031,0.01404,0.99969,0.01794,0.0140
1580950523.652086,-0.01044,0.01379,0.99969,0.01813,0.0140
1580950523.656874,-0.01056,0.01349,0.99969,0.01825,0.0140
1580950523.6587598,-0.01062,0.01324,0.99969,0.01837,0.0140
1580950523.665982,-0.01074,0.01300,0.99969,0.01849,0.0140
1580950523.66605,-0.01080,0.01276,0.99969,0.01862,0.0140
1580950523.6859891,-0.01093,0.01251,0.99969,0.01880,0.0140
1580950523.691108,-0.01099,0.01233,0.99969,0.01886,0.0140
1580950523.691114,-0.01105,0.01208,0.99969,0.01898,0.0140
1580950523.694624,-0.01123,0.01172,0.99969,0.01923,0.0140
1580950523.705621,-0.01129,0.01154,0.99969,0.01935,0.0140
1580950523.707593,-0.01135,0.01141,0.99969,0.01947,0.0140
1580950523.7076008,-0.01141,0.01123,0.99969,0.01965,0.0140
1580950523.7108989,-0.01147,0.01111,0.99969,0.01978,0.0140
1580950523.718781,-0.01154,0.01105,0.99969,0.01990,0.0140
