eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1580954160.016928,"{'circle_3d': {'center': [-6.183439611531272, 8.359568586995426, 61.11290141304373], 'normal': [-0.07029084263328983, 0.6266724585989182, -0.7761061957461037], 'radius': 2.7179345527003926}, 'confidence': 0.9440935618078135, 'timestamp': 5166.795834, 'diameter_3d': 5.435869105400785, 'ellipse': {'center': [97.28560426125017, 204.27898927280185], 'axes': [37.608993441676354, 55.318478758862874], 'angle': -79.6901916554194}, 'location': [97.28560426125017, 204.27898927280185], 'diameter': 55.318478758862874, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8273572103448257, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2480721637255576, 'phi': -1.6611184921812476, 'norm_pos': [0.3040175133164068, 0.148837544696659], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.0246122,"{'circle_3d': {'center': [-6.180326222739969, 8.36520879940515, 61.117176877028996], 'normal': [-0.0700313935673479, 0.6271424762997284, -0.7757499070806646], 'radius': 2.6978372702681654}, 'confidence': 0.9444072857036727, 'timestamp': 5166.804234, 'diameter_3d': 5.395674540536331, 'ellipse': {'center': [97.32100146755695, 204.33812348447134], 'axes': [37.3036999015757, 54.90535851927464], 'angle': -79.7223870497415}, 'location': [97.32100146755695, 204.33812348447134], 'diameter': 54.90535851927464, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8275156871047851, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2486754515055347, 'phi': -1.6608280144141396, 'norm_pos': [0.30412812958611546, 0.1485911521480361], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.038042,"{'circle_3d': {'center': [-6.18063891441729, 8.364665059442514, 61.11676555793298], 'normal': [-0.07005745120712473, 0.6270971646361755, -0.7757841836719995], 'radius': 2.7020467777830133}, 'confidence': 0.9524779797220049, 'timestamp': 5166.812634, 'diameter_3d': 5.4040935555660266, 'ellipse': {'center': [97.31749191887636, 204.33154304362444], 'axes': [37.36457003115509, 54.99145787438012], 'angle': -79.71918550028599}, 'location': [97.31749191887636, 204.33154304362444], 'diameter': 54.99145787438012, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8276344138214764, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.248617279291958, 'phi': -1.6608573751616982, 'norm_pos': [0.3041171622464886, 0.1486185706515648], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.0446458,"{'circle_3d': {'center': [-6.193178232433483, 8.352334559108701, 61.10795147562658], 'normal': [-0.07110239437514075, 0.6260696229416912, -0.7765186905308659], 'radius': 2.725033817513161}, 'confidence': 0.9719058311341617, 'timestamp': 5166.821034, 'diameter_3d': 5.450067635026322, 'ellipse': {'center': [97.18262099891592, 204.20969971813813], 'axes': [37.73633268474889, 55.46739524708767], 'angle': -79.60768388711766}, 'location': [97.18262099891592, 204.20969971813813], 'diameter': 55.46739524708767, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8282629243534845, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2472988265588367, 'phi': -1.6621072962918775, 'norm_pos': [0.3036956906216123, 0.14912625117442446], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.0537071,"{'circle_3d': {'center': [-6.161671168529469, 8.354211738842139, 61.106633540855796], 'normal': [-0.06847680571647291, 0.6262260545861442, -0.7766285184284311], 'radius': 2.704810933712047}, 'confidence': 0.9579364537357494, 'timestamp': 5166.829434, 'diameter_3d': 5.409621867424094, 'ellipse': {'center': [97.49846927018393, 204.23819421881626], 'axes': [37.476556173819944, 55.05703542755117], 'angle': -79.83729328672753}, 'location': [97.49846927018393, 204.23819421881626], 'diameter': 55.05703542755117, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8278091041691304, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.247499455994672, 'phi': -1.6587407874857345, 'norm_pos': [0.30468271646932477, 0.14900752408826556], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.061495,"{'circle_3d': {'center': [-6.191600789280303, 8.357484068723176, 61.111961256846946], 'normal': [-0.07097094077904244, 0.6264987487428973, -0.7761845420958354], 'radius': 2.695448806408008}, 'confidence': 0.8916426557717732, 'timestamp': 5166.837834, 'diameter_3d': 5.390897612816016, 'ellipse': {'center': [97.20214610194293, 204.26794044987776], 'axes': [37.300400503318066, 54.86118908049857], 'angle': -79.62811390464347}, 'location': [97.20214610194293, 204.26794044987776], 'diameter': 54.86118908049857, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8284202188389767, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2478492737830607, 'phi': -1.6619784355768867, 'norm_pos': [0.3037567065685717, 0.14888358145884273], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.068321,"{'circle_3d': {'center': [-6.187346444634356, 8.336434184843483, 61.09462270213727], 'normal': [-0.07061641205854681, 0.624744591752923, -0.7776294216549752], 'radius': 2.7139549912790177}, 'confidence': 0.9219659336758097, 'timestamp': 5166.846234, 'diameter_3d': 5.4279099825580355, 'ellipse': {'center': [97.22783602163673, 204.07093608420922], 'axes': [37.67267026009337, 55.2537019317775], 'angle': -79.62184590672173}, 'location': [97.22783602163673, 204.07093608420922], 'diameter': 55.2537019317775, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8286621154382501, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2456007181604556, 'phi': -1.6613577868327702, 'norm_pos': [0.3038369875676148, 0.1497044329824616], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.080629,"{'circle_3d': {'center': [-6.171100847118062, 8.358706958582633, 61.11109656888199], 'normal': [-0.06926261226552233, 0.6266006562311855, -0.7762565994262487], 'radius': 2.702344678364316}, 'confidence': 0.9141105478705207, 'timestamp': 5166.854634, 'diameter_3d': 5.404689356728632, 'ellipse': {'center': [97.40790278982345, 204.27870039389438], 'axes': [37.40947891373375, 55.002697129858696], 'angle': -79.77731607317116}, 'location': [97.40790278982345, 204.27870039389438], 'diameter': 55.002697129858696, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8284329263323564, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2479800280964266, 'phi': -1.6597871028264202, 'norm_pos': [0.3043996962181983, 0.14883874835877342], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.084912,"{'circle_3d': {'center': [-6.156927507700416, 8.348387222486979, 61.101523175673194], 'normal': [-0.06808150064738527, 0.6257406782232142, -0.777054382193648], 'radius': 2.7217534374730445}, 'confidence': 0.8599604982320267, 'timestamp': 5166.863034, 'diameter_3d': 5.443506874946089, 'ellipse': {'center': [97.54135221218087, 204.17947084602105], 'axes': [37.74723736431053, 55.40682208498304], 'angle': -79.86131856319223}, 'location': [97.54135221218087, 204.17947084602105], 'diameter': 55.40682208498304, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8281730170804469, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.246877048038036, 'phi': -1.6581880127875586, 'norm_pos': [0.3048167256630652, 0.14925220480824564], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.0925922,"{'circle_3d': {'center': [-6.166557762437473, 8.365061911408098, 61.11582545128325], 'normal': [-0.06888402187547331, 0.6271302356333075, -0.7758625258928102], 'radius': 2.704915630078573}, 'confidence': 0.9416154646454492, 'timestamp': 5166.871434, 'diameter_3d': 5.409831260157146, 'ellipse': {'center': [97.45843873226167, 204.3356372386209], 'axes': [37.41585616565629, 55.05091567390006], 'angle': -79.82086527725289}, 'location': [97.45843873226167, 204.3356372386209], 'diameter': 55.05091567390006, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.8280918438797635, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.248659736372256, 'phi': -1.6593479407748217, 'norm_pos': [0.30455762103831774, 0.1486015115057462], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580954160.100409,"{'circle_3d': {'center': [-6.158777465149497, 8.350949085056252, 61.1037490584969], 'normal': [-0.06823566376814197, 0.6259541667706536, -0.7768688919583393], 'radius': 2.7150290091220626}, 'confidence': 0.8845295439812911, 'timestamp': 5166.879834, 'diameter_3d': 5.430058018244125, 'ellipse': {'center': [97.52485976835342, 204.2050504405498], 'axes': [37.63846089834047, 55.26780904075651], 'angle': -79.85244333716876}, 'location': [97.52485976835342, 204.2050504405498], 'diameter': 55.26780904075651, 'sphere': {'center': [-5.339949499931794, 0.8394990838084077, 70.42617576199697], 'radius': 12.0}, 'projected_sphere': {'center': [112.9895148481958, 127.39056787238016], 'axes': [211.2850774445923, 211.2850774445923], 'angle': 90.0}, 'model_confidence': 0.82813824790815, 'model_id': 1, 'model_birth_timestamp': 4967.673351, 'theta': 2.2471507704272877, 'phi': -1.6584056986707525, 'norm_pos': [0.3047651867761044, 0.14914562316437585], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
