eye_packets,742
norm_X,norm_Y,phi,theta,confidence,timestamp
1580955134.690827,"{'circle_3d': {'center': [-5.237542977504493, 6.721813335413396, 50.35682675818326], 'normal': [-0.11646463261261787, 0.6141180191909985, -0.7805735377626712], 'radius': 2.1954194490064514}, 'confidence': 0.9996892743368027, 'timestamp': 630.290361, 'diameter_3d': 4.390838898012903, 'ellipse': {'center': [95.57395645056573, 202.25604641552783], 'axes': [37.057844551624285, 54.199694589883066], 'angle': -75.69590174093793}, 'location': [95.57395645056573, 202.25604641552783], 'diameter': 54.199694589883066, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9606516446293512, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.23206426373012, 'phi': -1.718907622445738, 'norm_pos': [0.2986686139080179, 0.15726647326863408], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.700968,"{'circle_3d': {'center': [-5.233103696127232, 6.715041015742893, 50.35084167427815], 'normal': [-0.1160946924978461, 0.6135536592184566, -0.7810722947547638], 'radius': 2.1794176120727857}, 'confidence': 0.9996189579166744, 'timestamp': 630.298761, 'diameter_3d': 4.3588352241455715, 'ellipse': {'center': [95.61996699322127, 202.1896796113379], 'axes': [36.828868535645626, 53.810721198671146], 'angle': -75.71280458332468}, 'location': [95.61996699322127, 202.1896796113379], 'diameter': 53.810721198671146, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.960648209371584, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.231349371512757, 'phi': -1.7183510594901525, 'norm_pos': [0.29881239685381644, 0.15754300161942536], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.708829,"{'circle_3d': {'center': [-5.224581203403304, 6.7217379553374155, 50.3548426838189], 'normal': [-0.11538448477085207, 0.6141117375180002, -0.7807388772930344], 'radius': 2.203635385635869}, 'confidence': 0.9996918663461467, 'timestamp': 630.307161, 'diameter_3d': 4.407270771271738, 'ellipse': {'center': [95.73062881554603, 202.2544045888243], 'axes': [37.21471091825386, 54.40484337387354], 'angle': -75.78960772148501}, 'location': [95.73062881554603, 202.2544045888243], 'diameter': 54.40484337387354, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9606622046921309, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.232056304352906, 'phi': -1.7175230620826598, 'norm_pos': [0.2991582150485813, 0.1572733142132321], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.7153971,"{'circle_3d': {'center': [-5.220314660886146, 6.717661466707172, 50.351008304708046], 'normal': [-0.11502893956108899, 0.6137720301321465, -0.7810584088856062], 'radius': 2.200153538203406}, 'confidence': 0.9995692900914847, 'timestamp': 630.315561, 'diameter_3d': 4.400307076406812, 'ellipse': {'center': [95.77790061390175, 202.21200927771034], 'axes': [37.18318247277864, 54.322937565571245], 'angle': -75.81137865343426}, 'location': [95.77790061390175, 202.21200927771034], 'diameter': 54.322937565571245, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9606953822140052, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.2316259415681285, 'phi': -1.7170183767426042, 'norm_pos': [0.29930593941844297, 0.1574499613428736], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.7265868,"{'circle_3d': {'center': [-5.229822830207035, 6.723806819818942, 50.35724666335615], 'normal': [-0.1158212870044964, 0.6142841428914607, -0.780538545664931], 'radius': 2.199030930889094}, 'confidence': 0.9994596370737584, 'timestamp': 630.323961, 'diameter_3d': 4.398061861778188, 'ellipse': {'center': [95.66920482679879, 202.27814679175094], 'axes': [37.11878973057517, 54.28849110649609], 'angle': -75.75631117724895}, 'location': [95.66920482679879, 202.27814679175094], 'diameter': 54.28849110649609, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9606614724386398, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.2322747735107917, 'phi': -1.7181077867871941, 'norm_pos': [0.29896626508374624, 0.15717438836770437], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.734438,"{'circle_3d': {'center': [-5.232134242955798, 6.713524831771825, 50.349506843413096], 'normal': [-0.11601390473355994, 0.613427310554201, -0.7811835306601851], 'radius': 2.2062658075709605}, 'confidence': 0.9996600994762088, 'timestamp': 630.33236, 'diameter_3d': 4.412531615141921, 'ellipse': {'center': [95.63161526665786, 202.16085043984327], 'axes': [37.29260559418595, 54.47554935042111], 'angle': -75.71628005938692}, 'location': [95.63161526665786, 202.16085043984327], 'diameter': 54.47554935042111, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9607476083295818, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.231189376164144, 'phi': -1.7182291682180382, 'norm_pos': [0.2988487977083058, 0.15766312316731967], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.73764,"{'circle_3d': {'center': [-5.234395188173079, 6.6922900085401, 50.33320638820078], 'normal': [-0.11620231683500006, 0.6116577419515572, -0.782541901927878], 'radius': 2.1875458258088973}, 'confidence': 0.999685942484069, 'timestamp': 630.34076, 'diameter_3d': 4.375091651617795, 'ellipse': {'center': [95.58250848681124, 201.93448151414538], 'axes': [37.084289568099656, 54.03035842457288], 'angle': -75.6517395641977}, 'location': [95.58250848681124, 201.93448151414538], 'diameter': 54.03035842457288, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9607284499908109, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.228950654775623, 'phi': -1.7182125137815398, 'norm_pos': [0.2986953390212851, 0.15860632702439426], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.74886,"{'circle_3d': {'center': [-5.23444787186339, 6.731467849741201, 50.36396887728387], 'normal': [-0.11620670714252593, 0.614922562051649, -0.779978361170954], 'radius': 2.2172284888015112}, 'confidence': 0.9995400951727763, 'timestamp': 630.34916, 'diameter_3d': 4.4344569776030225, 'ellipse': {'center': [95.62196511500548, 202.3531542152857], 'axes': [37.379123151884066, 54.730813830933606], 'angle': -75.74003833655046}, 'location': [95.62196511500548, 202.3531542152857], 'diameter': 54.730813830933606, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9608832452389748, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.2330840912408876, 'phi': -1.7186955075447807, 'norm_pos': [0.29881864098439215, 0.15686185743630954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.753545,"{'circle_3d': {'center': [-5.234564866063204, 6.714016599938585, 50.35025433692769], 'normal': [-0.11621645665917711, 0.6134682912347643, -0.781121239533969], 'radius': 2.1999117456796338}, 'confidence': 0.9988727168893626, 'timestamp': 630.35756, 'diameter_3d': 4.3998234913592675, 'ellipse': {'center': [95.6024414867579, 202.16864960582018], 'axes': [37.17914453658832, 54.31773373529803], 'angle': -75.69979822231191}, 'location': [95.6024414867579, 202.16864960582018], 'diameter': 54.31773373529803, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9606660934649569, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.231241267832364, 'phi': -1.7184944587372388, 'norm_pos': [0.2987576296461184, 0.1576306266424159], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.7612941,"{'circle_3d': {'center': [-5.23194441724721, 6.715114064586556, 50.35072681939033], 'normal': [-0.11599808592451097, 0.6135597466220952, -0.7810818659954154], 'radius': 2.1879010834725383}, 'confidence': 0.999454181721872, 'timestamp': 630.36596, 'diameter_3d': 4.375802166945077, 'ellipse': {'center': [95.63447541271749, 202.1868747608891], 'axes': [36.97361355147314, 54.02046241057014], 'angle': -75.72133707587636}, 'location': [95.63447541271749, 202.1868747608891], 'diameter': 54.02046241057014, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9605425551409641, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.2313570804958687, 'phi': -1.7182282656279304, 'norm_pos': [0.29885773566474216, 0.1575546884962954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580955134.7754428,"{'circle_3d': {'center': [-5.224270303591479, 6.717853205520036, 50.35174240250206], 'normal': [-0.11535857645320001, 0.6137880083665519, -0.7809972340694382], 'radius': 2.197333974665628}, 'confidence': 0.9992535336945846, 'timestamp': 630.37436, 'diameter_3d': 4.394667949331256, 'ellipse': {'center': [95.73022738186873, 202.21452223731157], 'axes': [37.129122134137454, 54.252472658779375], 'angle': -75.78313173471787}, 'location': [95.73022738186873, 202.21452223731157], 'diameter': 54.252472658779375, 'sphere': {'center': [-3.8399673861530785, -0.6476028948785866, 59.72370921133532], 'radius': 12.0}, 'projected_sphere': {'center': [120.13677296916705, 113.27714570767955], 'axes': [249.1472849977616, 249.1472849977616], 'angle': 90.0}, 'model_confidence': 0.9603927277734403, 'model_id': 7, 'model_birth_timestamp': 574.387128, 'theta': 2.2316461805775316, 'phi': -1.7174427527174732, 'norm_pos': [0.2991569605683398, 0.15743949067786844], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
