imu_packets,1245
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580957078.10935,-0.00067,-0.02673,-0.97876,0.20337,0.0510
1580957078.1153321,-0.00079,-0.02625,-0.97870,0.20355,0.0510
1580957078.123761,-0.00098,-0.02582,-0.97870,0.20367,0.0510
1580957078.124448,-0.00110,-0.02533,-0.97870,0.20380,0.0510
1580957078.131262,-0.00140,-0.02435,-0.97864,0.20410,0.0510
1580957078.137632,-0.00153,-0.02386,-0.97864,0.20428,0.0510
1580957078.143331,-0.00165,-0.02338,-0.97858,0.20441,0.0510
1580957078.1505191,-0.00177,-0.02295,-0.97858,0.20459,0.0510
1580957078.152103,-0.00183,-0.02258,-0.97858,0.20471,0.0510
1580957078.1581829,-0.00189,-0.02222,-0.97852,0.20490,0.0510
1580957078.1687412,-0.00195,-0.02185,-0.97852,0.20502,0.0510
1580957078.170397,-0.00208,-0.02142,-0.97845,0.20520,0.0511
1580957078.1750789,-0.00214,-0.02112,-0.97845,0.20538,0.0511
1580957078.183742,-0.00220,-0.02069,-0.97845,0.20557,0.0511
1580957078.188572,-0.00232,-0.02008,-0.97839,0.20581,0.0511
1580957078.194129,-0.00238,-0.01965,-0.97833,0.20599,0.0511
1580957078.1999109,-0.00250,-0.01935,-0.97833,0.20618,0.0511
1580957078.205499,-0.00262,-0.01898,-0.97833,0.20630,0.0512
1580957078.2089229,-0.00275,-0.01862,-0.97827,0.20642,0.0512
1580957078.2176168,-0.00293,-0.01825,-0.97827,0.20654,0.0512
1580957078.217678,-0.00311,-0.01782,-0.97821,0.20667,0.0512
1580957078.228794,-0.00330,-0.01740,-0.97821,0.20679,0.0512
1580957078.2321548,-0.00366,-0.01672,-0.97821,0.20703,0.0512
1580957078.243003,-0.00385,-0.01636,-0.97815,0.20715,0.0512
1580957078.243027,-0.00403,-0.01605,-0.97815,0.20728,0.0512
1580957078.2480059,-0.00427,-0.01575,-0.97815,0.20740,0.0512
1580957078.254977,-0.00439,-0.01550,-0.97809,0.20752,0.0512
1580957078.257319,-0.00452,-0.01526,-0.97809,0.20764,0.0512
1580957078.267175,-0.00470,-0.01501,-0.97803,0.20776,0.0512
1580957078.273762,-0.00482,-0.01477,-0.97803,0.20782,0.0512
1580957078.285218,-0.00507,-0.01422,-0.97803,0.20807,0.0513
1580957078.2872372,-0.00513,-0.01398,-0.97797,0.20813,0.0513
1580957078.288897,-0.00519,-0.01367,-0.97797,0.20819,0.0513
1580957078.2954528,-0.00525,-0.01337,-0.97797,0.20825,0.0513
1580957078.3014662,-0.00531,-0.01306,-0.97797,0.20831,0.0513
1580957078.30377,-0.00537,-0.01276,-0.97797,0.20837,0.0513
1580957078.309972,-0.00537,-0.01245,-0.97797,0.20844,0.0513
1580957078.3242009,-0.00537,-0.01221,-0.97791,0.20850,0.0513
1580957078.3329349,-0.00531,-0.01166,-0.97791,0.20856,0.0513
1580957078.332942,-0.00525,-0.01147,-0.97791,0.20856,0.0513
1580957078.335076,-0.00519,-0.01135,-0.97791,0.20862,0.0513
1580957078.3367941,-0.00507,-0.01129,-0.97791,0.20862,0.0513
1580957078.341428,-0.00500,-0.01123,-0.97791,0.20868,0.0513
1580957078.346893,-0.00488,-0.01123,-0.97791,0.20874,0.0514
1580957078.352658,-0.00482,-0.01129,-0.97791,0.20880,0.0514
1580957078.362161,-0.00470,-0.01141,-0.97784,0.20886,0.0514
1580957078.363533,-0.00464,-0.01147,-0.97784,0.20892,0.0514
1580957078.375297,-0.00458,-0.01160,-0.97784,0.20911,0.0514
1580957078.3765671,-0.00458,-0.01160,-0.97778,0.20923,0.0514
1580957078.3820622,-0.00464,-0.01160,-0.97778,0.20935,0.0514
1580957078.3895512,-0.00464,-0.01154,-0.97772,0.20941,0.0515
1580957078.392222,-0.00470,-0.01147,-0.97772,0.20953,0.0515
1580957078.399946,-0.00476,-0.01141,-0.97772,0.20966,0.0515
1580957078.4048178,-0.00482,-0.01135,-0.97766,0.20972,0.0515
1580957078.409792,-0.00482,-0.01129,-0.97766,0.20984,0.0515
1580957078.421938,-0.00488,-0.01123,-0.97760,0.21008,0.0515
1580957078.421949,-0.00494,-0.01117,-0.97760,0.21014,0.0515
1580957078.434429,-0.00494,-0.01117,-0.97754,0.21027,0.0515
1580957078.435373,-0.00500,-0.01117,-0.97754,0.21039,0.0515
1580957078.450638,-0.00500,-0.01111,-0.97754,0.21045,0.0515
1580957078.450709,-0.00507,-0.01105,-0.97754,0.21057,0.0515
1580957078.4507148,-0.00513,-0.01099,-0.97748,0.21063,0.0515
1580957078.455414,-0.00513,-0.01093,-0.97748,0.21069,0.0515
1580957078.469422,-0.00531,-0.01068,-0.97748,0.21082,0.0516
1580957078.476254,-0.00537,-0.01050,-0.97748,0.21082,0.0516
1580957078.483971,-0.00543,-0.01031,-0.97742,0.21088,0.0516
