eye_packets,821
norm_X,norm_Y,phi,theta,confidence,timestamp
1580973642.8015091,"{'circle_3d': {'center': [-6.289157175434262, 10.667906857776485, 73.4790548282785], 'normal': [-0.12046678529070917, 0.6461189778787784, -0.7536697022347423], 'radius': 2.659986723035283}, 'confidence': 0.9988843677504997, 'timestamp': 11589.1938, 'diameter_3d': 5.319973446070566, 'ellipse': {'center': [106.97723603782956, 209.66854321606377], 'axes': [29.138176573350894, 44.956917590141174], 'angle': -77.0137438386714}, 'location': [106.97723603782956, 209.66854321606377], 'diameter': 44.956917590141174, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8533893555919936, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.273284797345355, 'phi': -1.7292958635917826, 'norm_pos': [0.3343038626182174, 0.12638106993306764], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.810289,"{'circle_3d': {'center': [-6.291772505572155, 10.658691940922713, 73.47158110104833], 'normal': [-0.12068472946886688, 0.6453510681409641, -0.7542925128372568], 'radius': 2.607758009015938}, 'confidence': 0.9991076348726479, 'timestamp': 11589.2022, 'diameter_3d': 5.215516018031876, 'ellipse': {'center': [106.94830945729996, 209.61328382163387], 'axes': [28.602719317609267, 44.07809878903834], 'angle': -76.97923729273556}, 'location': [106.94830945729996, 209.61328382163387], 'diameter': 44.07809878903834, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.853443769141049, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.272279102632663, 'phi': -1.7294489098453756, 'norm_pos': [0.33421346705406235, 0.12661131740985887], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.8180008,"{'circle_3d': {'center': [-6.261575739247962, 10.655804403570729, 73.46433293954317], 'normal': [-0.11816833227518418, 0.6451104400282986, -0.7548965262960193], 'radius': 2.661666109971484}, 'confidence': 0.9894739421786796, 'timestamp': 11589.2106, 'diameter_3d': 5.323332219942968, 'ellipse': {'center': [107.19840914597086, 209.58357780093064], 'axes': [29.238488317528756, 44.99458916924988], 'angle': -77.1773431026046}, 'location': [107.19840914597086, 209.58357780093064], 'diameter': 44.99458916924988, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8543616097334339, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.271964139313589, 'phi': -1.7260720460958285, 'norm_pos': [0.3349950285811589, 0.12673509249612236], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.826884,"{'circle_3d': {'center': [-6.292184155415331, 10.665073712312266, 73.47711097298294], 'normal': [-0.12071903362246494, 0.6458828824234268, -0.7538316901760391], 'radius': 2.683655136014114}, 'confidence': 0.9986344073169998, 'timestamp': 11589.219, 'diameter_3d': 5.367310272028228, 'ellipse': {'center': [106.95125063166986, 209.64085036537602], 'axes': [29.407227100441396, 45.35831699413606], 'angle': -76.9881150099112}, 'location': [106.95125063166986, 209.64085036537602], 'diameter': 45.35831699413606, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.855745337027447, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.272975503317584, 'phi': -1.7295886434222756, 'norm_pos': [0.33422265822396835, 0.12649645681093324], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.833972,"{'circle_3d': {'center': [-6.281278487447985, 10.670054466009537, 73.47964034085322], 'normal': [-0.11981022795851938, 0.6462979452315327, -0.7536209095201819], 'radius': 2.6358989898214173}, 'confidence': 0.9988170124462264, 'timestamp': 11589.2274, 'diameter_3d': 5.271797979642835, 'ellipse': {'center': [107.04297956466829, 209.69210952765707], 'axes': [28.872665169096575, 44.54933089136075], 'angle': -77.07073962651985}, 'location': [107.04297956466829, 209.69210952765707], 'diameter': 44.54933089136075, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8560560020354879, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.273519305355489, 'phi': -1.7284563421906172, 'norm_pos': [0.3345093111395884, 0.1262828769680956], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.841432,"{'circle_3d': {'center': [-6.278927711133182, 10.691884613440116, 73.49803329519034], 'normal': [-0.1196143299322858, 0.6481171241840811, -0.752088163325422], 'radius': 2.6616329390633955}, 'confidence': 0.9989702815514608, 'timestamp': 11589.2358, 'diameter_3d': 5.323265878126791, 'ellipse': {'center': [107.07647669111766, 209.84730906446396], 'axes': [29.060398538011256, 44.97341692719595], 'angle': -77.12646614421706}, 'location': [107.07647669111766, 209.84730906446396], 'diameter': 44.97341692719595, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8561647695200625, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.2759056981986934, 'phi': -1.7285183015076981, 'norm_pos': [0.3346139896597427, 0.1256362122314002], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.849909,"{'circle_3d': {'center': [-6.276066869819873, 10.671966248109962, 73.48045306679514], 'normal': [-0.11937592648951009, 0.6464572604065681, -0.7535531823583559], 'radius': 2.654454403431111}, 'confidence': 0.9995424722157499, 'timestamp': 11589.2442, 'diameter_3d': 5.308908806862222, 'ellipse': {'center': [107.087887164726, 209.70242250143343], 'axes': [29.07304961380438, 44.862691797371724], 'angle': -77.10927859606556}, 'location': [107.087887164726, 209.70242250143343], 'diameter': 44.862691797371724, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8569687797348013, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.2737281015316837, 'phi': -1.7279081002088457, 'norm_pos': [0.33464964738976877, 0.12623990624402737], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.861801,"{'circle_3d': {'center': [-6.2970273099929175, 10.625868047352657, 73.44444040318552], 'normal': [-0.1211226298372638, 0.6426157436767927, -0.7565542376591567], 'radius': 2.635744243362542}, 'confidence': 0.9997174584659939, 'timestamp': 11589.2526, 'diameter_3d': 5.271488486725084, 'ellipse': {'center': [106.88595553279303, 209.36198010638975], 'axes': [29.047947735652507, 44.56759730064477], 'angle': -76.88287181859604}, 'location': [106.88595553279303, 209.36198010638975], 'diameter': 44.56759730064477, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.857174062127275, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.268703693562997, 'phi': -1.7295468958309361, 'norm_pos': [0.3340186110399782, 0.12765841622337604], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.870867,"{'circle_3d': {'center': [-6.265391995955125, 10.675538433108372, 73.48183359458217], 'normal': [-0.11848635366744774, 0.646754942489769, -0.7534381383761033], 'radius': 2.6166972109140025}, 'confidence': 0.999410887830526, 'timestamp': 11589.261, 'diameter_3d': 5.233394421828005, 'ellipse': {'center': [107.17723595560798, 209.74051017170746], 'axes': [28.654256624787713, 44.223525285756246], 'angle': -77.18770796785395}, 'location': [107.17723595560798, 209.74051017170746], 'diameter': 44.223525285756246, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8575757803733985, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.2741183384211436, 'phi': -1.7267797164158094, 'norm_pos': [0.33492886236127495, 0.12608120761788555], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.8770869,"{'circle_3d': {'center': [-6.241904765311929, 10.671953423321655, 73.47509631034367], 'normal': [-0.11652908444718145, 0.6464561916742093, -0.7539995787293118], 'radius': 2.6882479535641046}, 'confidence': 0.9882715763222243, 'timestamp': 11589.2694, 'diameter_3d': 5.376495907128209, 'ellipse': {'center': [107.37187544590483, 209.69970341238866], 'axes': [29.47882790376408, 45.43789331239272], 'angle': -77.33928658055406}, 'location': [107.37187544590483, 209.69970341238866], 'diameter': 45.43789331239272, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8583603823378638, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.2737267007433726, 'phi': -1.7241311462870341, 'norm_pos': [0.3355371107684526, 0.12625123578171393], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580973642.885946,"{'circle_3d': {'center': [-6.281249516808735, 10.65544499029989, 73.46712724879819], 'normal': [-0.11980781373858192, 0.6450804889223954, -0.7546636671914347], 'radius': 2.653264406874666}, 'confidence': 0.9983994904915656, 'timestamp': 11589.2778, 'diameter_3d': 5.306528813749332, 'ellipse': {'center': [107.03497851467156, 209.57950826090564], 'axes': [29.127559317468037, 44.85053485837575], 'angle': -77.044049379449}, 'location': [107.03497851467156, 209.57950826090564], 'diameter': 44.85053485837575, 'sphere': {'center': [-4.843555751945752, 2.914479123231144, 82.52309125509541], 'radius': 12.0}, 'projected_sphere': {'center': [123.61012995837156, 141.89662346527447], 'axes': [180.31316778964253, 180.31316778964253], 'angle': 90.0}, 'model_confidence': 0.8582919692321944, 'model_id': 61, 'model_birth_timestamp': 11580.1806, 'theta': 2.2719249415277667, 'phi': -1.7282389595738243, 'norm_pos': [0.33448430785834865, 0.12675204891289316], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
