eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1580974624.562135,"{'circle_3d': {'center': [-6.729195096432541, 5.926866793747232, 52.66124767169211], 'normal': [-0.14970702151199533, 0.630951111841734, -0.7612414217419375], 'radius': 2.017553907819221}, 'confidence': 0.9998670380089888, 'timestamp': 12570.946429, 'diameter_3d': 4.035107815638442, 'ellipse': {'center': [80.82958614309165, 189.38488524596258], 'axes': [31.7846656637222, 47.69611906119791], 'angle': -72.25321414400796}, 'location': [80.82958614309165, 189.38488524596258], 'diameter': 47.69611906119791, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9514418578624007, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.253574867993935, 'phi': -1.764979918420051, 'norm_pos': [0.2525924566971614, 0.21089631147515597], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.569997,"{'circle_3d': {'center': [-6.753177163888212, 5.944495669960876, 52.68064471526232], 'normal': [-0.15170552713330132, 0.6324201848595377, -0.7596250014444202], 'radius': 2.016521401112836}, 'confidence': 0.9999846519532974, 'timestamp': 12570.954829, 'diameter_3d': 4.033042802225672, 'ellipse': {'center': [80.57713248654967, 189.56763661698773], 'axes': [31.648674402684843, 47.65422488518885], 'angle': -72.13856040581597}, 'location': [80.57713248654967, 189.56763661698773], 'diameter': 47.65422488518885, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9514778372816779, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2554698976416656, 'phi': -1.767914060611449, 'norm_pos': [0.2518035390204677, 0.21013484742921784], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.578028,"{'circle_3d': {'center': [-6.732497889784401, 5.9448619126356945, 52.67684400383701], 'normal': [-0.14998225429131704, 0.6324507050824392, -0.7599417273965289], 'radius': 2.015265992763305}, 'confidence': 0.9999682364410666, 'timestamp': 12570.963229, 'diameter_3d': 4.03053198552661, 'ellipse': {'center': [80.8137870015594, 189.57718199043364], 'axes': [31.65874776531673, 47.627950249438065], 'angle': -72.28020210572588}, 'location': [80.8137870015594, 189.57718199043364], 'diameter': 47.627950249438065, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9514878689344308, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.255509298245782, 'phi': -1.7656523374362758, 'norm_pos': [0.25254308437987316, 0.2100950750398598], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.589822,"{'circle_3d': {'center': [-6.7358106188931135, 5.948590253127502, 52.68060280163055], 'normal': [-0.15025831505037635, 0.6327614001234232, -0.7596284942470675], 'radius': 2.0182702238334844}, 'confidence': 0.9998231515143213, 'timestamp': 12570.971629, 'diameter_3d': 4.036540447666969, 'ellipse': {'center': [80.78068015624746, 189.6149894531682], 'axes': [31.683328060381907, 47.69560773700802], 'angle': -72.26788666705745}, 'location': [80.78068015624746, 189.6149894531682], 'diameter': 47.69560773700802, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9516368238603579, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.255910467490201, 'phi': -1.7660804225212017, 'norm_pos': [0.2524396254882733, 0.20993754394513253], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.5980191,"{'circle_3d': {'center': [-6.7380096262179165, 5.942913981714266, 52.67631255261729], 'normal': [-0.15044156566077665, 0.6322883775056535, -0.7599860149981725], 'radius': 2.0244574125408583}, 'confidence': 0.9998553249973521, 'timestamp': 12570.980029, 'diameter_3d': 4.048914825081717, 'ellipse': {'center': [80.7489065985808, 189.5514230249292], 'axes': [31.804139766867987, 47.84579736352773], 'angle': -72.23729417520461}, 'location': [80.7489065985808, 189.5514230249292], 'diameter': 47.84579736352773, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9517645158065746, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2552997532355934, 'phi': -1.7662229132543734, 'norm_pos': [0.25234033312056503, 0.210202404062795], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.606001,"{'circle_3d': {'center': [-6.736304570167845, 5.9272199704099435, 52.66294149191043], 'normal': [-0.150299477656604, 0.6309805432302933, -0.7611002700570771], 'radius': 2.0213562750421055}, 'confidence': 0.9997727679282361, 'timestamp': 12570.988429, 'diameter_3d': 4.042712550084211, 'ellipse': {'center': [80.74895548428947, 189.3854199765104], 'axes': [31.832151497967622, 47.78453865868346], 'angle': -72.20568867692087}, 'location': [80.74895548428947, 189.3854199765104], 'diameter': 47.78453865868346, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9517690693592873, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2536128042990713, 'phi': -1.7657643471076185, 'norm_pos': [0.2523404858884046, 0.21089408343120664], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.614105,"{'circle_3d': {'center': [-6.7416285891527625, 5.938911756385448, 52.67370116133151], 'normal': [-0.15074314590534713, 0.631954858728252, -0.7602036309386546], 'radius': 2.0054743735383065}, 'confidence': 0.9995152990173038, 'timestamp': 12570.996829, 'diameter_3d': 4.010948747076613, 'ellipse': {'center': [80.70159609433938, 189.5151962234151], 'axes': [31.518858448498516, 47.39921694503018], 'angle': -72.2017378281156}, 'location': [80.70159609433938, 189.5151962234151], 'diameter': 47.39921694503018, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9516815956723712, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2548693337662264, 'phi': -1.7665501134987802, 'norm_pos': [0.25219248779481057, 0.21035334906910375], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.621633,"{'circle_3d': {'center': [-6.730928032925986, 5.9372098627253385, 52.6701716533027], 'normal': [-0.14985143288644906, 0.6318130342565762, -0.7604977566077211], 'radius': 2.0257318118799836}, 'confidence': 0.9999707994560354, 'timestamp': 12571.005229, 'diameter_3d': 4.051463623759967, 'ellipse': {'center': [80.82289905187167, 189.491758458277], 'axes': [31.862045600275867, 47.88149085844786], 'angle': -72.26981769358748}, 'location': [80.82289905187167, 189.491758458277], 'diameter': 47.88149085844786, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9517457359622838, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2546863493257203, 'phi': -1.7653478597506098, 'norm_pos': [0.252571559537099, 0.21045100642384584], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.6301372,"{'circle_3d': {'center': [-6.73045812971679, 5.938589262589765, 52.67122522889828], 'normal': [-0.14981227428568275, 0.6319279842452784, -0.760409958641423], 'radius': 2.0242264840017343}, 'confidence': 0.9999111244025122, 'timestamp': 12571.013629, 'diameter_3d': 4.048452968003469, 'ellipse': {'center': [80.82988052427316, 189.5071978149947], 'axes': [31.832522451431544, 47.844934027770904], 'angle': -72.27681746484214}, 'location': [80.82988052427316, 189.5071978149947], 'diameter': 47.844934027770904, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9517596023206343, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2548346577368044, 'phi': -1.7653201882344522, 'norm_pos': [0.25259337663835363, 0.21038667577085546], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.637909,"{'circle_3d': {'center': [-6.728663248373651, 5.934517460006626, 52.66748964556919], 'normal': [-0.14966270084042113, 0.6315886673633502, -0.7607212572521804], 'radius': 2.0314339037229088}, 'confidence': 0.9997112719066593, 'timestamp': 12571.022029, 'diameter_3d': 4.0628678074458175, 'ellipse': {'center': [80.84579457667213, 189.46131486236317], 'axes': [31.96809715801963, 48.01878864030225], 'angle': -72.27782231231784}, 'location': [80.84579457667213, 189.46131486236317], 'diameter': 48.01878864030225, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9518429336853762, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.254396922920119, 'phi': -1.7650532911309105, 'norm_pos': [0.25264310805210044, 0.21057785474015345], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580974624.646044,"{'circle_3d': {'center': [-6.725288638873568, 5.9266317224646, 52.66028547249614], 'normal': [-0.1493814833820809, 0.6309315225681813, -0.7613216050082683], 'radius': 2.009555447618671}, 'confidence': 0.9998821058711387, 'timestamp': 12571.030429, 'diameter_3d': 4.019110895237342, 'ellipse': {'center': [80.87352757938172, 189.38645465016015], 'axes': [31.665505583944356, 47.50777568859568], 'angle': -72.27925787060622}, 'location': [80.87352757938172, 189.38645465016015], 'diameter': 47.50777568859568, 'sphere': {'center': [-4.932710838288597, -1.6445465483535757, 61.79614473259536], 'radius': 12.0}, 'projected_sphere': {'center': [110.51016963966376, 103.50028364404741], 'axes': [240.79172033124112, 240.79172033124112], 'angle': 90.0}, 'model_confidence': 0.9518872177892268, 'model_id': 61, 'model_birth_timestamp': 12311.749401, 'theta': 2.2535496185714154, 'phi': -1.7645482661853014, 'norm_pos': [0.25272977368556787, 0.21088977229099937], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
