eye_packets,711
norm_X,norm_Y,phi,theta,confidence,timestamp
1580975104.17344,"{'circle_3d': {'center': [-6.913131954788444, 6.074703761501977, 48.49804313525715], 'normal': [-0.16615831079660134, 0.6818899874553008, -0.7123324088944919], 'radius': 1.873111375689928}, 'confidence': 0.9999686737571717, 'timestamp': 13019.929817, 'diameter_3d': 3.746222751379856, 'ellipse': {'center': [71.66693573555538, 197.26668560915016], 'axes': [28.780131260189634, 48.12775348601321], 'angle': -72.21594749953321}, 'location': [71.66693573555538, 197.26668560915016], 'diameter': 48.12775348601321, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9133453423023519, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3211397345465286, 'phi': -1.79995825018732, 'norm_pos': [0.22395917417361058, 0.17805547662854104], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.181848,"{'circle_3d': {'center': [-6.922933076417085, 6.098028457636374, 48.52273031692148], 'normal': [-0.16697507093232147, 0.6838337121331673, -0.7102751437557974], 'radius': 1.8689768286249986}, 'confidence': 0.9999514816125892, 'timestamp': 13019.938217, 'diameter_3d': 3.737953657249997, 'ellipse': {'center': [71.58620078542589, 197.52788231448517], 'axes': [28.57240191330657, 47.997094694456074], 'angle': -72.21751634753423}, 'location': [71.58620078542589, 197.52788231448517], 'diameter': 47.997094694456074, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9138397849364654, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3238003783420376, 'phi': -1.8016888889295832, 'norm_pos': [0.2237068774544559, 0.1769671570229785], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.189743,"{'circle_3d': {'center': [-6.935754581416042, 6.121612322176928, 48.548531692669975], 'normal': [-0.16804352968223454, 0.6857990341782134, -0.7081250291100899], 'radius': 1.8698410393314562}, 'confidence': 0.9998857386597403, 'timestamp': 13019.946617, 'diameter_3d': 3.7396820786629124, 'ellipse': {'center': [71.4693454260485, 197.78832531593264], 'axes': [28.434065110817578, 47.99388694469666], 'angle': -72.20097007009714}, 'location': [71.4693454260485, 197.78832531593264], 'diameter': 47.99388694469666, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9143245849202675, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3264973482111566, 'phi': -1.8037940976395936, 'norm_pos': [0.22334170445640159, 0.1758819778502807], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.1993952,"{'circle_3d': {'center': [-6.92306193137996, 6.143748882201296, 48.56701667901774], 'normal': [-0.1669858088458944, 0.6876437475135775, -0.7065846135811094], 'radius': 1.8458696414664686}, 'confidence': 0.9998357612440888, 'timestamp': 13019.955017, 'diameter_3d': 3.691739282932937, 'ellipse': {'center': [71.66289771640086, 198.05157817788455], 'axes': [27.971627113691486, 47.360079895866996], 'angle': -72.33992932813847}, 'location': [71.66289771640086, 198.05157817788455], 'diameter': 47.360079895866996, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9147486613853117, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3290350598323264, 'phi': -1.8028665214351622, 'norm_pos': [0.2239465553637527, 0.174785090925481], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.207505,"{'circle_3d': {'center': [-6.916581192498487, 6.206627458568054, 48.62712683008942], 'normal': [-0.16644574727243833, 0.6928836288774739, -0.7015754343251356], 'radius': 1.8423311998431955}, 'confidence': 0.9998531010999444, 'timestamp': 13019.963417, 'diameter_3d': 3.684662399686391, 'ellipse': {'center': [71.85267621073152, 198.75981714245358], 'axes': [27.587440554277308, 47.21083712762084], 'angle': -72.54793410853986}, 'location': [71.85267621073152, 198.75981714245358], 'diameter': 47.21083712762084, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9150760326277707, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3362769461365263, 'phi': -1.803735381442789, 'norm_pos': [0.224539613158536, 0.17183409523977677], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.213778,"{'circle_3d': {'center': [-6.919801584727708, 6.2438881577022105, 48.66485755031999], 'normal': [-0.16671411329154007, 0.6959886871386537, -0.6984312076392555], 'radius': 1.8294858413414696}, 'confidence': 0.9995132357945636, 'timestamp': 13019.971817, 'diameter_3d': 3.6589716826829393, 'ellipse': {'center': [71.878584786821, 199.17976121428285], 'axes': [27.18635381009513, 46.84513859267227], 'angle': -72.62653487689775}, 'location': [71.878584786821, 199.17976121428285], 'diameter': 46.84513859267227, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9155214919396526, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3405922108870594, 'phi': -1.8051098291468965, 'norm_pos': [0.2246205774588156, 0.17008432827382147], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.2217321,"{'circle_3d': {'center': [-6.902108650659645, 6.251282536633186, 48.66802533820945], 'normal': [-0.16523970211920153, 0.6966048853829016, -0.6981672253151333], 'radius': 1.8239716623142563}, 'confidence': 0.9563674778502647, 'timestamp': 13019.980217, 'diameter_3d': 3.6479433246285127, 'ellipse': {'center': [72.10867006263459, 199.27094160010483], 'axes': [27.094645922803117, 46.70071210438456], 'angle': -72.75541934595051}, 'location': [72.10867006263459, 199.27094160010483], 'diameter': 46.70071210438456, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9155952481308072, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.341450719969565, 'phi': -1.803196354335287, 'norm_pos': [0.22533959394573308, 0.16970440999956315], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.233875,"{'circle_3d': {'center': [-6.900990706338059, 6.250878227928455, 48.667357454189066], 'normal': [-0.16514654009240265, 0.6965711929908407, -0.6982228823168325], 'radius': 1.8326918787513304}, 'confidence': 0.9979208979027682, 'timestamp': 13019.988617, 'diameter_3d': 3.665383757502661, 'ellipse': {'center': [72.12203324466616, 199.2633335578866], 'axes': [27.22852164212699, 46.92478476584818], 'angle': -72.76123584927544}, 'location': [72.12203324466616, 199.2633335578866], 'diameter': 46.92478476584818, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9157717804497922, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3414037600551394, 'phi': -1.803052134340606, 'norm_pos': [0.22538135388958175, 0.16973611017547252], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.241754,"{'circle_3d': {'center': [-6.900129955902882, 6.219163548852034, 48.63563433144141], 'normal': [-0.16507481088947126, 0.6939283030678056, -0.700866475879137], 'radius': 1.8290272890474202}, 'confidence': 0.9854156501049737, 'timestamp': 13019.997017, 'diameter_3d': 3.6580545780948404, 'ellipse': {'center': [72.07632653130287, 198.91132010211413], 'axes': [27.348366100111345, 46.86139243665709], 'angle': -72.68323465471568}, 'location': [72.07632653130287, 198.91132010211413], 'diameter': 46.86139243665709, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9160098506545422, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.337726781258664, 'phi': -1.8021101252045255, 'norm_pos': [0.22523852041032147, 0.17120283290785776], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.250059,"{'circle_3d': {'center': [-6.893021182223899, 6.20381794868365, 48.618800168734346], 'normal': [-0.16448241308288927, 0.6926495030537736, -0.7022693227713924], 'radius': 1.8278923836776706}, 'confidence': 0.98291141989053, 'timestamp': 13020.005417, 'diameter_3d': 3.655784767355341, 'ellipse': {'center': [72.13662813523516, 198.74287635455724], 'axes': [27.426893577137545, 46.84845295262982], 'angle': -72.6869626236623}, 'location': [72.13662813523516, 198.74287635455724], 'diameter': 46.84845295262982, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.91623411122842, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3359522952810323, 'phi': -1.8008647849746873, 'norm_pos': [0.22542696292260986, 0.1719046818560115], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580975104.2574909,"{'circle_3d': {'center': [-6.93535951412086, 6.159360499012228, 48.58515877071049], 'normal': [-0.16801060740763601, 0.6889447155811551, -0.7050727726067135], 'radius': 1.8414727410000147}, 'confidence': 0.999934901852589, 'timestamp': 13020.013817, 'diameter_3d': 3.6829454820000294, 'ellipse': {'center': [71.53879683475628, 198.22406930221575], 'axes': [27.79879740960946, 47.22962748231783], 'angle': -72.30516922524265}, 'location': [71.53879683475628, 198.22406930221575], 'diameter': 47.22962748231783, 'sphere': {'center': [-4.919232225229227, -2.107976087961633, 57.046032041991054], 'radius': 12.0}, 'projected_sphere': {'center': [106.53573841214582, 97.08963923074997], 'axes': [260.84198089442873, 260.84198089442873], 'angle': 90.0}, 'model_confidence': 0.9166992066452218, 'model_id': 118, 'model_birth_timestamp': 13010.395817, 'theta': 2.3308284317473387, 'phi': -1.8047222244149619, 'norm_pos': [0.22355874010861337, 0.1740663779074344], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
