imu_packets,1183
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580974451.564688,0.05121,-0.00568,-0.97540,0.21442,0.0177
1580974451.569897,0.05121,-0.00562,-0.97540,0.21436,0.0177
1580974451.578103,0.05121,-0.00562,-0.97540,0.21436,0.0177
1580974451.581743,0.05121,-0.00562,-0.97540,0.21436,0.0177
1580974451.588423,0.05121,-0.00555,-0.97540,0.21436,0.0177
1580974451.592484,0.05121,-0.00555,-0.97540,0.21429,0.0177
1580974451.5978959,0.05121,-0.00555,-0.97540,0.21429,0.0177
1580974451.605116,0.05115,-0.00555,-0.97540,0.21429,0.0177
1580974451.60914,0.05115,-0.00549,-0.97540,0.21429,0.0177
1580974451.615217,0.05115,-0.00549,-0.97540,0.21429,0.0177
1580974451.62116,0.05115,-0.00549,-0.97540,0.21429,0.0177
1580974451.624934,0.05115,-0.00549,-0.97540,0.21429,0.0177
1580974451.631785,0.05115,-0.00549,-0.97540,0.21429,0.0177
1580974451.6370869,0.05115,-0.00543,-0.97540,0.21429,0.0177
1580974451.642267,0.05115,-0.00543,-0.97540,0.21429,0.0177
1580974451.647794,0.05115,-0.00543,-0.97540,0.21436,0.0177
1580974451.652873,0.05115,-0.00537,-0.97540,0.21436,0.0177
1580974451.658402,0.05115,-0.00537,-0.97540,0.21436,0.0177
1580974451.664093,0.05115,-0.00537,-0.97540,0.21436,0.0177
1580974451.671222,0.05121,-0.00531,-0.97540,0.21442,0.0177
1580974451.6750789,0.05121,-0.00525,-0.97540,0.21442,0.0177
1580974451.680033,0.05121,-0.00525,-0.97540,0.21442,0.0177
1580974451.6854599,0.05121,-0.00525,-0.97540,0.21442,0.0177
1580974451.691818,0.05127,-0.00519,-0.97540,0.21442,0.0177
1580974451.700423,0.05127,-0.00519,-0.97540,0.21442,0.0177
1580974451.702483,0.05133,-0.00513,-0.97540,0.21442,0.0177
1580974451.70862,0.05133,-0.00513,-0.97540,0.21442,0.0177
1580974451.713362,0.05133,-0.00513,-0.97540,0.21442,0.0177
1580974451.718563,0.05139,-0.00513,-0.97540,0.21442,0.0177
1580974451.7253351,0.05139,-0.00507,-0.97540,0.21442,0.0177
1580974451.731626,0.05145,-0.00507,-0.97540,0.21436,0.0177
1580974451.735543,0.05145,-0.00507,-0.97540,0.21436,0.0177
1580974451.740897,0.05145,-0.00500,-0.97540,0.21436,0.0177
1580974451.748192,0.05145,-0.00507,-0.97540,0.21436,0.0177
1580974451.752108,0.05151,-0.00507,-0.97540,0.21429,0.0177
1580974451.759111,0.05151,-0.00507,-0.97540,0.21429,0.0177
1580974451.7637372,0.05151,-0.00507,-0.97540,0.21429,0.0177
1580974451.769152,0.05151,-0.00507,-0.97540,0.21429,0.0177
1580974451.7749681,0.05157,-0.00507,-0.97540,0.21429,0.0177
1580974451.780266,0.05157,-0.00507,-0.97540,0.21423,0.0177
1580974451.786099,0.05170,-0.00513,-0.97540,0.21423,0.0177
1580974451.7908201,0.05176,-0.00513,-0.97540,0.21423,0.0177
1580974451.796486,0.05176,-0.00519,-0.97540,0.21429,0.0177
1580974451.802374,0.05182,-0.00519,-0.97534,0.21436,0.0177
1580974451.807897,0.05188,-0.00525,-0.97534,0.21442,0.0177
1580974451.815307,0.05188,-0.00531,-0.97534,0.21454,0.0177
1580974451.818342,0.05194,-0.00537,-0.97528,0.21466,0.0177
1580974451.823652,0.05194,-0.00549,-0.97528,0.21484,0.0177
1580974451.829495,0.05194,-0.00555,-0.97522,0.21503,0.0177
1580974451.8347259,0.05194,-0.00580,-0.97504,0.21570,0.0177
1580974451.8405418,0.05188,-0.00592,-0.97498,0.21613,0.0177
1580974451.846121,0.05182,-0.00610,-0.97485,0.21655,0.0177
1580974451.853151,0.05176,-0.00629,-0.97473,0.21710,0.0177
1580974451.857119,0.05170,-0.00647,-0.97461,0.21771,0.0177
1580974451.862648,0.05164,-0.00665,-0.97449,0.21844,0.0177
1580974451.868337,0.05164,-0.00684,-0.97430,0.21924,0.0177
1580974451.874111,0.05164,-0.00708,-0.97406,0.22015,0.0177
1580974451.8787708,0.05170,-0.00732,-0.97382,0.22119,0.0177
1580974451.884993,0.05182,-0.00775,-0.97333,0.22339,0.0177
1580974451.8893492,0.05200,-0.00800,-0.97302,0.22479,0.0177
1580974451.895069,0.05212,-0.00824,-0.97266,0.22614,0.0177
1580974451.901116,0.05231,-0.00842,-0.97229,0.22766,0.0177
1580974451.9073422,0.05249,-0.00861,-0.97198,0.22906,0.0177
1580974451.913099,0.05273,-0.00885,-0.97150,0.23096,0.0177
1580974451.91761,0.05292,-0.00903,-0.97113,0.23242,0.0177
1580974451.92326,0.05316,-0.00922,-0.97064,0.23431,0.0177
1580974451.9301069,0.05341,-0.00934,-0.97021,0.23602,0.0177
1580974451.9338932,0.05365,-0.00952,-0.96973,0.23810,0.0177
1580974451.9392698,0.05414,-0.00983,-0.96875,0.24182,0.0177
