imu_packets,1246
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580973909.141566,0.02661,-0.01807,-0.99561,0.08777,0.0180
1580973909.148022,0.02637,-0.01880,-0.99554,0.08838,0.0180
1580973909.154909,0.02618,-0.01947,-0.99548,0.08899,0.0180
1580973909.1588092,0.02594,-0.02020,-0.99542,0.08966,0.0180
1580973909.164103,0.02576,-0.02100,-0.99536,0.09039,0.0180
1580973909.1721349,0.02551,-0.02173,-0.99530,0.09106,0.0180
1580973909.175261,0.02521,-0.02325,-0.99512,0.09253,0.0180
1580973909.181215,0.02509,-0.02399,-0.99506,0.09320,0.0180
1580973909.187351,0.02496,-0.02478,-0.99493,0.09393,0.0180
1580973909.19355,0.02484,-0.02551,-0.99487,0.09460,0.0180
1580973909.19974,0.02478,-0.02637,-0.99481,0.09528,0.0180
1580973909.203917,0.02466,-0.02716,-0.99469,0.09601,0.0180
1580973909.2088141,0.02466,-0.02802,-0.99463,0.09680,0.0180
1580973909.215269,0.02460,-0.02881,-0.99451,0.09747,0.0180
1580973909.220063,0.02460,-0.02972,-0.99438,0.09827,0.0180
1580973909.2256398,0.02454,-0.03052,-0.99432,0.09900,0.0180
1580973909.232625,0.02460,-0.03210,-0.99414,0.10034,0.0180
1580973909.2372448,0.02466,-0.03296,-0.99402,0.10107,0.0180
1580973909.243984,0.02466,-0.03363,-0.99396,0.10168,0.0180
1580973909.24928,0.02472,-0.03436,-0.99384,0.10229,0.0180
1580973909.254337,0.02478,-0.03503,-0.99377,0.10297,0.0180
1580973909.2599401,0.02484,-0.03577,-0.99365,0.10364,0.0180
1580973909.266207,0.02490,-0.03638,-0.99359,0.10425,0.0180
1580973909.2706292,0.02496,-0.03754,-0.99341,0.10547,0.0180
1580973909.275541,0.02502,-0.03809,-0.99329,0.10608,0.0180
1580973909.28263,0.02509,-0.03857,-0.99323,0.10663,0.0180
1580973909.291117,0.02515,-0.03900,-0.99316,0.10718,0.0180
1580973909.293901,0.02515,-0.03937,-0.99310,0.10773,0.0180
1580973909.2994518,0.02521,-0.03967,-0.99298,0.10828,0.0180
1580973909.306869,0.02521,-0.03992,-0.99292,0.10883,0.0180
1580973909.3099918,0.02527,-0.04010,-0.99286,0.10931,0.0180
1580973909.3164318,0.02527,-0.04028,-0.99280,0.10980,0.0180
1580973909.320982,0.02527,-0.04034,-0.99274,0.11072,0.0180
1580973909.326755,0.02527,-0.04034,-0.99268,0.11108,0.0180
1580973909.331549,0.02527,-0.04028,-0.99261,0.11145,0.0180
1580973909.337492,0.02527,-0.04016,-0.99261,0.11182,0.0180
1580973909.353154,0.02527,-0.04004,-0.99255,0.11218,0.0180
1580973909.353167,0.02527,-0.03992,-0.99255,0.11249,0.0180
1580973909.353635,0.02521,-0.03979,-0.99249,0.11279,0.0179
