#NEXT_T3_EW_PW_B0_C7_S6_0206112136
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
589.1404,0.09856502,0.0593172,-0.1750789,0.415608,359.8405,3.562641,-0.002784699,-0.007253665,0.9999698,0.689429,-0.689429,10,DwellButton,5.141976,
589.1594,0.09849612,0.05926789,-0.1749592,0.420994,359.8275,3.561048,-0.003011661,-0.007347664,0.9999685,0.689429,-0.689429,10,MixedRealityCamera,5.146965,
589.1747,0.09837317,0.05921039,-0.1749281,0.4171513,359.8156,3.563841,-0.003219338,-0.007280599,0.9999683,0.689429,-0.689429,10,MixedRealityCamera,5.158107,
589.1918,0.09830756,0.05917646,-0.1748218,0.406919,359.818,3.584269,-0.003176399,-0.007102016,0.9999697,0.689429,-0.689429,10,MixedRealityCamera,5.164105,
589.207,0.09837629,0.05920484,-0.1747269,0.4122773,359.8246,3.603697,-0.003061528,-0.007195535,0.9999694,0.689429,-0.689429,10,MixedRealityCamera,5.155637,
589.2252,0.09833826,0.05919906,-0.1746918,0.4293695,359.825,3.629908,-0.003053878,-0.007493841,0.9999673,0.689429,-0.689429,10,MixedRealityCamera,5.142928,
589.2404,0.09828459,0.05928316,-0.174627,0.4273767,359.8286,3.659536,-0.002990748,-0.007459062,0.9999677,0.689429,-0.689429,10,MixedRealityCamera,5.142509,
589.2574,0.09823627,0.0592506,-0.1745578,0.4292049,359.8148,3.681586,-0.003232743,-0.007490968,0.9999667,0.689429,-0.689429,10,MixedRealityCamera,5.150694,
589.2738,0.09819812,0.05922445,-0.1745142,0.4109601,359.8039,3.698837,-0.003422041,-0.007172546,0.9999684,0.689429,-0.689429,10,MixedRealityCamera,5.171498,
589.2908,0.0981242,0.05928753,-0.1743592,0.350463,359.7823,3.657378,-0.003800395,-0.006116694,0.9999741,0.689429,-0.689429,10,MixedRealityCamera,5.231282,
589.3075,0.09820183,0.05938131,-0.1742365,0.3264255,359.7646,3.612801,-0.004107506,-0.005697169,0.9999753,0.689429,-0.689429,10,MixedRealityCamera,5.26105,
589.3241,0.09813911,0.05928471,-0.1741638,0.3704995,359.7523,3.599289,-0.004323277,-0.006466391,0.9999697,0.689429,-0.689429,10,MixedRealityCamera,5.236935,
589.3401,0.09806633,0.0592753,-0.1741354,0.4424783,359.7348,3.613738,-0.004628289,-0.007722627,0.9999595,0.689429,-0.689429,10,MixedRealityCamera,5.196784,
589.3577,0.09799719,0.05922095,-0.1740675,0.4636624,359.7634,3.599978,-0.004128774,-0.008092348,0.9999588,0.689429,-0.689429,10,MixedRealityCamera,5.161752,
589.3735,0.09800007,0.05914273,-0.1740507,0.4649678,359.7737,3.601495,-0.003949635,-0.00811513,0.9999593,0.689429,-0.689429,10,MixedRealityCamera,5.153432,
589.3929,0.09791809,0.05912153,-0.1739441,0.4505691,359.8053,3.621487,-0.003397291,-0.007863833,0.9999633,0.689429,-0.689429,10,MixedRealityCamera,5.142433,
589.4081,0.09801714,0.05916162,-0.1737668,0.4026168,359.8125,3.644272,-0.003272274,-0.007026931,0.99997,0.689429,-0.689429,10,MixedRealityCamera,5.172635,
589.4247,0.09790412,0.05916855,-0.1734989,0.3157989,359.8066,3.663603,-0.003374581,-0.005511703,0.9999791,0.689429,-0.689429,10,MixedRealityCamera,5.241235,
589.4398,0.09771924,0.05919901,-0.1732271,0.2394156,359.8091,3.654312,-0.003332566,-0.004178578,0.9999857,0.689429,-0.689429,10,MixedRealityCamera,5.297535,
589.4576,0.09759349,0.05914474,-0.1727604,0.1542242,359.8364,3.648263,-0.002855764,-0.002691716,0.9999923,0.689429,-0.689429,10,MixedRealityCamera,5.344232,
589.4742,0.09751782,0.05904211,-0.1723542,0.1533246,359.9085,3.669564,-0.00159727,-0.002676015,0.9999952,0.689429,-0.689429,10,MixedRealityCamera,5.298164,
589.4911,0.09751996,0.05911127,-0.1717134,0.1561417,0.008236997,3.707062,0.0001437622,-0.002725184,0.9999963,0.689429,-0.689429,10,MixedRealityCamera,5.232855,
589.5068,0.09765406,0.05925377,-0.1707787,0.07523993,0.154644,3.678889,0.002699042,-0.001313184,0.9999955,0.689429,-0.689429,10,MixedRealityCamera,5.205938,
589.5248,0.09760648,0.05928904,-0.1698854,-0.002289725,0.3104094,3.624874,0.00541764,3.996324E-05,0.9999853,0.689429,-0.689429,10,MixedRealityCamera,5.176195,
589.5409,0.09756741,0.05917929,-0.1685349,359.9019,0.573078,3.56008,0.01000192,0.001711405,0.9999485,0.689429,-0.689429,10,MixedRealityCamera,5.108449,
589.5574,0.09747759,0.05881001,-0.1671909,359.839,0.8016208,3.540535,0.01399041,0.002809993,0.9998982,0.689429,-0.689429,10,MixedRealityCamera,5.042516,
589.5739,0.09731612,0.05830683,-0.165784,359.8249,0.9963827,3.551094,0.0173892,0.003055778,0.9998441,0.689429,-0.689429,10,MixedRealityCamera,4.958909,
589.5906,0.09689776,0.05751064,-0.1641123,359.8228,1.137843,3.539173,0.01985771,0.003093052,0.9997981,0.689429,-0.689429,10,MixedRealityCamera,4.893769,
589.6072,0.09640757,0.05650221,-0.162184,359.8476,1.239282,3.407295,0.02162779,0.002660074,0.9997625,0.689429,-0.689429,10,MixedRealityCamera,4.823854,
