#NEXT_T6_EU_PS_B1_C5_S6_0206112749
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
956.0157,0.01290596,0.07371134,-0.1359102,0.3834951,0.4557552,3.114937,0.007954167,-0.006693202,0.9999459,-0.195,2.325352E-09,1.86409,DwellButton,6.615149,
956.033,0.01304595,0.07366334,-0.1358566,0.4045671,0.4842858,3.124295,0.008452071,-0.007060969,0.9999393,-0.195,2.325352E-09,1.864143,MixedRealityCamera,6.640802,
956.0493,0.01312478,0.0736531,-0.1357798,0.3991985,0.5070137,3.119698,0.008848727,-0.006967271,0.9999366,-0.195,2.325352E-09,1.86422,MixedRealityCamera,6.666239,
956.0662,0.01322564,0.07359162,-0.1357029,0.4083534,0.5206016,3.097471,0.009085856,-0.007127051,0.9999333,-0.195,2.325352E-09,1.864297,MixedRealityCamera,6.679377,
956.0818,0.01328714,0.07358348,-0.1356044,0.4243845,0.5221356,3.069561,0.00911261,-0.00740684,0.999931,-0.195,2.325352E-09,1.864396,MixedRealityCamera,6.678408,
956.0995,0.01337741,0.0735589,-0.1354784,0.4083707,0.5149834,3.05246,0.008987807,-0.007127352,0.9999342,-0.195,2.325352E-09,1.864522,MixedRealityCamera,6.67785,
956.1165,0.01341246,0.07356708,-0.1353586,0.4038512,0.4993646,3.048564,0.008715229,-0.007048475,0.9999372,-0.195,2.325352E-09,1.864641,MixedRealityCamera,6.664886,
956.1327,0.01344478,0.07356682,-0.1352492,0.4091438,0.5011954,3.05212,0.008747175,-0.007140846,0.9999362,-0.195,2.325352E-09,1.864751,MixedRealityCamera,6.66621,
956.1495,0.01345473,0.0735064,-0.1351308,0.4059776,0.4937834,3.032568,0.008617823,-0.007085587,0.9999378,-0.195,2.325352E-09,1.864869,MixedRealityCamera,6.659705,
956.1664,0.01347104,0.07350758,-0.1350196,0.3996687,0.4872744,3.021569,0.008504234,-0.006975478,0.9999395,-0.195,2.325352E-09,1.86498,MixedRealityCamera,6.655404,
956.1816,0.01349697,0.07350977,-0.1349166,0.4020586,0.4778246,3.014608,0.008339311,-0.007017189,0.9999406,-0.195,2.325352E-09,1.865083,MixedRealityCamera,6.646411,
956.1992,0.01348687,0.07346837,-0.1348141,0.4039394,0.4812066,3.023222,0.008398332,-0.007050014,0.9999399,-0.195,2.325352E-09,1.865186,MixedRealityCamera,6.648623,
