#NEXT_T3_EW_PS_B3_C0_S7_0206165902
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
2457.255,-0.1008788,-0.304316,0.1247178,358.8535,0.7008215,1.393131,0.01222889,0.0200079,0.999725,0.689429,-0.689429,10,DwellButton,5.136371,
2457.272,-0.1008841,-0.3043421,0.1248605,358.8695,0.7313797,1.391122,0.01276215,0.01972968,0.9997239,0.689429,-0.689429,10,MixedRealityCamera,5.102884,
2457.29,-0.1009037,-0.3044471,0.1250015,358.8837,0.7607803,1.384405,0.01327521,0.01948163,0.9997221,0.689429,-0.689429,10,MixedRealityCamera,5.071148,
2457.304,-0.100911,-0.3044674,0.1251372,358.919,0.7706755,1.379885,0.01344803,0.01886547,0.9997316,0.689429,-0.689429,10,MixedRealityCamera,5.040456,
2457.322,-0.1008891,-0.3045006,0.1252584,358.9333,0.7864369,1.378748,0.0137231,0.01861564,0.9997326,0.689429,-0.689429,10,MixedRealityCamera,5.019071,
2457.338,-0.1008874,-0.3045509,0.1253893,358.9529,0.8062052,1.380653,0.01406812,0.01827347,0.999734,0.689429,-0.689429,10,MixedRealityCamera,4.991161,
2457.355,-0.1008734,-0.3046516,0.1255137,358.9729,0.8150809,1.376054,0.01422308,0.0179257,0.9997382,0.689429,-0.689429,10,MixedRealityCamera,4.970984,
2457.372,-0.1008657,-0.3047025,0.1256248,358.9943,0.8218278,1.377401,0.0143409,0.0175521,0.9997431,0.689429,-0.689429,10,MixedRealityCamera,4.951753,
2457.389,-0.1008606,-0.3048003,0.1257594,359.0055,0.8322682,1.37417,0.01452312,0.01735616,0.9997439,0.689429,-0.689429,10,MixedRealityCamera,4.93618,
2457.405,-0.1008598,-0.3048197,0.1258786,359.028,0.8444936,1.364112,0.01473654,0.01696366,0.9997475,0.689429,-0.689429,10,MixedRealityCamera,4.912269,
2457.424,-0.1008781,-0.3048403,0.126004,359.0372,0.8672237,1.364617,0.01513319,0.01680312,0.9997443,0.689429,-0.689429,10,MixedRealityCamera,4.889083,
2457.438,-0.100863,-0.3048816,0.1261301,359.0385,0.8866549,1.356899,0.01547225,0.01677992,0.9997395,0.689429,-0.689429,10,MixedRealityCamera,4.87331,
2457.455,-0.1008271,-0.3049855,0.1262757,359.0703,0.9109239,1.324162,0.01589586,0.01622538,0.999742,0.689429,-0.689429,10,MixedRealityCamera,4.833673,
2457.472,-0.1007571,-0.3050379,0.1264392,359.0764,0.9435373,1.333163,0.01646495,0.01611931,0.9997345,0.689429,-0.689429,10,MixedRealityCamera,4.804607,
2457.489,-0.1006628,-0.3050126,0.1265463,359.1103,0.9873757,1.315124,0.01723002,0.01552831,0.9997309,0.689429,-0.689429,10,MixedRealityCamera,4.74908,
2457.505,-0.1005932,-0.3051142,0.1266723,359.1767,1.041881,1.267074,0.01818138,0.0143682,0.9997315,0.689429,-0.689429,10,MixedRealityCamera,4.663755,
2457.522,-0.1004411,-0.3053368,0.1268128,359.2987,1.149779,1.233427,0.02006458,0.01223921,0.9997238,0.689429,-0.689429,10,MixedRealityCamera,4.500933,
2457.539,-0.100301,-0.3055097,0.1268932,359.4174,1.257199,1.215459,0.02193937,0.01016887,0.9997076,0.689429,-0.689429,10,MixedRealityCamera,4.341087,
2457.556,-0.1001347,-0.3057471,0.1269564,359.5724,1.382456,1.177147,0.02412539,0.007462931,0.9996811,0.689429,-0.689429,10,MixedRealityCamera,4.143922,
2457.572,-0.09990427,-0.3059887,0.1270118,359.7349,1.539677,1.127683,0.02686891,0.004626538,0.9996282,0.689429,-0.689429,10,MixedRealityCamera,3.917367,
2457.589,-0.09966258,-0.3062479,0.1270561,359.919,1.729961,1.0569,0.0301889,0.001414223,0.9995432,0.689429,-0.689429,10,MixedRealityCamera,3.651572,
2457.604,-0.09940558,-0.3064786,0.1270929,0.09576952,1.939015,0.9962869,0.03383569,-0.001671493,0.999426,0.689429,-0.689429,10,MixedRealityCamera,3.375915,
2457.621,-0.0990558,-0.3067227,0.1271112,0.3075771,2.18059,0.9352754,0.03804874,-0.005368207,0.9992614,0.689429,-0.689429,10,MixedRealityCamera,3.052552,
2457.638,-0.09865872,-0.3070557,0.1270881,0.5376452,2.474563,0.8645301,0.04317395,-0.009383541,0.9990235,0.689429,-0.689429,10,MixedRealityCamera,2.676203,
2457.655,-0.09818812,-0.3074494,0.1270353,0.80294,2.755067,0.8095812,0.04806175,-0.01401349,0.998746,0.689429,-0.689429,10,MixedRealityCamera,2.287987,
2457.672,-0.09782976,-0.3078347,0.1269342,1.102346,3.01226,0.7949209,0.05253991,-0.01923839,0.9984335,0.689429,-0.689429,10,MixedRealityCamera,1.899707,
2457.688,-0.0975427,-0.3081909,0.1268236,1.357282,3.248088,0.8033427,0.05664358,-0.02368682,0.9981135,0.689429,-0.689429,10,MixedRealityCamera,1.558716,
2457.705,-0.09718725,-0.3085173,0.1267285,1.617062,3.506174,0.8756073,0.06113175,-0.0282193,0.9977307,0.689429,-0.689429,10,target_3,1.20073,
2457.721,-0.09704416,-0.3088857,0.1266037,1.883059,3.677595,0.9132321,0.06410745,-0.03285966,0.9974019,0.689429,-0.689429,10,target_3,0.9316724,
2457.738,-0.09682041,-0.3091965,0.1266055,2.065143,3.766047,0.9495878,0.06563994,-0.03603575,0.9971924,0.689429,-0.689429,10,target_3,0.7974581,
2457.756,-0.09668885,-0.309411,0.1266237,2.15328,4.009234,1.038528,0.06986787,-0.03757297,0.9968484,0.689429,-0.689429,10,target_3,0.5442861,
2457.771,-0.09643427,-0.3095906,0.1266492,2.295966,4.180521,1.121649,0.07284061,-0.04006144,0.9965387,0.689429,-0.689429,10,target_3,0.3830841,
2457.788,-0.09627856,-0.3098107,0.1266261,2.456869,4.362631,1.180132,0.0759988,-0.04286732,0.996186,0.689429,-0.689429,10,target_3,0.3220336,
2457.804,-0.09611799,-0.3100109,0.1266304,2.604008,4.527181,1.244782,0.07885052,-0.04543287,0.9958506,0.689429,-0.689429,10,target_3,0.4111691,
2457.822,-0.0958892,-0.3101568,0.1266532,2.669778,4.698951,1.303338,0.08183135,-0.04657955,0.9955571,0.689429,-0.689429,10,target_3,0.5000685,
2457.839,-0.09567828,-0.3101985,0.1267285,2.660091,4.878026,1.341422,0.08494318,-0.04641067,0.9953043,0.689429,-0.689429,10,target_3,0.5726661,
2457.856,-0.09543723,-0.3102584,0.1267343,2.657781,5.026602,1.343038,0.08752402,-0.0463704,0.9950826,0.689429,-0.689429,10,target_3,0.6696879,
2457.871,-0.09526134,-0.3103024,0.1267564,2.681457,5.170071,1.333832,0.09001369,-0.04678318,0.9948411,0.689429,-0.689429,10,target_3,0.7940154,
2457.887,-0.09507492,-0.3103786,0.1267362,2.676295,5.27811,1.318414,0.09188983,-0.04669317,0.9946738,0.689429,-0.689429,10,target_3,0.8798226,
2457.905,-0.09498398,-0.3103851,0.1267496,2.685916,5.340043,1.281195,0.09296422,-0.04686091,0.9945661,0.689429,-0.689429,10,target_3,0.9377435,
