#NEXT_T6_EU_PW_B2_C0_S7_0206164601
Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ,HeadForwardX,HeadForwardY,HeadForwardZ,TargetPositionX,TargetPositionY,TargetPositionZ,TargetEntered,TargetAngularDistance
1682.022,0.1405857,-0.3343978,-0.01557009,358.1585,358.9725,1.053176,-0.01792325,0.03213434,0.9993228,-0.195,2.325352E-09,1.98443,DwellButton,11.31343,
1682.038,0.1403516,-0.3344169,-0.01529964,358.1523,358.9717,1.046941,-0.01793634,0.03224214,0.9993191,-0.195,2.325352E-09,1.9847,MixedRealityCamera,11.30435,
1682.056,0.1400167,-0.3343921,-0.01508647,358.1826,358.9574,1.067469,-0.01818628,0.03171477,0.9993315,-0.195,2.325352E-09,1.984914,MixedRealityCamera,11.30681,
1682.072,0.1398195,-0.3344279,-0.01483386,358.2076,358.959,1.083596,-0.01815875,0.0312783,0.9993458,-0.195,2.325352E-09,1.985166,MixedRealityCamera,11.32149,
1682.088,0.1396436,-0.3344716,-0.01455049,358.2224,358.959,1.10901,-0.01815878,0.03101914,0.9993538,-0.195,2.325352E-09,1.98545,MixedRealityCamera,11.32874,
1682.105,0.1393437,-0.3344114,-0.01425788,358.2096,358.9815,1.138791,-0.01776698,0.03124308,0.9993539,-0.195,2.325352E-09,1.985742,MixedRealityCamera,11.32957,
1682.122,0.1390047,-0.3343987,-0.01396649,358.1727,359.0084,1.112229,-0.01729787,0.03188641,0.9993418,-0.195,2.325352E-09,1.986034,MixedRealityCamera,11.31768,
1682.138,0.1388257,-0.3344211,-0.01365163,358.176,359.0283,1.116925,-0.01694991,0.03182904,0.9993496,-0.195,2.325352E-09,1.986348,MixedRealityCamera,11.33147,
1682.156,0.1385541,-0.3344096,-0.01334293,358.225,359.0338,1.135016,-0.01685448,0.03097491,0.999378,-0.195,2.325352E-09,1.986657,MixedRealityCamera,11.36271,
1682.172,0.1383754,-0.3344398,-0.0130215,358.2505,359.0402,1.150409,-0.01674281,0.03052895,0.9993936,-0.195,2.325352E-09,1.986979,MixedRealityCamera,11.38161,
1682.189,0.1382003,-0.3344691,-0.01269882,358.264,359.045,1.147935,-0.01665865,0.03029386,0.9994022,-0.195,2.325352E-09,1.987301,MixedRealityCamera,11.39126,
1682.205,0.1378742,-0.3345128,-0.01240658,358.291,359.0585,1.12161,-0.01642415,0.0298235,0.9994202,-0.195,2.325352E-09,1.987593,MixedRealityCamera,11.41363,
1682.222,0.1376838,-0.3345496,-0.01208755,358.3037,359.0706,1.108724,-0.016213,0.02960111,0.9994303,-0.195,2.325352E-09,1.987912,MixedRealityCamera,11.42803,
1682.238,0.1373703,-0.3345407,-0.01175397,358.2961,359.0649,1.109163,-0.01631176,0.0297346,0.9994247,-0.195,2.325352E-09,1.988246,MixedRealityCamera,11.41225,
1682.255,0.1369792,-0.3345066,-0.01141734,358.2845,359.0543,1.099726,-0.01649814,0.0299357,0.9994156,-0.195,2.325352E-09,1.988583,MixedRealityCamera,11.38809,
1682.272,0.1367078,-0.3345027,-0.01106098,358.2515,359.0178,1.084362,-0.01713461,0.0305118,0.9993875,-0.195,2.325352E-09,1.988939,MixedRealityCamera,11.3334,
1682.289,0.1362619,-0.3344172,-0.01062005,358.2024,358.9562,1.043422,-0.01820819,0.03136975,0.999342,-0.195,2.325352E-09,1.98938,MixedRealityCamera,11.2443,
1682.304,0.1357866,-0.3341972,-0.01018617,358.1102,358.8582,0.9813346,-0.01991573,0.03297684,0.9992577,-0.195,2.325352E-09,1.989814,MixedRealityCamera,11.09633,
1682.322,0.1350204,-0.3336942,-0.009755846,358.0173,358.7056,0.9389195,-0.02257649,0.03459766,0.9991463,-0.195,2.325352E-09,1.990244,MixedRealityCamera,10.89667,
1682.339,0.1342287,-0.3331059,-0.009261191,357.8874,358.5237,0.8785101,-0.02574594,0.03686409,0.9989886,-0.195,2.325352E-09,1.990739,MixedRealityCamera,10.64843,
1682.355,0.1331066,-0.3322808,-0.008637618,357.7791,358.2992,0.7866654,-0.02965873,0.0387513,0.9988086,-0.195,2.325352E-09,1.991362,MixedRealityCamera,10.37325,
1682.372,0.1319129,-0.3309774,-0.007954299,357.6205,357.9758,0.6848031,-0.03529189,0.04151779,0.9985143,-0.195,2.325352E-09,1.992046,MixedRealityCamera,9.982135,
1682.387,0.1304746,-0.3296055,-0.007220428,357.3948,357.6261,0.5929826,-0.04137822,0.04545386,0.9981091,-0.195,2.325352E-09,1.99278,MixedRealityCamera,9.520268,
1682.405,0.1286186,-0.328176,-0.006207347,356.9555,357.0121,0.546593,-0.05205252,0.05311129,0.997231,-0.195,2.325352E-09,1.993793,target_4,8.712487,
1682.422,0.1266343,-0.3274093,-0.005121373,356.6031,356.3885,0.6058717,-0.06288048,0.05925132,0.9962606,-0.195,2.325352E-09,1.994879,target_4,7.974028,
1682.438,0.124835,-0.3269841,-0.003987424,356.243,355.7167,0.7291578,-0.07452744,0.06552602,0.9950638,-0.195,2.325352E-09,1.996013,target_4,7.215314,
1682.455,0.1227963,-0.3267885,-0.002538282,355.7649,355.0371,0.8221191,-0.08627414,0.07384944,0.9935306,-0.195,2.325352E-09,1.997462,MixedRealityCamera,6.373106,
1682.472,0.1208016,-0.3267092,-0.0009744018,355.3074,354.3576,0.8535213,-0.09799015,0.08181012,0.991819,-0.195,2.325352E-09,1.999026,MixedRealityCamera,5.562042,
1682.488,0.1186211,-0.3268057,0.0008769631,354.8614,353.7064,0.8079174,-0.1091822,0.08956474,0.9899785,-0.195,2.325352E-09,2.000877,target_5,4.795874,
1682.504,0.1165693,-0.3269697,0.002898321,354.498,353.1338,0.7335376,-0.1190002,0.09587982,0.988254,-0.195,2.325352E-09,2.002898,target_5,4.169787,
1682.523,0.1144553,-0.3269855,0.005182419,354.2108,352.614,0.6369022,-0.1278967,0.1008693,0.9866447,-0.195,2.325352E-09,2.005183,target_5,3.665434,
1682.538,0.1124431,-0.3268298,0.007412832,353.9349,352.151,0.5098386,-0.1357987,0.105659,0.9850863,-0.195,2.325352E-09,2.007413,target_5,3.232527,
1682.558,0.1101829,-0.3266027,0.01047903,353.7278,351.8329,0.3213719,-0.1412108,0.1092514,0.9839327,-0.195,2.325352E-09,2.010479,target_5,2.941712,
1682.572,0.1081985,-0.3262864,0.01352524,353.4963,351.5646,0.2228929,-0.1457507,0.1132676,0.9828159,-0.195,2.325352E-09,2.013525,MixedRealityCamera,2.665503,
1682.587,0.1060889,-0.3259929,0.01695076,353.2594,351.3242,0.1620334,-0.1498014,0.1173747,0.9817244,-0.195,2.325352E-09,2.016951,MixedRealityCamera,2.418242,
1682.605,0.1041036,-0.3258698,0.02062602,352.9941,351.1435,0.1477974,-0.1528105,0.1219713,0.9806997,-0.195,2.325352E-09,2.020626,MixedRealityCamera,2.176188,
1682.622,0.1019529,-0.3259364,0.0247812,352.6491,351.0214,0.1395292,-0.1547834,0.1279455,0.9796285,-0.195,2.325352E-09,2.024781,MixedRealityCamera,1.8818,
1682.638,0.09987412,-0.3261663,0.0292181,352.2427,350.9569,0.07233902,-0.1557389,0.1349765,0.978533,-0.195,2.325352E-09,2.029218,MixedRealityCamera,1.550029,
1682.655,0.09753444,-0.3266461,0.03405528,351.769,350.9645,359.9528,-0.1554278,0.1431643,0.9774181,-0.195,2.325352E-09,2.034055,target_6,1.182667,
1682.672,0.09527366,-0.3276625,0.03912866,351.2787,351.0439,359.6613,-0.1538784,0.1516273,0.9763865,-0.195,2.325352E-09,2.039129,target_6,0.8446465,
1682.687,0.092768,-0.3290747,0.04408462,350.8357,351.1213,359.373,-0.1523722,0.1592661,0.9754061,-0.195,2.325352E-09,2.044085,target_6,0.6872803,
1682.705,0.09046131,-0.3328792,0.04990535,350.4085,351.3462,358.9585,-0.1483602,0.1666217,0.9747956,-0.195,2.325352E-09,2.049905,target_6,0.5740312,
1682.722,0.08820616,-0.3373295,0.0558285,350.0419,351.5206,358.7697,-0.1452324,0.1729286,0.974168,-0.195,2.325352E-09,2.055829,target_6,0.6314908,
1682.738,0.08646217,-0.3418615,0.06242603,349.7645,351.6819,358.8721,-0.1423669,0.1776953,0.9737331,-0.195,2.325352E-09,2.062426,target_6,0.6974546,
1682.755,0.08497386,-0.3445278,0.06950101,349.5817,351.7755,359.2671,-0.1406934,0.1808327,0.9733986,-0.195,2.325352E-09,2.069501,target_6,0.7785863,
