eye_packets,762
norm_X,norm_Y,phi,theta,confidence,timestamp
1595556485.5735989,"{'circle_3d': {'center': [0.6721513256779867, 6.040795488444553, 65.34921254792643], 'normal': [-0.13772268105361984, 0.7279230996943541, -0.6716847653883229], 'radius': 1.740975077158875}, 'confidence': 0.3663470437949647, 'timestamp': 274327.027226, 'diameter_3d': 3.48195015431775, 'ellipse': {'center': [166.4202367089994, 177.119083951721], 'axes': [20.0143505941351, 33.05207274165534], 'angle': -80.39438915309536}, 'location': [166.4202367089994, 177.119083951721], 'diameter': 33.05207274165534, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7501989190352276, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.386084328516532, 'phi': -1.773033934179439, 'norm_pos': [0.5200632397156231, 0.26200381686782914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.580425,"{'circle_3d': {'center': [0.5955913436344065, 6.0394311340748885, 65.36380880258132], 'normal': [-0.14410267955725156, 0.7278094034968822, -0.6704684108337488], 'radius': 1.7537277823752384}, 'confidence': 0.36400965604451796, 'timestamp': 274327.035626, 'diameter_3d': 3.507455564750477, 'ellipse': {'center': [165.6947830010493, 177.09108056983408], 'axes': [20.11421946794032, 33.286545578581844], 'angle': -79.88884492349739}, 'location': [165.6947830010493, 177.09108056983408], 'diameter': 33.286545578581844, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7501989190352276, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.38591852273144, 'phi': -1.7825040161632664, 'norm_pos': [0.517796196878279, 0.26212049762569134], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.5884511,"{'circle_3d': {'center': [0.6052050183656859, 6.038069315759232, 65.36027090180112], 'normal': [-0.14330153999631157, 0.727695918637244, -0.6707632358987655], 'radius': 1.76392010814582}, 'confidence': 0.37349405472773556, 'timestamp': 274327.044026, 'diameter_3d': 3.52784021629164, 'ellipse': {'center': [165.78662864913753, 177.07888301976325], 'axes': [20.24334699344234, 33.48192439209267], 'angle': -79.95078048889744}, 'location': [165.78662864913753, 177.07888301976325], 'diameter': 33.48192439209267, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7501989190352276, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.385753054235233, 'phi': -1.7812717595632404, 'norm_pos': [0.5180832145285548, 0.2621713207509865], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.5963311,"{'circle_3d': {'center': [0.6379244717056669, 6.035835002794611, 65.35092901025165], 'normal': [-0.14057491888464654, 0.7275097258901926, -0.6715417268612218], 'radius': 1.836249275814739}, 'confidence': 0.7735119066465411, 'timestamp': 274327.052426, 'diameter_3d': 3.672498551629478, 'ellipse': {'center': [166.100997270213, 177.04900295761865], 'axes': [21.106879958585154, 34.860536753061325], 'angle': -80.16419125633821}, 'location': [166.100997270213, 177.04900295761865], 'diameter': 34.860536753061325, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.385481635694579, 'phi': -1.77714828748261, 'norm_pos': [0.5190656164694156, 0.2622958210099223], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.6036422,"{'circle_3d': {'center': [0.6389556013063471, 6.034538855745369, 65.34930932395031], 'normal': [-0.14048899141792318, 0.7274017136360889, -0.6716767007196662], 'radius': 1.7553818075757852}, 'confidence': 0.44536864546547644, 'timestamp': 274327.060826, 'diameter_3d': 3.5107636151515704, 'ellipse': {'center': [166.10670816017372, 177.05656920137957], 'axes': [20.182386881244952, 33.32550124563287], 'angle': -80.16970082997416}, 'location': [166.10670816017372, 177.05656920137957], 'diameter': 33.32550124563287, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.3853242189113577, 'phi': -1.7769854232325473, 'norm_pos': [0.5190834630005429, 0.26226429499425175], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.6130319,"{'circle_3d': {'center': [0.6425098096572031, 6.033172812827834, 65.34708775014876], 'normal': [-0.1401928073886852, 0.7272878767262945, -0.6718618318697955], 'radius': 1.750087798185879}, 'confidence': 0.37612721184209263, 'timestamp': 274327.069226, 'diameter_3d': 3.500175596371758, 'ellipse': {'center': [166.14030527921403, 177.04668193874676], 'axes': [20.12922941472898, 33.22609673162435], 'angle': -80.19184359338321}, 'location': [166.14030527921403, 177.04668193874676], 'diameter': 33.22609673162435, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.385158341715139, 'phi': -1.7765077940222995, 'norm_pos': [0.5191884539975439, 0.26230549192188846], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.623093,"{'circle_3d': {'center': [0.6461297741904961, 6.031809251975453, 65.34485758393775], 'normal': [-0.13989114367757746, 0.7271742466552629, -0.6720476790540462], 'radius': 1.75563787661197}, 'confidence': 0.3280220642014451, 'timestamp': 274327.077626, 'diameter_3d': 3.51127575322394, 'ellipse': {'center': [166.17507806016914, 177.03440527336417], 'axes': [20.200925368106315, 33.332657836331876], 'angle': -80.21444100171752}, 'location': [166.17507806016914, 177.03440527336417], 'diameter': 33.332657836331876, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.3849927949861947, 'phi': -1.7760223051615154, 'norm_pos': [0.5192971189380285, 0.26235664469431597], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.628135,"{'circle_3d': {'center': [0.6498155420750289, 6.03044817465787, 65.34261891150418], 'normal': [-0.13958399635386634, 0.727060823545464, -0.6722342350901773], 'radius': 1.7481076569326284}, 'confidence': 0.25880418621127743, 'timestamp': 274327.086026, 'diameter_3d': 3.4962153138652567, 'ellipse': {'center': [166.20981472588176, 177.0250768589242], 'axes': [20.12201429906455, 33.190781029971355], 'angle': -80.23747496432843}, 'location': [166.20981472588176, 177.0250768589242], 'diameter': 33.190781029971355, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.384827578724525, 'phi': -1.7755289566501942, 'norm_pos': [0.5194056710183805, 0.26239551308781583], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.6404731,"{'circle_3d': {'center': [0.5729614884343421, 6.02908958233202, 65.35748755499432], 'normal': [-0.14598850082392362, 0.72694760751831, -0.6709951814659987], 'radius': 1.7614725949397316}, 'confidence': 0.3505581105120256, 'timestamp': 274327.094426, 'diameter_3d': 3.5229451898794633, 'ellipse': {'center': [165.4815825861906, 176.99677335010944], 'axes': [20.227907107779288, 33.436732628748], 'angle': -79.72979794879686}, 'location': [165.4815825861906, 176.99677335010944], 'diameter': 33.436732628748, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.384662692928991, 'phi': -1.785027748484836, 'norm_pos': [0.5171299455818457, 0.26251344437454405], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.649986,"{'circle_3d': {'center': [0.5823469162065722, 6.0277334764797725, 65.3539827254709], 'normal': [-0.14520638184290446, 0.7268345986972895, -0.6712872505929506], 'radius': 1.7686001499596151}, 'confidence': 0.33742981137398526, 'timestamp': 274327.102826, 'diameter_3d': 3.5372002999192302, 'ellipse': {'center': [165.57110763340995, 176.9852744390843], 'axes': [20.321893041540672, 33.573917825194506], 'angle': -79.79022672345899}, 'location': [165.57110763340995, 176.9852744390843], 'diameter': 33.573917825194506, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.3844981376018772, 'phi': -1.7838246066915222, 'norm_pos': [0.517409711354406, 0.2625613565038154], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.6563652,"{'circle_3d': {'center': [0.6036235004029655, 6.108374282746004, 65.43755930728923], 'normal': [-0.14343333315987164, 0.7335546658861419, -0.6643225354414225], 'radius': 1.7609277655145108}, 'confidence': 0.30557671524132846, 'timestamp': 274327.111226, 'diameter_3d': 3.5218555310290216, 'ellipse': {'center': [165.7642530031846, 177.67944055743519], 'axes': [19.92844053588285, 33.38574781650883], 'angle': -80.00781024703383}, 'location': [165.7642530031846, 177.67944055743519], 'diameter': 33.38574781650883, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.3943339127420393, 'phi': -1.7834413332358559, 'norm_pos': [0.5180132906349518, 0.2596689976773534], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595556485.6655161,"{'circle_3d': {'center': [0.5254342841283879, 6.101373829587002, 65.44710330609911], 'normal': [-0.14994910118275315, 0.7329712947895586, -0.6635272022072664], 'radius': 1.7527836668523766}, 'confidence': 0.4843804725285563, 'timestamp': 274327.119626, 'diameter_3d': 3.5055673337047533, 'ellipse': {'center': [165.023858790567, 177.60698982659414], 'axes': [19.807876910471606, 33.22612889572352], 'angle': -79.49114992239141}, 'location': [165.023858790567, 177.60698982659414], 'diameter': 33.22612889572352, 'sphere': {'center': [2.3248234983214253, -2.6942817078876984, 73.4094297325863], 'radius': 12.0}, 'projected_sphere': {'center': [179.6349511801132, 97.24468552643093], 'axes': [202.69875483578096, 202.69875483578096], 'angle': 90.0}, 'model_confidence': 0.7513476790108831, 'model_id': 91, 'model_birth_timestamp': 274296.778872, 'theta': 2.393475944742307, 'phi': -1.793050841838145, 'norm_pos': [0.5156995587205219, 0.2599708757225244], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
