eye_packets,768
norm_X,norm_Y,phi,theta,confidence,timestamp
1595834604.68121,"{'circle_3d': {'center': [0.4922355554931208, 0.8756905237222945, 7.2250608194167185], 'normal': [-0.49693935755732893, -0.49791150370798576, -0.710728787503195], 'radius': 0.3179213685392505}, 'confidence': 0.21252086745252563, 'timestamp': 307760.058854, 'diameter_3d': 0.635842737078501, 'ellipse': {'center': [202.70483571052006, 195.6424262253985], 'axes': [43.918716131906834, 54.642947382210465], 'angle': 41.623855796288495}, 'location': [202.70483571052006, 195.6424262253985], 'diameter': 54.642947382210465, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.049607464789047, 'phi': -2.180983087512934, 'norm_pos': [0.6334526115953751, 0.1848232240608395], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.68787,"{'circle_3d': {'center': [0.7049098983963491, 0.575295371133195, 7.2950346973827855], 'normal': [-0.4792164956487266, -0.5229444330904107, -0.7048976310060228], 'radius': 0.32143123618439084}, 'confidence': 0.19422381217634135, 'timestamp': 307760.067254, 'diameter_3d': 0.6428624723687817, 'ellipse': {'center': [220.37538543811092, 169.38590345738817], 'axes': [43.32916971224186, 54.675089174360004], 'angle': 49.05511516027052}, 'location': [220.37538543811092, 169.38590345738817], 'diameter': 54.675089174360004, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.020494601801432, 'phi': -2.1678624907868866, 'norm_pos': [0.6886730794940966, 0.2942254022608827], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.695633,"{'circle_3d': {'center': [0.7065948275352794, 0.8032990444586918, 7.129433553998446], 'normal': [-0.47907608488714915, -0.5039441269799527, -0.7186977262880512], 'radius': 0.32158572013720543}, 'confidence': 0.24275830615760519, 'timestamp': 307760.075654, 'diameter_3d': 0.6431714402744109, 'ellipse': {'center': [221.94317892052254, 190.38375791354431], 'axes': [46.07427929882113, 55.961339809949465], 'angle': 45.85814067802474}, 'location': [221.94317892052254, 190.38375791354431], 'diameter': 55.961339809949465, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0426372464559246, 'phi': -2.158745242242852, 'norm_pos': [0.6935724341266329, 0.20673434202689867], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.705715,"{'circle_3d': {'center': [0.6896414709620062, 0.579533812780376, 7.302288328195074], 'normal': [-0.4804888646015884, -0.5225912296198122, -0.7042931617716652], 'radius': 0.32023097599889755}, 'confidence': 0.2538647925194196, 'timestamp': 307760.084054, 'diameter_3d': 0.6404619519977951, 'ellipse': {'center': [219.01462566276942, 169.6922673906258], 'axes': [43.05569162623772, 54.41389775615344], 'angle': 48.765230438346954}, 'location': [219.01462566276942, 169.6922673906258], 'diameter': 54.41389775615344, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.020908928831475, 'phi': -2.1694952685245315, 'norm_pos': [0.6844207051961544, 0.29294888587239254], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.7120209,"{'circle_3d': {'center': [0.6915306854552412, 0.5929800178828817, 7.291040651105565], 'normal': [-0.48033143006048556, -0.5214707125279369, -0.7052304681957912], 'radius': 0.3210343740720216}, 'confidence': 0.20723576713894257, 'timestamp': 307760.092454, 'diameter_3d': 0.6420687481440432, 'ellipse': {'center': [219.2698556868349, 170.91624712826683], 'axes': [43.343718139484714, 54.63347324066502], 'angle': 48.627553315488214}, 'location': [219.2698556868349, 170.91624712826683], 'diameter': 54.63347324066502, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0222226612853942, 'phi': -2.1687237792439866, 'norm_pos': [0.685218299021359, 0.28784897029888823], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.720481,"{'circle_3d': {'center': [0.5724741924411711, 0.6921608656054303, 7.3002158733665325], 'normal': [-0.4902528044783247, -0.513205641884391, -0.7044658663407104], 'radius': 0.3182692772408378}, 'confidence': 0.26840051412695, 'timestamp': 307760.100854, 'diameter_3d': 0.6365385544816756, 'ellipse': {'center': [209.0736390017777, 179.26732267872342], 'axes': [42.83149975892928, 54.08930308798511], 'angle': 45.55104127383713}, 'location': [209.0736390017777, 179.26732267872342], 'diameter': 54.08930308798511, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0318806666325324, 'phi': -2.1787796629953813, 'norm_pos': [0.6533551218805553, 0.25305282217198577], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.728419,"{'circle_3d': {'center': [0.6170177483053267, 0.5788597516849681, 7.352797443786011], 'normal': [-0.4865408414896451, -0.522647401377763, -0.7000840688057539], 'radius': 0.319019318713471}, 'confidence': 0.27104197430849053, 'timestamp': 307760.109254, 'diameter_3d': 0.638038637426942, 'ellipse': {'center': [212.47587032702745, 169.28476456671922], 'axes': [42.11388010645122, 53.828451291601084], 'angle': 47.691349923204534}, 'location': [212.47587032702745, 169.28476456671922], 'diameter': 53.828451291601084, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0208430433191902, 'phi': -2.1781417593214645, 'norm_pos': [0.6639870947719608, 0.29464681430533657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.7363698,"{'circle_3d': {'center': [0.45857971797450947, 0.7897099504499572, 7.30974809024311], 'normal': [-0.4997440106838799, -0.5050765514806805, -0.703671514934329], 'radius': 0.31954565599693807}, 'confidence': 0.24178553502382027, 'timestamp': 307760.117654, 'diameter_3d': 0.6390913119938761, 'ellipse': {'center': [199.35053943996832, 187.46799695650523], 'axes': [42.81399751056222, 54.26859535781901], 'angle': 42.62887079266144}, 'location': [199.35053943996832, 187.46799695650523], 'diameter': 54.26859535781901, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.041325667519467, 'phi': -2.1883318703244994, 'norm_pos': [0.622970435749901, 0.2188833460145615], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.748309,"{'circle_3d': {'center': [0.708383000363078, 0.5660606740119078, 7.299531469704698], 'normal': [-0.4789270704848325, -0.5237139911838513, -0.7045228999791967], 'radius': 0.32181040592774635}, 'confidence': 0.2589297858511793, 'timestamp': 307760.126054, 'diameter_3d': 0.6436208118554927, 'ellipse': {'center': [220.63385070721392, 168.57164071189112], 'axes': [43.30679222203883, 54.707709411431686], 'angle': 49.221719841206706}, 'location': [220.63385070721392, 168.57164071189112], 'diameter': 54.707709411431686, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0195915029551292, 'phi': -2.167828835727555, 'norm_pos': [0.6894807834600435, 0.2976181637004537], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.756191,"{'circle_3d': {'center': [0.6892751333192519, 0.5794361963940826, 7.302610700974926], 'normal': [-0.4805193927384847, -0.52259936431867, -0.7042662973733443], 'radius': 0.3207075013742706}, 'confidence': 0.17550415591388405, 'timestamp': 307760.134454, 'diameter_3d': 0.6414150027485412, 'ellipse': {'center': [218.98225273946423, 169.68319972947023], 'axes': [43.114836771374165, 54.49250396808472], 'angle': 48.760779446036736}, 'location': [218.98225273946423, 169.68319972947023], 'diameter': 54.49250396808472, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0208993875679349, 'phi': -2.169542605268203, 'norm_pos': [0.6843195398108257, 0.29298666779387406], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595834604.7636428,"{'circle_3d': {'center': [0.4860820836346891, 0.6784774370298443, 7.371055737605813], 'normal': [-0.4974521468788649, -0.5143459275990233, -0.6985625443207705], 'radius': 0.3201852440528776}, 'confidence': 0.20504754790023963, 'timestamp': 307760.142854, 'diameter_3d': 0.6403704881057553, 'ellipse': {'center': [201.33217605348295, 177.5445531064862], 'axes': [41.97698230534663, 53.89904337354862], 'angle': 44.60921607597005}, 'location': [201.33217605348295, 177.5445531064862], 'diameter': 53.89904337354862, 'sphere': {'center': [6.455507846181068, 6.850628568218124, 15.753806269455058], 'radius': 12.0}, 'projected_sphere': {'center': [414.06018051602655, 389.61038111345005], 'axes': [944.5336412985301, 944.5336412985301], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 34, 'model_birth_timestamp': 307363.375674, 'theta': 1.0305515451393255, 'phi': -2.1896024890019423, 'norm_pos': [0.6291630501671343, 0.2602310287229741], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
