eye_packets,767
norm_X,norm_Y,phi,theta,confidence,timestamp
1595836141.866289,"{'circle_3d': {'center': [-3.4807747446116712, 7.389458915224629, 59.48633571171364], 'normal': [-0.15357887240587048, 0.5942125414180064, -0.7895093321627651], 'radius': 1.9928626969325942}, 'confidence': 0.9997850327865829, 'timestamp': 309297.198332, 'diameter_3d': 3.9857253938651884, 'ellipse': {'center': [123.79047547730119, 196.72308008427476], 'axes': [29.362926261486212, 41.56047429472359], 'angle': -74.23961330354821}, 'location': [123.79047547730119, 196.72308008427476], 'diameter': 41.56047429472359, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.7955857381402809, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.2070825700389, 'phi': -1.7629214383689449, 'norm_pos': [0.3868452358665662, 0.18032049964885521], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.874822,"{'circle_3d': {'center': [-3.4749326437245074, 7.380501121084354, 59.478466632747796], 'normal': [-0.15309203066527347, 0.5934660585729835, -0.7901650887432519], 'radius': 2.0341293770152618}, 'confidence': 0.9989184615726548, 'timestamp': 309297.206732, 'diameter_3d': 4.0682587540305235, 'ellipse': {'center': [123.84934623058936, 196.62752082839359], 'axes': [30.01233172370011, 42.42704568973355], 'angle': -74.26280708985571}, 'location': [123.84934623058936, 196.62752082839359], 'diameter': 42.42704568973355, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.797197884386236, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.2061547822385474, 'phi': -1.7621721172039135, 'norm_pos': [0.38702920697059173, 0.18071866321502672], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.881999,"{'circle_3d': {'center': [-3.464547931210843, 7.378185290747702, 59.474721994672336], 'normal': [-0.15222663795580146, 0.5932730727115958, -0.7904771419162069], 'radius': 2.0159993378978456}, 'confidence': 0.9992452977474697, 'timestamp': 309297.215132, 'diameter_3d': 4.031998675795691, 'ellipse': {'center': [123.95366823654751, 196.6135497470192], 'axes': [29.764572338152778, 42.051381115758936], 'angle': -74.33442148244137}, 'location': [123.95366823654751, 196.6135497470192], 'diameter': 42.051381115758936, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.7982310771785239, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.205915027446423, 'phi': -1.7610429893166462, 'norm_pos': [0.38735521323921096, 0.18077687605408665], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.891395,"{'circle_3d': {'center': [-3.4625914383608496, 7.396202882325739, 59.48789433899797], 'normal': [-0.15206359688496865, 0.5947745386764323, -0.7893794465557379], 'radius': 2.0193803945630426}, 'confidence': 0.9995762886252454, 'timestamp': 309297.223532, 'diameter_3d': 4.038760789126085, 'ellipse': {'center': [123.98198997204965, 196.78327156074317], 'axes': [29.747720199783455, 42.112656563880165], 'angle': -74.3885814912315}, 'location': [123.98198997204965, 196.78327156074317], 'diameter': 42.112656563880165, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.7988256616078493, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.207781484376429, 'phi': -1.7611020469502519, 'norm_pos': [0.38744371866265515, 0.18006970183023674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.9022138,"{'circle_3d': {'center': [-3.4847491623220668, 7.392668123651196, 59.4895261108457], 'normal': [-0.15391007388173675, 0.5944799754535537, -0.7892434655684268], 'radius': 2.0041947966890965}, 'confidence': 0.9910165559622175, 'timestamp': 309297.231932, 'diameter_3d': 4.008389593378193, 'ellipse': {'center': [123.75190133799985, 196.74908508474402], 'axes': [29.513577421610748, 41.79466606911574], 'angle': -74.21742827141559}, 'location': [123.75190133799985, 196.74908508474402], 'diameter': 41.79466606911574, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.7995356189455571, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.2074151128905144, 'phi': -1.7633888786410177, 'norm_pos': [0.38672469168124957, 0.18021214548023323], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.910174,"{'circle_3d': {'center': [-3.4637702754210475, 7.400063590334086, 59.49103173777627], 'normal': [-0.1521618333066518, 0.5950962643437945, -0.7891179966575464], 'radius': 1.9876013013268885}, 'confidence': 0.9993343464790293, 'timestamp': 309297.240332, 'diameter_3d': 3.975202602653777, 'ellipse': {'center': [123.96941520666661, 196.82889211179582], 'axes': [29.263377989652383, 41.4474687184494], 'angle': -74.38840790769781}, 'location': [123.96941520666661, 196.82889211179582], 'diameter': 41.4474687184494, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.8002459104607396, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.20818175343965, 'phi': -1.7612836157071892, 'norm_pos': [0.3874044225208332, 0.1798796162008507], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.9184,"{'circle_3d': {'center': [-3.499744643088759, 7.383449651241449, 59.48552396922354], 'normal': [-0.15515969727896112, 0.5937117694194081, -0.7895769773702732], 'radius': 1.9876957577654366}, 'confidence': 0.9997405341944713, 'timestamp': 309297.248732, 'diameter_3d': 3.975391515530873, 'ellipse': {'center': [123.59269941247587, 196.66322447742073], 'axes': [29.289082606938802, 41.45321231651034], 'angle': -74.08641488142426}, 'location': [123.59269941247587, 196.66322447742073], 'diameter': 41.45321231651034, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.8008478006809816, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.206460100942004, 'phi': -1.7648337853859977, 'norm_pos': [0.38622718566398706, 0.18056989801074697], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.926443,"{'circle_3d': {'center': [-3.478097737951299, 7.390957902371346, 59.4869436752942], 'normal': [-0.15335578851750611, 0.5943374570135661, -0.7894586685310521], 'radius': 2.0096476383257404}, 'confidence': 0.998934467239987, 'timestamp': 309297.257132, 'diameter_3d': 4.019295276651481, 'ellipse': {'center': [123.8197932693506, 196.73291146583085], 'axes': [29.607616335924448, 41.910245836262874], 'angle': -74.26265558747068}, 'location': [123.8197932693506, 196.73291146583085], 'diameter': 41.910245836262874, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.8013218852924053, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.2072378870989438, 'phi': -1.7626611782204464, 'norm_pos': [0.3869368539667206, 0.18027953555903808], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.9341161,"{'circle_3d': {'center': [-3.4944882590537754, 7.387069110020402, 59.487214941206425], 'normal': [-0.1547216652760458, 0.5940133909843208, -0.7894360630383663], 'radius': 2.008965023359435}, 'confidence': 0.9990707229013049, 'timestamp': 309297.265532, 'diameter_3d': 4.01793004671887, 'ellipse': {'center': [123.6497670933603, 196.6924115593348], 'axes': [29.594683639795264, 41.89579231721253], 'angle': -74.13320676833831}, 'location': [123.6497670933603, 196.6924115593348], 'diameter': 41.89579231721253, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.8026586192404928, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.206834988006711, 'phi': -1.7643332722310567, 'norm_pos': [0.38640552216675095, 0.18044828516943834], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.9429069,"{'circle_3d': {'center': [-3.474176457334692, 7.394281400052447, 59.48868557196231], 'normal': [-0.15302901513278883, 0.5946144151536579, -0.7893135104753765], 'radius': 2.000511460904161}, 'confidence': 0.9995353783794099, 'timestamp': 309297.273932, 'diameter_3d': 4.001022921808322, 'ellipse': {'center': [123.86089450024005, 196.7679658359931], 'axes': [29.464484100100197, 41.71842299205258], 'angle': -74.29892910957115}, 'location': [123.86089450024005, 196.7679658359931], 'diameter': 41.71842299205258, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.8031596660511231, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.2075823138221082, 'phi': -1.7622966346536197, 'norm_pos': [0.3870652953132502, 0.18013347568336213], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595836141.950163,"{'circle_3d': {'center': [-3.4906154146192114, 7.391951760624128, 59.4901323653651], 'normal': [-0.15439892823983214, 0.5944202785346313, -0.7891929443584772], 'radius': 1.9967469453762732}, 'confidence': 0.9994960156408836, 'timestamp': 309297.282332, 'diameter_3d': 3.9934938907525463, 'ellipse': {'center': [123.69084835799899, 196.74310397668194], 'axes': [29.400228768378412, 41.638855351289976], 'angle': -74.17262884657514}, 'location': [123.69084835799899, 196.74310397668194], 'diameter': 41.638855351289976, 'sphere': {'center': [-1.6378282757412257, 0.25890841820855187, 68.96044769766682], 'radius': 12.0}, 'projected_sphere': {'center': [145.27484137847446, 122.32775778940793], 'axes': [215.7758613348365, 215.7758613348365], 'angle': 90.0}, 'model_confidence': 0.8036509635787503, 'model_id': 138, 'model_birth_timestamp': 309143.982193, 'theta': 2.2073408752239714, 'phi': -1.7639975751702848, 'norm_pos': [0.38653390111874686, 0.18023706676382523], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
