eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1595835370.385046,"{'circle_3d': {'center': [-0.8528195499318112, 1.6697275628238382, 15.094963611255674], 'normal': [-0.17492814089880618, 0.5610677455363741, -0.8090754788277903], 'radius': 0.48607032457155436}, 'confidence': 0.9977049155022298, 'timestamp': 308525.744636, 'diameter_3d': 0.9721406491431087, 'ellipse': {'center': [125.05035414778999, 188.31386033829267], 'axes': [29.438516327221578, 39.94284900288357], 'angle': -71.54164898636077}, 'location': [125.05035414778999, 188.31386033829267], 'diameter': 39.94284900288357, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8756622126655844, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1664714699920027, 'phi': -1.7837262954730408, 'norm_pos': [0.3907823567118437, 0.21535891525711393], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.391249,"{'circle_3d': {'center': [-0.8528272335178448, 1.6636062844177202, 15.090723219067657], 'normal': [-0.17492878119764232, 0.560557639002531, -0.8094288448434583], 'radius': 0.47978468614676495}, 'confidence': 0.9975433519514864, 'timestamp': 308525.753036, 'diameter_3d': 0.9595693722935299, 'ellipse': {'center': [125.0382775023296, 188.08837960279092], 'axes': [29.089994351771377, 39.437277909287175], 'angle': -71.5193224408059}, 'location': [125.0382775023296, 188.08837960279092], 'diameter': 39.437277909287175, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8752406640187949, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1658553566433314, 'phi': -1.783636876663663, 'norm_pos': [0.39074461719478004, 0.2162984183217045], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.398846,"{'circle_3d': {'center': [-0.8558147241799368, 1.6665214944549493, 15.093389004270975], 'normal': [-0.17517773875281664, 0.5608005731723, -0.8092066960765152], 'radius': 0.4771583282271745}, 'confidence': 0.9988840217231832, 'timestamp': 308525.761436, 'diameter_3d': 0.954316656454349, 'ellipse': {'center': [124.92093220646912, 188.19901219317265], 'axes': [28.910078459414674, 39.21445658887225], 'angle': -71.49962318100947}, 'location': [124.92093220646912, 188.19901219317265], 'diameter': 39.21445658887225, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8754106699645492, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1661487436463878, 'phi': -1.783987460097834, 'norm_pos': [0.39037791314521597, 0.21583744919511394], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.408823,"{'circle_3d': {'center': [-0.8469671315451037, 1.6672056141456872, 15.091951943318165], 'normal': [-0.17444043936658057, 0.5608575831465282, -0.8093264511559161], 'radius': 0.47234108061459584}, 'confidence': 0.9983304656879494, 'timestamp': 308525.769836, 'diameter_3d': 0.9446821612291917, 'ellipse': {'center': [125.27932787462495, 188.23869533694034], 'axes': [28.62966858331029, 38.82185991369369], 'angle': -71.59196617565705}, 'location': [125.27932787462495, 188.23869533694034], 'diameter': 38.82185991369369, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8749593833547675, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.166217601960052, 'phi': -1.783086464521061, 'norm_pos': [0.39149789960820297, 0.21567210276274862], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.414985,"{'circle_3d': {'center': [-0.8539446592736668, 1.6651811853812832, 15.092055667308205], 'normal': [-0.17502190001062748, 0.5606888807494945, -0.8093178074900793], 'radius': 0.48303757427219973}, 'confidence': 0.9971189314761666, 'timestamp': 308525.778236, 'diameter_3d': 0.9660751485443995, 'ellipse': {'center': [124.99650791403471, 188.14354881362289], 'axes': [29.276989384483795, 39.70126619191544], 'angle': -71.51369983969539}, 'location': [124.99650791403471, 188.14354881362289], 'diameter': 39.70126619191544, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.874147688932525, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.166013847581013, 'phi': -1.7837751243927444, 'norm_pos': [0.3906140872313585, 0.2160685466099046], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.427628,"{'circle_3d': {'center': [-0.8553621126247506, 1.6623813125875353, 15.090423118575377], 'normal': [-0.1751400211232178, 0.5604555580166822, -0.809453853217815], 'radius': 0.4753248635280153}, 'confidence': 0.9989247029270603, 'timestamp': 308525.786636, 'diameter_3d': 0.9506497270560306, 'ellipse': {'center': [124.93209292494485, 188.0442469942766], 'axes': [28.821435107434002, 39.07142595001374], 'angle': -71.48912347845611}, 'location': [124.93209292494485, 188.0442469942766], 'diameter': 39.07142595001374, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8742377066147777, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1657320927525237, 'phi': -1.7838798063047239, 'norm_pos': [0.3904127903904527, 0.21648230419051417], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.436016,"{'circle_3d': {'center': [-0.8507807530480618, 1.6661864794760435, 15.09206847260353], 'normal': [-0.17475824115849373, 0.5607726552573912, -0.8093167403821355], 'radius': 0.473826797110125}, 'confidence': 0.998058144533033, 'timestamp': 308525.795036, 'diameter_3d': 0.94765359422025, 'ellipse': {'center': [125.12349622173163, 188.1947429825198], 'axes': [28.718542971867212, 38.94383077715949], 'angle': -71.54952071861896}, 'location': [125.12349622173163, 188.1947429825198], 'diameter': 38.94383077715949, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8736537511146558, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.166115024743958, 'phi': -1.7834641515980658, 'norm_pos': [0.39101092569291135, 0.2158552375728341], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.443618,"{'circle_3d': {'center': [-0.8560721584443536, 1.6637964377820902, 15.091556759748435], 'normal': [-0.17519919160818473, 0.5605734851162284, -0.8093593831200601], 'radius': 0.4732982327824979}, 'confidence': 0.998629214395776, 'timestamp': 308525.803436, 'diameter_3d': 0.9465964655649958, 'ellipse': {'center': [124.90491572050252, 188.09947113750786], 'axes': [28.689843017624927, 38.90186710102976], 'angle': -71.4870858193474}, 'location': [124.90491572050252, 188.09947113750786], 'diameter': 38.90186710102976, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8735582686094312, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1658744919185855, 'phi': -1.7839737681992998, 'norm_pos': [0.39032786162657035, 0.21625220359371722], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.4510741,"{'circle_3d': {'center': [-0.8479013863625424, 1.6650023166874934, 15.090626826041518], 'normal': [-0.17451829393470045, 0.560673975025012, -0.8094368775956367], 'radius': 0.4749645747947612}, 'confidence': 0.9977796210805444, 'timestamp': 308525.811836, 'diameter_3d': 0.9499291495895223, 'ellipse': {'center': [125.23876893211536, 188.151339451938], 'axes': [28.798741367026206, 39.041033187152934], 'angle': -71.57446837464813}, 'location': [125.23876893211536, 188.151339451938], 'diameter': 39.041033187152934, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8729363825647152, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1659958461853903, 'phi': -1.7831502781783546, 'norm_pos': [0.3913711529128605, 0.2160360856169251], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.4595919,"{'circle_3d': {'center': [-0.85301874121843, 1.6627086413306875, 15.09014301815698], 'normal': [-0.1749447401726911, 0.5604828354119449, -0.8094771949193481], 'radius': 0.47588343788285736}, 'confidence': 0.9978194339290648, 'timestamp': 308525.820236, 'diameter_3d': 0.9517668757657147, 'ellipse': {'center': [125.0278402183493, 188.05833308109516], 'axes': [28.85767833067334, 39.11801064798986], 'angle': -71.51411985942947}, 'location': [125.0278402183493, 188.05833308109516], 'diameter': 39.11801064798986, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8725028097585574, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1657650294945636, 'phi': -1.7836433796148814, 'norm_pos': [0.3907120006823416, 0.21642361216210348], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835370.466966,"{'circle_3d': {'center': [-0.8472543076451642, 1.665292844932357, 15.090688579682372], 'normal': [-0.17446437070825227, 0.560698185712084, -0.8094317314588988], 'radius': 0.468918102664817}, 'confidence': 0.9984959609936528, 'timestamp': 308525.828636, 'diameter_3d': 0.937836205329634, 'ellipse': {'center': [125.26358284993407, 188.1694571879343], 'axes': [28.431475597016767, 38.543681267127305], 'angle': -71.58212122879443}, 'location': [125.26358284993407, 188.1694571879343], 'diameter': 38.543681267127305, 'sphere': {'center': [1.246318140853863, -5.063085383612651, 24.803869357189157], 'radius': 12.0}, 'projected_sphere': {'center': [191.15309293892207, -6.557388794260959], 'axes': [599.9064011231449, 599.9064011231449], 'angle': 90.0}, 'model_confidence': 0.8720803985298842, 'model_id': 31, 'model_birth_timestamp': 308497.484668, 'theta': 2.1660250851408644, 'phi': -1.7830879278096428, 'norm_pos': [0.39144869640604396, 0.21596059505027365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
