eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1595901676.86201,"{'circle_3d': {'center': [2.5135558598563725, 8.3129903101337, 63.08290707614329], 'normal': [-0.18006135017132852, 0.5495802648387746, -0.8158060079910054], 'radius': 2.341462868264327}, 'confidence': 0.9988599351796184, 'timestamp': 320978.751983, 'diameter_3d': 4.682925736528654, 'ellipse': {'center': [184.84099056724398, 201.35738255391402], 'axes': [34.478932782854045, 46.14503284250863], 'angle': -76.30030887964682}, 'location': [184.84099056724398, 201.35738255391402], 'diameter': 46.14503284250863, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8821562708191011, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.1526580700490343, 'phi': -1.7880293708471107, 'norm_pos': [0.5776280955226374, 0.16101090602535828], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.8695412,"{'circle_3d': {'center': [2.5283839382986364, 8.307616381489972, 63.07602917477017], 'normal': [-0.17882567696780652, 0.5491324374517972, -0.8163791664387655], 'radius': 2.338800536891858}, 'confidence': 0.9980669498047602, 'timestamp': 320978.760383, 'diameter_3d': 4.677601073783716, 'ellipse': {'center': [184.9884178982196, 201.3140976824542], 'axes': [34.47394487106137, 46.09748976147253], 'angle': -76.41091770813205}, 'location': [184.9884178982196, 201.3140976824542], 'diameter': 46.09748976147253, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8824690968677107, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.152122127329543, 'phi': -1.7864377612368099, 'norm_pos': [0.5780888059319362, 0.16119125965644088], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.876983,"{'circle_3d': {'center': [2.5108275427535225, 8.3093211080679, 63.08103869076818], 'normal': [-0.18028870992989934, 0.549274497999958, -0.8159617067722644], 'radius': 2.3375133790161113}, 'confidence': 0.9990655639217728, 'timestamp': 320978.768782, 'diameter_3d': 4.675026758032223, 'ellipse': {'center': [184.8146142689104, 201.32497968033582], 'axes': [34.43214437532847, 46.06853002520682], 'angle': -76.27273513378842}, 'location': [184.8146142689104, 201.32497968033582], 'diameter': 46.06853002520682, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8833338863703744, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.152292119521456, 'phi': -1.7882548965175742, 'norm_pos': [0.5775456695903449, 0.16114591799860079], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.884413,"{'circle_3d': {'center': [2.5155430840787387, 8.323310410621861, 63.08942857211282], 'normal': [-0.17989574815279802, 0.550440273212788, -0.8152625499935444], 'radius': 2.357800280361682}, 'confidence': 0.9992774799840286, 'timestamp': 320978.777182, 'diameter_3d': 4.715600560723364, 'ellipse': {'center': [184.8596925394106, 201.4453838582401], 'axes': [34.68191718766016, 46.462367798719995], 'angle': -76.33223732745945}, 'location': [184.8596925394106, 201.4453838582401], 'diameter': 46.462367798719995, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8833638024280277, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.1536878255839604, 'phi': -1.787975974485117, 'norm_pos': [0.577686539185658, 0.16064423392399962], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.8940349,"{'circle_3d': {'center': [2.5453065510523776, 8.310304148705704, 63.07414539767815], 'normal': [-0.1774154592383281, 0.5493564180531083, -0.8165361478631008], 'radius': 2.345659398118122}, 'confidence': 0.9990421285963469, 'timestamp': 320978.785582, 'diameter_3d': 4.691318796236244, 'ellipse': {'center': [185.155415620056, 201.34066281490774], 'axes': [34.58049504461232, 46.23405040467643], 'angle': -76.55090683910794}, 'location': [185.155415620056, 201.34066281490774], 'diameter': 46.23405040467643, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8836664557050788, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.152390155156764, 'phi': -1.7847489545971065, 'norm_pos': [0.5786106738126751, 0.16108057160455103], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.9010391,"{'circle_3d': {'center': [2.521634490455649, 8.290289698005225, 63.06587584500257], 'normal': [-0.1793881309547221, 0.5476885471614017, -0.817225277252732], 'radius': 2.384813075647987}, 'confidence': 0.9940892178985488, 'timestamp': 320978.793982, 'diameter_3d': 4.769626151295974, 'ellipse': {'center': [184.9319761889255, 201.14348063947452], 'axes': [35.21358495267078, 47.012385657150126], 'angle': -76.3301218870497}, 'location': [184.9319761889255, 201.14348063947452], 'diameter': 47.012385657150126, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8848540299567054, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.1503954175635807, 'phi': -1.7868780495540892, 'norm_pos': [0.5779124255903921, 0.16190216400218949], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.907871,"{'circle_3d': {'center': [2.543306978619085, 8.308905416657598, 63.07363912667778], 'normal': [-0.1775820902744358, 0.5492398570490995, -0.8165783371131314], 'radius': 2.3727725273937685}, 'confidence': 0.9987150538583213, 'timestamp': 320978.802382, 'diameter_3d': 4.745545054787537, 'ellipse': {'center': [185.1392370191025, 201.31953730887096], 'axes': [34.98412333761263, 46.769097978220046], 'angle': -76.53283069072724}, 'location': [185.1392370191025, 201.31953730887096], 'diameter': 46.769097978220046, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8853057497459016, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.152250665789378, 'phi': -1.784933088176573, 'norm_pos': [0.5785601156846953, 0.161168594546371], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.927614,"{'circle_3d': {'center': [2.531709963690527, 8.281345492884533, 63.05768263427433], 'normal': [-0.17854850818514897, 0.5469431967346774, -0.817908044813419], 'radius': 2.3638104065141032}, 'confidence': 0.9990789286486378, 'timestamp': 320978.810782, 'diameter_3d': 4.7276208130282065, 'ellipse': {'center': [185.03132683534736, 201.072364747087], 'axes': [34.946879895828665, 46.60414969821824], 'angle': -76.39725944472056}, 'location': [185.03132683534736, 201.072364747087], 'diameter': 46.60414969821824, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8865511245629842, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.149504836588788, 'phi': -1.785723581414426, 'norm_pos': [0.5782228963604605, 0.1621984802204709], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.9277709,"{'circle_3d': {'center': [2.530534346695874, 8.30024007006682, 63.07060101977975], 'normal': [-0.1786464762680367, 0.5485177448332013, -0.8168315126879674], 'radius': 2.3653401639602794}, 'confidence': 0.999998860922553, 'timestamp': 320978.819182, 'diameter_3d': 4.730680327920559, 'ellipse': {'center': [185.01475086404582, 201.24078553966876], 'axes': [34.895892316312256, 46.624816815823365], 'angle': -76.41694982135945}, 'location': [185.01475086404582, 201.24078553966876], 'diameter': 46.624816815823365, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8873994281252129, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.1513867938106124, 'phi': -1.786112647008029, 'norm_pos': [0.5781710964501432, 0.16149672691804684], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.9376352,"{'circle_3d': {'center': [2.533658975121315, 8.286659562173494, 63.06081286897313], 'normal': [-0.17838609056591664, 0.5473860358420909, -0.817647191921852], 'radius': 2.3710827930719263}, 'confidence': 0.9998830374253029, 'timestamp': 320978.827582, 'diameter_3d': 4.7421655861438525, 'ellipse': {'center': [185.04996203818308, 201.11831353840577], 'axes': [35.035894006175674, 46.74527938257981], 'angle': -76.4211875574986}, 'location': [185.04996203818308, 201.11831353840577], 'diameter': 46.74527938257981, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8888169789619371, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.150033899769778, 'phi': -1.7856004491647124, 'norm_pos': [0.5782811313693221, 0.16200702692330926], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595901676.943488,"{'circle_3d': {'center': [2.5354447433443577, 8.303815965605612, 63.071930336988196], 'normal': [-0.17823727654732974, 0.5488157361281006, -0.8167207362539302], 'radius': 2.3333011625933833}, 'confidence': 0.9986000325395978, 'timestamp': 320978.835982, 'diameter_3d': 4.6666023251867665, 'ellipse': {'center': [185.05847716136677, 201.28360573134927], 'axes': [34.413740756854885, 45.99199751068883], 'angle': -76.46175892497061}, 'location': [185.05847716136677, 201.28360573134927], 'diameter': 45.99199751068883, 'sphere': {'center': [4.674292061912315, 1.7180271320684044, 72.87257917203536], 'radius': 12.0}, 'projected_sphere': {'center': [199.76888304644717, 134.6169771124441], 'axes': [204.19203174999132, 204.19203174999132], 'angle': 90.0}, 'model_confidence': 0.8894613352620317, 'model_id': 68, 'model_birth_timestamp': 320693.282562, 'theta': 2.1517432251869755, 'phi': -1.7856627567804946, 'norm_pos': [0.5783077411292712, 0.16131830945271142], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
