eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1595921834.6835809,"{'circle_3d': {'center': [6.1044332143451525, 9.15499783189056, 68.36659286409842], 'normal': [-0.12913385289900053, 0.6270709713590356, -0.7681838613992714], 'radius': 3.2137563775073756}, 'confidence': 0.9999760406840437, 'timestamp': 8229.126524, 'diameter_3d': 6.427512755014751, 'ellipse': {'center': [215.54583546835613, 202.4391668718141], 'axes': [40.383298034281985, 58.6163384068502], 'angle': -83.9069172018227}, 'location': [215.54583546835613, 202.4391668718141], 'diameter': 58.6163384068502, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.953569263942522, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.248583652969539, 'phi': -1.7373419904005902, 'norm_pos': [0.6735807358386129, 0.15650347136744125], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.691206,"{'circle_3d': {'center': [6.13195703833539, 9.135842013321946, 68.3464121595239], 'normal': [-0.12684020089981415, 0.6254746531449844, -0.7698655867804822], 'radius': 3.1911357522096693}, 'confidence': 0.9998933656342871, 'timestamp': 8229.134924, 'diameter_3d': 6.3822715044193385, 'ellipse': {'center': [215.8071840591061, 202.29742520702362], 'axes': [40.219624955204125, 58.2201921993172], 'angle': -84.10646273314605}, 'location': [215.8071840591061, 202.29742520702362], 'diameter': 58.2201921993172, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9536102462426532, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2465360505007648, 'phi': -1.7340856893098664, 'norm_pos': [0.6743974501847065, 0.15709406163740158], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.7043588,"{'circle_3d': {'center': [6.131055699139427, 9.169427592634559, 68.37394928289932], 'normal': [-0.12691531249947763, 0.6282734514210354, -0.7675708264991965], 'radius': 3.232452327743923}, 'confidence': 0.9998398262069484, 'timestamp': 8229.143324, 'diameter_3d': 6.464904655487846, 'ellipse': {'center': [215.7812821682199, 202.5539104997501], 'axes': [40.55336580695684, 58.95114430586689], 'angle': -84.1050717682961}, 'location': [215.7812821682199, 202.5539104997501], 'diameter': 58.95114430586689, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9537321418013778, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.250128309097205, 'phi': -1.7346604498854479, 'norm_pos': [0.6743165067756871, 0.15602537291770802], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.711147,"{'circle_3d': {'center': [6.136898931424563, 9.1714604204453, 68.37464914186508], 'normal': [-0.1264283764757164, 0.6284428537385972, -0.7675125049187164], 'radius': 3.1842749483666792}, 'confidence': 0.9998756275021725, 'timestamp': 8229.151724, 'diameter_3d': 6.3685498967333585, 'ellipse': {'center': [215.82772440768548, 202.58895446927778], 'axes': [39.939922196550796, 58.07107658085387], 'angle': -84.14801362453437}, 'location': [215.82772440768548, 202.58895446927778], 'diameter': 58.07107658085387, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9538245789856514, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.250346071088143, 'phi': -1.7340550688865783, 'norm_pos': [0.6744616387740171, 0.1558793563780092], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.718878,"{'circle_3d': {'center': [6.136159153252393, 9.155100425561367, 68.36139945117176], 'normal': [-0.1264900246567305, 0.6270795208316027, -0.7686166458098259], 'radius': 3.1815300142325724}, 'confidence': 0.9999332122960081, 'timestamp': 8229.160124, 'diameter_3d': 6.363060028465145, 'ellipse': {'center': [215.8316091196359, 202.4575209078742], 'axes': [39.99503834184434, 58.032129683049945], 'angle': -84.14022362175726}, 'location': [215.8316091196359, 202.4575209078742], 'diameter': 58.032129683049945, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9539528280628873, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2485946284843026, 'phi': -1.7339027719178635, 'norm_pos': [0.6744737784988623, 0.1564269962171908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.726627,"{'circle_3d': {'center': [6.1465301557874295, 9.160741082982192, 68.36430268111828], 'normal': [-0.12562577444547746, 0.6275495756166715, -0.7683747099809504], 'radius': 3.1784991430362064}, 'confidence': 0.9999359447197896, 'timestamp': 8229.168523, 'diameter_3d': 6.356998286072413, 'ellipse': {'center': [215.92213689034776, 202.50612094627576], 'axes': [39.93160616036306, 57.9742665103639], 'angle': -84.21731187743237}, 'location': [215.92213689034776, 202.50612094627576], 'diameter': 57.9742665103639, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9540243174971375, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2491982177728027, 'phi': -1.7328579252967966, 'norm_pos': [0.6747566777823367, 0.15622449605718436], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.738823,"{'circle_3d': {'center': [6.127271941214531, 9.161308162196296, 68.36793530322134], 'normal': [-0.12723062565988572, 0.6275968322178468, -0.7680719914723605], 'radius': 3.1636304060089935}, 'confidence': 0.9997565121918218, 'timestamp': 8229.176923, 'diameter_3d': 6.327260812017987, 'ellipse': {'center': [215.74432741638736, 202.51255159513897], 'axes': [39.73075939347436, 57.69994542150094], 'angle': -84.07564893018318}, 'location': [215.74432741638736, 202.51255159513897], 'diameter': 57.69994542150094, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9539936451648745, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2492589154060214, 'phi': -1.734955018984078, 'norm_pos': [0.6742010231762106, 0.15619770168692093], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.74331,"{'circle_3d': {'center': [6.135642299526878, 9.168034894707466, 68.37205239257293], 'normal': [-0.12653309580052344, 0.6281573932604444, -0.767728900693063], 'radius': 3.190338452140789}, 'confidence': 0.9999642494009364, 'timestamp': 8229.185323, 'diameter_3d': 6.380676904281578, 'ellipse': {'center': [215.8192410138637, 202.558840115037], 'axes': [40.03433170458606, 58.183958194823965], 'angle': -84.13832949384869}, 'location': [215.8192410138637, 202.558840115037], 'diameter': 58.183958194823965, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9540959789221426, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2499791416466848, 'phi': -1.7341426621067897, 'norm_pos': [0.6744351281683241, 0.15600483285401257], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.75071,"{'circle_3d': {'center': [6.124838155200344, 9.168697294939953, 68.37438170636408], 'normal': [-0.127433441161068, 0.6282125932798183, -0.7675347912104664], 'radius': 3.195496980430093}, 'confidence': 0.9999500629896051, 'timestamp': 8229.193723, 'diameter_3d': 6.390993960860186, 'ellipse': {'center': [215.72080067036438, 202.56034858622326], 'axes': [40.089438514049206, 58.27624511045665], 'angle': -84.05906325596473}, 'location': [215.72080067036438, 202.56034858622326], 'diameter': 58.27624511045665, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9541453936599886, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.250050086990791, 'phi': -1.7353250241325808, 'norm_pos': [0.6741275020948887, 0.15599854755740306], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.7607129,"{'circle_3d': {'center': [6.087467012502222, 9.170291948709947, 68.38197069435046], 'normal': [-0.13054770305257812, 0.6283454810939845, -0.7669023755449353], 'radius': 3.2051830683523286}, 'confidence': 0.9999178012009263, 'timestamp': 8229.202123, 'diameter_3d': 6.410366136704657, 'ellipse': {'center': [215.3798242233273, 202.56277533871884], 'axes': [40.18058144682193, 58.446925815220794], 'angle': -83.78490758166876}, 'location': [215.3798242233273, 202.56277533871884], 'diameter': 58.446925815220794, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.95433260062322, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.2502208965676864, 'phi': -1.7394073687534584, 'norm_pos': [0.6730619506978978, 0.15598843608867152], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595921834.766598,"{'circle_3d': {'center': [6.130686080481952, 9.152406798966831, 68.36010464615806], 'normal': [-0.12694611405426728, 0.6268550519487248, -0.7687245462276344], 'radius': 3.182093240379411}, 'confidence': 0.9998842431333654, 'timestamp': 8229.210523, 'diameter_3d': 6.364186480758822, 'ellipse': {'center': [215.78352177049993, 202.4345292767614], 'axes': [40.01388294981219, 58.04354849406453], 'angle': -84.0995387428596}, 'location': [215.78352177049993, 202.4345292767614], 'diameter': 58.04354849406453, 'sphere': {'center': [7.654039449133159, 1.6301461755821343, 77.58479920088968], 'radius': 12.0}, 'projected_sphere': {'center': [221.16538944922786, 133.02691557200464], 'axes': [191.7901464366923, 191.7901464366923], 'angle': 90.0}, 'model_confidence': 0.9544489595269101, 'model_id': 31, 'model_birth_timestamp': 7708.853821, 'theta': 2.248306495299542, 'phi': -1.7344578929200345, 'norm_pos': [0.6743235055328123, 0.15652279468016084], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
