eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084098.285841,"{'circle_3d': {'center': [-3.5293690178179418, -1.2858935638189255, 49.03902515984343], 'normal': [-0.03230966316328747, 0.4725583858608591, -0.880706907897772], 'radius': 1.922016344760875}, 'confidence': 0.44971287263644183, 'timestamp': 32808.334551, 'diameter_3d': 3.84403268952175, 'ellipse': {'center': [115.38994253313155, 103.34033886790738], 'axes': [43.182240445748995, 48.748386970694035], 'angle': -77.75399412766814}, 'location': [115.38994253313155, 103.34033886790738], 'diameter': 48.748386970694035, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0629878232868015, 'phi': -1.6074659381421117, 'norm_pos': [0.36059357041603607, 0.5694152547170526], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.2940118,"{'circle_3d': {'center': [-3.529286334469872, -1.2875270400281513, 49.03814582000294], 'normal': [-0.03230277288428167, 0.4724222628434236, -0.8807801862178132], 'radius': 1.9254584689620478}, 'confidence': 0.4488807650118884, 'timestamp': 32808.342951, 'diameter_3d': 3.8509169379240955, 'ellipse': {'center': [115.39023567278687, 103.31801597824682], 'axes': [43.264556073548405, 48.83662005669237], 'angle': -77.74909519594544}, 'location': [115.39023567278687, 103.31801597824682], 'diameter': 48.83662005669237, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.062833372498765, 'phi': -1.6074550776557117, 'norm_pos': [0.36059448647745895, 0.5695082667573049], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.303516,"{'circle_3d': {'center': [-3.529208108888541, -1.2891684521669813, 49.03726271483918], 'normal': [-0.032296254085837396, 0.4722854784985209, -0.8808537783147927], 'radius': 1.9217670869462484}, 'confidence': 0.42204070201741484, 'timestamp': 32808.351351, 'diameter_3d': 3.843534173892497, 'ellipse': {'center': [115.39038217825404, 103.2985791400163], 'axes': [43.18649315380253, 48.74386165154446], 'angle': -77.74420802770057}, 'location': [115.39038217825404, 103.2985791400163], 'diameter': 48.74386165154446, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.062678184220058, 'phi': -1.607444627086318, 'norm_pos': [0.36059494430704386, 0.5695892535832654], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.311393,"{'circle_3d': {'center': [-3.5291343419030374, -1.2908178021435113, 49.03637584790129], 'normal': [-0.03229010683704544, 0.4721480326671436, -0.8809276838929505], 'radius': 1.9153356022409538}, 'confidence': 0.4095491626149762, 'timestamp': 32808.359751, 'diameter_3d': 3.8306712044819076, 'ellipse': {'center': [115.39043586568098, 103.28018006889688], 'axes': [43.04680587673673, 48.58157845667814], 'angle': -77.73927247264336}, 'location': [115.39043586568098, 103.28018006889688], 'diameter': 48.58157845667814, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.062522258450544, 'phi': -1.6074345864339221, 'norm_pos': [0.3605951120802531, 0.5696659163795963], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.317141,"{'circle_3d': {'center': [-3.529065034351589, -1.2924750918696466, 49.03548522276418], 'normal': [-0.03228433120775805, 0.4720099251899656, -0.8810019026543762], 'radius': 1.9222490397984533}, 'confidence': 0.43571433742240595, 'timestamp': 32808.368151, 'diameter_3d': 3.8444980795969066, 'ellipse': {'center': [115.39059296646668, 103.25610543983285], 'axes': [43.207266978878046, 48.75790681955414], 'angle': -77.73406942324631}, 'location': [115.39059296646668, 103.25610543983285], 'diameter': 48.75790681955414, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0623655951904944, 'phi': -1.6074249556985416, 'norm_pos': [0.3605956030202084, 0.5697662273340298], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.326855,"{'circle_3d': {'center': [-3.6347082298580564, -1.2941403232696826, 49.038992891193885], 'normal': [-0.04108793083329702, 0.4718711559066293, -0.8807095969519009], 'radius': 1.9664587352415233}, 'confidence': 0.405861956771912, 'timestamp': 32808.376551, 'diameter_3d': 3.9329174704830465, 'ellipse': {'center': [114.06588845196723, 103.21781066550031], 'axes': [44.14098031130265, 49.8850128924578], 'angle': -76.47233380218853}, 'location': [114.06588845196723, 103.21781066550031], 'diameter': 49.8850128924578, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.062208194439774, 'phi': -1.6174157348801677, 'norm_pos': [0.3564559014123976, 0.5699257888937488], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.33318,"{'circle_3d': {'center': [-3.6272881887892967, -1.2958134982745717, 49.037753070003234], 'normal': [-0.04046959407756705, 0.4717317246562219, -0.8808129153844552], 'radius': 1.965096605459933}, 'confidence': 0.41963550413160156, 'timestamp': 32808.384951, 'diameter_3d': 3.930193210919866, 'ellipse': {'center': [114.15802309086196, 103.19687454741688], 'axes': [44.12032176110787, 49.851118736677776], 'angle': -76.55351689810269}, 'location': [114.15802309086196, 103.19687454741688], 'diameter': 49.851118736677776, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.062050056198383, 'phi': -1.616709768961001, 'norm_pos': [0.3567438221589436, 0.5700130227190963], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.341485,"{'circle_3d': {'center': [-3.628623485510755, -1.2974946188233378, 49.03691432478835], 'normal': [-0.04058086880435522, 0.471591631277158, -0.8808828108190289], 'radius': 1.9617292158682704}, 'confidence': 0.4203332546630894, 'timestamp': 32808.393351, 'diameter_3d': 3.923458431736541, 'ellipse': {'center': [114.14039420337076, 103.17684786917953], 'axes': [44.04889578407672, 49.76666015435021], 'angle': -76.53136295116256}, 'location': [114.14039420337076, 103.17684786917953], 'diameter': 49.76666015435021, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.061891180466321, 'phi': -1.6168321860172252, 'norm_pos': [0.3566887318855336, 0.570096467211752], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.36451,"{'circle_3d': {'center': [-3.631328220938151, -1.3008807043488488, 49.03522716741399], 'normal': [-0.04080626342330493, 0.47130945748336545, -0.881023407266892], 'radius': 1.953228244295388}, 'confidence': 0.49700905739353235, 'timestamp': 32808.410151, 'diameter_3d': 3.906456488590776, 'ellipse': {'center': [114.10466011275378, 103.13723008796434], 'axes': [43.866347573801924, 49.552922622766346], 'angle': -76.48654804582716}, 'location': [114.10466011275378, 103.13723008796434], 'diameter': 49.552922622766346, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.061571216530186, 'phi': -1.6170801379313082, 'norm_pos': [0.3565770628523556, 0.5702615413001486], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.3836732,"{'circle_3d': {'center': [-3.6340785049349957, -1.3042985955207866, 49.03352717479822], 'normal': [-0.04103545375637531, 0.47102463321903737, -0.8811650733182061], 'radius': 1.9485811772870223}, 'confidence': 0.4913160840396677, 'timestamp': 32808.426951, 'diameter_3d': 3.8971623545740446, 'ellipse': {'center': [114.06841192519072, 103.09555616039832], 'axes': [43.77040956840046, 49.43699875930616], 'angle': -76.44096784464585}, 'location': [114.06841192519072, 103.09555616039832], 'diameter': 49.43699875930616, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0612483026312267, 'phi': -1.6173322469143474, 'norm_pos': [0.35646378726622097, 0.570435182665007], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.389515,"{'circle_3d': {'center': [-3.6354707374374633, -1.306019473155776, 49.03267238573842], 'normal': [-0.041151473131580935, 0.4708812267494549, -0.8812363057398561], 'radius': 1.9467390238173212}, 'confidence': 0.49175394127600963, 'timestamp': 32808.435351, 'diameter_3d': 3.8934780476346424, 'ellipse': {'center': [114.05007641152, 103.07436034302489], 'axes': [43.733266893439016, 49.391257760421716], 'angle': -76.4179037448967}, 'location': [114.05007641152, 103.07436034302489], 'diameter': 49.391257760421716, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0610857394458106, 'phi': -1.61745986030663, 'norm_pos': [0.356406488786, 0.5705234985707296], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.393468,"{'circle_3d': {'center': [-3.63687436886934, -1.307748308137481, 49.03181441253393], 'normal': [-0.041268442417570654, 0.47073715716764597, -0.8813078035068966], 'radius': 1.9540002506354013}, 'confidence': 0.49670245766266563, 'timestamp': 32808.443751, 'diameter_3d': 3.9080005012708026, 'ellipse': {'center': [114.03177504095441, 103.04920682364562], 'axes': [43.90079823990616, 49.57657252703644], 'angle': -76.39453259889693}, 'location': [114.03177504095441, 103.04920682364562], 'diameter': 49.57657252703644, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060922438769724, 'phi': -1.6175885129661238, 'norm_pos': [0.35634929700298257, 0.5706283049014766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.399988,"{'circle_3d': {'center': [-3.6382894031986686, -1.309485102461025, 49.030953263521155], 'normal': [-0.04138636194501471, 0.4705924243073509, -0.8813795659246285], 'radius': 1.943014132152373}, 'confidence': 0.49948442776356305, 'timestamp': 32808.452151, 'diameter_3d': 3.886028264304746, 'ellipse': {'center': [114.01296264751142, 103.03167659797434], 'axes': [43.65808401662181, 49.29875353768913], 'angle': -76.37124039511792}, 'location': [114.01296264751142, 103.03167659797434], 'diameter': 49.29875353768913, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.0607584006029662, 'phi': -1.6177182048928291, 'norm_pos': [0.3562905082734732, 0.5707013475084403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.4101472,"{'circle_3d': {'center': [-3.63971584441204, -1.3112298581294937, 49.0300889470915], 'normal': [-0.041505232046129006, 0.4704470280016451, -0.8814515922937665], 'radius': 1.9437016163793002}, 'confidence': 0.4719218869971073, 'timestamp': 32808.460551, 'diameter_3d': 3.8874032327586003, 'ellipse': {'center': [113.99423588546657, 103.00910457505226], 'axes': [43.67783998516441, 49.31722754643559], 'angle': -76.34760439384115}, 'location': [113.99423588546657, 103.00910457505226], 'diameter': 49.31722754643559, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060593624945538, 'phi': -1.6178489360867458, 'norm_pos': [0.35623198714208304, 0.5707953976039489], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084098.4168682,"{'circle_3d': {'center': [-3.6411536965157727, -1.312982577155437, 49.02922147169072], 'normal': [-0.041625053054773355, 0.4703009680828162, -0.8815238819104976], 'radius': 1.9405667365287536}, 'confidence': 0.45895782090187115, 'timestamp': 32808.468951, 'diameter_3d': 3.881133473057507, 'ellipse': {'center': [113.97528501367343, 102.9880422449749], 'axes': [43.611649943082085, 49.238685605603884], 'angle': -76.32384300880669}, 'location': [113.97528501367343, 102.9880422449749], 'diameter': 49.238685605603884, 'sphere': {'center': [-3.141653059858492, -6.9565941941492335, 59.607508054616694], 'radius': 12.0}, 'projected_sphere': {'center': [127.32249072839066, 47.641860209613824], 'axes': [249.63298224723422, 249.63298224723422], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32089.056561, 'theta': 2.060428111797295, 'phi': -1.6179807065479885, 'norm_pos': [0.3561727656677295, 0.5708831573126045], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
