imu_packets,1263
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596084381.174714,B948966,0.08380,0.05603,-0.97821,0.18146,0.0217
1596084381.179667,B948972,0.08380,0.05597,-0.97821,0.18146,0.0217
1596084381.185102,B948977,0.08374,0.05597,-0.97821,0.18146,0.0217
1596084381.189591,B948982,0.08374,0.05597,-0.97821,0.18140,0.0217
1596084381.1948211,B948987,0.08368,0.05597,-0.97821,0.18140,0.0217
1596084381.2018418,B948992,0.08368,0.05597,-0.97821,0.18140,0.0217
1596084381.2056289,B948997,0.08368,0.05591,-0.97827,0.18140,0.0217
1596084381.209789,B949002,0.08362,0.05591,-0.97827,0.18140,0.0217
1596084381.216028,B949007,0.08362,0.05591,-0.97827,0.18140,0.0217
1596084381.220047,B949012,0.08356,0.05597,-0.97827,0.18140,0.0217
1596084381.224947,B949017,0.08356,0.05597,-0.97827,0.18146,0.0217
1596084381.230546,B949022,0.08350,0.05597,-0.97827,0.18146,0.0217
1596084381.23689,B949028,0.08350,0.05597,-0.97827,0.18146,0.0217
1596084381.241587,B949034,0.08350,0.05597,-0.97827,0.18152,0.0217
1596084381.2489522,B949039,0.08344,0.05603,-0.97821,0.18152,0.0217
1596084381.256785,B949044,0.08344,0.05603,-0.97821,0.18158,0.0217
1596084381.257644,B949050,0.08344,0.05609,-0.97821,0.18158,0.0217
1596084381.262509,B949055,0.08337,0.05609,-0.97821,0.18164,0.0217
1596084381.267779,B949060,0.08337,0.05609,-0.97821,0.18170,0.0217
1596084381.2750878,B949065,0.08337,0.05615,-0.97821,0.18170,0.0217
1596084381.279114,B949070,0.08337,0.05615,-0.97821,0.18176,0.0217
1596084381.282897,B949075,0.08337,0.05615,-0.97815,0.18182,0.0217
1596084381.288934,B949081,0.08337,0.05609,-0.97815,0.18188,0.0217
1596084381.294871,B949086,0.08337,0.05609,-0.97815,0.18195,0.0217
1596084381.298769,B949091,0.08337,0.05609,-0.97815,0.18195,0.0217
1596084381.3042428,B949096,0.08344,0.05609,-0.97815,0.18201,0.0217
1596084381.308706,B949101,0.08350,0.05603,-0.97815,0.18201,0.0217
1596084381.314228,B949106,0.08350,0.05603,-0.97815,0.18201,0.0217
1596084381.319346,B949111,0.08356,0.05597,-0.97815,0.18207,0.0217
1596084381.329908,B949116,0.08356,0.05597,-0.97815,0.18207,0.0217
1596084381.329947,B949122,0.08362,0.05591,-0.97815,0.18213,0.0217
1596084381.334412,B949127,0.08362,0.05585,-0.97815,0.18213,0.0217
1596084381.340812,B949132,0.08368,0.05579,-0.97809,0.18213,0.0217
1596084381.344928,B949137,0.08368,0.05573,-0.97815,0.18213,0.0217
1596084381.355592,B949142,0.08368,0.05566,-0.97815,0.18213,0.0217
1596084381.355617,B949147,0.08368,0.05566,-0.97815,0.18213,0.0217
1596084381.360311,B949152,0.08374,0.05560,-0.97815,0.18213,0.0217
1596084381.3655329,B949157,0.08374,0.05560,-0.97815,0.18207,0.0217
1596084381.371613,B949162,0.08374,0.05560,-0.97815,0.18207,0.0217
1596084381.37812,B949167,0.08380,0.05560,-0.97815,0.18201,0.0217
1596084381.3805351,B949173,0.08380,0.05554,-0.97815,0.18201,0.0217
1596084381.385561,B949178,0.08380,0.05554,-0.97815,0.18195,0.0217
1596084381.3914502,B949184,0.08386,0.05554,-0.97815,0.18195,0.0217
1596084381.3983219,B949189,0.08386,0.05554,-0.97815,0.18188,0.0217
1596084381.4024131,B949195,0.08386,0.05554,-0.97815,0.18182,0.0217
1596084381.411086,B949200,0.08392,0.05554,-0.97815,0.18176,0.0217
1596084381.4133382,B949206,0.08392,0.05554,-0.97821,0.18176,0.0217
1596084381.419557,B949211,0.08392,0.05554,-0.97821,0.18170,0.0217
1596084381.423852,B949216,0.08392,0.05554,-0.97821,0.18164,0.0217
1596084381.428619,B949221,0.08398,0.05548,-0.97821,0.18158,0.0217
1596084381.434473,B949226,0.08398,0.05548,-0.97821,0.18152,0.0217
1596084381.440493,B949232,0.08398,0.05548,-0.97821,0.18152,0.0217
1596084381.444848,B949237,0.08405,0.05536,-0.97821,0.18146,0.0217
1596084381.450467,B949242,0.08411,0.05536,-0.97827,0.18140,0.0217
1596084381.45518,B949247,0.08411,0.05530,-0.97827,0.18140,0.0217
1596084381.4596438,B949252,0.08411,0.05524,-0.97827,0.18134,0.0217
1596084381.46447,B949257,0.08417,0.05518,-0.97827,0.18134,0.0217
1596084381.47005,B949262,0.08423,0.05518,-0.97827,0.18127,0.0217
1596084381.474711,B949267,0.08423,0.05511,-0.97827,0.18121,0.0217
1596084381.480214,B949272,0.08429,0.05511,-0.97827,0.18115,0.0217
1596084381.486685,B949277,0.08435,0.05505,-0.97827,0.18109,0.0217
1596084381.491464,B949283,0.08441,0.05499,-0.97833,0.18097,0.0217
1596084381.496311,B949289,0.08447,0.05499,-0.97833,0.18085,0.0217
1596084381.503741,B949295,0.08447,0.05493,-0.97839,0.18066,0.0217
1596084381.50785,B949300,0.08453,0.05487,-0.97839,0.18048,0.0217
1596084381.5136561,B949306,0.08459,0.05481,-0.97845,0.18024,0.0217
1596084381.518076,B949311,0.08459,0.05475,-0.97852,0.17993,0.0217
1596084381.523019,B949316,0.08459,0.05469,-0.97858,0.17950,0.0217
1596084381.528505,B949321,0.08466,0.05463,-0.97864,0.17908,0.0217
1596084381.534806,B949326,0.08466,0.05463,-0.97876,0.17865,0.0217
1596084381.538599,B949331,0.08466,0.05463,-0.97888,0.17798,0.0217
1596084381.544047,B949336,0.08466,0.05463,-0.97894,0.17737,0.0217
1596084381.548696,B949342,0.08466,0.05463,-0.97906,0.17670,0.0217
1596084381.554053,B949347,0.08466,0.05469,-0.97919,0.17603,0.0217
1596084381.560879,B949352,0.08466,0.05475,-0.97937,0.17523,0.0217
1596084381.565818,B949357,0.08459,0.05481,-0.97949,0.17438,0.0217
1596084381.574482,B949362,0.08453,0.05499,-0.97980,0.17273,0.0217
1596084381.57527,B949367,0.08453,0.05511,-0.97992,0.17181,0.0217
1596084381.582583,B949372,0.08453,0.05518,-0.98010,0.17090,0.0217
1596084381.584713,B949377,0.08453,0.05530,-0.98022,0.17004,0.0217
1596084381.589778,B949382,0.08453,0.05542,-0.98041,0.16907,0.0217
1596084381.5945868,B949387,0.08453,0.05560,-0.98059,0.16803,0.0217
1596084381.5997992,B949392,0.08459,0.05573,-0.98071,0.16699,0.0217
1596084381.6052601,B949397,0.08459,0.05591,-0.98090,0.16595,0.0217
1596084381.614339,B949402,0.08466,0.05603,-0.98108,0.16498,0.0217
1596084381.6148312,B949407,0.08472,0.05621,-0.98120,0.16388,0.0217
1596084381.621644,B949412,0.08478,0.05640,-0.98138,0.16290,0.0217
1596084381.627655,B949418,0.08484,0.05658,-0.98157,0.16174,0.0217
1596084381.629863,B949423,0.08490,0.05676,-0.98169,0.16083,0.0217
1596084381.6383822,B949428,0.08496,0.05695,-0.98187,0.15967,0.0217
1596084381.642323,B949433,0.08496,0.05719,-0.98199,0.15857,0.0217
1596084381.64518,B949438,0.08502,0.05737,-0.98218,0.15759,0.0217
1596084381.651736,B949443,0.08508,0.05762,-0.98230,0.15662,0.0217
1596084381.656223,B949449,0.08521,0.05786,-0.98242,0.15564,0.0217
1596084381.661695,B949454,0.08527,0.05811,-0.98260,0.15454,0.0217
1596084381.667397,B949460,0.08533,0.05841,-0.98273,0.15356,0.0217
1596084381.6730251,B949465,0.08539,0.05865,-0.98285,0.15265,0.0217
1596084381.6777432,B949470,0.08545,0.05902,-0.98297,0.15167,0.0217
1596084381.6836329,B949476,0.08551,0.05939,-0.98309,0.15063,0.0217
1596084381.689632,B949481,0.08563,0.05975,-0.98322,0.14966,0.0217
1596084381.699767,B949486,0.08569,0.06018,-0.98328,0.14880,0.0217
1596084381.700581,B949491,0.08582,0.06061,-0.98340,0.14783,0.0217
1596084381.703666,B949496,0.08600,0.06104,-0.98352,0.14691,0.0217
1596084381.7086232,B949501,0.08612,0.06146,-0.98358,0.14600,0.0217
1596084381.7135448,B949506,0.08624,0.06189,-0.98370,0.14520,0.0217
1596084381.7186618,B949511,0.08636,0.06238,-0.98383,0.14423,0.0217
1596084381.725044,B949516,0.08655,0.06274,-0.98389,0.14337,0.0217
1596084381.728596,B949521,0.08667,0.06317,-0.98395,0.14246,0.0217
1596084381.733692,B949526,0.08685,0.06354,-0.98407,0.14166,0.0217
1596084381.738604,B949531,0.08704,0.06390,-0.98413,0.14075,0.0217
1596084381.743407,B949536,0.08722,0.06427,-0.98419,0.13989,0.0217
1596084381.7487319,B949541,0.08740,0.06464,-0.98431,0.13910,0.0217
1596084381.753757,B949546,0.08759,0.06500,-0.98437,0.13818,0.0217
1596084381.7590241,B949552,0.08783,0.06537,-0.98444,0.13733,0.0217
1596084381.765034,B949557,0.08801,0.06567,-0.98456,0.13647,0.0217
1596084381.769377,B949562,0.08844,0.06641,-0.98468,0.13489,0.0217
1596084381.77631,B949567,0.08868,0.06677,-0.98474,0.13397,0.0218
1596084381.779458,B949572,0.08887,0.06708,-0.98480,0.13318,0.0218
