eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1596094557.916789,"{'circle_3d': {'center': [-3.795891620928971, 9.124879912307764, 76.47864134536987], 'normal': [-0.21151459867582414, 0.6368066706095673, -0.7414437529672518], 'radius': 2.4572356573515224}, 'confidence': 0.9989070984454352, 'timestamp': 36933.968327, 'diameter_3d': 4.914471314703045, 'ellipse': {'center': [129.31343040456497, 193.70599050181366], 'axes': [26.105608203345152, 39.851505265627914], 'angle': -71.2072110494485}, 'location': [129.31343040456497, 193.70599050181366], 'diameter': 39.851505265627914, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7593484418479179, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.261145796688724, 'phi': -1.8486888488102735, 'norm_pos': [0.4041044700142655, 0.19289170624244312], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.924373,"{'circle_3d': {'center': [-3.814982260470833, 9.12392206327277, 76.48328648142486], 'normal': [-0.21310548530431264, 0.6367268498566512, -0.741056658296003], 'radius': 2.47626195175355}, 'confidence': 0.9982399980947266, 'timestamp': 36933.976727, 'diameter_3d': 4.9525239035071, 'ellipse': {'center': [129.1624952690487, 193.68983618228765], 'axes': [26.286418964108535, 40.15777501471322], 'angle': -71.07915474529766}, 'location': [129.1624952690487, 193.68983618228765], 'diameter': 40.15777501471322, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.759857021501098, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.2610422754094808, 'phi': -1.8508105821573784, 'norm_pos': [0.40363279771577715, 0.19295901590713482], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.932628,"{'circle_3d': {'center': [-3.8136378104822555, 9.122844977100355, 76.48197467349789], 'normal': [-0.21299344780526452, 0.6366370926756165, -0.7411659756232504], 'radius': 2.48992929780617}, 'confidence': 0.9984093530121576, 'timestamp': 36933.985127, 'diameter_3d': 4.97985859561234, 'ellipse': {'center': [129.1738128752378, 193.6793352730357], 'axes': [26.437616324661494, 40.38021559172642], 'angle': -71.08551709481266}, 'location': [129.1738128752378, 193.6793352730357], 'diameter': 40.38021559172642, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7604758711837745, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.260925877928575, 'phi': -1.8506317799219294, 'norm_pos': [0.40366816523511806, 0.19300276969568464], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.940458,"{'circle_3d': {'center': [-3.834706343897433, 9.12750200810439, 76.4920613970389], 'normal': [-0.214749158923196, 0.6370251785926194, -0.7403254153281659], 'radius': 2.478817379955837}, 'confidence': 0.9981521691867243, 'timestamp': 36933.993527, 'diameter_3d': 4.957634759911674, 'ellipse': {'center': [129.00691455919602, 193.71012244824703], 'axes': [26.27344145008321, 40.194630151939776], 'angle': -70.9576511342037}, 'location': [129.00691455919602, 193.71012244824703], 'diameter': 40.194630151939776, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7607066420544317, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.2614292297614886, 'phi': -1.8531220122894485, 'norm_pos': [0.4031466079974876, 0.1928744897989707], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.949449,"{'circle_3d': {'center': [-3.8138975339238708, 9.132220755322479, 76.49011146329414], 'normal': [-0.21301509142539912, 0.6374184075274603, -0.7404879098068958], 'radius': 2.4723478579732405}, 'confidence': 0.9985306084163952, 'timestamp': 36934.001927, 'diameter_3d': 4.944695715946481, 'ellipse': {'center': [129.1736094456727, 193.7514066941145], 'axes': [26.214232997775415, 40.090711630385805], 'angle': -71.10547143905454}, 'location': [129.1736094456727, 193.7514066941145], 'diameter': 40.090711630385805, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7610010260012512, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.261939465797422, 'phi': -1.850901834392277, 'norm_pos': [0.40366752951772716, 0.19270247210785618], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.956357,"{'circle_3d': {'center': [-3.8348266061801377, 9.111561417972323, 76.47840473791973], 'normal': [-0.21475918078008804, 0.635696796081614, -0.7414634702547633], 'radius': 2.439019403336227}, 'confidence': 0.998349855739183, 'timestamp': 36934.010327, 'diameter_3d': 4.878038806672454, 'ellipse': {'center': [128.99779914009312, 193.60266590574702], 'axes': [25.911695578668684, 39.55602396797455], 'angle': -70.91976014798438}, 'location': [128.99779914009312, 193.60266590574702], 'diameter': 39.55602396797455, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7613559201516851, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.259707168810014, 'phi': -1.8527237609875182, 'norm_pos': [0.403118122312791, 0.19332222539272081], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.964221,"{'circle_3d': {'center': [-3.822734160451041, 9.097623787125249, 76.46298526288214], 'normal': [-0.21375147696932997, 0.6345353268443578, -0.7427484265078951], 'radius': 2.4735235905486235}, 'confidence': 0.997459508333629, 'timestamp': 36934.018727, 'diameter_3d': 4.947047181097247, 'ellipse': {'center': [129.09187324462403, 193.49676364512604], 'axes': [26.34829927665037, 40.123934245683955], 'angle': -70.96697288211563}, 'location': [129.09187324462403, 193.49676364512604], 'diameter': 40.123934245683955, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7616771939705447, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.2582034862260083, 'phi': -1.8510088996596687, 'norm_pos': [0.4034121038894501, 0.1937634848119748], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.972905,"{'circle_3d': {'center': [-3.8511117931638275, 9.109683166929685, 76.48152693990082], 'normal': [-0.2161162796953955, 0.6355402751613941, -0.74120328675634], 'radius': 2.507380455475002}, 'confidence': 0.9969215096586347, 'timestamp': 36934.027127, 'diameter_3d': 5.014760910950004, 'ellipse': {'center': [128.8725045918526, 193.56967021557], 'axes': [26.623892237853056, 40.6635667080462], 'angle': -70.80817117378955}, 'location': [128.8725045918526, 193.56967021557], 'diameter': 40.6635667080462, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.761451311080763, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.259504422366571, 'phi': -1.8545058685710036, 'norm_pos': [0.40272657684953933, 0.19345970743512497], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.983393,"{'circle_3d': {'center': [-3.831797169348943, 9.132399835819927, 76.49543440430347], 'normal': [-0.21450672771082185, 0.6374333309022475, -0.740044331389452], 'radius': 2.479717539659958}, 'confidence': 0.997673861003301, 'timestamp': 36934.035527, 'diameter_3d': 4.959435079319916, 'ellipse': {'center': [129.03176283832326, 193.74635312987346], 'axes': [26.267907773651647, 40.20747218438426], 'angle': -70.98814657754338}, 'location': [129.03176283832326, 193.74635312987346], 'diameter': 40.20747218438426, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7618786486085272, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.261958833932937, 'phi': -1.8529214605596842, 'norm_pos': [0.4032242588697602, 0.19272352862552722], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094557.992618,"{'circle_3d': {'center': [-3.8379776147900473, 9.087659653287073, 76.4588792118575], 'normal': [-0.21502176483091384, 0.6337049823578431, -0.7430905974266159], 'radius': 2.444815572174028}, 'confidence': 0.9990672512716848, 'timestamp': 36934.043927, 'diameter_3d': 4.889631144348056, 'ellipse': {'center': [128.96517002112574, 193.42634232856193], 'axes': [26.059976270792646, 39.66014122314485], 'angle': -70.84307115445183}, 'location': [128.96517002112574, 193.42634232856193], 'diameter': 39.66014122314485, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7625949308165181, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.257129627544272, 'phi': -1.8524646244499137, 'norm_pos': [0.40301615631601795, 0.19405690696432532], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094558.001764,"{'circle_3d': {'center': [-3.8273349406643344, 9.096933613628964, 76.4637209203998], 'normal': [-0.21413487532043776, 0.634477812386334, -0.7426871217147586], 'radius': 2.49744101580136}, 'confidence': 0.9981929549633539, 'timestamp': 36934.052327, 'diameter_3d': 4.99488203160272, 'ellipse': {'center': [129.05674442312565, 193.48524657338933], 'axes': [26.599822751951418, 40.511700336108554], 'angle': -70.93499311933176}, 'location': [129.05674442312565, 193.48524657338933], 'diameter': 40.511700336108554, 'sphere': {'center': [-1.2577164368190812, 1.4831998649929559, 85.37596638097689], 'radius': 12.0}, 'projected_sphere': {'center': [150.86646718178082, 130.7709927661859], 'axes': [174.28792470237266, 174.28792470237266], 'angle': 90.0}, 'model_confidence': 0.7631756219004915, 'model_id': 1, 'model_birth_timestamp': 36581.986359, 'theta': 2.2581290740663564, 'phi': -1.8515075133536787, 'norm_pos': [0.40330232632226765, 0.19381147261087783], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
