eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1596094807.470276,"{'circle_3d': {'center': [-7.867862941427499, 19.09951715099544, 147.48201378213963], 'normal': [0.1043367679318466, -0.5874297257805138, -0.8025211250347035], 'radius': 4.235986647973318}, 'confidence': 0.23688229105599032, 'timestamp': 37183.523927, 'diameter_3d': 8.471973295946636, 'ellipse': {'center': [126.87171659326114, 200.5572838750967], 'axes': [31.476163402398036, 35.646401923489826], 'angle': -84.0370747383187}, 'location': [126.87171659326114, 200.5572838750967], 'diameter': 35.646401923489826, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.9429171808948684, 'phi': -1.4415102679198832, 'norm_pos': [0.3964741143539411, 0.16434465052043046], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.477458,"{'circle_3d': {'center': [-7.269838481337562, 18.272580053998396, 148.2497392374356], 'normal': [0.15417213960600806, -0.6563411505302673, -0.7385440037600404], 'radius': 4.260846045772159}, 'confidence': 0.39984806793019384, 'timestamp': 37183.532327, 'diameter_3d': 8.521692091544319, 'ellipse': {'center': [129.5268180279569, 196.6953990991227], 'axes': [29.476356814644582, 35.655333697077175], 'angle': -78.7555472879262}, 'location': [129.5268180279569, 196.6953990991227], 'diameter': 35.655333697077175, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.85483745800693, 'phi': -1.3650002366595002, 'norm_pos': [0.4047713063373653, 0.18043583708698874], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.4865122,"{'circle_3d': {'center': [-7.607362954778274, 18.14432976514599, 148.30075806346372], 'normal': [0.12604510015261525, -0.6670286746013008, -0.7342924349243626], 'radius': 4.22453317030183}, 'confidence': 0.31561353382385565, 'timestamp': 37183.540727, 'diameter_3d': 8.44906634060366, 'ellipse': {'center': [128.13746862271677, 196.1307676556579], 'axes': [29.043506473164427, 35.34881216266822], 'angle': -82.02692362798368}, 'location': [128.13746862271677, 196.1307676556579], 'diameter': 35.34881216266822, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8405828803998135, 'phi': -1.4007979218787985, 'norm_pos': [0.4004295894459899, 0.18278846810142535], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.499459,"{'circle_3d': {'center': [-7.500329262396877, 18.14890639591688, 148.31563737805018], 'normal': [0.13496457451773175, -0.6666472887037268, -0.7330524920421575], 'radius': 4.186242957103394}, 'confidence': 0.3286480864927971, 'timestamp': 37183.549127, 'diameter_3d': 8.372485914206788, 'ellipse': {'center': [128.58612305760934, 196.13684057308257], 'axes': [28.74781410815398, 35.021637764310896], 'angle': -81.03814244437885}, 'location': [128.58612305760934, 196.13684057308257], 'diameter': 35.021637764310896, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8410946685311034, 'phi': -1.3887222365393976, 'norm_pos': [0.4018316345550292, 0.18276316427882267], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.506071,"{'circle_3d': {'center': [-7.423859773060585, 18.13863376299823, 148.33942902531786], 'normal': [0.14133703196242284, -0.667503341446948, -0.7310698547698516], 'radius': 4.209048986748044}, 'confidence': 0.31729260393074993, 'timestamp': 37183.557527, 'diameter_3d': 8.418097973496089, 'ellipse': {'center': [128.90797838927762, 196.08440421408415], 'axes': [28.842230021613627, 35.20484492074212], 'angle': -80.34959295153048}, 'location': [128.90797838927762, 196.08440421408415], 'diameter': 35.20484492074212, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8399455892459149, 'phi': -1.3798233043135033, 'norm_pos': [0.40283743246649256, 0.18298164910798276], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.5159192,"{'circle_3d': {'center': [-7.242523841617639, 18.21797197779997, 148.30434977597068], 'normal': [0.15644835958266848, -0.6608918235468036, -0.7339931255487839], 'radius': 4.220972701356789}, 'confidence': 0.2664786426150997, 'timestamp': 37183.565927, 'diameter_3d': 8.441945402713579, 'ellipse': {'center': [129.65294979582234, 196.4341000305746], 'axes': [29.04237280796665, 35.30824115596722], 'angle': -78.58619528614352}, 'location': [129.65294979582234, 196.4341000305746], 'diameter': 35.30824115596722, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8487898511168249, 'phi': -1.360792064475999, 'norm_pos': [0.4051654681119448, 0.18152458320593923], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.521506,"{'circle_3d': {'center': [-7.486795589604591, 19.138574416568602, 147.51062876631795], 'normal': [0.13609238058375575, -0.5841749536494173, -0.8001365430198444], 'radius': 4.245197869071199}, 'confidence': 0.20819305526196372, 'timestamp': 37183.574327, 'diameter_3d': 8.490395738142398, 'ellipse': {'center': [128.467034527742, 200.7051614116316], 'axes': [31.503934762739977, 35.702810703967145], 'angle': -79.62928745794085}, 'location': [128.467034527742, 200.7051614116316], 'diameter': 35.702810703967145, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.9469331742928143, 'phi': -1.4023221533691415, 'norm_pos': [0.4014594828991937, 0.16372849411820167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.529501,"{'circle_3d': {'center': [-7.124880495837086, 18.30992351026901, 148.2480767644162], 'normal': [0.16625197173104764, -0.6532291958410493, -0.7386825431783228], 'radius': 4.285342603075063}, 'confidence': 0.3684048443635794, 'timestamp': 37183.582727, 'diameter_3d': 8.570685206150126, 'ellipse': {'center': [130.12751076267193, 196.85453773368263], 'axes': [29.661443337403018, 35.85765041053192], 'angle': -77.35243425241454}, 'location': [130.12751076267193, 196.85453773368263], 'diameter': 35.85765041053192, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8589548169715298, 'phi': -1.3494195211085018, 'norm_pos': [0.4066484711333498, 0.17977275944298898], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.53822,"{'circle_3d': {'center': [-7.2548108999847365, 18.27225961256673, 148.25317445421152], 'normal': [0.15542443805207692, -0.6563678539829065, -0.7382577356953802], 'radius': 4.213484182784107}, 'confidence': 0.3748146824554877, 'timestamp': 37183.591127, 'diameter_3d': 8.426968365568214, 'ellipse': {'center': [129.59148616934232, 196.68608925473706], 'axes': [29.13958876587505, 35.25771395092846], 'angle': -78.616716123284}, 'location': [129.59148616934232, 196.68608925473706], 'diameter': 35.25771395092846, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8548020635346131, 'phi': -1.3632978216286242, 'norm_pos': [0.40497339427919476, 0.18047462810526227], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.545291,"{'circle_3d': {'center': [-6.981676810297644, 18.271534977612156, 148.31575281162156], 'normal': [0.17818561219266785, -0.6564282402291207, -0.7330428725778759], 'radius': 4.28728701656267}, 'confidence': 0.29161204134755553, 'timestamp': 37183.599527, 'diameter_3d': 8.57457403312534, 'ellipse': {'center': [130.73571961647747, 196.65888432085026], 'axes': [29.48224489161059, 35.855406799382244], 'angle': -76.11548553476676}, 'location': [130.73571961647747, 196.65888432085026], 'diameter': 35.855406799382244, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8547220197034653, 'phi': -1.3323442890337875, 'norm_pos': [0.4085491238014921, 0.1805879819964572], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.553527,"{'circle_3d': {'center': [-7.193884113955718, 18.17321855894863, 148.3554094253987], 'normal': [0.1605016702211618, -0.6646212751177484, -0.7297381547631148], 'radius': 4.258940681798173}, 'confidence': 0.2647260447626356, 'timestamp': 37183.607927, 'diameter_3d': 8.517881363596347, 'ellipse': {'center': [129.8641991467939, 196.22584976306422], 'axes': [29.156334354572834, 35.61292853732397], 'angle': -78.21270357551856}, 'location': [129.8641991467939, 196.22584976306422], 'diameter': 35.61292853732397, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.843809495205931, 'phi': -1.3542992522028976, 'norm_pos': [0.405825622333731, 0.1823922926538991], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.56302,"{'circle_3d': {'center': [-7.875645915166578, 19.10601243969637, 147.4762545416723], 'normal': [0.10368818678692336, -0.5868884517221025, -0.803001061740315], 'radius': 4.280452781145656}, 'confidence': 0.262485393431947, 'timestamp': 37183.616327, 'diameter_3d': 8.560905562291312, 'ellipse': {'center': [126.83684837318665, 200.59321391799693], 'axes': [31.822446804744935, 36.02242490346747], 'angle': -84.12355773472346}, 'location': [126.83684837318665, 200.59321391799693], 'diameter': 36.02242490346747, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.9435858567470736, 'phi': -1.4423810506202304, 'norm_pos': [0.3963651511662083, 0.16419494200834606], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.56923,"{'circle_3d': {'center': [-7.468625654418929, 18.18916393482627, 148.28506608095728], 'normal': [0.13760654184922744, -0.6632924937946112, -0.735600100133233], 'radius': 4.288966557103975}, 'confidence': 0.34942104520612, 'timestamp': 37183.624727, 'diameter_3d': 8.57793311420795, 'ellipse': {'center': [128.70814591438548, 196.33374432690164], 'axes': [29.548117610951962, 35.8876327251697], 'angle': -80.70385222913464}, 'location': [128.70814591438548, 196.33374432690164], 'diameter': 35.8876327251697, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8455864859750074, 'phi': -1.3858666541202413, 'norm_pos': [0.40221295598245466, 0.18194273197124322], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.582976,"{'circle_3d': {'center': [-7.856675072505569, 19.091650046102956, 147.48923932010788], 'normal': [0.1052690903420075, -0.5880853178548875, -0.8019189968706827], 'radius': 4.241189566279415}, 'confidence': 0.26506515729933083, 'timestamp': 37183.633127, 'diameter_3d': 8.48237913255883, 'ellipse': {'center': [126.9198800225458, 200.52104607929186], 'axes': [31.495530200559767, 35.68799843671094], 'angle': -83.91267729913652}, 'location': [126.9198800225458, 200.52104607929186], 'diameter': 35.68799843671094, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.9421068446476513, 'phi': -1.4402711814473237, 'norm_pos': [0.3966246250704556, 0.16449564133628392], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.5899131,"{'circle_3d': {'center': [-7.304058526693773, 18.18326670354663, 148.32278530268513], 'normal': [0.15132046915965716, -0.6637839297345817, -0.7324568316559121], 'radius': 4.283548003888665}, 'confidence': 0.321229120521081, 'timestamp': 37183.641527, 'diameter_3d': 8.56709600777733, 'ellipse': {'center': [129.39936149859153, 196.2882811642415], 'axes': [29.41339677071177, 35.829000102922215], 'angle': -79.19939617438953}, 'location': [129.39936149859153, 196.2882811642415], 'diameter': 35.829000102922215, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8449296110623272, 'phi': -1.3670694363877096, 'norm_pos': [0.40437300468309856, 0.1821321618156604], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.5976179,"{'circle_3d': {'center': [-7.344876000690434, 18.2419111350296, 148.2617092068755], 'normal': [0.14791901299326868, -0.6588968937776668, -0.7375465063067136], 'radius': 4.19832389694182}, 'confidence': 0.2674040532221232, 'timestamp': 37183.649927, 'diameter_3d': 8.39664779388364, 'ellipse': {'center': [129.21974528571104, 196.5535140336456], 'axes': [29.002518803365053, 35.13099603526355], 'angle': -79.49461658665267}, 'location': [129.21974528571104, 196.5535140336456], 'diameter': 35.13099603526355, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8514449511709276, 'phi': -1.372866683376405, 'norm_pos': [0.403811704017847, 0.18102702485981004], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.605391,"{'circle_3d': {'center': [-7.362041047883831, 18.14368717203179, 148.3469888836321], 'normal': [0.14648859239381892, -0.6670822240274843, -0.7304398665769982], 'radius': 4.23051241688599}, 'confidence': 0.28617247686382724, 'timestamp': 37183.658327, 'diameter_3d': 8.46102483377198, 'ellipse': {'center': [129.16550619627648, 196.10411245099107], 'axes': [28.97277736914123, 35.381040831090644], 'angle': -79.78034146998095}, 'location': [129.16550619627648, 196.10411245099107], 'diameter': 35.381040831090644, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8405110027541531, 'phi': -1.372873454555623, 'norm_pos': [0.403642206863364, 0.1828995314542039], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.61797,"{'circle_3d': {'center': [-7.817142654337457, 18.786244499788484, 147.72624329053644], 'normal': [0.10856345852268356, -0.6135357800477604, -0.7821686660016365], 'radius': 4.279406435407304}, 'confidence': 0.2086235223976397, 'timestamp': 37183.666727, 'diameter_3d': 8.558812870814608, 'ellipse': {'center': [127.1369387473144, 199.1204281494314], 'axes': [31.09380481369001, 35.95170647316048], 'angle': -83.6458031907777}, 'location': [127.1369387473144, 199.1204281494314], 'diameter': 35.95170647316048, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.9102659236838678, 'phi': -1.4328794579771746, 'norm_pos': [0.3973029335853575, 0.17033154937736916], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596094807.621835,"{'circle_3d': {'center': [-7.407490119593101, 18.177868723389473, 148.30693346524697], 'normal': [0.1427011697513798, -0.6642337614143443, -0.733777818109092], 'radius': 4.262734699751815}, 'confidence': 0.332362539745837, 'timestamp': 37183.675127, 'diameter_3d': 8.52546939950363, 'ellipse': {'center': [128.96737739773928, 196.2716649693973], 'axes': [29.308265724781997, 35.66122268896803], 'angle': -80.15371936471985}, 'location': [128.96737739773928, 196.2716649693973], 'diameter': 35.66122268896803, 'sphere': {'center': [-9.119904156609659, 26.148673860361605, 157.11226728255608], 'radius': 12.0}, 'projected_sphere': {'center': [124.01082693989116, 223.18849109514574], 'axes': [94.70934547230038, 94.70934547230038], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 37176.005927, 'theta': 0.8443280103767649, 'phi': -1.3787192237648545, 'norm_pos': [0.4030230543679353, 0.1822013959608445], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
