imu_packets,1254
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596176647.0410008,B2368909,-0.04114,0.00415,0.99915,0.00391,0.0158
1596176647.047586,B2368914,-0.04114,0.00415,0.99915,0.00385,0.0158
1596176647.050963,B2368919,-0.04114,0.00421,0.99915,0.00378,0.0158
1596176647.0562718,B2368924,-0.04114,0.00421,0.99915,0.00372,0.0158
1596176647.061661,B2368929,-0.04114,0.00421,0.99915,0.00354,0.0158
1596176647.0668721,B2368934,-0.04114,0.00421,0.99915,0.00342,0.0158
1596176647.071302,B2368939,-0.04108,0.00421,0.99915,0.00336,0.0158
1596176647.076454,B2368944,-0.04108,0.00421,0.99915,0.00323,0.0158
1596176647.082195,B2368949,-0.04108,0.00421,0.99915,0.00317,0.0158
1596176647.0863879,B2368954,-0.04108,0.00421,0.99915,0.00305,0.0158
1596176647.091271,B2368959,-0.04102,0.00421,0.99915,0.00299,0.0158
1596176647.096659,B2368964,-0.04102,0.00421,0.99915,0.00287,0.0158
1596176647.101991,B2368969,-0.04102,0.00421,0.99915,0.00281,0.0158
1596176647.106251,B2368974,-0.04102,0.00427,0.99915,0.00269,0.0158
1596176647.1119602,B2368979,-0.04102,0.00427,0.99915,0.00262,0.0158
1596176647.116933,B2368984,-0.04102,0.00433,0.99915,0.00250,0.0158
1596176647.1218529,B2368989,-0.04102,0.00433,0.99915,0.00244,0.0158
1596176647.127844,B2368994,-0.04102,0.00433,0.99915,0.00232,0.0158
1596176647.132123,B2368999,-0.04102,0.00439,0.99915,0.00226,0.0158
1596176647.1377122,B2369004,-0.04102,0.00446,0.99915,0.00214,0.0158
1596176647.1423638,B2369009,-0.04102,0.00446,0.99915,0.00208,0.0158
1596176647.146452,B2369014,-0.04095,0.00452,0.99915,0.00195,0.0158
1596176647.1517031,B2369019,-0.04095,0.00458,0.99915,0.00189,0.0158
1596176647.1563861,B2369024,-0.04095,0.00458,0.99915,0.00177,0.0158
1596176647.161388,B2369029,-0.04095,0.00464,0.99915,0.00171,0.0158
1596176647.168745,B2369034,-0.04095,0.00470,0.99915,0.00159,0.0158
1596176647.171446,B2369039,-0.04095,0.00470,0.99915,0.00153,0.0158
1596176647.1764328,B2369044,-0.04095,0.00476,0.99915,0.00146,0.0158
1596176647.181598,B2369049,-0.04095,0.00482,0.99915,0.00140,0.0158
1596176647.186443,B2369054,-0.04102,0.00482,0.99915,0.00128,0.0158
1596176647.191581,B2369059,-0.04102,0.00488,0.99915,0.00128,0.0158
1596176647.197299,B2369064,-0.04102,0.00488,0.99915,0.00116,0.0158
1596176647.202591,B2369069,-0.04108,0.00488,0.99915,0.00116,0.0158
1596176647.206618,B2369074,-0.04108,0.00488,0.99915,0.00110,0.0158
1596176647.211642,B2369079,-0.04108,0.00494,0.99915,0.00104,0.0158
1596176647.216746,B2369084,-0.04114,0.00494,0.99915,0.00104,0.0158
1596176647.22178,B2369090,-0.04114,0.00494,0.99915,0.00098,0.0158
1596176647.226697,B2369095,-0.04120,0.00494,0.99915,0.00098,0.0158
1596176647.2334871,B2369100,-0.04126,0.00494,0.99915,0.00092,0.0158
1596176647.237119,B2369105,-0.04126,0.00494,0.99915,0.00092,0.0158
1596176647.242045,B2369110,-0.04132,0.00494,0.99915,0.00092,0.0158
1596176647.2469592,B2369115,-0.04138,0.00494,0.99915,0.00092,0.0158
1596176647.2518451,B2369120,-0.04144,0.00500,0.99915,0.00092,0.0158
1596176647.256856,B2369125,-0.04144,0.00500,0.99915,0.00092,0.0158
1596176647.26212,B2369130,-0.04150,0.00500,0.99915,0.00092,0.0158
1596176647.266849,B2369135,-0.04150,0.00500,0.99915,0.00092,0.0158
1596176647.272147,B2369140,-0.04156,0.00500,0.99915,0.00092,0.0158
1596176647.2768278,B2369145,-0.04156,0.00500,0.99915,0.00092,0.0158
1596176647.282094,B2369150,-0.04156,0.00494,0.99915,0.00098,0.0158
1596176647.287437,B2369155,-0.04156,0.00494,0.99915,0.00098,0.0158
1596176647.292257,B2369160,-0.04156,0.00494,0.99915,0.00098,0.0158
1596176647.2971032,B2369165,-0.04156,0.00494,0.99915,0.00104,0.0158
1596176647.302913,B2369170,-0.04150,0.00494,0.99915,0.00104,0.0158
1596176647.3070989,B2369175,-0.04150,0.00494,0.99915,0.00110,0.0158
1596176647.312618,B2369180,-0.04150,0.00494,0.99915,0.00110,0.0158
1596176647.318209,B2369185,-0.04144,0.00500,0.99915,0.00110,0.0158
1596176647.322544,B2369191,-0.04144,0.00500,0.99915,0.00110,0.0158
1596176647.328168,B2369196,-0.04138,0.00500,0.99915,0.00110,0.0158
1596176647.333367,B2369201,-0.04132,0.00507,0.99915,0.00110,0.0158
1596176647.338798,B2369207,-0.04132,0.00513,0.99915,0.00110,0.0158
1596176647.343887,B2369212,-0.04126,0.00525,0.99915,0.00110,0.0158
