eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1596180936.1086478,"{'circle_3d': {'center': [-2.828285465590876, 7.682939304868334, 64.47356132441597], 'normal': [-0.15409534446230783, 0.7008028488549467, -0.6965127363170278], 'radius': 2.9603465970795613}, 'confidence': 0.19187291915448715, 'timestamp': 54837.43216, 'diameter_3d': 5.9206931941591225, 'ellipse': {'center': [132.9131212322125, 193.32335842949593], 'axes': [34.549984390086166, 56.97326610502087], 'angle': -76.91815261530586}, 'location': [132.9131212322125, 193.32335842949593], 'diameter': 56.97326610502087, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8178862472350334, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.347318657001685, 'phi': -1.7885275270051961, 'norm_pos': [0.41535350385066405, 0.19448600654376702], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.114771,"{'circle_3d': {'center': [-3.094525061331565, 7.010227711094949, 63.90617885550372], 'normal': [-0.1762819774406986, 0.644743549373831, -0.7437946087263817], 'radius': 3.02362557540554}, 'confidence': 0.7752146869717155, 'timestamp': 54837.44056, 'diameter_3d': 6.04725115081108, 'ellipse': {'center': [130.12988310557037, 187.41312122362928], 'axes': [39.02140969899551, 58.70554442630057], 'angle': -73.89696980058368}, 'location': [130.12988310557037, 187.41312122362928], 'diameter': 58.70554442630057, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8181933358872739, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2714840693652687, 'phi': -1.803506151417942, 'norm_pos': [0.40665588470490743, 0.21911199490154465], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.1230059,"{'circle_3d': {'center': [-3.1123126756889117, 7.017810423662613, 63.91699500599874], 'normal': [-0.1777642786371441, 0.6453754420878032, -0.7428932628517965], 'radius': 3.0157197759068186}, 'confidence': 0.7127242619635885, 'timestamp': 54837.44896, 'diameter_3d': 6.031439551813637, 'ellipse': {'center': [129.96262125198143, 187.4789113328103], 'axes': [38.845053424411205, 58.542074867862105], 'angle': -73.79082202783606}, 'location': [129.96262125198143, 187.4789113328103], 'diameter': 58.542074867862105, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8182243043893478, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2723110108907756, 'phi': -1.805666493878812, 'norm_pos': [0.406133191412442, 0.21883786944662376], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.136179,"{'circle_3d': {'center': [-3.0879938530219175, 7.014855205538927, 63.90864611742714], 'normal': [-0.17573771008156128, 0.6451291739108292, -0.7435890035660965], 'radius': 3.010465316519567}, 'confidence': 0.7896552545315669, 'timestamp': 54837.45736, 'diameter_3d': 6.020930633039134, 'ellipse': {'center': [130.19250604346757, 187.46051056432142], 'axes': [38.83530489422214, 58.44753150959641], 'angle': -73.95151316347108}, 'location': [130.19250604346757, 187.46051056432142], 'diameter': 58.44753150959641, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8188828541563331, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2719886574889414, 'phi': -1.8028750851553879, 'norm_pos': [0.40685158138583616, 0.21891453931532745], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.143528,"{'circle_3d': {'center': [-3.089539187428968, 7.011939061870358, 63.906482197734064], 'normal': [-0.17586648794881551, 0.6448861619384485, -0.7437693302071862], 'radius': 3.0191103077025017}, 'confidence': 0.7053837365670423, 'timestamp': 54837.465759, 'diameter_3d': 6.038220615405003, 'ellipse': {'center': [130.17755280013495, 187.431091553513], 'axes': [38.961436166936714, 58.617510408501126], 'angle': -73.93480384792919}, 'location': [130.17755280013495, 187.431091553513], 'diameter': 58.617510408501126, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8194321253648718, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.271670652285272, 'phi': -1.8029847965373946, 'norm_pos': [0.4068048525004217, 0.21903711852702912], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.151499,"{'circle_3d': {'center': [-3.1592985844210433, 7.101312095791984, 64.00169597676913], 'normal': [-0.18167977103148844, 0.6523339147652507, -0.7358348486209311], 'radius': 2.9763568195525982}, 'confidence': 0.18468446387392065, 'timestamp': 54837.474159, 'diameter_3d': 5.9527136391051965, 'ellipse': {'center': [129.5441562457582, 188.2161672264018], 'axes': [37.77390423859805, 57.70132863743997], 'angle': -73.6461341071798}, 'location': [129.5441562457582, 188.2161672264018], 'diameter': 57.70132863743997, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8194321253648718, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.281456019262249, 'phi': -1.8128579714470523, 'norm_pos': [0.40482548826799436, 0.21576596988999241], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.15888,"{'circle_3d': {'center': [-3.101695228600631, 7.024593911748813, 63.92035696832447], 'normal': [-0.17687949137978742, 0.6459407327616531, -0.7426130993246526], 'radius': 2.9745880598085863}, 'confidence': 0.7775055764354836, 'timestamp': 54837.482559, 'diameter_3d': 5.949176119617173, 'ellipse': {'center': [130.0621724805022, 187.5571085946811], 'axes': [38.29292910888209, 57.73980978595191], 'angle': -73.87786509363796}, 'location': [130.0621724805022, 187.5571085946811], 'diameter': 57.73980978595191, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8197561883085291, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.273051281973849, 'phi': -1.8046246948190707, 'norm_pos': [0.40644428900156937, 0.21851204752216213], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.167886,"{'circle_3d': {'center': [-3.09595495481903, 7.055500886680427, 63.94596550780832], 'normal': [-0.17640113523132064, 0.6485163140059543, -0.7404790543676653], 'radius': 3.0070164119582197}, 'confidence': 0.7332314828611499, 'timestamp': 54837.490959, 'diameter_3d': 6.014032823916439, 'ellipse': {'center': [130.1318418185149, 187.8172870731789], 'axes': [38.54074731943687, 58.34669544634272], 'angle': -73.98145586612675}, 'location': [130.1318418185149, 187.8172870731789], 'diameter': 58.34669544634272, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8200695012164472, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.276430002333031, 'phi': -1.8046629594580876, 'norm_pos': [0.4066620056828591, 0.21742797052842122], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.175169,"{'circle_3d': {'center': [-3.0711216972135973, 7.054386126182159, 63.93911068849587], 'normal': [-0.1743316970975346, 0.6484234172977652, -0.7410502893103691], 'radius': 3.0058534802016257}, 'confidence': 0.7220677689550171, 'timestamp': 54837.499359, 'diameter_3d': 6.011706960403251, 'ellipse': {'center': [130.36766912004572, 187.8135978637415], 'axes': [38.57377137843218, 58.330296158159435], 'angle': -74.14903717997694}, 'location': [130.36766912004572, 187.8135978637415], 'diameter': 58.330296158159435, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8202400656881048, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2763079689813464, 'phi': -1.8018446999781612, 'norm_pos': [0.40739896600014286, 0.21744334223441042], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.182761,"{'circle_3d': {'center': [-3.0924549286911938, 7.066001320590795, 63.954338898024794], 'normal': [-0.17610946638733432, 0.6493913501651516, -0.7397812718496257], 'radius': 2.9793711439009316}, 'confidence': 0.7701054051130255, 'timestamp': 54837.507759, 'diameter_3d': 5.958742287801863, 'ellipse': {'center': [130.1664437128661, 187.92108002302348], 'axes': [38.13069131189051, 57.8022349870813], 'angle': -74.02710718214804}, 'location': [130.1664437128661, 187.92108002302348], 'diameter': 57.8022349870813, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.8208250772155923, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2775801132068207, 'phi': -1.8045024970147476, 'norm_pos': [0.4067701366027066, 0.21699549990406886], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180936.1911511,"{'circle_3d': {'center': [-3.1015143465356094, 7.056109356941407, 63.94782475438295], 'normal': [-0.17686441787436896, 0.6485670198610359, -0.7403241171531123], 'radius': 2.9836764408420486}, 'confidence': 0.8083647326190898, 'timestamp': 54837.516159, 'diameter_3d': 5.967352881684097, 'ellipse': {'center': [130.07685458721681, 187.83049637335245], 'axes': [38.22820468791089, 57.89170329530714], 'angle': -73.94475358405784}, 'location': [130.07685458721681, 187.83049637335245], 'diameter': 57.89170329530714, 'sphere': {'center': [-0.9791413320431821, -0.7266948813910239, 72.8317141602203], 'radius': 12.0}, 'projected_sphere': {'center': [151.66479008675668, 113.81380993626922], 'axes': [204.30660147948646, 204.30660147948646], 'angle': 90.0}, 'model_confidence': 0.821787554233333, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2764966172091317, 'phi': -1.8053022177313545, 'norm_pos': [0.40649017058505255, 0.21737293177769812], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
