eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1596180615.398528,"{'circle_3d': {'center': [-3.525486373470685, 6.789373976139973, 63.14966624013495], 'normal': [-0.21277504844812836, 0.6336401064601213, -0.74379230585097], 'radius': 3.050650140106371}, 'confidence': 0.749062265491772, 'timestamp': 54516.730127, 'diameter_3d': 6.101300280212742, 'ellipse': {'center': [125.58006353667523, 186.0446531034361], 'axes': [39.79840536645059, 59.94186948897088], 'angle': -70.5871820963852}, 'location': [125.58006353667523, 186.0446531034361], 'diameter': 59.94186948897088, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9656300345471047, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.257045765365581, 'phi': -1.8494228139101256, 'norm_pos': [0.3924376985521101, 0.22481394540234956], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.406834,"{'circle_3d': {'center': [-3.5327789632284703, 6.80474347931174, 63.164874935948866], 'normal': [-0.21338276426127714, 0.6349208983911018, -0.7425249145331437], 'radius': 3.0605862143660727}, 'confidence': 0.7275818717627976, 'timestamp': 54516.738527, 'diameter_3d': 6.121172428732145, 'ellipse': {'center': [125.51802962564815, 186.17597622674583], 'axes': [39.82269302838859, 60.122946473898445], 'angle': -70.5763601200354}, 'location': [125.51802962564815, 186.17597622674583], 'diameter': 60.122946473898445, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.965360091440115, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2587024558426623, 'phi': -1.8506302743866485, 'norm_pos': [0.3922438425801505, 0.2242667657218924], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.416233,"{'circle_3d': {'center': [-3.5201947151430364, 6.817847305972692, 63.17248518291707], 'normal': [-0.21233407692082434, 0.6360128839461812, -0.7418907272857931], 'radius': 3.01740151276027}, 'confidence': 0.7373675306325592, 'timestamp': 54516.746927, 'diameter_3d': 6.03480302552054, 'ellipse': {'center': [125.63898168830048, 186.31366338713792], 'axes': [39.2091600448592, 59.26664203595163], 'angle': -70.69347844297631}, 'location': [125.63898168830048, 186.31366338713792], 'diameter': 59.26664203595163, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9652176673665136, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.260116710557515, 'phi': -1.849551152716587, 'norm_pos': [0.39262181777593896, 0.22369306922025867], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.423883,"{'circle_3d': {'center': [-3.547341697723214, 6.812391725513977, 63.17562144885447], 'normal': [-0.21459632546917248, 0.6355582522412883, -0.7416293717910101], 'radius': 3.047874767569271}, 'confidence': 0.7057336493130715, 'timestamp': 54516.755327, 'diameter_3d': 6.095749535138542, 'ellipse': {'center': [125.3801064904981, 186.24540821587902], 'axes': [39.58176139269179, 59.86288366796692], 'angle': -70.49763099684598}, 'location': [125.3801064904981, 186.24540821587902], 'diameter': 59.86288366796692, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9651411964859302, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2595277069202444, 'phi': -1.8524613683514564, 'norm_pos': [0.39181283278280654, 0.2239774657671707], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.4304278,"{'circle_3d': {'center': [-3.5451946916677164, 6.82787693360878, 63.18829339347363], 'normal': [-0.21441740829788097, 0.6368486862491886, -0.7405733764060806], 'radius': 3.0388832937178587}, 'confidence': 0.8237312957557377, 'timestamp': 54516.763727, 'diameter_3d': 6.077766587435717, 'ellipse': {'center': [125.40632487794872, 186.38776324567232], 'axes': [39.378312635364274, 59.674219241833136], 'angle': -70.55056695136858}, 'location': [125.40632487794872, 186.38776324567232], 'diameter': 59.674219241833136, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9650516094865003, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.261200291245954, 'phi': -1.8526191565435264, 'norm_pos': [0.39189476524358974, 0.22338431980969864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.43792,"{'circle_3d': {'center': [-3.610791913942318, 6.918067326082302, 63.28608178690777], 'normal': [-0.21988384348743117, 0.6443645522886488, -0.7324243436199018], 'radius': 3.012522368319266}, 'confidence': 0.21320501338186568, 'timestamp': 54516.772127, 'diameter_3d': 6.025044736638532, 'ellipse': {'center': [124.81515013856477, 187.18234449858875], 'axes': [38.36884438524739, 59.065364701390116], 'angle': -70.33813409096705}, 'location': [124.81515013856477, 187.18234449858875], 'diameter': 59.065364701390116, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9650516094865003, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2709883623977007, 'phi': -1.8624491914867487, 'norm_pos': [0.3900473441830149, 0.22007356458921357], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.445929,"{'circle_3d': {'center': [-3.551355998562727, 6.792736882160336, 63.159975660408335], 'normal': [-0.21493085053913188, 0.6339203486284849, -0.742933187494855], 'radius': 3.045605781157234}, 'confidence': 0.7791482877981432, 'timestamp': 54516.780527, 'diameter_3d': 6.091211562314468, 'ellipse': {'center': [125.33275285908252, 186.06971628182242], 'axes': [39.65913993572504, 59.832979136662985], 'angle': -70.42153367947877}, 'location': [125.33275285908252, 186.06971628182242], 'diameter': 59.832979136662985, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9649116455711093, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.257408063234685, 'phi': -1.8524082780722817, 'norm_pos': [0.39166485268463286, 0.2247095154924066], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.454387,"{'circle_3d': {'center': [-3.5404322333130374, 6.790945344773451, 63.15529485257262], 'normal': [-0.2140205367683244, 0.6337710538462444, -0.7433232548144981], 'radius': 3.0380479054137677}, 'confidence': 0.724813510633232, 'timestamp': 54516.788927, 'diameter_3d': 6.076095810827535, 'ellipse': {'center': [125.43577769165368, 186.05971048176383], 'axes': [39.59363991293641, 59.68872579863459], 'angle': -70.49050031202815}, 'location': [125.43577769165368, 186.05971048176383], 'diameter': 59.68872579863459, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9648144751502108, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2572150411316074, 'phi': -1.8511376500514365, 'norm_pos': [0.39198680528641777, 0.224751206325984], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.4624681,"{'circle_3d': {'center': [-3.5450362496477332, 6.811098583664969, 63.17384672776533], 'normal': [-0.21440420479621575, 0.6354504904205376, -0.7417772652151052], 'radius': 3.0657600457746357}, 'confidence': 0.7079822866052883, 'timestamp': 54516.797327, 'diameter_3d': 6.131520091549271, 'ellipse': {'center': [125.40392347899414, 186.227296994949], 'axes': [39.82699997161157, 60.2162141288031], 'angle': -70.50985679029067}, 'location': [125.40392347899414, 186.227296994949], 'diameter': 60.2162141288031, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9647175412933584, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2593881366546418, 'phi': -1.8521691191807315, 'norm_pos': [0.3918872608718567, 0.22405292918771247], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.4744372,"{'circle_3d': {'center': [-3.546476435612859, 6.79581919830779, 63.16119599129081], 'normal': [-0.21452422029330953, 0.6341772083074393, -0.7428314932546483], 'radius': 3.0500041493814085}, 'confidence': 0.7413428447607803, 'timestamp': 54516.805727, 'diameter_3d': 6.100008298762817, 'ellipse': {'center': [125.38144879019339, 186.0968135410238], 'axes': [39.70863332948044, 59.91832564597006], 'angle': -70.46204078296842}, 'location': [125.38144879019339, 186.0968135410238], 'diameter': 59.91832564597006, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9646617038291949, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2577402266769515, 'phi': -1.8519396321350592, 'norm_pos': [0.3918170274693543, 0.22459661024573419], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180615.4826581,"{'circle_3d': {'center': [-3.566378332506913, 6.786424043198206, 63.15895004086096], 'normal': [-0.2161827117011474, 0.633394278714974, -0.7430186557904696], 'radius': 3.0510009218221934}, 'confidence': 0.7400442587342574, 'timestamp': 54516.814127, 'diameter_3d': 6.102001843644387, 'ellipse': {'center': [125.18664440067388, 186.00704772894605], 'axes': [39.735098177522325, 59.940059351143454], 'angle': -70.30474241812828}, 'location': [125.18664440067388, 186.00704772894605], 'diameter': 59.940059351143454, 'sphere': {'center': [-0.9721857920931446, -0.8143073013814816, 72.07517391034659], 'radius': 12.0}, 'projected_sphere': {'center': [151.63713164469766, 112.99522291150458], 'axes': [206.45111475567225, 206.45111475567225], 'angle': 90.0}, 'model_confidence': 0.9645595050406186, 'model_id': 1, 'model_birth_timestamp': 54284.335038, 'theta': 2.2567280470543984, 'phi': -1.853931607929947, 'norm_pos': [0.3912082637521059, 0.2249706344627248], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
