eye_packets,768
norm_X,norm_Y,phi,theta,confidence,timestamp
1596428695.5087519,"{'circle_3d': {'center': [-0.4604735469921373, 8.842144208537913, 66.06697353387759], 'normal': [-0.22302509082732874, 0.6085121539548288, -0.7615594312663434], 'radius': 2.280699077275507}, 'confidence': 0.9986829855563922, 'timestamp': 137480.965696, 'diameter_3d': 4.561398154551014, 'ellipse': {'center': [155.80211527962956, 202.67734981033294], 'axes': [29.043560997895614, 42.84278579125654], 'angle': -71.7138215176601}, 'location': [155.80211527962956, 202.67734981033294], 'diameter': 42.84278579125654, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.867623471583967, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2249806298264754, 'phi': -1.8556835650638692, 'norm_pos': [0.48688161024884236, 0.15551104245694602], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.520612,"{'circle_3d': {'center': [-0.45978021920877055, 8.835574560741565, 66.06152512814771], 'normal': [-0.22296731351204815, 0.6079646833051331, -0.7620134650771659], 'radius': 2.270182462140432}, 'confidence': 0.9988262584021977, 'timestamp': 137480.974096, 'diameter_3d': 4.540364924280864, 'ellipse': {'center': [155.8071985950985, 202.62526630082965], 'axes': [28.93673419275241, 42.64863720915774], 'angle': -71.70495533639541}, 'location': [155.8071985950985, 202.62526630082965], 'diameter': 42.64863720915774, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8677921929860499, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2242909067975782, 'phi': -1.8554530075742643, 'norm_pos': [0.4868974956096828, 0.15572805707987647], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.524951,"{'circle_3d': {'center': [-0.47225292873082036, 8.82434795828518, 66.05623457664846], 'normal': [-0.224006705972219, 0.6070291331004345, -0.76245434436877], 'radius': 2.304510587703593}, 'confidence': 0.9987139511886962, 'timestamp': 137480.982496, 'diameter_3d': 4.609021175407186, 'ellipse': {'center': [155.69415042797766, 202.51761076159045], 'axes': [29.403565507395275, 43.29734949059463], 'angle': -71.59421461339838}, 'location': [155.69415042797766, 202.51761076159045], 'diameter': 43.29734949059463, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8678322680185646, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.223113109501132, 'phi': -1.8565525127368245, 'norm_pos': [0.4865442200874302, 0.15617662182670644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.534732,"{'circle_3d': {'center': [-0.4737477311034999, 8.823059435142664, 66.05564811698301], 'normal': [-0.22413127283660894, 0.6069217561718915, -0.7625032160075581], 'radius': 2.2942883997784067}, 'confidence': 0.9986830355918273, 'timestamp': 137480.990896, 'diameter_3d': 4.588576799556813, 'ellipse': {'center': [155.67903360945866, 202.50899321287753], 'axes': [29.276206162567373, 43.10558113715519], 'angle': -71.58102780421146}, 'location': [155.67903360945866, 202.50899321287753], 'diameter': 43.10558113715519, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8678961995411072, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2229779966945977, 'phi': -1.8566855582187305, 'norm_pos': [0.4864969800295583, 0.15621252827967702], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.541288,"{'circle_3d': {'center': [-0.4623726988508534, 8.833114083317705, 66.0603214059848], 'normal': [-0.22318335348222174, 0.6077596435198115, -0.7621137752574094], 'radius': 2.2617953633442753}, 'confidence': 0.9990582398891196, 'timestamp': 137480.999296, 'diameter_3d': 4.523590726688551, 'ellipse': {'center': [155.7820151617824, 202.60591889851815], 'axes': [28.836123399422895, 42.49177274870906], 'angle': -71.68166513406156}, 'location': [155.7820151617824, 202.60591889851815], 'diameter': 42.49177274870906, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8679379319816771, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2240326841320672, 'phi': -1.8556786359186683, 'norm_pos': [0.48681879738057, 0.15580867125617437], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.548239,"{'circle_3d': {'center': [-0.4554632343240139, 8.829064346885266, 66.05507347072171], 'normal': [-0.22260756477165178, 0.6074221654837749, -0.7625511031959997], 'radius': 2.271010783750692}, 'confidence': 0.9993943404378989, 'timestamp': 137481.007696, 'diameter_3d': 4.542021567501384, 'ellipse': {'center': [155.84732073041903, 202.57194113312832], 'axes': [28.979052991106187, 42.6683501126213], 'angle': -71.7215893667031}, 'location': [155.84732073041903, 202.57194113312832], 'diameter': 42.6683501126213, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8680039862752009, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.223607782676053, 'phi': -1.8548282988372016, 'norm_pos': [0.48702287728255944, 0.155950245278632], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.555819,"{'circle_3d': {'center': [-0.45930095416176187, 8.830648015612304, 66.0574565447805], 'normal': [-0.2229273747581308, 0.6075541378776947, -0.7623525136911], 'radius': 2.305563561029596}, 'confidence': 0.9984185421571531, 'timestamp': 137481.016096, 'diameter_3d': 4.611127122059192, 'ellipse': {'center': [155.81533009095097, 202.5747292221837], 'axes': [29.408836664387625, 43.31631713448313], 'angle': -71.69807610860077}, 'location': [155.81533009095097, 202.5747292221837], 'diameter': 43.31631713448313, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8679488851104478, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2237739259714697, 'phi': -1.8552848727009732, 'norm_pos': [0.48692290653422177, 0.15593862824090132], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.568704,"{'circle_3d': {'center': [-0.46984922371216165, 8.835738428377022, 66.06460815260546], 'normal': [-0.2238063972206641, 0.6079783389414213, -0.7617565463723541], 'radius': 2.2661934092458953}, 'confidence': 0.9990872185024623, 'timestamp': 137481.024496, 'diameter_3d': 4.532386818491791, 'ellipse': {'center': [155.71283995140436, 202.62415333725153], 'axes': [28.871885722558147, 42.57170079856395], 'angle': -71.63487056160834}, 'location': [155.71283995140436, 202.62415333725153], 'diameter': 42.57170079856395, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8681699670736065, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2243081062235164, 'phi': -1.8565581949887584, 'norm_pos': [0.48660262484813865, 0.15573269442811866], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.573604,"{'circle_3d': {'center': [-0.4628774843304875, 8.83978444875174, 66.06579270251477], 'normal': [-0.2232254189388579, 0.608315507305981, -0.7616578338799112], 'radius': 2.266780003226349}, 'confidence': 0.9992913904103554, 'timestamp': 137481.032896, 'diameter_3d': 4.533560006452698, 'ellipse': {'center': [155.77809719290906, 202.66038254026466], 'axes': [28.87240228701156, 42.58195035507439], 'angle': -71.69207269595205}, 'location': [155.77809719290906, 202.66038254026466], 'diameter': 42.58195035507439, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8685327270181675, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2247328454147093, 'phi': -1.8558909463806403, 'norm_pos': [0.4868065537278408, 0.15558173941556386], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.585197,"{'circle_3d': {'center': [-0.4638780273072962, 8.832138979601556, 66.05998480837107], 'normal': [-0.22330879752025862, 0.6076783848767991, -0.7621418250585523], 'radius': 2.264427941318458}, 'confidence': 0.9994049460672103, 'timestamp': 137481.041296, 'diameter_3d': 4.528855882636916, 'ellipse': {'center': [155.7682169116047, 202.5965208927827], 'axes': [28.871626857446408, 42.54147389055499], 'angle': -71.6690973461421}, 'location': [155.7682169116047, 202.5965208927827], 'diameter': 42.54147389055499, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8688183849311248, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.2239303628759575, 'phi': -1.85582029685853, 'norm_pos': [0.4867756778487647, 0.15584782961340538], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596428695.5936499,"{'circle_3d': {'center': [-0.4760742454638116, 8.832506509209349, 66.06386032311134], 'normal': [-0.22432514903330159, 0.6077090123441151, -0.761818865496863], 'radius': 2.2955893825951827}, 'confidence': 0.9986077902571389, 'timestamp': 137481.049696, 'diameter_3d': 4.5911787651903655, 'ellipse': {'center': [155.65784317186086, 202.58709420211008], 'axes': [29.251501350691832, 43.12469880433206], 'angle': -71.58461828395151}, 'location': [155.65784317186086, 202.58709420211008], 'diameter': 43.12469880433206, 'sphere': {'center': [2.2158275429358074, 1.5399983610799668, 75.2056867090737], 'radius': 12.0}, 'projected_sphere': {'center': [178.2674095103296, 132.69583492486586], 'axes': [197.85737822675452, 197.85737822675452], 'angle': 90.0}, 'model_confidence': 0.8689639050399545, 'model_id': 1, 'model_birth_timestamp': 137035.493767, 'theta': 2.223968928182554, 'phi': -1.8571627936534143, 'norm_pos': [0.4864307599120652, 0.15588710749120804], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
