eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1596588008.878191,"{'circle_3d': {'center': [2.2776061314773894, 2.6788327997317367, 77.90900691803057], 'normal': [-0.16296143636310192, 0.6328231579699847, -0.7569533809920994], 'radius': 2.202048445002179}, 'confidence': 0.9999363482561449, 'timestamp': 160877.014304, 'diameter_3d': 4.404096890004358, 'ellipse': {'center': [178.1924969020567, 141.08809117117553], 'axes': [25.926143604089916, 35.0762694081753], 'angle': -77.81190832575011}, 'location': [178.1924969020567, 141.08809117117553], 'diameter': 35.0762694081753, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9426344262604691, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.255990224850781, 'phi': -1.7828457976141079, 'norm_pos': [0.5568515528189272, 0.41213295345343526], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.886425,"{'circle_3d': {'center': [2.2270064949477217, 2.681066321986674, 77.92191794783224], 'normal': [-0.16717807274057425, 0.6330092848245628, -0.7558774618419595], 'radius': 2.1962888008099894}, 'confidence': 0.9997609919123002, 'timestamp': 160877.022704, 'diameter_3d': 4.392577601619979, 'ellipse': {'center': [177.7878839027832, 141.1039068412687], 'axes': [25.816604272697745, 34.97816030017007], 'angle': -77.42342586510708}, 'location': [177.7878839027832, 141.1039068412687], 'diameter': 34.97816030017007, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9447237872280301, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2562306304025936, 'phi': -1.7884631691533928, 'norm_pos': [0.5555871371961975, 0.41206705482804706], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.894229,"{'circle_3d': {'center': [2.2121560368719457, 2.6777427573246264, 77.9224318987755], 'normal': [-0.16841561091355556, 0.6327323211027255, -0.7558346325966887], 'radius': 2.202006459154803}, 'confidence': 0.9997583298430011, 'timestamp': 160877.031104, 'diameter_3d': 4.404012918309606, 'ellipse': {'center': [177.67038285235918, 141.0762422763276], 'axes': [25.883713389434345, 35.06884962702353], 'angle': -77.3038963576459}, 'location': [177.67038285235918, 141.0762422763276], 'diameter': 35.06884962702353, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9466290104543251, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.255872915099609, 'phi': -1.7900355257909641, 'norm_pos': [0.5552199464136225, 0.41218232384863496], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.901995,"{'circle_3d': {'center': [2.1991653119367873, 2.672528362319852, 77.92097229104328], 'normal': [-0.16949817132481876, 0.632297788185661, -0.7559562665743722], 'radius': 2.201343322491678}, 'confidence': 0.9999519946074151, 'timestamp': 160877.039504, 'diameter_3d': 4.402686644983356, 'ellipse': {'center': [177.56768658728294, 141.03538863332477], 'axes': [25.882848359942155, 35.0587852112004], 'angle': -77.1959275570463}, 'location': [177.56768658728294, 141.03538863332477], 'diameter': 35.0587852112004, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9479757925986099, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.255311900291668, 'phi': -1.7913652792819186, 'norm_pos': [0.5548990205852592, 0.4123525473611468], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.9107368,"{'circle_3d': {'center': [2.1922224310591796, 2.6697000545250873, 77.9201664794725], 'normal': [-0.1700767447312861, 0.6320620958694305, -0.7560234175386048], 'radius': 2.1846471666933316}, 'confidence': 0.9994392372529581, 'timestamp': 160877.047904, 'diameter_3d': 4.369294333386663, 'ellipse': {'center': [177.5117749753395, 141.0166231027136], 'axes': [25.690177607153757, 34.7930674184043], 'angle': -77.13810567145485}, 'location': [177.5117749753395, 141.0166231027136], 'diameter': 34.7930674184043, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.95009681413466, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2550077111503573, 'phi': -1.792074857586097, 'norm_pos': [0.554724296797936, 0.4124307370720267], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.918989,"{'circle_3d': {'center': [2.1750922819124514, 2.6636124164572372, 77.91894893436177], 'normal': [-0.1715042571601801, 0.6315547926971097, -0.7561248796311663], 'radius': 2.19883199211215}, 'confidence': 0.9998038990523976, 'timestamp': 160877.056304, 'diameter_3d': 4.3976639842243, 'ellipse': {'center': [177.37713198767588, 140.9657045335204], 'axes': [25.86360590410672, 35.019399049287685], 'angle': -76.99676211815957}, 'location': [177.37713198767588, 140.9657045335204], 'diameter': 35.019399049287685, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.95089663478235, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2543532315699437, 'phi': -1.7938424097264518, 'norm_pos': [0.5543035374614871, 0.41264289777699825], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.9306188,"{'circle_3d': {'center': [2.1736235937291264, 2.662903473928206, 77.91869006685106], 'normal': [-0.17162664784212384, 0.6314957141530237, -0.756146451923725], 'radius': 2.199133300631968}, 'confidence': 0.9999275538151898, 'timestamp': 160877.064704, 'diameter_3d': 4.398266601263936, 'ellipse': {'center': [177.3655658895702, 140.96008257265225], 'axes': [25.86828160566696, 35.02429779735846], 'angle': -76.98435682574711}, 'location': [177.3655658895702, 140.96008257265225], 'diameter': 35.02429779735846, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.951008551214938, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2542770361231756, 'phi': -1.7939901916102918, 'norm_pos': [0.5542673934049069, 0.412666322613949], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.9380789,"{'circle_3d': {'center': [2.1453068878206993, 2.655384552853138, 77.918885137371], 'normal': [-0.17398637333449277, 0.6308691373967681, -0.756130196047062], 'radius': 2.1944679781367338}, 'confidence': 0.9995371367658624, 'timestamp': 160877.073104, 'diameter_3d': 4.3889359562734676, 'ellipse': {'center': [177.1407097020332, 140.90139038082935], 'axes': [25.81593930007078, 34.949559315822306], 'angle': -76.75433406959706}, 'location': [177.1407097020332, 140.90139038082935], 'diameter': 34.949559315822306, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9510755297502227, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2534692112056645, 'phi': -1.7969607124343034, 'norm_pos': [0.5535647178188537, 0.412910873413211], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.9462888,"{'circle_3d': {'center': [2.140486977844028, 2.6481999596612082, 77.91400525225873], 'normal': [-0.1743880324992154, 0.6302704212974406, -0.7565368531397524], 'radius': 2.1885340078880637}, 'confidence': 0.9997677855226589, 'timestamp': 160877.081504, 'diameter_3d': 4.3770680157761275, 'ellipse': {'center': [177.10321466252566, 140.84681015777747], 'axes': [25.764603272407985, 34.857128982156134], 'angle': -76.70605885297816}, 'location': [177.10321466252566, 140.84681015777747], 'diameter': 34.857128982156134, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9511467650626937, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2526978015611108, 'phi': -1.7973474338366817, 'norm_pos': [0.5534475458203927, 0.4131382910092606], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.954124,"{'circle_3d': {'center': [2.118704184429388, 2.6431076756761627, 77.91481158508287], 'normal': [-0.17620326528376873, 0.6298460642986868, -0.7564696587377396], 'radius': 2.1867318801046416}, 'confidence': 0.9998663188713423, 'timestamp': 160877.089904, 'diameter_3d': 4.373463760209283, 'ellipse': {'center': [176.93019456081794, 140.80661334349932], 'axes': [25.742913715824777, 34.82781166449824], 'angle': -76.52997162859644}, 'location': [176.93019456081794, 140.80661334349932], 'diameter': 34.82781166449824, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9512085446178986, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.252151335560588, 'phi': -1.799644197911083, 'norm_pos': [0.552906858002556, 0.41330577773541954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596588008.964245,"{'circle_3d': {'center': [2.1023595058129567, 2.662317900437042, 77.93467016020591], 'normal': [-0.17756532183513798, 0.6314469163620934, -0.7548147774774865], 'radius': 2.1667818353598407}, 'confidence': 0.9996719400532431, 'timestamp': 160877.098304, 'diameter_3d': 4.333563670719681, 'ellipse': {'center': [176.7948897950799, 140.95830174073214], 'axes': [25.437405887371966, 34.50107014416874], 'angle': -76.43423756276219}, 'location': [176.7948897950799, 140.95830174073214], 'diameter': 34.50107014416874, 'sphere': {'center': [4.233143367834613, -4.915045095908079, 86.99244748993576], 'radius': 12.0}, 'projected_sphere': {'center': [190.16984765673016, 84.9702008922607], 'axes': [171.04933162986916, 171.04933162986916], 'angle': 90.0}, 'model_confidence': 0.9512526165842305, 'model_id': 1, 'model_birth_timestamp': 160808.313496, 'theta': 2.2542141036510057, 'phi': -1.801839096093631, 'norm_pos': [0.5524840306096247, 0.41267374274694946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
