eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1596613404.653167,"{'circle_3d': {'center': [-1.6055978155315127, 6.457624810134089, 75.7935950773909], 'normal': [-0.1568043679201911, 0.5078940169668045, -0.8470277786061521], 'radius': 2.6217581651277273}, 'confidence': 0.5422848847628445, 'timestamp': 171714.823336, 'diameter_3d': 5.243516330255455, 'ellipse': {'center': [146.96015354393288, 172.52270124245547], 'axes': [34.34391315927114, 42.900200460771615], 'angle': -73.17497357455355}, 'location': [146.96015354393288, 172.52270124245547], 'diameter': 42.900200460771615, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9315291274858417, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.103534568088544, 'phi': -1.753847070797514, 'norm_pos': [0.4592504798247902, 0.28115541148976886], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.662802,"{'circle_3d': {'center': [-1.570555854988961, 6.639382794144409, 75.89831853926036], 'normal': [-0.15388420454164511, 0.5230405156343311, -0.838300823450364], 'radius': 2.6579384286794525}, 'confidence': 0.4815968720709141, 'timestamp': 171714.831736, 'diameter_3d': 5.315876857358905, 'ellipse': {'center': [147.26384980851256, 173.92221610522728], 'axes': [34.28981757111228, 43.432780637939814], 'angle': -73.92239847940218}, 'location': [147.26384980851256, 173.92221610522728], 'diameter': 43.432780637939814, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9315291274858417, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.1212107800992177, 'phi': -1.7523419723090334, 'norm_pos': [0.46019953065160174, 0.275324099561553], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.6702971,"{'circle_3d': {'center': [-1.5537447954563905, 6.72883026550678, 75.95159428554236], 'normal': [-0.15248328291393096, 0.5304944715811956, -0.8338611779268646], 'radius': 2.651085720129135}, 'confidence': 0.5010259855030298, 'timestamp': 171714.840136, 'diameter_3d': 5.30217144025827, 'ellipse': {'center': [147.4080075473966, 174.61419767804503], 'axes': [33.93436336294819, 43.29055549417832], 'angle': -74.27298689453544}, 'location': [147.4080075473966, 174.61419767804503], 'diameter': 43.29055549417832, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9315291274858417, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.129980103364812, 'phi': -1.7516620992480774, 'norm_pos': [0.4606500235856144, 0.27244084300814575], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.676809,"{'circle_3d': {'center': [-1.5472295969163756, 6.726092046118825, 75.94866378550367], 'normal': [-0.15194034970226306, 0.5302662866321993, -0.8341053862634219], 'radius': 2.6276706167509176}, 'confidence': 0.4722523205205791, 'timestamp': 171714.848536, 'diameter_3d': 5.255341233501835, 'ellipse': {'center': [147.45882058077552, 174.59947319641856], 'axes': [33.64883080459977, 42.90970679439009], 'angle': -74.32075290781513}, 'location': [147.45882058077552, 174.59947319641856], 'diameter': 42.90970679439009, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9315291274858417, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.129710941092116, 'phi': -1.7509803531070482, 'norm_pos': [0.4608088143149235, 0.2725021950149227], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.6886458,"{'circle_3d': {'center': [-1.5397500327408837, 6.7317896150061785, 75.95092810168263], 'normal': [-0.15131705268763865, 0.5307410840394785, -0.8339166932485077], 'radius': 2.6332157741021525}, 'confidence': 0.4878686481226932, 'timestamp': 171714.856936, 'diameter_3d': 5.266431548204305, 'ellipse': {'center': [147.52023580500796, 174.64287807721982], 'axes': [33.70851458867027, 42.999016911594886], 'angle': -74.39598312100787}, 'location': [147.52023580500796, 174.64287807721982], 'diameter': 42.999016911594886, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9315291274858417, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.130271053337458, 'phi': -1.7502967338835937, 'norm_pos': [0.46100073689064985, 0.27232134134491737], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.693007,"{'circle_3d': {'center': [-1.5435001448782368, 6.635522024224392, 75.89098296032293], 'normal': [-0.15162956203241804, 0.5227187848076629, -0.8389121216951495], 'radius': 2.6010299931606444}, 'confidence': 0.38351232864605367, 'timestamp': 171714.865336, 'diameter_3d': 5.202059986321289, 'ellipse': {'center': [147.4784841445171, 173.90904431062995], 'axes': [33.590731826547994, 42.50660610081733], 'angle': -74.14043702164474}, 'location': [147.4784841445171, 173.90904431062995], 'diameter': 42.50660610081733, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9315291274858417, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.1208333418416956, 'phi': -1.7496112415777143, 'norm_pos': [0.4608702629516159, 0.2753789820390419], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.7012181,"{'circle_3d': {'center': [-1.5396115179797707, 6.286699325248637, 75.68116249458043], 'normal': [-0.15130550979087926, 0.49365022655968355, -0.8563971605070251], 'radius': 2.570189842696841}, 'confidence': 0.9616445860795936, 'timestamp': 171714.873736, 'diameter_3d': 5.140379685393682, 'ellipse': {'center': [147.47590323186938, 171.21574009324448], 'axes': [34.21776771848383, 42.11821386142698], 'angle': -73.30545636978388}, 'location': [147.47590323186938, 171.21574009324448], 'diameter': 42.11821386142698, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9343676194438988, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0870784041878205, 'phi': -1.7456685025715735, 'norm_pos': [0.4608621975995918, 0.2866010829448147], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.713054,"{'circle_3d': {'center': [-1.5564091936652509, 6.393833019326231, 75.74666589189108], 'normal': [-0.1527053160980026, 0.502578034399483, -0.8509385440644707], 'radius': 2.611901468548721}, 'confidence': 0.9872112448684165, 'timestamp': 171714.882136, 'diameter_3d': 5.223802937097442, 'ellipse': {'center': [147.3521556753648, 172.03646884808876], 'axes': [34.447130954797736, 42.765176102130916], 'angle': -73.43582955279933}, 'location': [147.3521556753648, 172.03646884808876], 'diameter': 42.765176102130916, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9359159376607806, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0973745270692996, 'phi': -1.7483614777634913, 'norm_pos': [0.460475486485515, 0.2831813797996302], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.72082,"{'circle_3d': {'center': [-1.6182845941252002, 6.3601052784871905, 75.7380963689877], 'normal': [-0.15786159946966505, 0.499767389329563, -0.8516526709730864], 'radius': 2.647509169964613}, 'confidence': 0.9994553622207821, 'timestamp': 171714.890535, 'diameter_3d': 5.295018339929226, 'ellipse': {'center': [146.84999252096958, 171.75940744099887], 'axes': [34.96144750825454, 43.35326387641847], 'angle': -72.81094686331161}, 'location': [146.84999252096958, 171.75940744099887], 'diameter': 43.35326387641847, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9363410374157111, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0941265275464245, 'phi': -1.7540753177258497, 'norm_pos': [0.45890622662802993, 0.2843358023291713], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.728235,"{'circle_3d': {'center': [-1.6932927753059481, 6.3229092411294845, 75.73051817599644], 'normal': [-0.16411228123472738, 0.4966677195497541, -0.8522841870556912], 'radius': 2.63299466452422}, 'confidence': 0.9995927338891432, 'timestamp': 171714.898935, 'diameter_3d': 5.26598932904844, 'ellipse': {'center': [146.2374162854951, 171.4649505140369], 'axes': [34.80909583421407, 43.11980354822184], 'angle': -72.0599626315855}, 'location': [146.2374162854951, 171.4649505140369], 'diameter': 43.11980354822184, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9368295614560762, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0905515714147134, 'phi': -1.761023883147835, 'norm_pos': [0.4569919258921722, 0.2855627061915129], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.740572,"{'circle_3d': {'center': [-1.7434506571182653, 6.325116301644612, 75.74159175698415], 'normal': [-0.16829210471908712, 0.4968516412593481, -0.8513613886400485], 'radius': 2.6364859586264497}, 'confidence': 0.9999434700948644, 'timestamp': 171714.907335, 'diameter_3d': 5.2729719172528995, 'ellipse': {'center': [145.83149899664727, 171.47506811247024], 'axes': [34.80055267906232, 43.17072921883331], 'angle': -71.6331467936632}, 'location': [145.83149899664727, 171.47506811247024], 'diameter': 43.17072921883331, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.938514368536858, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0907634900966756, 'phi': -1.7659544568345418, 'norm_pos': [0.45572343436452273, 0.28552054953137396], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
