eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1596614017.025504,"{'circle_3d': {'center': [-1.619134038862958, 4.55467348822005, 74.2963179358154], 'normal': [-0.18786731205371635, 0.49165417035535436, -0.8502835114442122], 'radius': 2.3455574678526854}, 'confidence': 0.9853860126872365, 'timestamp': 172327.193987, 'diameter_3d': 4.691114935705371, 'ellipse': {'center': [146.58339326644486, 157.76067719960488], 'axes': [31.95480375363506, 39.15262218134213], 'angle': -69.19991390075843}, 'location': [146.58339326644486, 157.76067719960488], 'diameter': 39.15262218134213, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9204122343204002, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0847846823535687, 'phi': -1.7882494204534516, 'norm_pos': [0.45807310395764017, 0.34266384500164626], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.034414,"{'circle_3d': {'center': [-1.615606267827062, 4.522588694541647, 74.27705553260542], 'normal': [-0.18757333113405836, 0.48898043754882076, -0.8518887117117099], 'radius': 2.3528816511120354}, 'confidence': 0.9995809657250221, 'timestamp': 172327.202387, 'diameter_3d': 4.705763302224071, 'ellipse': {'center': [146.61005580411054, 157.5017894563535], 'axes': [32.14093360971429, 39.28504610583165], 'angle': -69.12447046823928}, 'location': [146.61005580411054, 157.5017894563535], 'diameter': 39.28504610583165, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.92038052739013, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0817168683878267, 'phi': -1.787523325159373, 'norm_pos': [0.45815642438784543, 0.34374254393186043], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.040998,"{'circle_3d': {'center': [-1.6058215631327375, 4.53912301119025, 74.28441241264476], 'normal': [-0.18675793907619798, 0.49035829726953767, -0.8512756383750982], 'radius': 2.358126602002453}, 'confidence': 0.9990603644295778, 'timestamp': 172327.210787, 'diameter_3d': 4.716253204004906, 'ellipse': {'center': [146.69296906067575, 157.63452077740834], 'axes': [32.17951962310514, 39.368765644815035], 'angle': -69.26470124175005}, 'location': [146.69296906067575, 157.63452077740834], 'diameter': 39.368765644815035, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9202858150095694, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0832971494294363, 'phi': -1.7867608817266696, 'norm_pos': [0.45841552831461174, 0.3431894967607986], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.0509398,"{'circle_3d': {'center': [-1.5881499365776808, 4.554083255804815, 74.28918037247875], 'normal': [-0.18528530352994327, 0.49160498432075145, -0.8508783083889321], 'radius': 2.3671207348454693}, 'confidence': 0.998611754253237, 'timestamp': 172327.219187, 'diameter_3d': 4.7342414696909385, 'ellipse': {'center': [146.84122799652405, 157.7545772794578], 'axes': [32.28072884428837, 39.516444075848966], 'angle': -69.46807970902677}, 'location': [146.84122799652405, 157.7545772794578], 'diameter': 39.516444075848966, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9202379198374522, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.084728198908134, 'phi': -1.7852068454187946, 'norm_pos': [0.45887883748913766, 0.3426892613355925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.057586,"{'circle_3d': {'center': [-1.5983089677665028, 4.549954275059772, 74.28901290250428], 'normal': [-0.1861318894623451, 0.49126090259199784, -0.8508922642201379], 'radius': 2.351265129181106}, 'confidence': 0.9991691601457707, 'timestamp': 172327.227587, 'diameter_3d': 4.702530258362212, 'ellipse': {'center': [146.75556330583422, 157.72374476134306], 'axes': [32.06519201562509, 39.251765184890814], 'angle': -69.36588681035325}, 'location': [146.75556330583422, 157.72374476134306], 'diameter': 39.251765184890814, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9199761437895915, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0843331183678786, 'phi': -1.786153136712302, 'norm_pos': [0.45861113533073194, 0.34281773016107064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.064668,"{'circle_3d': {'center': [-1.605260214677751, 4.533230335651602, 74.28089723649131], 'normal': [-0.18671116003828245, 0.48986724097465034, -0.8515685697212191], 'radius': 2.3578979725835243}, 'confidence': 0.9992763246931065, 'timestamp': 172327.235987, 'diameter_3d': 4.715795945167049, 'ellipse': {'center': [146.6970278230938, 157.58729359045313], 'axes': [32.19218236737306, 39.3668008621244], 'angle': -69.25016426450486}, 'location': [146.6970278230938, 157.58729359045313], 'diameter': 39.3668008621244, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9197588143935898, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0827337911806914, 'phi': -1.786636466838553, 'norm_pos': [0.45842821194716815, 0.3433862767064453], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.074802,"{'circle_3d': {'center': [-1.6019209364574358, 4.537750278866889, 74.28276690755789], 'normal': [-0.18643288685325618, 0.49024390290925757, -0.8514127637990045], 'radius': 2.3692625565034118}, 'confidence': 0.9992825806369765, 'timestamp': 172327.244387, 'diameter_3d': 4.7385251130068236, 'ellipse': {'center': [146.72599237133625, 157.621527567778], 'axes': [32.33897204753724, 39.55560389325378], 'angle': -69.29425298867244}, 'location': [146.72599237133625, 157.621527567778], 'diameter': 39.55560389325378, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9196956415244428, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0831658959710437, 'phi': -1.7863628875357123, 'norm_pos': [0.45851872616042577, 0.3432436351342584], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.0807328,"{'circle_3d': {'center': [-1.5927960018350715, 4.534366603481, 74.27882590417612], 'normal': [-0.1856724756347258, 0.4899619299604335, -0.8517411807474847], 'radius': 2.342789299781}, 'confidence': 0.9986290420764194, 'timestamp': 172327.252787, 'diameter_3d': 4.685578599562, 'ellipse': {'center': [146.79898149441138, 157.60090622662108], 'axes': [31.994966648499855, 39.11556876950261], 'angle': -69.36291548226009}, 'location': [146.79898149441138, 157.60090622662108], 'diameter': 39.11556876950261, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9192580053204336, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0828424080614645, 'phi': -1.7854302046188757, 'norm_pos': [0.45874681717003557, 0.3433295573890789], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.089329,"{'circle_3d': {'center': [-1.5959157702135127, 4.529088921692174, 74.27647212451028], 'normal': [-0.18593245633292924, 0.489522123144698, -0.8519373290529713], 'radius': 2.376064745900506}, 'confidence': 0.9992987755094945, 'timestamp': 172327.261187, 'diameter_3d': 4.752129491801012, 'ellipse': {'center': [146.77537385045844, 157.55111574773048], 'axes': [32.460328769711104, 39.6725456793348], 'angle': -69.31824330956768}, 'location': [146.77537385045844, 157.55111574773048], 'diameter': 39.6725456793348, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9193080321756364, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.082337965723822, 'phi': -1.7856735990511634, 'norm_pos': [0.4586730432826826, 0.34353701771778966], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.0962582,"{'circle_3d': {'center': [-1.5794591559838214, 4.519172354024452, 74.26720473174562], 'normal': [-0.1845610718137883, 0.4886957425057212, -0.8527096117833594], 'radius': 2.3571069460490093}, 'confidence': 0.9988834298323965, 'timestamp': 172327.269587, 'diameter_3d': 4.7142138920980186, 'ellipse': {'center': [146.90899426087074, 157.47715682337022], 'axes': [32.242729698084794, 39.36081257848337], 'angle': -69.42991006824957}, 'location': [146.90899426087074, 157.47715682337022], 'diameter': 39.36081257848337, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9190657788804568, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0813905234115024, 'phi': -1.783949131746872, 'norm_pos': [0.4590906070652211, 0.3438451799026241], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596614017.1104472,"{'circle_3d': {'center': [-1.583940145004311, 4.5252744318929485, 74.27167553458885], 'normal': [-0.18493448756549574, 0.48920424899476256, -0.8523370448797576], 'radius': 2.346805358879654}, 'confidence': 0.9985881132976534, 'timestamp': 172327.277987, 'diameter_3d': 4.693610717759308, 'ellipse': {'center': [146.87168069030113, 157.52791622793092], 'axes': [32.081766675875116, 39.18639411114879], 'angle': -69.41062966416538}, 'location': [146.87168069030113, 157.52791622793092], 'diameter': 39.18639411114879, 'sphere': {'center': [0.6352737057816383, -1.3451765560442022, 84.49972007314594], 'radius': 12.0}, 'projected_sphere': {'center': [164.66119529441835, 110.13003280927491], 'axes': [176.09525791469306, 176.09525791469306], 'angle': 90.0}, 'model_confidence': 0.9186381196261251, 'model_id': 181, 'model_birth_timestamp': 172294.274534, 'theta': 2.0819734646196753, 'phi': -1.7844579534330645, 'norm_pos': [0.45897400215719103, 0.34363368238362113], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
