eye_packets,771
norm_X,norm_Y,phi,theta,confidence,timestamp
1596612904.709471,"{'circle_3d': {'center': [-2.0438232477786067, 6.011445025308169, 70.74082780187338], 'normal': [-0.19358970051989333, 0.5120409446404234, -0.836861457389669], 'radius': 2.3540581382733956}, 'confidence': 0.9999538161609332, 'timestamp': 171214.873611, 'diameter_3d': 4.708116276546791, 'ellipse': {'center': [142.19246253529107, 172.40982202844117], 'axes': [32.51643708795675, 41.270751295968495], 'angle': -69.48696184735842}, 'location': [142.19246253529107, 172.40982202844117], 'diameter': 41.270751295968495, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9094048704413882, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.108355500881187, 'phi': -1.7981258686511898, 'norm_pos': [0.4443514454227846, 0.2816257415481618], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.716212,"{'circle_3d': {'center': [-2.0528943598409395, 6.00930208887367, 70.74161938889134], 'normal': [-0.19434562652508774, 0.5118623666042151, -0.8367954918048395], 'radius': 2.3781321484337714}, 'confidence': 0.9997223375337586, 'timestamp': 171214.882011, 'diameter_3d': 4.756264296867543, 'ellipse': {'center': [142.1157299312501, 172.3848933596909], 'axes': [32.84543214221415, 41.6924884741887], 'angle': -69.40602069180017}, 'location': [142.1157299312501, 172.3848933596909], 'diameter': 41.6924884741887, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9096029989417942, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1081476137193857, 'phi': -1.7990004734459575, 'norm_pos': [0.4441116560351565, 0.2817296110012879], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.7240682,"{'circle_3d': {'center': [-2.043140650008752, 6.007560002648127, 70.73829390726019], 'normal': [-0.1935328173724054, 0.5117171927520865, -0.8370726152741012], 'radius': 2.3556326715816907}, 'confidence': 0.9999359092994655, 'timestamp': 171214.890411, 'diameter_3d': 4.711265343163381, 'ellipse': {'center': [142.19795631307915, 172.37734862978618], 'axes': [32.55044591849677, 41.29983648496495], 'angle': -69.48069882907392}, 'location': [142.19795631307915, 172.37734862978618], 'diameter': 41.29983648496495, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9098258793943992, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1079786321785052, 'phi': -1.7980059719973516, 'norm_pos': [0.4443686134783723, 0.2817610473758909], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.733595,"{'circle_3d': {'center': [-2.0397376421725233, 6.000435870803831, 70.73315643484587], 'normal': [-0.19324923338605304, 0.5111235150983952, -0.8375007379752948], 'radius': 2.3594013680333004}, 'confidence': 0.9999723512376217, 'timestamp': 171214.898811, 'diameter_3d': 4.718802736066601, 'ellipse': {'center': [142.226754385787, 172.31793013619583], 'axes': [32.62740669543057, 41.368921686537], 'angle': -69.48687325389325}, 'location': [142.226754385787, 172.31793013619583], 'diameter': 41.368921686537, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9102213738185871, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.107287771616615, 'phi': -1.7975723114996458, 'norm_pos': [0.44445860745558435, 0.2820086244325174], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.740837,"{'circle_3d': {'center': [-2.0494429486107717, 6.009876983600773, 70.74117007818154], 'normal': [-0.19405800892257374, 0.5119102744981403, -0.8368329343639894], 'radius': 2.3797928038915823}, 'confidence': 0.9999202518470569, 'timestamp': 171214.907211, 'diameter_3d': 4.759585607783165, 'ellipse': {'center': [142.14586483115423, 172.3898247450088], 'axes': [32.87053955886322, 41.72187608510411], 'angle': -69.43607997779436}, 'location': [142.14586483115423, 172.3898247450088], 'diameter': 41.72187608510411, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9107491433705595, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1082033819699664, 'phi': -1.7986644799623321, 'norm_pos': [0.44420582759735694, 0.2817090635624633], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.748536,"{'circle_3d': {'center': [-2.054111358625768, 6.0196731669387225, 70.74825357873722], 'normal': [-0.1944470430904901, 0.5127266231096361, -0.8362426426510156], 'radius': 2.3727587391538023}, 'confidence': 0.999813723935398, 'timestamp': 171214.915611, 'diameter_3d': 4.745517478307605, 'ellipse': {'center': [142.10620720173526, 172.4719458288975], 'axes': [32.73887662448862, 41.59437183813859], 'angle': -69.42778233672297}, 'location': [142.10620720173526, 172.4719458288975], 'diameter': 41.59437183813859, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9109711840171286, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.109153955909638, 'phi': -1.7992612119600404, 'norm_pos': [0.4440818975054227, 0.2813668923795938], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.755523,"{'circle_3d': {'center': [-2.0531089747339193, 6.016642357748709, 70.7461629410045], 'normal': [-0.19436351109950273, 0.512474055677135, -0.8364168624620754], 'radius': 2.349858997354956}, 'confidence': 0.9999981413939654, 'timestamp': 171214.924011, 'diameter_3d': 4.699717994709912, 'ellipse': {'center': [142.1123872767886, 172.4523901045486], 'axes': [32.43276925739113, 41.19401743270968], 'angle': -69.42672302505285}, 'location': [142.1123872767886, 172.4523901045486], 'diameter': 41.19401743270968, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9118757154007784, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.108859803341322, 'phi': -1.7991205122982323, 'norm_pos': [0.4441012102399644, 0.28144837456438077], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.768373,"{'circle_3d': {'center': [-2.050605957161138, 6.018915443129207, 70.74697462452704], 'normal': [-0.19415492630177092, 0.5126634794588432, -0.8363492221685306], 'radius': 2.3513145738943755}, 'confidence': 0.9999311511520567, 'timestamp': 171214.932411, 'diameter_3d': 4.702629147788751, 'ellipse': {'center': [142.13453389855542, 172.4712982276447], 'axes': [32.448928149919396, 41.21907242388243], 'angle': -69.45416847248407}, 'location': [142.13453389855542, 172.4712982276447], 'diameter': 41.21907242388243, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9123766800178346, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1090804108364907, 'phi': -1.7989017100564355, 'norm_pos': [0.44417041843298566, 0.28136959071814716], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.773818,"{'circle_3d': {'center': [-2.0559981467303965, 6.006204701424568, 70.7404466170178], 'normal': [-0.1946042754325425, 0.5116042509834565, -0.836893222794301], 'radius': 2.3513586907219954}, 'confidence': 0.99998659784817, 'timestamp': 171214.940811, 'diameter_3d': 4.702717381443991, 'ellipse': {'center': [142.08597127248095, 172.3650302599764], 'axes': [32.48110072009849, 41.22362995135451], 'angle': -69.37107291216677}, 'location': [142.08597127248095, 172.3650302599764], 'diameter': 41.22362995135451, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9129852135813521, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.107847180361918, 'phi': -1.7992679641607003, 'norm_pos': [0.44401866022650294, 0.28181237391676495], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.78147,"{'circle_3d': {'center': [-2.0408842480874045, 6.017822162232231, 70.74405280749585], 'normal': [-0.19334478387895981, 0.5125723727174285, -0.8365927069211301], 'radius': 2.3512416940544267}, 'confidence': 0.9997743757379765, 'timestamp': 171214.949211, 'diameter_3d': 4.7024833881088535, 'ellipse': {'center': [142.2185989001844, 172.46383019830134], 'axes': [32.461911470484665, 41.21948844625905], 'angle': -69.53050621925779}, 'location': [142.2185989001844, 172.46383019830134], 'diameter': 41.21948844625905, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.913761593497775, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.1089743021064353, 'phi': -1.7979185122920396, 'norm_pos': [0.44443312156307624, 0.2814007075070778], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596612904.792911,"{'circle_3d': {'center': [-2.0529039609064554, 6.0217270356314705, 70.74923245093699], 'normal': [-0.19434642661388074, 0.5128977788340318, -0.836161069967702], 'radius': 2.3479786296805814}, 'confidence': 0.9999847795387244, 'timestamp': 171214.957611, 'diameter_3d': 4.695957259361163, 'ellipse': {'center': [142.11473563239628, 172.49501279150047], 'axes': [32.39200830090747, 41.15926627880416], 'angle': -69.44393545574461}, 'location': [142.11473563239628, 172.49501279150047], 'diameter': 41.15926627880416, 'sphere': {'center': [0.27925315846011334, -0.13304631037691067, 80.7831652905494], 'radius': 12.0}, 'projected_sphere': {'center': [162.14323067959216, 118.97888734444855], 'axes': [184.19679331060786, 184.19679331060786], 'angle': 90.0}, 'model_confidence': 0.9145532354196129, 'model_id': 17, 'model_birth_timestamp': 170993.549888, 'theta': 2.109353321737043, 'phi': -1.7991685714826173, 'norm_pos': [0.44410854885123835, 0.2812707800354147], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
