,subject_num,posture,cursor_type,repetition,target_num,wide,target_size,extra_times_over_target,error
0,1,STAND,HEAD,4,0,SMALL,0.5,1,
1,1,STAND,HEAD,4,0,SMALL,1.0,2,
2,1,STAND,HEAD,4,0,SMALL,1.5,1,
3,1,STAND,HEAD,4,0,SMALL,2.0,1,
4,1,STAND,HEAD,4,0,SMALL,2.5,1,
5,1,STAND,HEAD,4,0,SMALL,3.0,1,
6,1,STAND,HEAD,4,0,SMALL,3.5,1,
7,1,STAND,HEAD,4,0,SMALL,4.0,1,
8,1,STAND,HEAD,4,1,SMALL,0.5,1,
9,1,STAND,HEAD,4,1,SMALL,1.0,1,
10,1,STAND,HEAD,4,1,SMALL,1.5,1,
11,1,STAND,HEAD,4,1,SMALL,2.0,1,
12,1,STAND,HEAD,4,1,SMALL,2.5,1,
13,1,STAND,HEAD,4,1,SMALL,3.0,1,
14,1,STAND,HEAD,4,1,SMALL,3.5,1,
15,1,STAND,HEAD,4,1,SMALL,4.0,1,
16,1,STAND,HEAD,4,2,SMALL,0.5,2,
17,1,STAND,HEAD,4,2,SMALL,1.0,1,
18,1,STAND,HEAD,4,2,SMALL,1.5,1,
19,1,STAND,HEAD,4,2,SMALL,2.0,1,
20,1,STAND,HEAD,4,2,SMALL,2.5,1,
21,1,STAND,HEAD,4,2,SMALL,3.0,1,
22,1,STAND,HEAD,4,2,SMALL,3.5,1,
23,1,STAND,HEAD,4,2,SMALL,4.0,1,
24,1,STAND,HEAD,4,3,SMALL,0.5,1,
25,1,STAND,HEAD,4,3,SMALL,1.0,2,
26,1,STAND,HEAD,4,3,SMALL,1.5,2,
27,1,STAND,HEAD,4,3,SMALL,2.0,2,
28,1,STAND,HEAD,4,3,SMALL,2.5,2,
29,1,STAND,HEAD,4,3,SMALL,3.0,1,
30,1,STAND,HEAD,4,3,SMALL,3.5,1,
31,1,STAND,HEAD,4,3,SMALL,4.0,1,
32,1,STAND,HEAD,4,4,SMALL,0.5,1,
33,1,STAND,HEAD,4,4,SMALL,1.0,1,
34,1,STAND,HEAD,4,4,SMALL,1.5,1,
35,1,STAND,HEAD,4,4,SMALL,2.0,1,
36,1,STAND,HEAD,4,4,SMALL,2.5,1,
37,1,STAND,HEAD,4,4,SMALL,3.0,1,
38,1,STAND,HEAD,4,4,SMALL,3.5,1,
39,1,STAND,HEAD,4,4,SMALL,4.0,1,
40,1,STAND,HEAD,4,5,SMALL,0.5,1,
41,1,STAND,HEAD,4,5,SMALL,1.0,3,
42,1,STAND,HEAD,4,5,SMALL,1.5,1,
43,1,STAND,HEAD,4,5,SMALL,2.0,1,
44,1,STAND,HEAD,4,5,SMALL,2.5,1,
45,1,STAND,HEAD,4,5,SMALL,3.0,1,
46,1,STAND,HEAD,4,5,SMALL,3.5,1,
47,1,STAND,HEAD,4,5,SMALL,4.0,1,
48,1,STAND,HEAD,4,6,SMALL,0.5,1,
49,1,STAND,HEAD,4,6,SMALL,1.0,2,
50,1,STAND,HEAD,4,6,SMALL,1.5,2,
51,1,STAND,HEAD,4,6,SMALL,2.0,1,
52,1,STAND,HEAD,4,6,SMALL,2.5,1,
53,1,STAND,HEAD,4,6,SMALL,3.0,1,
54,1,STAND,HEAD,4,6,SMALL,3.5,1,
55,1,STAND,HEAD,4,6,SMALL,4.0,1,
56,1,STAND,HEAD,4,7,SMALL,0.5,2,
57,1,STAND,HEAD,4,7,SMALL,1.0,2,
58,1,STAND,HEAD,4,7,SMALL,1.5,2,
59,1,STAND,HEAD,4,7,SMALL,2.0,1,
60,1,STAND,HEAD,4,7,SMALL,2.5,1,
61,1,STAND,HEAD,4,7,SMALL,3.0,1,
62,1,STAND,HEAD,4,7,SMALL,3.5,1,
63,1,STAND,HEAD,4,7,SMALL,4.0,1,
64,1,STAND,HEAD,4,8,SMALL,0.5,1,
65,1,STAND,HEAD,4,8,SMALL,1.0,2,
66,1,STAND,HEAD,4,8,SMALL,1.5,1,
67,1,STAND,HEAD,4,8,SMALL,2.0,1,
68,1,STAND,HEAD,4,8,SMALL,2.5,1,
69,1,STAND,HEAD,4,8,SMALL,3.0,1,
70,1,STAND,HEAD,4,8,SMALL,3.5,1,
71,1,STAND,HEAD,4,8,SMALL,4.0,1,
72,1,WALK,HEAD,4,0,SMALL,0.5,5,
73,1,WALK,HEAD,4,0,SMALL,1.0,12,
74,1,WALK,HEAD,4,0,SMALL,1.5,9,
75,1,WALK,HEAD,4,0,SMALL,2.0,7,
76,1,WALK,HEAD,4,0,SMALL,2.5,6,
77,1,WALK,HEAD,4,0,SMALL,3.0,4,
78,1,WALK,HEAD,4,0,SMALL,3.5,2,
79,1,WALK,HEAD,4,0,SMALL,4.0,2,
80,1,WALK,HEAD,4,1,SMALL,0.5,8,
81,1,WALK,HEAD,4,1,SMALL,1.0,12,
82,1,WALK,HEAD,4,1,SMALL,1.5,9,
83,1,WALK,HEAD,4,1,SMALL,2.0,6,
84,1,WALK,HEAD,4,1,SMALL,2.5,5,
85,1,WALK,HEAD,4,1,SMALL,3.0,4,
86,1,WALK,HEAD,4,1,SMALL,3.5,4,
87,1,WALK,HEAD,4,1,SMALL,4.0,3,
88,1,WALK,HEAD,4,2,SMALL,0.5,5,
89,1,WALK,HEAD,4,2,SMALL,1.0,10,
90,1,WALK,HEAD,4,2,SMALL,1.5,8,
91,1,WALK,HEAD,4,2,SMALL,2.0,12,
92,1,WALK,HEAD,4,2,SMALL,2.5,12,
93,1,WALK,HEAD,4,2,SMALL,3.0,6,
94,1,WALK,HEAD,4,2,SMALL,3.5,3,
95,1,WALK,HEAD,4,2,SMALL,4.0,3,
96,1,WALK,HEAD,4,3,SMALL,0.5,4,
97,1,WALK,HEAD,4,3,SMALL,1.0,5,
98,1,WALK,HEAD,4,3,SMALL,1.5,9,
99,1,WALK,HEAD,4,3,SMALL,2.0,7,
100,1,WALK,HEAD,4,3,SMALL,2.5,5,
101,1,WALK,HEAD,4,3,SMALL,3.0,6,
102,1,WALK,HEAD,4,3,SMALL,3.5,5,
103,1,WALK,HEAD,4,3,SMALL,4.0,5,
104,1,WALK,HEAD,4,4,SMALL,0.5,7,
105,1,WALK,HEAD,4,4,SMALL,1.0,13,
106,1,WALK,HEAD,4,4,SMALL,1.5,12,
107,1,WALK,HEAD,4,4,SMALL,2.0,10,
108,1,WALK,HEAD,4,4,SMALL,2.5,7,
109,1,WALK,HEAD,4,4,SMALL,3.0,6,
110,1,WALK,HEAD,4,4,SMALL,3.5,3,
111,1,WALK,HEAD,4,4,SMALL,4.0,4,
112,1,WALK,HEAD,4,5,SMALL,0.5,4,
113,1,WALK,HEAD,4,5,SMALL,1.0,10,
114,1,WALK,HEAD,4,5,SMALL,1.5,13,
115,1,WALK,HEAD,4,5,SMALL,2.0,11,
