posture,cursor_type,wide,dwell_time,subject_num,repetition,target_num,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,best_record
STAND,EYE,LARGE,0.7999999999999999,11.5,7.0,4.0,0.857878523125998,1.1132376395534291,1.1190425066454008,1.0118193343965969,1.2349309282296679,2.038088404552121,1.243032300691421,1.0692019328338334,1.0042499709694153
STAND,EYE,SMALL,0.7999999999999999,11.5,6.0,4.0,0.5438885786163499,1.1179245283018868,1.1228579040880462,1.0115768598008346,0.8341803789308159,1.679931195143659,1.2925029945147515,1.0215733748855684,1.0118236341085227
STAND,HAND,LARGE,0.7999999999999999,11.5,7.0,4.0,1.313022368167202,1.022508038585209,1.0403873311897116,1.018894777063238,1.479807051446945,1.8150409327229617,0.7584207469754936,1.0305489167010253,1.019439115034779
STAND,HAND,SMALL,0.7999999999999999,11.5,6.0,4.0,0.9295115892575037,1.0157977883096367,1.0350575471300703,1.0198226619273318,1.0667756224328593,1.8505273088085397,0.6811634087487196,1.0259724671152939,1.0196359689800227
STAND,HEAD,LARGE,0.7999999999999999,11.5,7.0,4.0,1.1068804083601278,1.040192926045016,1.0576261200428723,1.019224776259378,1.4022304308681663,1.8297132266501301,0.916471436638891,0.9509348494360522,1.0062033506561676
STAND,HEAD,SMALL,0.7999999999999999,11.5,6.0,4.0,0.8311626613924074,1.0537974683544304,1.0689694541139252,1.0179969369725745,1.0407509509493686,1.6945730811560475,0.8689707220067218,0.9645332190252704,1.0096236583722142
WALK,EYE,LARGE,0.7999999999999999,11.5,7.0,4.0,1.3394488333333356,1.0,0.8374596666666435,0.8374596666666435,3.300108000000004,5.583045551522556,5.85175168470234,3.1009201282564827,0.2976531542553232
WALK,EYE,SMALL,0.7999999999999999,11.5,6.0,4.0,0.8936376666666569,1.0555555555555556,0.9538054629629522,0.9079769444444317,2.7654274444444504,5.612243376276954,3.1582999597103374,2.9545893733198074,0.3317985880665527
WALK,HAND,LARGE,0.7999999999999999,11.5,7.0,4.0,1.9071827500000076,1.0,0.9147424583333238,0.9147424583333238,3.6053625000000054,8.434051698673088,4.1968450067214045,4.388859363887678,0.2789530489089531
WALK,HAND,SMALL,0.7999999999999999,11.5,6.0,4.0,1.5828442500000093,1.0,0.9084480333333209,0.9084480333333209,3.431562550000011,8.177592783792079,4.130694351406766,4.15992007571914,0.29284694041096065
WALK,HEAD,LARGE,0.7999999999999999,11.5,7.0,4.0,1.2477342857142975,1.0,0.8292476190476085,0.8292476190476085,3.7450850000000173,6.323898809429091,3.7363904597188955,3.6711515231945056,0.2497752260668974
WALK,HEAD,SMALL,0.7999999999999999,11.5,6.0,4.0,1.025830384615399,1.0769230769230769,1.0073710512820704,0.935599102564118,2.646775692307708,6.129656133996199,2.843069181934617,3.4456254272778186,0.2743838021914637
