posture,cursor_type,wide,Unnamed: 0,subject_num,repetition,target_num,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,mean_abs_offset_horizontal,mean_abs_offset_vertical,std_abs_offset_horizontal,std_abs_offset_vertical
STAND,EYE,LARGE,166.0,11.5,7.0,4.0,1.033182142926072,0.6232431143680832,6.7826833203929935,9.755296289320546,0.9128241221020101,2.4420401854714067,1.263645480680061,0.6896381896963667,0.10934039136706399,0.08857034571595124,0.6202187071996704,0.5896869520799664,0.6599123287278574,0.6471143574048747,0.48984058282988663,0.4585763423081754
STAND,EYE,SMALL,148.0,11.5,6.0,4.0,0.9570645541879944,0.5177794707159883,3.6014567512022047,4.871146522408047,0.5761491203703668,2.1126543209876543,1.2411606959876527,0.7836889888948981,0.16110023791795125,0.06873843077927479,0.49822956248111616,0.5094508767009718,0.5964424380785835,0.6203677383106969,0.39254352416982163,0.4078289008949037
STAND,HAND,LARGE,274.0,11.5,7.0,4.0,1.0037183533039995,0.5237844119231525,10.035180614355324,12.316930344237369,1.3232843981042632,1.2985781990521328,1.0653577661927327,0.8937439619273305,0.06964491704219326,0.06615252615154485,0.539767841876014,0.467098458173125,0.6684831442164003,0.6105459856666606,0.408166293742795,0.3620292574840841
STAND,HAND,SMALL,256.0,11.5,6.0,4.0,0.9515058669533448,0.4566508252060973,5.526101172949736,6.370483732474193,0.9345167095761364,1.2433281004709575,1.0409299481946637,0.9025056857292381,0.021792419034468383,0.08052289070686808,0.4860506046465804,0.4115362954711308,0.6118654267059352,0.5932997623287736,0.36672587408626545,0.3142336508993252
STAND,HEAD,LARGE,58.0,11.5,7.0,4.0,0.9989242258439114,0.5199796406667477,7.277229245559942,9.693455361284675,1.1394544220472436,1.579527559055118,1.1191559606299202,0.8027045703674532,-0.03133977259263832,0.13074672234706797,0.5269649954047777,0.5750771623570187,0.6026873034839146,0.6635671930203916,0.3885549254648981,0.4269552106184366
STAND,HEAD,SMALL,40.0,11.5,6.0,4.0,0.9141405050250996,0.4296874548658502,4.1813091804496905,4.957117933971661,0.8615737822706097,1.499222395023328,1.1047345785381026,0.8238383507776063,-0.03200383166565138,0.06732892238707143,0.46378948033931605,0.48433985177011735,0.5652905365184605,0.6016080159357436,0.3385346963047601,0.3556815670781783
WALK,EYE,LARGE,175.0,11.5,7.0,4.0,3.4660530940029703,2.5627097922039503,7.114103849992824,8.018547072038308,1.4594630266222977,10.387687188019967,0.8017363311148104,0.07938632904442788,0.2638874710229606,-0.10109247607031686,3.2833836771262974,1.7043671981303183,2.847032741236863,1.4323916141013455,2.3676255306360243,1.3185893865614007
WALK,EYE,SMALL,157.0,11.5,6.0,4.0,3.3742503337049987,2.4845877170767285,4.922467652613964,4.38473181445735,1.1761170546623798,10.95016077170418,0.9166913729903536,0.08465417430733058,0.228041805655712,-0.05447584233417099,3.2194019014336512,1.5887105567013224,2.747456797249394,1.3544213710699353,2.2928728784448773,1.20024751643221
WALK,HAND,LARGE,283.0,11.5,7.0,4.0,5.062337944703784,3.555698482591385,10.179495300098669,10.02137231702936,2.0490600251572344,5.440251572327044,0.49932684067086097,0.10481289101652165,-0.28795589301120067,-0.26387673935273565,5.176203739390892,1.1752490990050453,4.740545550504823,1.129285405509752,3.4299398123651215,0.8361657918848359
WALK,HAND,SMALL,265.0,11.5,6.0,4.0,4.967434548584241,3.6605786096924673,7.176798174101317,5.91750224649414,1.660033030425533,6.314893617021276,0.6023203265957479,0.1022957953141582,-0.04142757954852871,-0.2616986133118674,5.239708544034654,1.1656633439577126,4.621726538831764,1.1031563297349716,3.375131416892049,0.8175082933028436
WALK,HEAD,LARGE,67.0,11.5,7.0,4.0,4.308556168071629,2.5519107858613213,7.806897465548658,7.681597910614224,1.775891354671283,5.709342560553633,0.5068548512110678,0.08728127179464723,-0.029550766782712654,0.24632139307322035,3.7809893234710565,1.5907478395659724,3.668758302801991,1.6071512036944164,2.5767902573644528,1.175449681145996
WALK,HEAD,SMALL,49.0,11.5,6.0,4.0,4.0271172211388855,2.3695331070603607,5.638662898271151,4.24235664388802,1.4357036925734044,6.500863557858376,0.5910846770293652,0.0919591581255499,-0.005215775325362673,0.4290561726881085,3.5384386709343745,1.4287583151052015,3.470656020678767,1.396123149207194,2.422668908964901,1.0202899887480104
