eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603874688.517349,"{'circle_3d': {'center': [-0.48786071458794095, 0.1311137297372884, 18.231760108767382], 'normal': [-0.04668708238461666, 0.5856995829867376, -0.8091824978504996], 'radius': 1.4464303148829782}, 'confidence': 0.9987929634512861, 'timestamp': 198180.332145, 'diameter_3d': 2.8928606297659565, 'ellipse': {'center': [150.9854308577539, 121.43046563158778], 'axes': [43.33248054044596, 53.89217123662287], 'angle': -83.43987904131023}, 'location': [150.9854308577539, 121.43046563158778], 'diameter': 53.89217123662287, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8791953202555103, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1965392355026956, 'phi': -1.6284290366251766, 'norm_pos': [0.47182947143048093, 0.4940397265350509], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.5250618,"{'circle_3d': {'center': [-0.47663862152742736, 0.1439185888769492, 18.240399770658396], 'normal': [-0.04575190796290719, 0.5867666545817094, -0.8084625260262486], 'radius': 1.4459979331379669}, 'confidence': 0.9995385989039899, 'timestamp': 198180.340545, 'diameter_3d': 2.8919958662759337, 'ellipse': {'center': [151.19701144833428, 121.66855154915473], 'axes': [43.24153746737178, 53.84972140408224], 'angle': -83.59853472861217}, 'location': [151.19701144833428, 121.66855154915473], 'diameter': 53.84972140408224, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8793715046756523, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1978563765081005, 'phi': -1.6273272838876702, 'norm_pos': [0.4724906607760446, 0.493047701878522], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.537323,"{'circle_3d': {'center': [-0.48939922569838473, 0.12560108086592958, 18.227861199292107], 'normal': [-0.04681529164382031, 0.5852401955807911, -0.8095074069734393], 'radius': 1.4479484117509276}, 'confidence': 0.9993836893475105, 'timestamp': 198180.348945, 'diameter_3d': 2.895896823501855, 'ellipse': {'center': [150.9552359289931, 121.32602002148647], 'axes': [43.41400969035747, 53.96049916686572], 'angle': -83.4110692322371}, 'location': [150.9552359289931, 121.32602002148647], 'diameter': 53.96049916686572, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8792813841192348, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1959725761523754, 'phi': -1.628563808800972, 'norm_pos': [0.4717351122781034, 0.4944749165771397], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.54514,"{'circle_3d': {'center': [-0.4871717715858049, 0.14460827461615544, 18.241502220729085], 'normal': [-0.04662967046777199, 0.5868241283933099, -0.8083706551870244], 'radius': 1.4637692120631443}, 'confidence': 0.9997673572720932, 'timestamp': 198180.357345, 'diameter_3d': 2.9275384241262885, 'ellipse': {'center': [151.00427489830983, 121.6564125838162], 'axes': [43.7631669205902, 54.510486867115866], 'angle': -83.47263428626445}, 'location': [151.00427489830983, 121.6564125838162], 'diameter': 54.510486867115866, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8792328832151752, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1979273550309193, 'phi': -1.6284160026467702, 'norm_pos': [0.4718883590572182, 0.4930982809007658], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.553065,"{'circle_3d': {'center': [-0.48910602452314106, 0.14335609634532887, 18.24070510229578], 'normal': [-0.04679085821255001, 0.5867197802040743, -0.808437081723133], 'radius': 1.458076248311251}, 'confidence': 0.9998612849335424, 'timestamp': 198180.365745, 'diameter_3d': 2.916152496622502, 'ellipse': {'center': [150.9676503419963, 121.64123544550722], 'axes': [43.599289247435955, 54.30052268452256], 'angle': -83.44715626535708}, 'location': [150.9676503419963, 121.64123544550722], 'diameter': 54.30052268452256, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8797005980621275, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.197798490687503, 'phi': -1.6286099972396493, 'norm_pos': [0.4717739073187384, 0.4931615189770533], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.562103,"{'circle_3d': {'center': [-0.4793033603030981, 0.1527300080377092, 18.246952311513724], 'normal': [-0.04597396952754643, 0.5875009395117727, -0.8079164809549713], 'radius': 1.4347814760405821}, 'confidence': 0.9994941003346941, 'timestamp': 198180.374145, 'diameter_3d': 2.8695629520811643, 'ellipse': {'center': [151.14987360345117, 121.84747483078523], 'axes': [42.844143672764595, 53.412136066321345], 'angle': -83.58243022273979}, 'location': [151.14987360345117, 121.84747483078523], 'diameter': 53.412136066321345, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8798600990199468, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.198763472435444, 'phi': -1.6276393841340198, 'norm_pos': [0.4723433550107849, 0.49230218820506155], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.569422,"{'circle_3d': {'center': [-0.48518246299511686, 0.13156102706277206, 18.2319297250358], 'normal': [-0.04646389475188132, 0.5857368577638613, -0.8091683631614648], 'radius': 1.437538227288963}, 'confidence': 0.9927920166619163, 'timestamp': 198180.382545, 'diameter_3d': 2.875076454577926, 'ellipse': {'center': [151.03430998590753, 121.45114409855373], 'axes': [43.063850624500986, 53.559453657399764], 'angle': -83.47320827681123}, 'location': [151.03430998590753, 121.45114409855373], 'diameter': 53.559453657399764, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8796597324237765, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1965852245201094, 'phi': -1.6281551284766522, 'norm_pos': [0.471982218705961, 0.49395356625602616], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.577162,"{'circle_3d': {'center': [-0.4871283741680433, 0.1394389317852589, 18.23774921669218], 'normal': [-0.04662605401629186, 0.5863933498240685, -0.8086834055234332], 'radius': 1.4534633402702597}, 'confidence': 0.9995036784532902, 'timestamp': 198180.390945, 'diameter_3d': 2.9069266805405194, 'ellipse': {'center': [151.00241974054322, 121.57506940900156], 'axes': [43.48855888530665, 54.13696998597726], 'angle': -83.46388324371317}, 'location': [151.00241974054322, 121.57506940900156], 'diameter': 54.13696998597726, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8798779347171326, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.197395444564608, 'phi': -1.6283893108601584, 'norm_pos': [0.47188256168919757, 0.4934372107958268], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.585535,"{'circle_3d': {'center': [-0.49450917835423475, 0.1440437582028018, 18.241518457745368], 'normal': [-0.04724112103180782, 0.5867770853588637, -0.8083693021023342], 'radius': 1.437588937759139}, 'confidence': 0.9992217175202984, 'timestamp': 198180.399345, 'diameter_3d': 2.875177875518278, 'ellipse': {'center': [150.86639619452274, 121.68264990777097], 'axes': [42.97559533405424, 53.53390149957243], 'angle': -83.38374418295666}, 'location': [150.86639619452274, 121.68264990777097], 'diameter': 53.53390149957243, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8801143595667638, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.197869257950082, 'phi': -1.629169957484425, 'norm_pos': [0.47145748810788357, 0.49298895871762094], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.5950458,"{'circle_3d': {'center': [-0.4938005201770858, 0.1413613850379578, 18.239530569865167], 'normal': [-0.04718206618371207, 0.5865535542617935, -0.8085349594256844], 'radius': 1.4584260692700122}, 'confidence': 0.9998034688050742, 'timestamp': 198180.407745, 'diameter_3d': 2.9168521385400243, 'ellipse': {'center': [150.8803199969208, 121.60377423886769], 'axes': [43.61990417457531, 54.317422422023185], 'angle': -83.38695375160623}, 'location': [150.8803199969208, 121.60377423886769], 'diameter': 54.317422422023185, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8805182088853836, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.19759323552596, 'phi': -1.6290852335600656, 'norm_pos': [0.47150099999037753, 0.4933176073380513], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.602719,"{'circle_3d': {'center': [-0.49710513142855545, 0.14802897041806684, 18.244564585415965], 'normal': [-0.04745745045466787, 0.5871091863768025, -0.8081154581297846], 'radius': 1.4511293222180761}, 'confidence': 0.9996580441476549, 'timestamp': 198180.416145, 'diameter_3d': 2.9022586444361522, 'ellipse': {'center': [150.82102874147014, 121.73765269779356], 'axes': [43.35343694720623, 54.03041204054807], 'angle': -83.35968337853689}, 'location': [150.82102874147014, 121.73765269779356], 'diameter': 54.03041204054807, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.880514358936435, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.198279447517225, 'phi': -1.6294550323844785, 'norm_pos': [0.4713157148170942, 0.4927597804258601], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
