eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1603861267.861929,"{'circle_3d': {'center': [-0.5953591807237457, 0.3862883787804776, 28.979077738953837], 'normal': [-0.1348953057213805, 0.5781912476995978, -0.8046726897179484], 'radius': 2.130627935134579}, 'confidence': 0.9996681853734612, 'timestamp': 184761.583629, 'diameter_3d': 4.261255870269158, 'ellipse': {'center': [153.2181526422665, 123.6750293630962], 'axes': [39.67870547634929, 49.92714457734842], 'angle': -75.6199374311209}, 'location': [153.2181526422665, 123.6750293630962], 'diameter': 49.92714457734842, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9459662304509786, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.187306395111377, 'phi': -1.73689185251058, 'norm_pos': [0.47880672700708277, 0.4846873776537658], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.8700402,"{'circle_3d': {'center': [-0.5935829971416042, 0.3728434249241497, 28.96913385724656], 'normal': [-0.1347472904228687, 0.5770708348782372, -0.8055013465268879], 'radius': 2.1534412891738546}, 'confidence': 0.9984734457524819, 'timestamp': 184761.592029, 'diameter_3d': 4.306882578347709, 'ellipse': {'center': [153.2407727514519, 123.50079212351818], 'axes': [40.175225757283826, 50.47998544613974], 'angle': -75.60012722822172}, 'location': [153.2407727514519, 123.50079212351818], 'diameter': 50.47998544613974, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9456539806346198, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1859338411188722, 'phi': -1.736545354957525, 'norm_pos': [0.4788774148482872, 0.4854133661520076], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.877463,"{'circle_3d': {'center': [-0.5731242798693574, 0.3713624587485027, 28.964673257978088], 'normal': [-0.13304239731684814, 0.5769474210302666, -0.8058730631325941], 'radius': 2.141098076641766}, 'confidence': 0.9992836387863211, 'timestamp': 184761.600429, 'diameter_3d': 4.282196153283532, 'ellipse': {'center': [153.475165527424, 123.49350153557697], 'axes': [39.97713295774566, 50.19724452088429], 'angle': -75.80176647091919}, 'location': [153.475165527424, 123.49350153557697], 'diameter': 50.19724452088429, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9455233260469376, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.185782735263632, 'phi': -1.7344115415082324, 'norm_pos': [0.4796098922732, 0.4854437436017627], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.885934,"{'circle_3d': {'center': [-0.5887225488703436, 0.3501749327436121, 28.9521235734341], 'normal': [-0.13434225306693032, 0.5751817938631923, -0.8069188701779263], 'radius': 2.154805345617548}, 'confidence': 0.9975475252670437, 'timestamp': 184761.608829, 'diameter_3d': 4.309610691235096, 'ellipse': {'center': [153.2940265455557, 123.23646261683429], 'axes': [40.320906400281885, 50.54147030750953], 'angle': -75.58551315344569}, 'location': [153.2940265455557, 123.23646261683429], 'diameter': 50.54147030750953, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9454071425938348, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.183622692412638, 'phi': -1.7357710940603805, 'norm_pos': [0.4790438329548616, 0.48651473909652376], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.893686,"{'circle_3d': {'center': [-0.5740832002164311, 0.36295804770182283, 28.95882008141229], 'normal': [-0.13312230734577093, 0.5762470534430433, -0.8063608278464105], 'radius': 2.123892309928615}, 'confidence': 0.9980649126319477, 'timestamp': 184761.617229, 'diameter_3d': 4.24778461985723, 'ellipse': {'center': [153.45990657501147, 123.40963890981375], 'axes': [39.69516722077499, 49.80315203455117], 'angle': -75.76900506032116}, 'location': [153.45990657501147, 123.40963890981375], 'diameter': 49.80315203455117, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9454647736125588, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1849255220682235, 'phi': -1.7344107984059436, 'norm_pos': [0.47956220804691085, 0.48579317120910936], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.901655,"{'circle_3d': {'center': [-0.5904787517540868, 0.3750167999730474, 28.970172397991647], 'normal': [-0.13448860330724224, 0.5772519494656453, -0.8054148014647976], 'radius': 2.1368826116438058}, 'confidence': 0.9968598609954107, 'timestamp': 184761.625629, 'diameter_3d': 4.2737652232876115, 'ellipse': {'center': [153.27408810529178, 123.53928219881263], 'axes': [39.85816606675288, 50.08920468634597], 'angle': -75.63745616375948}, 'location': [153.27408810529178, 123.53928219881263], 'diameter': 50.08920468634597, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9458320933890985, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1861556240134328, 'phi': -1.7362503847670856, 'norm_pos': [0.4789815253290368, 0.48525299083828066], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.909529,"{'circle_3d': {'center': [-0.5699713659609302, 0.3682076394057239, 28.961895542954323], 'normal': [-0.13277965449114587, 0.5766845194183684, -0.8061045393845746], 'radius': 2.120466966203479}, 'confidence': 0.9995749377279892, 'timestamp': 184761.634029, 'diameter_3d': 4.240933932406958, 'ellipse': {'center': [153.5076535437613, 123.47330783567126], 'axes': [39.609982031534194, 49.71731116843435], 'angle': -75.82495401674468}, 'location': [153.5076535437613, 123.47330783567126], 'diameter': 49.71731116843435, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9457416298920829, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1854608966760143, 'phi': -1.7340480774055502, 'norm_pos': [0.4797114173242541, 0.48552788401803637], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.917946,"{'circle_3d': {'center': [-0.5480456252478136, 0.36331574373911923, 28.95481301885859], 'normal': [-0.1309525094317195, 0.5762768614461513, -0.8066947497258854], 'radius': 2.116494104546011}, 'confidence': 0.9997949141193648, 'timestamp': 184761.642429, 'diameter_3d': 4.232988209092022, 'ellipse': {'center': [153.76023054436155, 123.41965327941884], 'axes': [39.58638736936755, 49.63553182422607], 'angle': -76.03290776104181}, 'location': [153.76023054436155, 123.41965327941884], 'diameter': 49.63553182422607, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9457093728520993, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1849619949398287, 'phi': -1.7317247149533923, 'norm_pos': [0.48050072045112985, 0.48575144466908815], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.926122,"{'circle_3d': {'center': [-0.5650395420423144, 0.3933535825491541, 28.979121788375863], 'normal': [-0.13236866916459455, 0.5787800146803209, -0.8046690189327793], 'radius': 2.129881841675496}, 'confidence': 0.9998371984269967, 'timestamp': 184761.650829, 'diameter_3d': 4.259763683350992, 'ellipse': {'center': [153.56982887327422, 123.75759993225174], 'axes': [39.66721001784335, 49.90876757753062], 'angle': -75.94320521853928}, 'location': [153.56982887327422, 123.75759993225174], 'diameter': 49.90876757753062, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9457266333810055, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.188028195250176, 'phi': -1.7338369030986727, 'norm_pos': [0.47990571522898196, 0.48434333361561777], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.933585,"{'circle_3d': {'center': [-0.5488438966855149, 0.40248408147552794, 28.983043646662814], 'normal': [-0.13101903205152793, 0.579540889590852, -0.8043421974088669], 'radius': 2.1411328527527265}, 'confidence': 0.9873496972449937, 'timestamp': 184761.659229, 'diameter_3d': 4.282265705505453, 'ellipse': {'center': [153.76039414500028, 123.85450697440339], 'axes': [39.851574842295534, 50.1657515428852], 'angle': -76.13019942552515}, 'location': [153.76039414500028, 123.85450697440339], 'diameter': 50.1657515428852, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9455303846080287, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.18896153959643, 'phi': -1.7322678491980499, 'norm_pos': [0.48050123170312586, 0.48393955427331925], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.945517,"{'circle_3d': {'center': [-0.5623345752594038, 0.39980454591300685, 28.983320296134288], 'normal': [-0.13214325526601867, 0.579317594960642, -0.804319143286244], 'radius': 2.1403993070941976}, 'confidence': 0.9979837787450314, 'timestamp': 184761.667629, 'diameter_3d': 4.280798614188395, 'ellipse': {'center': [153.60382241559242, 123.8240073216656], 'axes': [39.83476979499955, 50.14838712094453], 'angle': -75.98773247200386}, 'location': [153.60382241559242, 123.8240073216656], 'diameter': 50.14838712094453, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9454199559703724, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.188687566032621, 'phi': -1.7336336978435853, 'norm_pos': [0.4800119450487263, 0.48406663615972667], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
