eye_packets,765
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851090.1023848,"{'circle_3d': {'center': [-9.346559932884553, -2.72009785678944, 34.99726037995667], 'normal': [0.40910389260478736, 0.02713472617654681, -0.9120842678672484], 'radius': 1.3327621774490421}, 'confidence': 0.3409141409626261, 'timestamp': 176279.692575, 'diameter_3d': 2.6655243548980843, 'ellipse': {'center': [69.21539632729565, 93.62051248596022], 'axes': [25.701912797648745, 26.58131864593185], 'angle': -62.77592508652811}, 'location': [69.21539632729565, 93.62051248596022], 'diameter': 26.58131864593185, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5979343839283535, 'phi': -1.1491593778337144, 'norm_pos': [0.2162981135227989, 0.609914531308499], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.109642,"{'circle_3d': {'center': [-9.352571309913476, -2.5644273216826208, 35.00030441104118], 'normal': [0.4086029445190438, 0.040107270768781726, -0.9118305986102061], 'radius': 1.2773002209334305}, 'confidence': 0.2921652853466219, 'timestamp': 176279.700975, 'diameter_3d': 2.554600441866861, 'ellipse': {'center': [69.1820057342645, 95.12780214968663], 'axes': [24.67541718672621, 25.438021485298773], 'angle': -64.81533579969428}, 'location': [69.1820057342645, 95.12780214968663], 'diameter': 25.438021485298773, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.6109143580683007, 'phi': -1.1495129221729519, 'norm_pos': [0.21619376791957653, 0.603634157709639], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.11761,"{'circle_3d': {'center': [-9.345737121601866, -2.6767035309476763, 34.999006627444054], 'normal': [0.409172460211678, 0.030750919996693774, -0.9119387472433002], 'radius': 1.3217263691050984}, 'confidence': 0.33148859294358735, 'timestamp': 176279.709375, 'diameter_3d': 2.643452738210197, 'ellipse': {'center': [69.23126934886501, 94.04115423150502], 'axes': [25.501278109037735, 26.34842997779594], 'angle': -63.23648934113924}, 'location': [69.23126934886501, 94.04115423150502], 'diameter': 26.34842997779594, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.6015520952978346, 'phi': -1.1490372025994757, 'norm_pos': [0.21634771671520317, 0.6081618573687291], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.1258812,"{'circle_3d': {'center': [-10.032514450087497, -4.447451430956763, 34.79781392165391], 'normal': [0.3519410161712086, -0.1168114050040634, -0.9287048060591448], 'radius': 1.3292592362023248}, 'confidence': 0.0243510628776023, 'timestamp': 176279.717775, 'diameter_3d': 2.6585184724046496, 'ellipse': {'center': [62.03469249425363, 76.69703384081066], 'axes': [25.094580305312768, 27.171598895743237], 'angle': -67.76247331463864}, 'location': [62.03469249425363, 76.69703384081066], 'diameter': 27.171598895743237, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.4537176305514792, 'phi': -1.2085593048833618, 'norm_pos': [0.1938584140445426, 0.6804290256632889], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.1339898,"{'circle_3d': {'center': [-9.955752354325732, -3.5894070824449464, 34.752368486761185], 'normal': [0.3583378574846891, -0.045307709294745396, -0.9324919256335389], 'radius': 1.3045139598128512}, 'confidence': 0.2461093270610343, 'timestamp': 176279.726175, 'diameter_3d': 2.6090279196257025, 'ellipse': {'center': [62.65981109984101, 84.98313705923931], 'axes': [25.115890720055564, 26.608060112380418], 'angle': -67.21987283090327}, 'location': [62.65981109984101, 84.98313705923931], 'diameter': 26.608060112380418, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5254731019724004, 'phi': -1.2039148212864055, 'norm_pos': [0.19581190968700316, 0.6459035955865029], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.141564,"{'circle_3d': {'center': [-9.954913384228913, -3.0474194188406436, 34.7394900531424], 'normal': [0.358407771659424, -0.00014207066105350236, -0.9335651284351045], 'radius': 1.3030788478398692}, 'confidence': 0.19652101026762162, 'timestamp': 176279.734575, 'diameter_3d': 2.6061576956797383, 'ellipse': {'center': [62.63229617627593, 90.24254081063165], 'axes': [25.30012108399736, 26.52383732730335], 'angle': -69.13192166702075}, 'location': [62.63229617627593, 90.24254081063165], 'diameter': 26.52383732730335, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5706542561333652, 'phi': -1.2042345243942105, 'norm_pos': [0.19572592555086227, 0.6239894132890348], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.1504042,"{'circle_3d': {'center': [-9.958539708298325, -3.0873366600200796, 34.738175714561365], 'normal': [0.3581055779869731, -0.0034685074260064996, -0.9336746566501909], 'radius': 1.3152714628721212}, 'confidence': 0.43809913494551184, 'timestamp': 176279.742975, 'diameter_3d': 2.6305429257442423, 'ellipse': {'center': [62.5900059062529, 89.85303274748621], 'axes': [25.525961170874773, 26.77959938021987], 'angle': -68.96227302962788}, 'location': [62.5900059062529, 89.85303274748621], 'diameter': 26.77959938021987, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5673278124141807, 'phi': -1.2045558995742875, 'norm_pos': [0.1955937684570403, 0.6256123635521408], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.157187,"{'circle_3d': {'center': [-9.962249341914564, -2.9575884845700955, 34.73702284721858], 'normal': [0.35779644185228654, 0.007343840528158841, -0.933770728928756], 'radius': 1.3067184752908956}, 'confidence': 0.31832677277512633, 'timestamp': 176279.751375, 'diameter_3d': 2.613436950581791, 'ellipse': {'center': [62.55302687634824, 91.11430374151902], 'axes': [25.39933024434724, 26.591081550465372], 'angle': -69.72880027873438}, 'location': [62.55302687634824, 91.11430374151902], 'diameter': 26.591081550465372, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5781402333359844, 'phi': -1.2048789468277412, 'norm_pos': [0.19547820898858825, 0.6203570677436707], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.166101,"{'circle_3d': {'center': [-9.965891997864958, -2.956127059619198, 34.735639343527595], 'normal': [0.3574928871897536, 0.0074656259407336325, -0.9338860209030048], 'radius': 1.297234449378631}, 'confidence': 0.5179400335066316, 'timestamp': 176279.759775, 'diameter_3d': 2.594468898757262, 'ellipse': {'center': [62.51628316901761, 91.12750261517816], 'axes': [25.21672223966377, 26.40028844415191], 'angle': -69.77535263350724}, 'location': [62.51628316901761, 91.12750261517816], 'diameter': 26.40028844415191, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5782620220875234, 'phi': -1.2052036661556997, 'norm_pos': [0.19536338490318003, 0.6203020724367576], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.17757,"{'circle_3d': {'center': [-9.969582415827187, -2.9446919966469536, 34.734324578781504], 'normal': [0.3571853523595678, 0.008418547855087331, -0.9339955846318455], 'radius': 1.2883383294020234}, 'confidence': 0.37247390042970857, 'timestamp': 176279.768175, 'diameter_3d': 2.576676658804047, 'ellipse': {'center': [62.47908452089493, 91.23779452910566], 'axes': [25.048146960584567, 26.22013859049218], 'angle': -69.8837783992271}, 'location': [62.47908452089493, 91.23779452910566], 'diameter': 26.22013859049218, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5792149740929697, 'phi': -1.2055300575559125, 'norm_pos': [0.19524713912779665, 0.6198425227953931], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851090.186481,"{'circle_3d': {'center': [-9.973296030485383, -2.9332080977389627, 34.73301447636456], 'normal': [0.3568758844713851, 0.00937553943075324, -0.9341047598332582], 'radius': 1.315289431769487}, 'confidence': 0.3404819618971524, 'timestamp': 176279.776575, 'diameter_3d': 2.630578863538974, 'ellipse': {'center': [62.43197262469012, 91.34807289036522], 'axes': [25.576680735947527, 26.76981825956671], 'angle': -69.9951722990802}, 'location': [62.43197262469012, 91.34807289036522], 'diameter': 26.76981825956671, 'sphere': {'center': [-14.255806644142002, -3.0457145709080016, 45.94227159436365], 'radius': 12.0}, 'projected_sphere': {'center': [54.758068574220104, 97.51534571032404], 'axes': [177.1773718084639, 177.1773718084639], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 19, 'model_birth_timestamp': 176256.147375, 'theta': 1.5801720035838915, 'phi': -1.2058581210295019, 'norm_pos': [0.19509991445215663, 0.6193830296234782], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
